,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2009-03-18,4,0,3,0,23124,0,23124,0,14446764,0,14446764,0,624.7519460300986,624.7519460300986,,,0.0
1,2009-03-17,2,0,2,0,8700,0,8700,0,5652000,0,5652000,0,649.6551724137931,649.6551724137931,,,0.0
2,2009-03-16,3,0,3,0,18000,0,18000,0,11238000,0,11238000,0,624.3333333333334,624.3333333333334,,,0.0
3,2009-03-09,1,0,0,1,78,0,0,78,51324,0,0,51324,658.0,,,658.0,78.0
4,2009-03-07,3,0,0,1,10000,0,0,10000,7000000,0,0,7000000,700.0,,,700.0,10000.0
5,2009-03-04,1,0,1,0,60,0,60,0,42480,0,42480,0,708.0,708.0,,,0.0
6,2009-03-03,2,0,3,0,8670,0,8670,0,6321186,0,6321186,0,729.0871972318339,729.0871972318339,,,0.0
7,2009-03-02,2,0,2,0,2036,0,2036,0,1441488,0,1441488,0,708.0,708.0,,,0.0
8,2009-03-01,2,0,1,0,3500,0,3500,0,2635500,0,2635500,0,753.0,753.0,,,0.0
9,2009-02-25,1,0,0,1,7032,0,0,7032,5632632,0,0,5632632,801.0,,,801.0,7032.0
10,2009-02-21,2,0,1,0,1881,0,1881,0,1505800,0,1505800,0,800.5316321105795,800.5316321105795,,,0.0
11,2009-02-18,2,0,1,0,15000,0,15000,0,12020000,0,12020000,0,801.3333333333334,801.3333333333334,,,0.0
12,2009-02-17,1,0,2,0,14000,0,14000,0,11820000,0,11820000,0,844.2857142857143,844.2857142857143,,,0.0
13,2009-02-09,1,0,1,0,100,0,100,0,83100,0,83100,0,831.0,831.0,,,0.0
14,2009-02-07,1,0,1,0,2000,0,2000,0,1768000,0,1768000,0,884.0,884.0,,,0.0
15,2009-02-03,1,0,1,0,100,0,100,0,88400,0,88400,0,884.0,884.0,,,0.0
16,2009-02-02,1,0,2,0,655,0,655,0,547700,0,547700,0,836.1832061068702,836.1832061068702,,,0.0
17,2009-02-01,3,0,7,0,36877,0,36877,0,30030580,0,30030580,0,814.344442335331,814.344442335331,,,0.0
18,2009-01-31,2,0,2,0,20050,0,20050,0,15519950,0,15519950,0,774.0623441396509,774.0623441396509,,,0.0
19,2009-01-28,3,0,1,0,19296,0,19296,0,14932920,0,14932920,0,773.886815920398,773.886815920398,,,0.0
20,2009-01-27,6,0,12,0,55964,0,55964,0,44081008,0,44081008,0,787.6672146379816,787.6672146379816,,,0.0
