,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-06-25,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0
1,2022-05-25,0,1,0,1,0,400000,0,400000,0,1904000000,0,1904000000,,,4760.0,4760.0,0.0
2,2022-01-29,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0.0
3,2021-05-30,1,0,0,1,1496716,0,0,1496716,7483580000,0,0,7483580000,5000.0,,,5000.0,1496716.0
4,2021-03-10,1,0,2,0,550000,0,550000,0,9349950000,0,9349950000,0,16999.909090909092,16999.909090909092,,,0.0
5,2021-01-24,2,0,0,1,29000,0,0,29000,501700000,0,0,501700000,17300.0,,,17300.0,29000.0
6,2021-01-10,0,1,1,0,0,91722,91722,0,0,1560191220,1560191220,0,,17010.0,17010.0,,-91722.0
7,2021-01-09,1,2,0,2,300000,5215642,0,5515642,5106000000,88669914000,0,93775914000,17020.0,,17000.766923803436,17001.81302557345,300000.0
8,2021-01-06,0,1,0,1,0,2050000,0,2050000,0,34850000000,0,34850000000,,,17000.0,17000.0,0.0
9,2021-01-03,1,0,1,0,58278,0,58278,0,990726000,0,990726000,0,17000.0,17000.0,,,0.0
10,2020-12-28,1,1,0,2,0,50000,0,50000,0,850000000,0,850000000,,,17000.0,17000.0,0.0
11,2020-12-23,0,1,0,1,0,5800,0,5800,0,100514000,0,100514000,,,17330.0,17330.0,0.0
12,2020-12-22,2,1,1,1,30000,80000,110000,0,510000000,1360000000,1870000000,0,17000.0,17000.0,17000.0,,-80000.0
13,2020-12-21,1,1,2,1,15000,315000,315000,15000,249450000,5355000000,5355000000,249450000,16630.0,17000.0,17000.0,16630.0,-300000.0
14,2020-12-14,0,1,1,0,0,5000,5000,0,0,85000000,85000000,0,,17000.0,17000.0,,-5000.0
15,2020-12-13,0,1,1,0,0,45000,45000,0,0,765000000,765000000,0,,17000.0,17000.0,,-45000.0
16,2020-12-09,0,1,1,0,0,50000,50000,0,0,850000000,850000000,0,,17000.0,17000.0,,-50000.0
17,2020-12-08,0,1,1,0,0,7025,7025,0,0,117317500,117317500,0,,16700.0,16700.0,,-7025.0
18,2020-12-07,1,1,3,0,400000,3000,403000,0,6680000000,50100000,6730100000,0,16700.0,16700.0,16700.0,,-3000.0
19,2020-12-01,0,1,0,1,0,40000,0,40000,0,662520000,0,662520000,,,16563.0,16563.0,0.0
20,2020-11-22,1,0,0,2,322857,0,0,322857,5347480491,0,0,5347480491,16563.0,,,16563.0,322857.0
21,2020-11-16,0,1,0,1,0,50000,0,50000,0,828150000,0,828150000,,,16563.0,16563.0,0.0
22,2020-11-11,0,1,0,1,0,15000,0,15000,0,253530000,0,253530000,,,16902.0,16902.0,0.0
23,2020-11-09,0,1,0,1,0,15000,0,15000,0,246150000,0,246150000,,,16410.0,16410.0,0.0
24,2020-11-04,0,1,0,1,0,35000,0,35000,0,574350000,0,574350000,,,16410.0,16410.0,0.0
25,2020-11-02,1,2,1,0,50000,200000,250000,0,845950000,3383600000,4229550000,0,16919.0,16918.2,16918.0,,-200000.0
26,2020-11-01,0,1,1,0,0,100000,100000,0,0,1744200000,1744200000,0,,17442.0,17442.0,,-100000.0
27,2020-10-28,0,2,1,0,0,550000,550000,0,0,9889900000,9889900000,0,,17981.636363636364,17981.636363636364,,-550000.0
28,2020-10-24,0,2,0,1,0,115000,0,115000,0,2122100000,0,2122100000,,,18453.043478260868,18453.043478260868,0.0
29,2020-10-21,0,1,0,1,0,75000,0,75000,0,1421250000,0,1421250000,,,18950.0,18950.0,0.0
30,2020-10-20,0,1,0,1,0,56000,0,56000,0,1061200000,0,1061200000,,,18950.0,18950.0,0.0
31,2020-10-19,0,3,0,2,0,536000,0,536000,0,10157200000,0,10157200000,,,18950.0,18950.0,0.0
32,2020-10-18,0,3,0,1,0,500000,0,500000,0,9225000000,0,9225000000,,,18450.0,18450.0,0.0
33,2020-10-11,1,0,0,1,263200,0,0,263200,5000800000,0,0,5000800000,19000.0,,,19000.0,263200.0
34,2020-10-10,2,2,1,4,390000,684000,64200,1009800,7410000000,12998700000,1219800000,19188900000,19000.0,19000.0,19003.947368421053,19002.673796791445,325800.0
35,2020-10-07,1,1,1,2,280000,190000,185342,284658,5093200000,3456100000,3371370980,5177929020,18190.0,18190.0,18190.0,18190.0,94658.0
36,2020-10-05,0,2,0,4,0,747000,0,747000,0,13587930000,0,13587930000,,,18190.0,18190.0,0.0
37,2020-10-03,0,1,0,1,0,15000,0,15000,0,259875000,0,259875000,,,17325.0,17325.0,0.0
38,2020-09-30,0,1,0,2,0,28500,0,28500,0,493770000,0,493770000,,,17325.263157894737,17325.263157894737,0.0
39,2020-09-19,0,2,0,2,0,60000,0,60000,0,1015515000,0,1015515000,,,16925.25,16925.25,0.0
40,2020-09-15,0,1,0,1,0,100000,0,100000,0,1660100000,0,1660100000,,,16601.0,16601.0,0.0
41,2020-09-13,1,0,0,1,19000,0,0,19000,315400000,0,0,315400000,16600.0,,,16600.0,19000.0
42,2020-09-09,1,2,0,1,190000,65000,0,255000,3230000000,1108695000,0,4338695000,17000.0,,17056.846153846152,17014.49019607843,190000.0
43,2020-09-08,0,2,0,1,0,30000,0,30000,0,533310000,0,533310000,,,17777.0,17777.0,0.0
44,2020-09-05,0,2,0,2,0,45000,0,45000,0,821805000,0,821805000,,,18262.333333333332,18262.333333333332,0.0
45,2020-08-31,0,1,0,1,0,15000,0,15000,0,285000000,0,285000000,,,19000.0,19000.0,0.0
46,2020-08-26,0,1,0,1,0,15000,0,15000,0,286350000,0,286350000,,,19090.0,19090.0,0.0
47,2020-08-25,1,2,0,1,50000,30000,0,80000,954500000,572895000,0,1527395000,19090.0,,19096.5,19092.4375,50000.0
48,2020-08-23,0,1,1,4,0,1550000,100000,1450000,0,30509866271,1968500000,28541366271,,19685.0,19683.784690967743,19683.700876551724,-100000.0
49,2020-08-18,1,2,0,1,25000,45000,0,70000,490250000,888000000,0,1378250000,19610.0,,19733.333333333332,19689.285714285714,25000.0
50,2020-08-17,0,1,0,1,0,15000,0,15000,0,300000000,0,300000000,,,20000.0,20000.0,0.0
51,2020-08-16,0,1,1,0,0,100,100,0,0,2000000,2000000,0,,20000.0,20000.0,,-100.0
52,2020-08-15,0,1,0,1,0,15000,0,15000,0,300000000,0,300000000,,,20000.0,20000.0,0.0
53,2020-08-12,0,1,0,1,0,15000,0,15000,0,300270000,0,300270000,,,20018.0,20018.0,0.0
54,2020-08-11,1,0,0,2,220000,0,0,220000,4493930000,0,0,4493930000,20426.954545454544,,,20426.954545454544,220000.0
