,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,63,7,413,2,154593,414574,569019,148,5912601830,15897731090,21804683020,5649900,38246.24549623851,38319.780218235246,38347.14933883939,38175.0,-414426.0
1,2022-09-07,99,4,472,1,238715,179119,416834,1000,9156145520,6939459820,16056960990,38644350,38355.9705925476,38521.236247523,38742.175983564,38644.35,-178119.0
2,2022-09-06,87,4,321,6,126386,275847,360273,41960,4881528770,10683162070,13938574740,1626116100,38623.96760717168,38688.92406591668,38728.578052326106,38753.958531935175,-233887.0
3,2022-09-05,84,5,441,5,276865,619919,716875,179909,10834617290,24356929430,28130800650,7060746070,39133.21398515522,39240.872746294684,39290.503162509944,39246.20819414259,-440010.0
4,2022-09-04,85,7,444,4,169906,443744,552807,60843,6619322210,17367642500,21593050230,2393914480,38958.731357338766,39060.739516684844,39138.87849751208,39345.7666453002,-382901.0
5,2022-09-03,74,3,377,0,94823,133753,228576,0,3681949220,5203335370,8885284590,0,38829.70608396697,38872.34263439731,38902.56943769485,,-133753.0
6,2022-08-31,57,5,378,5,381498,564625,637833,308290,15203612790,22537720000,25416497190,12324835600,39852.404966736394,39848.200375333356,39916.26300642019,39978.05832171008,-256335.0
7,2022-08-30,102,3,361,4,280986,558644,719657,119973,11142371580,22161197710,28540644190,4762925100,39654.543571565846,39658.676550078715,39669.62450147142,39699.97499437373,-438671.0
8,2022-08-29,73,4,405,2,249385,385940,332409,302916,10150683740,15768867030,13590864870,12328685900,40702.86400545342,40885.971408716374,40858.33816137223,40700.01551585258,-83024.0
9,2022-08-28,61,5,476,1,84753,999135,605189,478699,3444190320,40708911470,24683986660,19469115130,40637.975292909985,40787.236152672966,40744.155164217045,40670.89158322871,-520436.0
10,2022-08-27,81,4,483,2,272122,630290,671510,230902,11281972200,26102015300,27822016570,9561970930,41459.24328058738,41432.02122083066,41412.70732519951,41411.38201488077,-399388.0
11,2022-08-24,77,2,515,3,232722,319793,494482,58033,9549852280,13134814740,20294982340,2389684680,41035.45122506682,41042.91428201633,41072.86507209351,41178.0311202247,-261760.0
12,2022-08-23,126,9,590,4,749866,1452504,971836,1230534,29888398250,57999084150,38711775240,49175707160,39858.31901966485,39833.65016319626,39930.41268733167,39962.89997675806,-221970.0
13,2022-08-22,56,4,375,2,144541,169739,309207,5073,5531778820,6499650580,11835880580,195548820,38271.347368566705,38278.17798432765,38292.02823157907,38546.97811945594,-164666.0
14,2022-08-21,58,3,469,1,339607,134654,474187,74,13024685670,5154052910,18175916960,2821620,38352.22969491206,38330.69434632329,38276.27036701472,38130.0,-134580.0
15,2022-08-20,58,3,463,2,321391,378962,509044,191309,12273260760,14431381710,19410990200,7293652270,38187.9416660703,38132.24436394496,38081.34248288746,38124.98246292647,-187653.0
16,2022-08-17,67,2,400,3,128391,111797,235686,4502,4895281450,4260234970,8984384300,171132120,38127.917455273346,38120.14417487674,38106.88095387175,38012.4655708574,-107295.0
17,2022-08-16,84,5,477,4,163341,397263,513753,46851,6199594260,15090005000,19508871810,1780727450,37954.9179936452,37973.25136787522,37984.924344829495,38008.31252267828,-350412.0
18,2022-08-15,90,4,520,2,275273,320731,376799,219205,10153994490,11956007370,13945554390,8164447470,36886.997598747424,37010.592889046944,37277.36754476493,37245.71734221391,-101526.0
19,2022-08-14,85,2,437,1,394169,46370,440485,54,14608250090,1717790920,16324047870,1993140,37060.88020620597,37059.25938454204,37045.30774207462,36910.0,-46316.0
20,2022-08-13,133,3,589,5,457494,399281,560464,296311,16832543460,14860602980,20729773210,10963373230,36792.92725150494,36986.805950069946,37218.407537548745,36999.54854865327,-102970.0
21,2022-08-10,79,2,406,0,320509,229745,550254,0,11543166220,8275299660,19818465880,0,36015.10790648624,36016.941049042805,36019.498400400444,,-229745.0
22,2022-08-09,142,2,468,1,323643,352697,672429,3911,11620491130,12629978910,24109674040,140796000,35905.275658673294,35854.60180926165,35809.71459921689,36000.0,-348786.0
23,2022-08-06,109,2,389,2,232722,336932,481461,88193,8525224070,12331821090,17630368210,3226676950,36632.65213430617,36618.47628364499,36600.326148896514,36586.54258274466,-248739.0
24,2022-08-03,3,0,35,0,0,0,0,0,0,0,0,0,,,,,0.0
25,2022-08-02,19,1,31,0,12905,12073,24978,0,451655380,422555000,874210380,0,34998.47965904688,34999.21450876771,35000.0,,-12073.0
26,2022-08-01,239,6,496,1,793403,1137237,1530640,400000,27982961150,40205075270,53972886940,14215149480,35269.542905686016,35261.646722939426,35353.29510911094,35537.8737,-737237.0
27,2022-07-31,247,8,439,2,932626,1037300,1969570,356,34103830120,37925052920,72015878360,13004680,36567.53095024158,36564.26446381697,36561.315839197916,36530.0,-1036944.0
28,2022-07-30,187,3,473,2,333139,641584,933347,41376,12721571400,24582768040,35740154790,1564184650,38186.977207712094,38292.46227823092,38315.743597097186,37804.153373936584,-600208.0
29,2022-07-27,141,3,540,3,618715,321637,940104,248,24385128720,12720517060,37095884420,9761360,39412.53843853794,39459.341115451054,39549.29644288437,39360.32258064516,-321389.0
30,2022-07-26,109,5,563,1,239421,367701,580122,27000,9182440140,14111075590,22262041220,1031474510,38352.6931221572,38374.75775785094,38376.4950054528,38202.75962962963,-340701.0
31,2022-07-25,139,7,618,3,383148,960376,1326672,16852,14582366670,36891738310,50820135220,653969760,38059.35740236149,38306.48059203782,38413.84864886253,38806.65558984097,-943524.0
32,2022-07-24,471,9,701,6,1114033,1366395,2125355,355073,43458582380,53417448460,83077222960,13798807880,39010.13917900098,39088.63364473229,39093.70896409896,38861.89003388036,-1011322.0
33,2022-07-23,254,4,669,4,626733,802020,1389408,39345,25666970450,32758567890,56814656260,1610882080,40953.596587382504,40891.2689865036,40845.07604548515,40942.48519506926,-762675.0
34,2022-07-20,116,3,652,3,529136,151596,585603,95129,22497547450,6461519360,24894000310,4065066500,42517.514306340905,42510.02865422479,42623.28399166205,42732.147925448604,-56467.0
35,2022-07-19,144,2,532,0,210162,174186,384348,0,8673149730,7234631010,15907780740,0,41268.87700916436,41389.00355927441,41533.94078743412,,-174186.0
36,2022-07-17,322,6,753,4,531923,705332,1236829,426,21873791770,28994509580,50850731970,17569380,41122.10182676816,41113.79339423639,41107.605468063266,41242.67605633803,-704906.0
37,2022-07-16,343,5,834,2,465080,410902,875250,732,19812860080,17529338910,37311060480,31138510,42600.97204781973,42629.03225364182,42660.63175647721,42538.948087431694,-410170.0
38,2022-07-13,126,7,990,3,363522,822431,1175513,10440,15740823410,35685749280,50967586580,458986110,43300.88250504784,43357.7396251679,43390.569275720394,43964.1867816092,-811991.0
39,2022-07-12,31,4,140,4,256719,673876,730459,200136,11238989050,29515122620,31983055970,8771055700,43779.34258858908,43784.87494849129,43799.041099549475,43825.477175520646,-473740.0
40,2022-07-05,247,4,848,3,1007340,1187542,2194515,367,45190375160,53344485720,98518425480,16435400,44861.09472472055,44893.02897451145,44920.08343283858,44783.10626702997,-1187175.0
