,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2018-05-01,17,1,0,1,249610,672150,0,921760,2784974502,7394322150,0,10179296652,11157.303401306037,,11001.0,11043.326518833535,249610.0
1,2018-04-30,2,0,0,1,34050,0,0,34050,415635000,0,0,415635000,12206.607929515418,,,12206.607929515418,34050.0
2,2018-04-29,1,0,0,1,3000,0,0,3000,36900000,0,0,36900000,12300.0,,,12300.0,3000.0
3,2018-04-28,1,0,0,1,240,0,0,240,2952000,0,0,2952000,12300.0,,,12300.0,240.0
4,2018-04-18,1,0,0,1,500,0,0,500,6150000,0,0,6150000,12300.0,,,12300.0,500.0
5,2018-04-15,1,0,0,1,2400,0,0,2400,30480000,0,0,30480000,12700.0,,,12700.0,2400.0
6,2018-04-09,2,0,0,1,4838,0,0,4838,61442600,0,0,61442600,12700.0,,,12700.0,4838.0
7,2018-04-08,1,0,0,1,2915,0,0,2915,37020500,0,0,37020500,12700.0,,,12700.0,2915.0
8,2018-04-04,11,0,0,1,51354,0,0,51354,621383400,0,0,621383400,12100.0,,,12100.0,51354.0
9,2018-04-03,18,0,0,1,303890,0,0,303890,3347069000,0,0,3347069000,11014.080752904012,,,11014.080752904012,303890.0
10,2017-09-06,16,0,16,1,19769,0,19355,414,237344778,0,232298118,5046660,12005.907127320552,12001.96941358822,,12190.0,414.0
11,2017-09-05,14,0,5,1,17001,0,5001,12000,193417287,0,57587047,135830240,11376.81824598553,11515.106378724255,,11319.186666666666,12000.0
12,2017-09-04,8,0,7,1,26059,0,6059,20000,310884088,0,71775200,239108888,11930.008365631835,11846.047202508666,,11955.4444,20000.0
13,2017-09-03,4,0,5,0,3770,0,3770,0,44818232,0,44818232,0,11888.125198938991,11888.125198938991,,,0.0
14,2017-09-02,5,0,6,0,3102,0,3102,0,37146679,0,37146679,0,11975.07382333978,11975.07382333978,,,0.0
15,2017-08-30,3,0,2,0,2001,0,2001,0,24009800,0,24009800,0,11998.900549725138,11998.900549725138,,,0.0
16,2017-08-28,3,0,1,1,3162,0,600,2562,37873040,0,7080600,30792440,11977.558507273878,11801.0,,12018.907103825137,2562.0
17,2017-08-27,3,0,4,1,19603,0,2737,16866,235292407,0,32868671,202423736,12002.87746773453,12009.013883814396,,12001.8816554014,16866.0
18,2017-08-26,3,0,2,0,912,0,912,0,11021241,0,11021241,0,12084.694078947368,12084.694078947368,,,0.0
