,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,253,2,214,0,467836,194462,662298,0,19162403150,8030737600,27193140750,0,40959.659260937595,41058.769239828594,41297.20768067797,,-194462.0
1,2022-09-07,239,0,305,1,949466,0,939466,10000,41361716500,0,40927216500,434500000,43563.13601540234,43564.340274155744,,43450.0,10000.0
2,2022-09-06,1217,2,470,0,4026615,138410,4165025,0,174044264550,6003284250,180047548800,0,43223.46798737898,43228.44371882522,43373.19738458204,,-138410.0
3,2022-09-05,365,1,340,1,2131033,84477,2195510,20000,98725798600,3794928600,101566727200,954000000,46327.672354205686,46261.108899526764,44922.62509322064,47700.0,-64477.0
4,2022-09-04,277,1,348,2,2125606,20000,2105606,40000,98548874700,912250000,97591232700,1869892000,46362.71947858634,46348.2877138458,45612.5,46747.3,20000.0
5,2022-09-03,484,2,459,2,4676824,30000,4097287,609537,209147793350,1323500000,182964447800,27506845550,44720.047910718895,44655.02362905015,44116.666666666664,45127.44189442151,579537.0
6,2022-08-31,127,0,186,2,1019221,0,918914,100307,43023459400,0,38790504000,4232955400,42212.10061409645,42213.421495373885,,42200.0,100307.0
7,2022-08-30,57,1,170,1,833445,5000,633445,205000,32989698850,186500000,24933698850,8242500000,39582.33458716532,39362.05803187333,37300.0,40207.31707317073,200000.0
8,2022-08-29,137,1,83,0,305020,20000,325020,0,11439055950,747500000,12186555950,0,37502.642285751754,37494.78785920866,37375.0,,-20000.0
9,2022-08-28,47,0,58,1,127259,0,117259,10000,4824187500,0,4444187500,380000000,37908.41905091192,37900.60890848464,,38000.0,10000.0
10,2022-08-27,130,1,104,1,409450,25000,272849,161601,15901549950,972000000,10649921050,6223628900,38836.36573452192,39032.289104962816,38880.0,38512.316755465625,136601.0
11,2022-08-24,177,0,123,2,804819,0,437561,367258,31879259550,0,17449399150,14429860400,39610.47086363518,39878.78067286618,,39290.799383539634,367258.0
12,2022-08-23,168,0,110,3,674770,0,477564,197206,26133962300,0,18540102000,7593860300,38730.17813477185,38822.23534437269,,38507.24775108262,197206.0
13,2022-08-22,57,2,74,1,83088,105000,172460,15628,3057280600,3948648500,6419627900,586301200,36795.69372231851,37223.86582395918,37606.17619047619,37516.07371384694,-89372.0
14,2022-08-21,62,1,58,1,104203,23,99226,5000,3918286100,846400,3729632500,189500000,37602.430832125756,37587.25031745712,36800.0,37900.0,4977.0
15,2022-08-20,143,1,111,1,322738,15000,322738,15000,12305412700,563000000,12294162700,574250000,38128.18044357962,38093.3224473102,37533.333333333336,38283.333333333336,0.0
16,2022-08-17,131,1,118,2,310036,11665,253422,68279,11802430850,438854500,9645828150,2595457200,38067.93678798591,38062.315623742215,37621.47449635662,38012.525080918,56614.0
17,2022-08-16,127,0,109,2,385129,0,293010,92119,14508135250,0,11082287850,3425847400,37670.846002248596,37822.2171598239,,37189.36809995766,92119.0
18,2022-08-15,104,0,79,2,290367,0,270235,20132,10691823600,0,9951979200,739844400,36821.75867092335,36827.12898033193,,36749.67216371945,20132.0
19,2022-08-14,85,1,70,0,259356,496,259852,0,9349511950,17905600,9367417550,0,36048.951826832614,36049.04926650555,36100.0,,-496.0
20,2022-08-13,82,0,70,2,301820,0,296770,5050,10802778700,0,10620488700,182290000,35792.12345106355,35786.93500016848,,36097.0297029703,5050.0
21,2022-08-10,94,1,53,0,227119,16000,243119,0,7881121100,562400000,8443521100,0,34700.40419339641,34729.992719614675,35150.0,,-16000.0
22,2022-08-09,52,1,49,1,156300,5000,146300,15000,5612959950,177750000,5250209950,540500000,35911.452015355084,35886.602529049895,35550.0,36033.333333333336,10000.0
23,2022-08-06,108,1,89,1,267024,10000,272024,5000,9761639300,359500000,9938139300,183000000,36557.160779555394,36534.05324530188,35950.0,36600.0,-5000.0
24,2022-08-03,158,0,45,3,535464,0,77714,457750,19025221950,0,2773908400,16251313550,35530.34741831384,35693.805491931955,,35502.59650464227,457750.0
25,2022-08-02,87,2,33,1,513502,20200,96379,437323,18102817450,718230000,3503633600,15317413850,35253.6454580508,36352.66603720727,35555.94059405941,35025.4019340396,417123.0
26,2022-08-01,30,0,35,1,59097,0,54539,4558,2163373650,0,1994969200,168404450,36607.16533834205,36578.763820385415,,36947.00526546731,4558.0
27,2022-07-31,30,1,51,1,180390,23000,193390,10000,6609822000,840350000,7077672000,372500000,36641.84267420589,36597.92129892962,36536.95652173913,37250.0,-13000.0
28,2022-07-30,43,1,44,0,51843,9510,61353,0,1950018300,355704000,2305722300,0,37613.91701869105,37581.2478607403,37403.154574132495,,-9510.0
29,2022-07-27,59,0,38,1,84581,0,80438,4143,3185161700,0,3028556300,156605400,37658.122982702975,37650.81553494617,,37800.0,4143.0
30,2022-07-26,137,1,78,0,633855,25000,658855,0,24016464500,968069650,24984534150,0,37889.524418045134,37921.14220883199,38722.786,,-25000.0
31,2022-07-25,52,1,59,0,114969,25000,139969,0,4521896700,985500000,5507396700,0,39331.44325861754,39347.26046481721,39420.0,,-25000.0
32,2022-07-24,48,2,72,1,90288,237968,301727,26529,3645456600,9681916150,12240823750,1086549000,40375.87054758107,40569.20245785097,40685.790316345054,40957.02815786498,-211439.0
33,2022-07-23,115,0,94,1,313066,0,198029,115037,12875529600,0,8170630700,4704898900,41127.20512607565,41259.7685187523,,40899.00553734885,115037.0
