,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,171,1,413,1,1285369,93385,1378729,25,15268897170,1109282500,16377882170,297500,11878.999081197695,11878.971262662932,11878.593992611233,11900.0,-93360.0
1,2022-09-07,136,1,518,1,1349926,30000,1370093,9833,16763972200,369000000,17010633690,122338510,12418.43789955894,12415.67812549951,12300.0,12441.626156818875,-20167.0
2,2022-09-06,162,0,486,1,1631269,0,1543741,87528,20027148890,0,18946144030,1081004860,12277.036399269526,12272.877399771076,,12350.38913262042,87528.0
3,2022-09-05,124,1,436,1,732861,27023,746881,13003,8799243700,321573700,8964183240,156634160,12006.70208948218,12002.15729145607,11900.0,12046.00169191725,-14020.0
4,2022-09-04,158,1,441,1,888652,58316,946943,25,10598013250,692935920,11290651670,297500,11925.943170104832,11923.264304187263,11882.43226558749,11900.0,-58291.0
5,2022-09-03,260,1,457,1,1454019,159096,1613092,23,17484503240,1939969590,19424193380,279450,12024.948257209844,12041.590547842281,12193.704367174536,12150.0,-159073.0
6,2022-08-31,301,1,557,2,2422870,71132,2332709,161293,30657193060,879880240,29471894480,2065178820,12653.25546149814,12634.192468927757,12369.682280830006,12803.896139324088,90161.0
7,2022-08-30,203,0,593,2,1846625,0,1765626,80999,22565991890,0,21578434140,987557750,12220.126928856698,12221.4071043358,,12192.221508907518,80999.0
8,2022-08-29,211,1,442,1,1140865,95310,1236150,25,13686018380,1143720000,14829435880,302500,11996.176918390871,11996.469587024229,12000.0,12100.0,-95285.0
9,2022-08-28,147,1,408,1,940411,25500,935911,30000,11238303250,306765000,11181152650,363915600,11950.416626347416,11946.811876342943,12030.0,12130.52,4500.0
10,2022-08-24,229,1,486,1,1273472,232254,1505717,9,15445998930,2817786930,18263676690,109170,12129.044792504272,12129.554683914706,12132.350486966856,12130.0,-232245.0
11,2022-08-23,235,1,640,3,2156677,136379,2163922,129134,25824230020,1609939470,25883700060,1550469430,11974.083286463389,11961.47553377617,11804.89276208214,12006.670822556414,-7245.0
12,2022-08-22,424,1,632,6,2720884,155126,2845915,30095,31432236550,1781936400,32862084980,352087970,11552.214850026683,11547.106986680908,11487.026030452664,11699.218142548596,-125031.0
13,2022-08-21,201,0,397,3,1707120,0,1667072,40048,19702359170,0,19239708690,462650480,11541.285422231595,11541.018438315801,,11552.399121054734,40048.0
