,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,86,1,28,0,163698,100000,263698,0,6351482400,3880000000,10231482400,0,38800.0,38800.0,38800.0,,-100000.0
1,2022-09-07,236,1,128,0,780793,100000,880793,0,31244557700,4000000000,35244557700,0,40016.44187383852,40014.57516124674,40000.0,,-100000.0
2,2022-09-06,249,1,145,1,651728,86308,724344,13692,26893392850,3526431800,29837215050,582609600,41264.74978825522,41192.051083463106,40858.689808592484,42551.095530236635,-72616.0
3,2022-09-05,151,0,46,1,605168,0,505168,100000,25464392900,0,21255767900,4208625000,42078.221089019906,42076.63173439331,,42086.25,100000.0
4,2022-09-04,6,0,11,0,8996,0,8996,0,375450050,0,375450050,0,41735.22120942641,41735.22120942641,,,0.0
5,2022-09-03,270,1,198,0,1224160,100000,1324160,0,50137390300,4095000000,54232390300,0,40956.566380211734,40956.070489971,40950.0,,-100000.0
6,2022-08-31,454,1,165,0,1368653,100000,1468653,0,57758936000,4215210000,61974146000,0,42201.300110400516,42197.95009440624,42152.1,,-100000.0
7,2022-08-30,402,1,182,1,810927,45000,845927,10000,35237699200,1946250000,36749199200,434750000,43453.602112150664,43442.51832604941,43250.0,43475.0,-35000.0
8,2022-08-29,366,1,155,1,738725,50000,788724,1,32919519600,2217500000,35136973500,46100,44562.61748282514,44549.136960457654,44350.0,46100.0,-49999.0
9,2022-08-28,338,1,182,0,1052408,50000,1102408,0,48119127650,2281000000,50400127650,0,45722.882807808375,45718.21653144752,45620.0,,-50000.0
10,2022-08-27,168,0,139,1,472471,0,422471,50000,22139170850,0,19793882300,2345288550,46858.26399927191,46852.641483084044,,46905.771,50000.0
11,2022-08-24,343,1,233,1,873909,10000,873261,10648,39846847250,452000000,39814138550,484708700,45596.10583024091,45592.48443477952,45200.0,45521.10255447032,648.0
12,2022-08-23,310,1,167,1,859815,50000,859815,50000,39967206350,2322500000,39957893650,2331812700,46483.49511232067,46472.66406145508,46450.0,46636.254,0.0
13,2022-08-22,31,1,4,0,55790,50000,105790,0,2630498500,2357500000,4987998500,0,47150.0,47150.0,47150.0,,-50000.0
14,2022-08-21,289,1,138,1,818387,30000,818387,30000,39782248750,1436250000,39704998750,1513500000,48610.5580245043,48516.16502950316,47875.0,50450.0,0.0
15,2022-08-20,172,0,89,1,504644,0,454644,50000,24724587800,0,22282952500,2441635300,48994.11822988086,49011.869726643265,,48832.706,50000.0
16,2022-08-17,212,0,115,1,660133,0,610133,50000,31442331600,0,29064479800,2377851800,47630.2981368906,47636.301921056554,,47557.036,50000.0
17,2022-08-16,257,1,175,1,775728,80000,814728,41000,35972561200,3692000000,37761185600,1903375600,46372.64762906586,46348.21142761756,46150.0,46423.79512195122,-39000.0
18,2022-08-15,497,1,354,1,1832626,34000,1800626,66000,87192660700,1601350000,85607706400,3186304300,47577.98956251849,47543.302384837276,47098.529411764706,48277.337878787876,32000.0
19,2022-08-14,150,1,93,0,533907,100000,633907,0,25823238400,4835000000,30658238400,0,48366.54773209566,48363.9372967959,48350.0,,-100000.0
20,2022-08-13,84,1,23,0,114930,100000,214930,0,5723514000,4980000000,10703514000,0,49800.0,49800.0,49800.0,,-100000.0
21,2022-08-10,22,1,3,0,8303,100000,108303,0,420546950,5065000000,5485546950,0,50650.0,50650.0,50650.0,,-100000.0
22,2022-08-09,14,1,7,0,3123,100000,103123,0,160834500,5150000000,5310834500,0,51500.0,51500.0,51500.0,,-100000.0
23,2022-08-06,26,1,3,0,22403,50000,72403,0,1166076150,2602500000,3768576150,0,52050.0,52050.0,52050.0,,-50000.0
24,2022-08-03,14,1,2,0,18491,50000,68491,0,973551150,2632500000,3606051150,0,52650.0,52650.0,52650.0,,-50000.0
25,2022-08-02,31,1,5,0,40653,50000,90653,0,2172902850,2672500000,4845402850,0,53450.0,53450.0,53450.0,,-50000.0
26,2022-08-01,303,1,162,1,1262350,50000,1282350,30000,69629452700,2682500000,70603452700,1708500000,55158.5952390383,55057.864623542715,53650.0,56950.0,-20000.0
27,2022-07-31,159,1,34,0,366645,100000,466645,0,20275468500,5530000000,25805468500,0,55300.0,55300.0,55300.0,,-100000.0
