,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,4,0,25,2,330846,0,245846,85000,4294381080,0,3191081080,1103300000,12980.0,12980.0,,12980.0,85000.0
1,2022-08-24,1,1,27,2,40000,130003,110003,60000,516400000,1678338730,1420138730,774600000,12910.0,12910.0,12910.0,12910.0,-70003.0
2,2022-08-23,5,1,29,1,531557,34487,546044,20000,6729511620,436605420,6912917040,253200000,12660.0,12660.0,12660.0,12660.0,-14487.0
3,2022-08-22,19,1,30,1,1169801,142000,1292630,19171,14388552300,1746600000,15899349000,235803300,12300.0,12300.0,12300.0,12300.0,-122829.0
4,2022-08-21,1,0,39,1,240406,0,190406,50000,2932953200,0,2322953200,610000000,12200.0,12200.0,,12200.0,50000.0
5,2022-08-20,68,1,113,1,980976,20669,915077,86568,11627972950,240966120,10837912480,1031026590,11853.473428503858,11843.716408564525,11658.334704146306,11910.019753257555,65899.0
6,2022-08-17,144,1,62,2,897242,6821,898739,5324,10477218030,79702240,10493988840,62931430,11677.137305208627,11676.34746016363,11684.832136050432,11820.328700225395,-1497.0
7,2022-08-16,84,1,54,2,594515,25995,609838,10672,7093404170,310741280,7272285070,131860380,11931.413286460393,11924.945756086043,11953.886516637815,12355.73275862069,-15323.0
8,2022-08-15,67,1,67,1,462697,47115,467209,42603,5642497390,569266380,5693138550,518625220,12194.800031121878,12185.421406693793,12082.487106017192,12173.443654202756,-4512.0
9,2022-08-14,88,1,46,0,2419794,14988,2434782,0,29057887760,180322930,29238210690,0,12008.413840186397,12008.553821245598,12031.153589538297,,-14988.0
10,2022-08-13,69,1,109,2,927443,1817,868992,60268,11451879870,22003870,10728744760,745138980,12347.799131590837,12346.19508580056,12110.0,12363.758213313864,58451.0
11,2022-08-10,92,0,73,0,1181288,0,1181288,0,14250658300,0,14250658300,0,12063.6612748119,12063.6612748119,,,0.0
12,2022-08-09,111,1,85,1,566146,35299,591722,9723,7041002150,435045340,7354245970,121801520,12436.725067385445,12428.549166669483,12324.579733136916,12527.154170523501,-25576.0
13,2022-08-06,306,1,164,1,2606178,58776,2564502,100452,32356863250,725314650,31827982730,1254195170,12415.44639314736,12410.979882253943,12340.320028583095,12485.517162425835,41676.0
14,2022-08-03,69,1,31,1,375871,1169,374702,2338,4663497790,14577430,4648896980,29178240,12407.176371680709,12406.91797748611,12470.0,12480.0,1169.0
15,2022-08-02,63,1,42,1,458534,26908,484942,500,5825168630,340696630,6159380260,6485000,12703.896832077882,12701.27202840752,12661.536717704772,12970.0,-26408.0
16,2022-08-01,61,1,65,1,807076,138680,932111,13645,10402483390,1803178730,12030891120,174771000,12889.100146702418,12907.144234967724,13002.442529564465,12808.427995602784,-125035.0
