,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,48,2,40,0,162908,44267,207175,0,2872924010,787772760,3660696770,0,17635.254315319075,17669.58740195487,17795.93737998961,,-44267.0
1,2022-09-07,53,2,32,0,129042,67719,196761,0,2282652600,1199660390,3482312990,0,17689.222113730415,17698.187089921274,17715.270308185296,,-67719.0
2,2022-09-06,42,1,31,1,110193,13000,116166,7027,1967625340,233870000,2075009340,126486000,17856.173622643906,17862.4497701565,17990.0,18000.0,-5973.0
3,2022-09-05,29,2,28,3,66401,404789,468292,2898,1202396530,7322503250,8472318120,52581660,18108.10876342224,18091.955702852065,18089.67943792939,18144.120082815734,-401891.0
4,2022-09-04,28,3,50,3,203643,835878,272368,767153,3681925580,15132789440,4935864510,13878850510,18080.29532073285,18122.042640838867,18104.064755861502,18091.37226863481,-68725.0
5,2022-09-03,45,5,66,3,285809,357806,342915,300700,5129042050,6468099410,6162054800,5435086660,17945.698176054637,17969.627458699677,18077.112765017915,18074.78104423013,-57106.0
6,2022-08-31,42,3,40,1,192045,45454,222042,15457,3452006020,819968140,3993227360,278746800,17974.985133692626,17984.108231775972,18039.51555418665,18033.693472213236,-29997.0
7,2022-08-30,40,2,47,2,113037,319252,180389,251900,2031430340,5756032870,3252932590,4534530620,17971.375213425694,18032.876672080893,18029.74725295378,18001.312504962287,-67352.0
8,2022-08-29,54,2,48,1,178803,659783,299296,539290,3220166150,11882732120,5393367170,9709531100,18009.57562233296,18020.177917513098,18010.06106553215,18004.285449387156,-120493.0
9,2022-08-28,41,1,50,0,77497,90398,167895,0,1394391530,1636550240,3030941770,0,17992.845271429862,18052.602936359035,18103.83238567225,,-90398.0
10,2022-08-27,116,3,66,2,318268,42210,338978,21500,5763491710,761019020,6132545730,391965000,18108.92615657245,18091.279463564006,18029.353707652215,18230.93023255814,-20710.0
11,2022-08-24,124,2,92,1,543330,131856,658186,17000,9785274760,2392709230,11866713990,311270000,18009.818636924152,18029.42327852613,18146.3811278971,18310.0,-114856.0
12,2022-08-23,53,1,64,1,174706,133040,297746,10000,3184773810,2426364980,5428138790,183000000,18229.33276475908,18230.769817226763,18237.860643415515,18300.0,-123040.0
13,2022-08-17,189,1,78,0,645100,400000,1045100,0,11429575820,7032000000,18461575820,0,17717.525685940163,17664.889312027557,17580.0,,-400000.0
14,2022-08-16,132,3,72,0,405728,122596,528324,0,7281032480,2203862830,9484895310,0,17945.600205063492,17952.800383855363,17976.62917224053,,-122596.0
15,2022-08-15,100,2,46,0,466971,18800,485771,0,8468448220,341276000,8809724220,0,18134.848245394252,18135.549919612327,18152.978723404256,,-18800.0
16,2022-08-14,58,3,44,1,201865,33198,184936,50127,3689120980,608179120,3380098920,917201180,18275.188764768533,18277.127871263572,18319.751792276642,18297.54782851557,16929.0
17,2022-08-13,80,2,46,0,129559,20000,149559,0,2390420050,370200000,2760620050,0,18450.436094752196,18458.40136668472,18510.0,,-20000.0
18,2022-08-10,60,1,27,0,87116,20000,107116,0,1594349750,367400000,1961749750,0,18301.4572523991,18314.255106613393,18370.0,,-20000.0
19,2022-08-09,46,0,39,0,110879,0,110879,0,2054091770,0,2054091770,0,18525.52575329864,18525.52575329864,,,0.0
20,2022-08-06,67,4,56,1,326867,40000,361165,5702,6018034120,733078520,6644257160,106855480,18411.262440075014,18396.736007088173,18326.963,18740.0,-34298.0
21,2022-08-03,54,2,48,0,113616,165410,279026,0,2108298270,3091665600,5199963870,0,18556.35007393325,18636.12663336033,18690.92316063116,,-165410.0
22,2022-08-02,62,2,47,0,169139,131400,300539,0,3149201790,2464152760,5613354550,0,18619.016252904417,18677.624368218436,18753.06514459665,,-131400.0
23,2022-08-01,31,1,67,0,80112,787797,867909,0,1492638640,14819737740,16312376380,0,18631.89834232075,18795.030792398742,18811.619922391175,,-787797.0
24,2022-07-31,68,3,66,3,226839,432683,494384,165138,4115567490,8020906090,9076985750,3059487830,18143.12128866729,18360.19318990906,18537.603950236084,18526.855296782087,-267545.0
25,2022-07-30,67,2,61,2,249703,49521,288924,10300,4622842560,920793090,5353207720,190427930,18513.364116570487,18528.082540737356,18593.99224571394,18488.14854368932,-39221.0
26,2022-07-27,54,2,38,0,115147,95169,210316,0,2155557450,1793051720,3948609170,0,18720.048720331404,18774.64943228285,18840.7119965535,,-95169.0
27,2022-07-26,38,2,69,0,184509,350393,534902,0,3471061620,6598079460,10069141080,0,18812.424434580425,18824.272633117842,18830.511625517633,,-350393.0
