,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-08-30,51,0,37,0,2476179,0,2476179,0,1977014204,0,1977014204,0,798.4132827230987,798.4132827230987,,,0.0
1,2022-08-29,42,0,45,0,2451755,0,2451755,0,1971987283,0,1971987283,0,804.3166152409193,804.3166152409193,,,0.0
2,2022-08-28,34,0,40,0,2740679,0,2740679,0,2213132790,0,2213132790,0,807.5125872092281,807.5125872092281,,,0.0
3,2022-08-27,67,0,55,0,2989377,0,2989377,0,2432856659,0,2432856659,0,813.834005881493,813.834005881493,,,0.0
4,2022-08-24,51,0,80,0,4898487,0,4898487,0,3953391927,0,3953391927,0,807.0638805410732,807.0638805410732,,,0.0
5,2022-08-23,49,0,45,0,1268790,0,1268790,0,987494456,0,987494456,0,778.2962160798871,778.2962160798871,,,0.0
6,2022-08-22,30,0,29,0,783045,0,783045,0,605430342,0,605430342,0,773.174392276306,773.174392276306,,,0.0
7,2022-08-21,25,0,36,0,1922049,0,1922049,0,1486648611,0,1486648611,0,773.4707132856655,773.4707132856655,,,0.0
8,2022-08-20,48,0,20,0,1264505,0,1264505,0,976801531,0,976801531,0,772.4773970842346,772.4773970842346,,,0.0
9,2022-08-17,42,0,28,0,1700242,0,1700242,0,1318549408,0,1318549408,0,775.5069031349655,775.5069031349655,,,0.0
10,2022-08-16,44,0,29,0,1068847,0,1068847,0,835375892,0,835375892,0,781.5673262871112,781.5673262871112,,,0.0
11,2022-08-15,83,0,28,0,4111704,0,4111704,0,3224316215,0,3224316215,0,784.1800418999032,784.1800418999032,,,0.0
12,2022-08-14,27,0,24,0,607443,0,607443,0,481098694,0,481098694,0,792.0063182883003,792.0063182883003,,,0.0
13,2022-08-13,64,0,55,1,2126625,0,2125348,1277,1699668472,0,1698663473,1004999,799.2328087932757,799.2401587881137,,787.0,1277.0
14,2022-08-10,35,0,29,0,698549,0,698549,0,551323762,0,551323762,0,789.2413588738943,789.2413588738943,,,0.0
15,2022-08-09,47,0,29,0,1483026,0,1483026,0,1171661437,0,1171661437,0,790.047805635235,790.047805635235,,,0.0
16,2022-08-06,43,0,48,0,3518817,0,3518817,0,2815769080,0,2815769080,0,800.2033296985891,800.2033296985891,,,0.0
17,2022-08-03,44,0,81,0,3093881,0,3093881,0,2506608930,0,2506608930,0,810.1827219598944,810.1827219598944,,,0.0
18,2022-08-02,6,0,1,0,79646,0,79646,0,62999986,0,62999986,0,791.0,791.0,,,0.0
19,2022-08-01,11,0,9,0,448320,0,448320,0,355069440,0,355069440,0,792.0,792.0,,,0.0
20,2022-07-31,10,0,2,0,280163,0,280163,0,222169259,0,222169259,0,793.0,793.0,,,0.0
21,2022-07-30,19,0,25,0,921571,0,921571,0,733373756,0,733373756,0,795.7864950177469,795.7864950177469,,,0.0
22,2022-07-27,45,0,34,0,2240402,0,2240402,0,1791845142,0,1791845142,0,799.7873337017196,799.7873337017196,,,0.0
23,2022-07-26,45,0,54,0,2814206,0,2814206,0,2270312064,0,2270312064,0,806.7327210587995,806.7327210587995,,,0.0
24,2022-07-25,50,0,67,0,4364361,0,4364361,0,3500427913,0,3500427913,0,802.0482065988583,802.0482065988583,,,0.0
25,2022-07-24,4,0,1,0,48800,0,48800,0,39918400,0,39918400,0,818.0,818.0,,,0.0
26,2022-07-23,22,0,7,0,1476042,0,1476042,0,1211830482,0,1211830482,0,821.0,821.0,,,0.0
27,2022-07-20,10,0,2,0,501929,0,501929,0,412585638,0,412585638,0,822.0,822.0,,,0.0
28,2022-07-19,12,0,4,0,190508,0,190508,0,156597576,0,156597576,0,822.0,822.0,,,0.0
29,2022-07-17,9,0,1,0,117061,0,117061,0,96224142,0,96224142,0,822.0,822.0,,,0.0
30,2022-07-16,15,0,17,0,717187,0,717187,0,590962088,0,590962088,0,824.0,824.0,,,0.0
31,2022-07-13,41,0,16,0,1564819,0,1564819,0,1294105313,0,1294105313,0,827.0,827.0,,,0.0
32,2022-07-12,18,0,2,0,386887,0,386887,0,320342436,0,320342436,0,828.0,828.0,,,0.0
33,2022-07-11,33,0,22,0,1003677,0,1003677,0,834073515,0,834073515,0,831.0178623202485,831.0178623202485,,,0.0
34,2022-07-09,158,0,102,0,18510299,0,18510299,0,15820450748,0,15820450748,0,854.6836951688355,854.6836951688355,,,0.0
35,2022-07-06,54,0,48,0,5456123,0,5456123,0,4763195379,0,4763195379,0,873.0,873.0,,,0.0
36,2022-07-05,5,0,26,0,677476,0,677476,0,590759072,0,590759072,0,872.0,872.0,,,0.0
37,2022-07-04,10,0,20,1,2096345,0,1237678,858667,1819627460,0,1074304504,745322956,868.0,868.0,,868.0,858667.0
38,2022-07-03,6,0,34,0,580732,0,580732,0,503494644,0,503494644,0,867.0,867.0,,,0.0
39,2022-07-02,17,0,67,2,2660118,0,2454118,206000,2290284309,0,2112918309,177366000,860.9709452738563,860.9685064043375,,861.0,206000.0
40,2022-06-29,62,0,52,1,7850118,0,7600118,250000,6625446954,0,6414446954,211000000,843.9932946230872,843.9930740549029,,844.0,250000.0
41,2022-06-28,5,0,73,0,4929132,0,4929132,0,4110393473,0,4110393473,0,833.8980317427084,833.8980317427084,,,0.0
42,2022-06-27,51,1,44,0,2855799,1308667,4164466,0,2273699166,1047905234,3321604400,0,796.1691862767652,797.6063197538411,800.7424608399234,,-1308667.0
43,2022-06-26,37,0,5,0,977967,0,977967,0,779275369,0,779275369,0,796.8319677453329,796.8319677453329,,,0.0
44,2022-06-25,77,0,41,0,3143539,0,3143539,0,2530660352,0,2530660352,0,805.0354558985907,805.0354558985907,,,0.0
45,2022-06-22,49,1,15,0,2611475,160872,2772347,0,2107460325,129823704,2237284029,0,807.0,807.0,807.0,,-160872.0
46,2022-06-21,49,0,22,0,2931865,0,2931865,0,2381852742,0,2381852742,0,812.4019155042951,812.4019155042951,,,0.0
47,2022-06-20,76,0,42,0,3105127,0,3105127,0,2542812038,0,2542812038,0,818.9075802696636,818.9075802696636,,,0.0
48,2022-06-19,77,0,42,0,2415276,0,2415276,0,1992959383,0,1992959383,0,825.147677946537,825.147677946537,,,0.0
49,2022-06-18,71,0,52,0,2841103,0,2841103,0,2395686577,0,2395686577,0,843.2241199984654,843.2241199984654,,,0.0
50,2022-06-15,45,0,45,0,3433880,0,3433880,0,2902778331,0,2902778331,0,845.334819795683,845.334819795683,,,0.0
51,2022-06-14,74,0,51,0,3212615,0,3212615,0,2707121396,0,2707121396,0,842.6535380056433,842.6535380056433,,,0.0
