,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2013-10-09,14,1,0,1,3062096,1637904,0,4700000,9812068862,5269137168,0,15081206030,3204.3635673081444,,3217.0,3208.767240425532,3062096.0
1,2013-10-08,7,1,0,1,725000,575000,0,1300000,2159775000,1712925000,0,3872700000,2979.0,,2979.0,2979.0,725000.0
2,2013-10-07,1,1,0,1,28577,100000,0,128577,83644879,271100000,0,354744879,2927.0,,2711.0,2759.007279684547,28577.0
3,2013-04-17,10,0,27,0,273393,0,273393,0,162724577,0,162724577,0,595.2038896387252,595.2038896387252,,,0.0
4,2013-04-16,8,1,10,0,104910,8785,113695,0,64314693,5525765,69840458,0,613.0463540177295,614.2790624037997,629.0,,-8785.0
5,2013-04-15,6,1,11,0,119100,50000,169100,0,71576356,32084440,103660796,0,600.9769605373635,613.0147604967475,641.6888,,-50000.0
6,2013-04-13,2,0,4,0,22840,0,22840,0,14845830,0,14845830,0,649.9925569176883,649.9925569176883,,,0.0
7,2013-04-10,3,1,16,1,109087,50000,154933,4154,69698647,30740077,97767702,2671022,638.9271590565329,631.0321364718943,614.80154,643.0,-45846.0
8,2013-04-09,6,0,4,0,31700,0,31700,0,18897846,0,18897846,0,596.1465615141956,596.1465615141956,,,0.0
9,2013-04-08,4,0,5,0,16828,0,16828,0,10148218,0,10148218,0,603.0555027335394,603.0555027335394,,,0.0
10,2013-04-07,5,0,5,0,52277,0,52277,0,33794953,0,33794953,0,646.4593033265107,646.4593033265107,,,0.0
11,2013-04-06,8,0,9,2,147941,0,104370,43571,93706779,0,65932765,27774014,633.4064187750522,631.7214237807799,,637.4426568130178,43571.0
12,2013-04-03,5,0,5,0,92006,0,92006,0,55313850,0,55313850,0,601.1982914157772,601.1982914157772,,,0.0
13,2013-03-31,3,0,6,0,25003,0,25003,0,14990208,0,14990208,0,599.5363756349238,599.5363756349238,,,0.0
14,2013-03-30,1,0,1,0,324,0,324,0,210600,0,210600,0,650.0,650.0,,,0.0
15,2013-03-27,1,0,1,0,100,0,100,0,68000,0,68000,0,680.0,680.0,,,0.0
16,2013-03-26,1,0,1,0,500,0,500,0,317000,0,317000,0,634.0,634.0,,,0.0
17,2013-03-25,1,0,3,0,21308,0,21308,0,12534442,0,12534442,0,588.2505162380327,588.2505162380327,,,0.0
18,2013-03-18,1,0,3,0,22001,0,22001,0,12140530,0,12140530,0,551.8171901277215,551.8171901277215,,,0.0
19,2013-03-16,2,0,2,0,5094,0,5094,0,2707152,0,2707152,0,531.4393404004711,531.4393404004711,,,0.0
20,2013-03-13,7,0,7,0,178655,0,178655,0,100885420,0,100885420,0,564.6940751728191,564.6940751728191,,,0.0
21,2013-03-12,7,0,5,0,117968,0,117968,0,69455748,0,69455748,0,588.767699715177,588.767699715177,,,0.0
22,2013-03-11,4,0,12,0,189921,0,189921,0,109482511,0,109482511,0,576.4634295312261,576.4634295312261,,,0.0
23,2013-03-10,2,0,1,0,14718,0,14718,0,8227362,0,8227362,0,559.0,559.0,,,0.0
24,2013-03-09,3,0,2,0,20000,0,20000,0,12140000,0,12140000,0,607.0,607.0,,,0.0
25,2013-03-06,5,0,5,1,47709,0,33078,14631,31439026,0,21358267,10080759,658.9747427110188,645.6940262410061,,689.0,14631.0
26,2013-03-05,1,0,1,0,1,0,1,0,689,0,689,0,689.0,689.0,,,0.0
27,2013-03-03,5,0,5,0,18701,0,18701,0,13988143,0,13988143,0,747.9890380193573,747.9890380193573,,,0.0
28,2013-03-02,3,0,3,0,15011,0,15011,0,10447554,0,10447554,0,695.9932049830124,695.9932049830124,,,0.0
29,2013-02-27,5,0,7,1,54132,0,34132,20000,34929519,0,21629519,13300000,645.2656284637553,633.7020684401734,,665.0,20000.0
30,2013-02-26,4,0,3,0,31322,0,31322,0,19291908,0,19291908,0,615.9219717770258,615.9219717770258,,,0.0
31,2013-02-25,1,0,1,0,5000,0,5000,0,3335000,0,3335000,0,667.0,667.0,,,0.0
32,2013-02-24,3,0,1,1,9679,0,4679,5000,7017275,0,3392275,3625000,725.0,725.0,,725.0,5000.0
33,2013-02-23,7,0,12,0,45564,0,45564,0,35855830,0,35855830,0,786.9333245544728,786.9333245544728,,,0.0
34,2013-02-20,18,0,16,0,225304,0,225304,0,190832488,0,190832488,0,847.0,847.0,,,0.0
35,2013-02-19,5,0,6,1,71600,0,40171,31429,65872000,0,36957320,28914680,920.0,920.0,,920.0,31429.0
36,2013-02-18,8,0,7,0,77460,0,77460,0,77439990,0,77439990,0,999.7416731216111,999.7416731216111,,,0.0
