,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,477,2,342,1,38274308,666531,38682916,257923,67135358795,1163581891,67844757981,454182705,1754.0580693189802,1753.8687616259333,1745.728092166756,1760.9236283697073,-408608.0
1,2022-09-07,629,3,531,2,43353079,182025,43494683,40421,79347104437,329764828,79601275836,75593429,1830.2530354764422,1830.138084602203,1811.6458068946574,1870.15237129215,-141604.0
2,2022-09-06,348,2,600,2,53412318,86595,53353697,145216,95492540725,150724348,95383809820,259455253,1787.8374184209717,1787.763832373228,1740.5664068364224,1786.685027820626,58621.0
3,2022-09-05,467,2,272,1,27639482,126887,27757278,9091,47838398574,221158075,48043461408,16095241,1730.7993895833504,1730.8419582064207,1742.9529817869443,1770.4588054119458,-117796.0
4,2022-09-04,344,4,275,2,18332267,458068,18467109,323226,32004596550,798470051,32235866372,567200229,1745.8068088360267,1745.582720717141,1743.1255861575137,1754.8100369400977,-134842.0
5,2022-09-03,685,5,350,0,40512284,2957488,43469772,0,70619451890,5148223078,75767674968,0,1743.1614541900426,1742.9968339378454,1740.7418315813961,,-2957488.0
6,2022-08-31,382,3,397,1,27149044,933544,27932588,150000,49469786093,1703607637,50897839840,275553890,1822.1557301612536,1822.1669914724694,1824.881994849734,1837.0259333333333,-783544.0
7,2022-08-30,661,3,559,2,71415374,845639,72193358,67655,130545906212,1546473936,131970107837,122272311,1827.9804319445277,1828.0089954674224,1828.7637348797773,1807.2915675116399,-777984.0
8,2022-08-29,334,0,541,2,71014772,0,40345885,30668887,127069926249,0,71957950546,55111975703,1789.344986547306,1783.5263880318898,,1796.9995358162166,30668887.0
9,2022-08-28,1025,2,438,2,73950459,87115,46819210,27218364,126637895181,149987627,80470092975,46317789833,1712.469359804785,1718.740939349468,1721.7198760259428,1701.7110151440402,27131249.0
10,2022-08-27,861,3,573,1,67407209,186229,67556193,37245,120447472791,331845007,120711618883,67698915,1786.863372298948,1786.8327613280399,1781.919072754512,1817.664518727346,-148984.0
11,2022-08-24,843,3,842,2,71115673,2345477,73007290,453860,131698493168,4236230349,135083944753,850778764,1851.89125845719,1850.2802220572767,1806.1274312218793,1874.5400872515754,-1891617.0
12,2022-08-23,1114,1,867,6,100738234,205465,84948147,15995552,186117490758,380409833,156321932005,30175968586,1847.535770361033,1840.2041424752915,1851.458073151145,1886.5224898771858,15790087.0
13,2022-08-22,467,0,480,1,55478043,0,55441922,36121,99777728762,0,99712695211,65033551,1798.5084434575315,1798.5071875935325,,1800.436062124526,36121.0
14,2022-08-21,671,1,542,2,61745582,22548,61528372,239758,106004145415,38170536,105630405534,411910417,1716.7891528660302,1716.7755638650735,1692.8568387440127,1718.0257467946847,217210.0
15,2022-08-20,688,2,827,2,89127700,129194,88069617,1187277,146153496591,215258998,144401119716,1967635873,1639.8212518779235,1639.6247041246927,1666.1686920445222,1657.267742068616,1058083.0
16,2022-08-17,595,3,334,3,38722588,465046,31615029,7572605,61755695700,743573570,50494271916,12004997354,1594.82356137973,1597.1603858405444,1598.9247730332054,1585.3193655287712,7107559.0
17,2022-08-16,577,1,349,1,39571059,108474,39624703,54830,64320996267,178887219,64408143448,91740038,1625.4555195755565,1625.4542891589622,1649.1253111344654,1673.172314426409,-53644.0
18,2022-08-15,627,1,538,1,50302911,316443,50318856,300498,81925547624,519228202,81949104695,495671131,1628.6442672075182,1628.5963396107416,1640.8269482971657,1649.4989351010656,-15945.0
19,2022-08-14,840,1,299,3,76521654,180340,39501632,37200362,124015638817,292027799,64312473910,59995192706,1620.660719343573,1628.0966292734438,1619.3179494288565,1612.7583034272623,37020022.0
20,2022-08-13,509,2,493,1,48194605,173117,48318943,48779,81740239514,295000369,81951145615,84094268,1696.045429026755,1696.0459092617155,1704.0519937383388,1723.9850755448042,-124338.0
21,2022-08-10,794,1,265,3,57373167,91575,45418170,12046572,94424898839,151337498,74797259132,19778977205,1645.8024504556286,1646.8576151791233,1652.6071307671307,1641.8759797392984,11954997.0
22,2022-08-09,556,1,368,2,47415555,253239,47476205,192589,81901822607,438154955,82003423787,336553775,1727.3197077836587,1727.253132111128,1730.2033059678802,1747.5233528394665,-60650.0
23,2022-08-06,387,0,260,2,39756875,0,19682766,20074109,69165352619,0,34236579704,34928772915,1739.7079780289573,1739.4191296081049,,1739.9911953750973,20074109.0
24,2022-07-31,579,3,286,2,38225062,802866,38867876,160052,63379477033,1330005350,64444685071,264797312,1658.060804008637,1658.044938473098,1656.5720182446387,1654.4455052108065,-642814.0
25,2022-07-30,739,1,446,1,44815478,66653,44864369,17762,78033142428,117942509,78119267275,31817662,1741.2096425257364,1741.2318286478073,1769.5003825784286,1791.3332958000226,-48891.0
26,2022-07-27,606,3,384,1,44704275,763230,45162750,304755,76656164025,1308357730,77438646504,525875251,1714.7390048267196,1714.6574666954514,1714.2378182199336,1725.567262227035,-458475.0
27,2022-07-26,696,2,246,1,60538372,510412,61038784,10000,103773014873,872804520,104628519393,17300000,1714.1692358856296,1714.1317787883847,1710.0,1730.0,-500412.0
28,2022-07-25,307,3,75,0,10082276,800102,10882378,0,18140171823,1432561645,19572733468,0,1799.2139694449943,1798.571366295124,1790.4737708442174,,-800102.0
29,2022-07-24,859,3,313,1,55684233,817086,56479088,22231,104915330738,1545719728,106418934726,42115740,1884.1119844103805,1884.2183628390032,1891.7466802760052,1894.4599883046196,-794855.0
30,2022-07-23,709,2,409,1,52183590,296642,52408924,71308,103258056998,589403604,103703357402,144103200,1978.7457512601184,1978.734717049333,1986.9189258432723,2020.8560049363325,-225334.0
31,2022-07-20,377,2,451,2,44044725,40709,42536368,1549066,87700059613,81221820,84683789067,3097492366,1991.1592049445194,1990.8561320280096,1995.1809182244713,1999.5870840880891,1508357.0
32,2022-07-19,1054,3,575,1,96472563,745855,97158266,60152,183832545330,1412064272,185127990928,116618674,1905.542255884712,1905.4270784124533,1893.2155338504133,1938.7331094560448,-685703.0
33,2022-07-17,583,6,219,2,41132314,694847,41716452,110709,81759007606,1375528633,82915046895,219489344,1987.707465376249,1987.58626201001,1979.6136890567277,1982.5790495804315,-584138.0
34,2022-07-16,571,2,240,1,29496208,818469,30142119,172558,61431119769,1706908790,62774951153,363077406,2082.678552070151,2082.632317688083,2085.489847507969,2104.0890946812087,-645911.0
35,2022-07-13,598,3,500,1,40601734,839010,41140983,299761,88396452174,1817858660,89563126520,651184314,2177.1595315116347,2176.9807133679815,2166.6710289507873,2172.34501486184,-539249.0
36,2022-07-12,963,3,581,1,88726378,539030,88865408,400000,193108628511,1173580062,193413008573,869200000,2176.451162144813,2176.471283100394,2177.2073205572974,2173.0,-139030.0
37,2022-07-11,514,4,216,1,37647222,1167620,38509398,305444,86080970509,2671338443,88048268738,704040214,2286.515868528095,2286.4098976047353,2287.8491658244975,2304.9731341915376,-862176.0
38,2022-07-09,829,3,676,0,60312988,1035834,61348822,0,144076079267,2454380448,146530459715,0,2388.8068564435907,2388.480413120239,2369.472761079478,,-1035834.0
39,2022-07-06,476,1,682,2,74630110,400000,74069199,960911,175239333294,939600000,173921753355,2257179939,2348.1049846234987,2348.098206853837,2349.0,2349.0,560911.0
40,2022-07-05,983,5,985,2,98971393,5280693,103002686,1249400,221889259677,11408140581,230379872182,2917528076,2241.953487276874,2236.6394618291797,2160.349139970833,2335.143329598207,-4031293.0
41,2022-07-04,795,5,596,2,71778268,1514975,73086171,207072,163176924138,3446910009,166142685337,481148810,2273.347193860961,2273.243803359188,2275.225669730524,2323.5821839746563,-1307903.0
42,2022-07-03,646,5,816,1,57526317,838926,54222390,4142853,134847388303,2009775418,127328425237,9528738484,2344.0991069009337,2348.262871426361,2395.6527965517816,2300.0426237667616,3303927.0
43,2022-07-02,785,4,823,1,63240460,1579239,64268144,551555,152697378810,3815271632,155181451329,1331199113,2414.551994245456,2414.5936333403374,2415.892484924701,2413.538292645339,-1027684.0
44,2022-06-29,946,3,1155,3,90345247,2068525,91187703,1226069,216376905537,4996530220,218428300114,2945135643,2395.000431367463,2395.370131365191,2415.5039073736116,2402.096165060857,-842456.0
45,2022-06-28,977,5,918,3,78748038,5353970,83016920,1085088,187364773714,12774007966,197535655568,2603126112,2379.2945001880553,2379.4625910958875,2385.8945728123244,2399.0,-4268882.0
46,2022-06-27,318,1,580,0,43879480,27735,43907215,0,100272776592,63762765,100336539357,0,2285.1860731257525,2285.194799009684,2299.0,,-27735.0
47,2022-06-26,673,1,1113,2,94789917,203223,93703445,1289695,207609568802,420757762,205223949861,2806376703,2190.2073065640516,2190.143061026198,2070.423928393932,2176.0002969694383,1086472.0
48,2022-06-25,581,3,652,2,55920846,2926966,57155796,1692016,118844451425,6205320593,121451521671,3598250347,2125.2262783184647,2124.9204834974216,2120.0521608382196,2126.6053908473677,-1234950.0
49,2022-06-22,472,4,747,2,66066821,5971934,71190903,847852,136239985731,12270293422,146787828583,1722450570,2062.154401692795,2061.8902471710467,2054.6599178758506,2031.5462722267566,-5124082.0
50,2022-06-21,552,3,554,2,47055100,1602178,48304973,352305,92927164056,3177920904,95416212403,688872557,1974.8584968685648,1975.2875631045276,1983.5005249104656,1955.3300606008997,-1249873.0
51,2022-06-20,506,1,505,3,38797100,602450,38698624,700926,77857101387,1225323439,77658806964,1423617862,2006.7763154204824,2006.758869876097,2033.9006373972943,2031.0530098755075,98476.0
52,2022-06-19,671,1,693,1,59043152,480824,58692310,831666,120183313681,978350535,119458025700,1703638516,2035.5165605149264,2035.3267012322399,2034.7373155250154,2048.464787546924,350842.0
53,2022-06-18,1158,2,1108,4,125299713,3738062,123489539,5548236,259803202351,7778721132,256108343830,11473579653,2073.4540896434455,2073.927442793353,2080.950271022792,2067.9689279619683,1810174.0
54,2022-06-15,570,5,807,1,100718941,3611404,103811943,518402,201565080377,7272361303,207820484253,1016957427,2001.2629042336735,2001.8937922489322,2013.72134023222,1961.7158633647248,-3093002.0
55,2022-06-14,819,2,691,1,81874179,815940,82314932,375187,157182976382,1574393263,158023657823,733711822,1919.8113288195536,1919.744741124247,1929.5453869157045,1955.5896712839196,-440753.0
56,2022-06-13,1454,3,1283,3,158623514,1685750,159070198,1239066,315816402255,3338728179,316680518940,2474611494,1990.9809982837728,1990.8224351364672,1980.5595011122646,1997.1587421493286,-446684.0
57,2022-06-12,59,0,198,0,12864751,0,12864751,0,24623133414,0,24623133414,0,1914.0,1914.0,,,0.0
58,2022-06-11,37,0,184,0,11380581,0,11380581,0,20746799163,0,20746799163,0,1823.0,1823.0,,,0.0
59,2022-06-08,17,0,119,0,4782693,0,4782693,0,8489280075,0,8489280075,0,1775.0,1775.0,,,0.0
60,2022-06-07,216,1,493,2,41969847,210413,41291687,888573,71001747070,337101477,69851976184,1486872363,1691.7323303561245,1691.6716477096224,1602.0943430301359,1673.3260666259273,678160.0
61,2022-06-06,474,1,382,3,48040692,893591,48440789,493494,79219120690,1466704732,79872105150,813720272,1649.0004076127796,1648.8605325978485,1641.360233037262,1648.895978471876,-400097.0
62,2022-05-30,955,3,583,1,108296456,1601244,109608859,288841,187045749222,2802373179,189338355600,509766801,1727.164083947493,1727.4001146202972,1750.1225166183292,1764.8699492108115,-1312403.0
63,2022-05-29,287,1,112,0,18226799,40000,18266799,0,32851380495,72480000,32923860495,0,1802.36697047024,1802.3880645426711,1812.0,,-40000.0
64,2022-05-28,826,1,324,1,54146792,445283,54034936,557139,102602806241,870416002,102392938311,1080283932,1894.9009248968987,1894.9395685598665,1954.7478839299952,1938.984583739426,111856.0
65,2022-05-25,1320,2,1137,1,114224677,717075,114848038,93714,225496482111,1422367493,226729259304,189590300,1974.148564333432,1974.1674586029933,1983.5686546037723,2023.0733935164437,-623361.0
66,2022-05-24,1421,5,814,2,106480564,23669365,129341829,808100,207376867472,45997118102,251775158174,1598827400,1947.556057948754,1946.587272814891,1943.3186357977918,1978.5019180794457,-22861265.0
67,2022-05-23,664,1,322,1,43375526,574252,43347010,602768,88601767366,1175170866,88537237257,1239700975,2042.6672720003442,2042.522362142164,2046.4375674790858,2056.6801406179493,28516.0
68,2022-05-22,1278,1,906,4,87795645,1175613,82975488,5995770,186237091021,2482740753,175957385537,12762446237,2121.256595597652,2120.594765733707,2111.869087020984,2128.575018221179,4820157.0
69,2022-05-21,1854,4,840,1,198474901,10843890,208712337,606454,410199701693,22349257290,431299057289,1249901694,2066.758565572984,2066.4761052864833,2061.0,2061.0,-10237436.0
70,2022-05-18,549,0,206,0,22588702,0,22588702,0,49004258454,0,49004258454,0,2169.414535372595,2169.414535372595,,,0.0
71,2022-05-17,1179,1,514,2,67928363,400000,62128363,6200000,154600505228,901200000,141456231978,14045473250,2275.934505119754,2276.838228910039,2253.0,2265.3989112903228,5800000.0
72,2022-05-16,1398,2,1216,4,84074958,8644839,87643217,5076580,199281180672,20517526534,207756266604,12042440602,2370.279871825806,2370.4774164554,2373.384459097503,2372.1561764022235,-3568259.0
73,2022-05-15,1230,2,815,3,125080472,1258818,125654867,684423,308617369406,3136508005,310030608624,1723268787,2467.350534190501,2467.3187440005804,2491.6294531854487,2517.8417250735292,-574395.0
74,2022-05-14,37,0,56,0,0,0,0,0,0,0,0,0,,,,,0.0
75,2022-05-09,2081,2,2368,1,308305955,2073737,270379692,40000000,730873717213,4940689540,639534406753,96280000000,2370.6117425237535,2365.3196807140384,2382.5053707389125,2407.0,37926263.0
