,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2013-09-21,44,0,0,1,3591757,0,0,3591757,3603393206,0,0,3603393206,1003.2396974516929,,,1003.2396974516929,3591757.0
1,2013-09-18,25,0,0,1,1350302,0,0,1350302,1358453812,0,0,1358453812,1006.0370287535677,,,1006.0370287535677,1350302.0
2,2013-09-17,1,0,0,1,5000,0,0,5000,5465000,0,0,5465000,1093.0,,,1093.0,5000.0
3,2013-09-14,2,0,0,1,320000,0,0,320000,380160000,0,0,380160000,1188.0,,,1188.0,320000.0
4,2013-09-11,1,0,0,1,5500,0,0,5500,6534000,0,0,6534000,1188.0,,,1188.0,5500.0
5,2013-09-08,1,0,0,1,15000,0,0,15000,16500000,0,0,16500000,1100.0,,,1100.0,15000.0
6,2013-05-20,10,0,10,0,167281,0,167281,0,155216767,0,155216767,0,927.8804347176308,927.8804347176308,,,0.0
7,2013-05-19,4,0,9,0,125139,0,125139,0,111733367,0,111733367,0,892.8740600452297,892.8740600452297,,,0.0
8,2013-05-18,12,0,10,0,251268,0,251268,0,239722681,0,239722681,0,954.0517734052884,954.0517734052884,,,0.0
9,2013-05-15,15,0,12,0,244658,0,244658,0,248501636,0,248501636,0,1015.7102404172355,1015.7102404172355,,,0.0
10,2013-05-14,13,0,13,0,252844,0,252844,0,259273752,0,259273752,0,1025.4297195108447,1025.4297195108447,,,0.0
11,2013-05-13,20,0,19,0,262775,0,262775,0,292130524,0,292130524,0,1111.713534392541,1111.713534392541,,,0.0
12,2013-05-12,2,0,9,0,144267,0,144267,0,167493987,0,167493987,0,1161.0,1161.0,,,0.0
13,2013-05-11,33,0,30,0,880331,0,880331,0,946457326,0,946457326,0,1075.1152986774293,1075.1152986774293,,,0.0
14,2013-05-08,15,0,16,0,296516,0,296516,0,328365345,0,328365345,0,1107.4118934560024,1107.4118934560024,,,0.0
15,2013-05-07,12,0,9,0,394560,0,394560,0,473972210,0,473972210,0,1201.2677666261152,1201.2677666261152,,,0.0
16,2013-05-06,8,0,5,0,56871,0,56871,0,74085429,0,74085429,0,1302.692567389355,1302.692567389355,,,0.0
17,2013-05-05,52,0,44,0,1605952,0,1605952,0,2265751586,0,2265751586,0,1410.8463926692702,1410.8463926692702,,,0.0
18,2013-05-04,19,0,36,0,906695,0,906695,0,1203830752,0,1203830752,0,1327.713014850639,1327.713014850639,,,0.0
19,2013-05-01,52,0,42,0,1339975,0,1339975,0,1649126330,0,1649126330,0,1230.7142521315695,1230.7142521315695,,,0.0
20,2013-04-30,7,0,9,0,280590,0,280590,0,324081450,0,324081450,0,1155.0,1155.0,,,0.0
21,2013-04-29,1,0,2,0,6,0,6,0,6420,0,6420,0,1070.0,1070.0,,,0.0
22,2013-04-28,29,0,23,0,698539,0,698539,0,692122411,0,692122411,0,990.8142723598826,990.8142723598826,,,0.0
23,2013-04-27,40,0,23,0,851993,0,851993,0,781922053,0,781922053,0,917.7564287500014,917.7564287500014,,,0.0
24,2013-04-24,11,0,26,0,255183,0,255183,0,217061090,0,217061090,0,850.609523361666,850.609523361666,,,0.0
25,2013-04-23,13,0,20,1,391834,0,381834,10000,308672282,0,300722282,7950000,787.7628842826299,787.5733486279378,,795.0,10000.0
26,2013-04-22,16,0,19,0,317783,0,317783,0,234094463,0,234094463,0,736.6487917855895,736.6487917855895,,,0.0
