,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,15,0,64,1,540189,0,539589,600,5088580380,0,5082928380,5652000,9420.0,9420.0,,9420.0,600.0
1,2022-09-07,7,0,41,0,285499,0,285499,0,2663705670,0,2663705670,0,9330.0,9330.0,,,0.0
2,2022-09-06,5,1,48,0,510678,30000,540678,0,4677810480,274800000,4952610480,0,9160.0,9160.0,9160.0,,-30000.0
3,2022-09-05,2,0,47,0,253874,0,253874,0,2307714660,0,2307714660,0,9090.0,9090.0,,,0.0
4,2022-09-04,9,0,35,0,734694,0,734694,0,6553470480,0,6553470480,0,8920.0,8920.0,,,0.0
5,2022-09-03,4,1,17,0,495000,97738,592738,0,4331250000,855207500,5186457500,0,8750.0,8750.0,8750.0,,-97738.0
6,2022-08-31,3,1,20,0,197705,40000,237705,0,1716079400,347200000,2063279400,0,8680.0,8680.0,8680.0,,-40000.0
7,2022-08-30,12,0,18,0,127374,0,127374,0,1100511360,0,1100511360,0,8640.0,8640.0,,,0.0
8,2022-08-29,28,1,25,0,209659,90000,299659,0,1796733110,765000000,2561733110,0,8569.78765519248,8548.827533963606,8500.0,,-90000.0
9,2022-08-28,47,1,43,0,650589,46481,697070,0,5468672070,391370020,5860042090,0,8405.724766327128,8406.676646534781,8420.0,,-46481.0
10,2022-08-27,25,1,31,0,271090,123715,394805,0,2254395540,1029182350,3283577890,0,8316.040945811354,8316.961259355885,8318.977892737339,,-123715.0
11,2022-08-24,36,1,52,0,528138,132499,660637,0,4308719390,1080930800,5389650190,0,8158.321101681758,8158.262691917043,8158.029871923562,,-132499.0
12,2022-08-23,20,0,26,1,304442,0,290977,13465,2459217360,0,2350420160,108797200,8077.786113611131,8077.683665719283,,8080.0,13465.0
13,2022-08-22,55,0,51,0,1310909,0,1310909,0,10400127720,0,10400127720,0,7933.5237762499155,7933.5237762499155,,,0.0
14,2022-08-21,74,2,71,0,1026878,87301,1114179,0,8023829010,703366060,8727195070,0,7813.809439875039,7832.848285598634,8056.792705696384,,-87301.0
15,2022-08-20,26,0,34,0,478493,0,478493,0,3813589210,0,3813589210,0,7970.0,7970.0,,,0.0
16,2022-08-17,42,0,30,0,735186,0,735186,0,5748983610,0,5748983610,0,7819.767528217349,7819.767528217349,,,0.0
17,2022-08-16,72,0,46,0,703975,0,703975,0,5398979080,0,5398979080,0,7669.2767214744845,7669.2767214744845,,,0.0
18,2022-08-15,46,1,49,0,475914,1000,476914,0,3576232440,7390000,3583622440,0,7514.451014258879,7514.19006361734,7390.0,,-1000.0
19,2022-08-14,26,0,29,0,457832,0,457832,0,3423683000,0,3423683000,0,7478.033427108634,7478.033427108634,,,0.0
20,2022-08-13,50,1,45,1,1090254,1000,987263,103991,8304862790,7570000,7525220920,787211870,7617.365118587045,7622.30623450894,7570.0,7570.0,102991.0
21,2022-08-10,24,2,35,0,385737,17347,403084,0,2989015890,133998660,3123014550,0,7748.844134734288,7747.800830596104,7724.601371995158,,-17347.0
22,2022-08-09,35,0,52,0,521165,0,521165,0,4019099090,0,4019099090,0,7711.759404411271,7711.759404411271,,,0.0
23,2022-08-06,37,1,51,0,593230,1550,594780,0,4502394170,11563000,4513957170,0,7589.626569795863,7589.288762231413,7460.0,,-1550.0
24,2022-08-03,52,1,41,0,960347,12939,973286,0,7163254540,96647990,7259902530,0,7459.02735157188,7459.166709476967,7469.51000850143,,-12939.0
25,2022-08-02,72,2,89,0,1997641,101700,2099341,0,14658883800,756393000,15415276800,0,7338.097185630451,7342.912275804645,7437.492625368732,,-101700.0
26,2022-08-01,37,0,29,0,327899,0,327899,0,2371812620,0,2371812620,0,7233.363383236911,7233.363383236911,,,0.0
27,2022-07-31,5,0,1,0,43701,0,43701,0,316395240,0,316395240,0,7240.0,7240.0,,,0.0
28,2022-07-30,11,0,3,0,126043,0,126043,0,916560210,0,916560210,0,7271.805732964147,7271.805732964147,,,0.0
29,2022-07-27,55,0,30,0,1107709,0,1107709,0,8205431060,0,8205431060,0,7407.569190103177,7407.569190103177,,,0.0
30,2022-07-26,27,1,21,0,370038,860,370898,0,2768357210,6432800,2774790010,0,7481.278166026192,7481.2752023467365,7480.0,,-860.0
31,2022-07-25,56,0,56,0,1330988,0,1330988,0,10157835320,0,10157835320,0,7631.800827655847,7631.800827655847,,,0.0
32,2022-07-24,10,0,42,0,478228,0,478228,0,3677573320,0,3677573320,0,7690.0,7690.0,,,0.0
33,2022-07-23,3,0,40,1,155746,0,143746,12000,1191456900,0,1099656900,91800000,7650.0,7650.0,,7650.0,12000.0
34,2022-07-20,12,0,33,0,206853,0,206853,0,1571982800,0,1571982800,0,7599.516564903579,7599.516564903579,,,0.0
35,2022-07-19,52,0,45,1,1010585,0,1009585,1000,7534513890,0,7527053890,7460000,7455.596402083941,7455.5920402937845,,7460.0,1000.0
36,2022-07-17,40,0,38,0,247164,0,247164,0,1801941680,0,1801941680,0,7290.469809519185,7290.469809519185,,,0.0
37,2022-07-16,69,0,94,1,878744,0,878060,684,6449158670,0,6444076550,5082120,7339.064243966388,7338.993405917591,,7430.0,684.0
38,2022-07-13,62,1,47,0,1635080,1000,1636080,0,12083121110,7390000,12090511110,0,7389.926554052401,7389.926598943817,7390.0,,-1000.0
39,2022-07-12,66,1,88,0,1209785,7070,1216855,0,8774060590,51263200,8825323790,0,7252.5784250920615,7252.568128495178,7250.806223479491,,-7070.0
40,2022-07-11,41,1,46,0,865456,2070,867526,0,6163994260,14738400,6178732660,0,7122.250305041504,7122.244935598472,7120.0,,-2070.0
41,2022-07-09,14,0,11,0,96146,0,96146,0,686482440,0,686482440,0,7140.0,7140.0,,,0.0
42,2022-07-06,13,0,7,0,89850,0,89850,0,643326000,0,643326000,0,7160.0,7160.0,,,0.0
43,2022-07-05,37,1,19,0,271458,1200,272658,0,1957262180,8652000,1965914180,0,7210.184190556181,7210.183379911831,7210.0,,-1200.0
44,2022-07-04,102,1,86,1,1618031,2800,1615831,5000,11893354680,20276000,11876330680,37300000,7350.51100998683,7349.983185122702,7241.428571428572,7460.0,2200.0
45,2022-07-03,56,1,51,0,666117,3000,669117,0,4879620460,21990000,4901610460,0,7325.47054046061,7325.490848386755,7330.0,,-3000.0
46,2022-07-02,28,0,54,0,691176,0,691176,0,4969042990,0,4969042990,0,7189.258582473928,7189.258582473928,,,0.0
47,2022-06-29,35,0,41,0,516566,0,516566,0,3667529140,0,3667529140,0,7099.82681787032,7099.82681787032,,,0.0
