,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2020-05-23,34,2,0,1,305971,4620000,0,4925971,5103814081,75952800000,0,81056614081,16680.711835435384,,16440.0,16454.95153767653,305971.0
1,2020-05-20,3,0,0,1,2141,0,0,2141,39108500,0,0,39108500,18266.464269033164,,,18266.464269033164,2141.0
2,2020-05-19,28,1,0,1,40950,1700000,0,1740950,782847870,31450000000,0,32232847870,19117.164102564104,,18500.0,18514.516712139924,40950.0
3,2020-05-18,130,1,0,1,151508,2501000,0,2652508,3046670922,47520900000,0,50567570922,20108.977228925207,,19000.759696121553,19064.059720837788,151508.0
4,2020-05-17,64,1,0,1,83456,100,0,83556,1585664000,1900000,0,1587564000,19000.0,,19000.0,19000.0,83456.0
5,2020-03-18,132,0,236,1,1319374,0,1318778,596,11353395990,0,11348417006,4978984,8605.13848992022,8605.251987825093,,8354.0,596.0
6,2020-03-17,84,0,116,0,849569,0,849569,0,7001946505,0,7001946505,0,8241.763182272423,8241.763182272423,,,0.0
7,2020-03-16,138,0,127,0,959329,0,959329,0,8014633928,0,8014633928,0,8354.416397294359,8354.416397294359,,,0.0
8,2020-03-15,92,0,79,0,477878,0,477878,0,3741576803,0,3741576803,0,7829.564874298461,7829.564874298461,,,0.0
9,2020-03-14,112,0,83,9,718108,0,595220,122888,6004238696,0,4986626312,1017612384,8361.191765026988,8377.786888881423,,8280.811665907167,122888.0
10,2020-03-11,79,0,136,0,332447,0,332447,0,3020858833,0,3020858833,0,9086.738135702833,9086.738135702833,,,0.0
11,2020-03-10,66,0,120,0,400272,0,400272,0,3481335368,0,3481335368,0,8697.424171563336,8697.424171563336,,,0.0
12,2020-03-09,138,0,97,1,646180,0,645180,1000,5529987656,0,5521491656,8496000,8557.967835587608,8558.063882947394,,8496.0,1000.0
13,2020-03-07,88,0,113,0,712599,0,712599,0,6725289733,0,6725289733,0,9437.691791596677,9437.691791596677,,,0.0
14,2020-03-04,108,0,218,1,625995,0,625359,636,6352397552,0,6345910352,6487200,10147.68097508766,10147.627765811318,,10200.0,636.0
15,2020-03-03,102,0,194,1,742432,0,730459,11973,7255759221,0,7140627806,115131415,9772.961323057196,9775.535390761152,,9615.92040424288,11973.0
16,2020-03-02,130,0,138,0,1126032,0,1126032,0,10687218860,0,10687218860,0,9491.043647072196,9491.043647072196,,,0.0
17,2020-03-01,108,0,138,0,685260,0,685260,0,6618364645,0,6618364645,0,9658.180318419287,9658.180318419287,,,0.0
18,2020-02-29,196,0,142,0,903918,0,903918,0,8404364804,0,8404364804,0,9297.7070973252,9297.7070973252,,,0.0
19,2020-02-26,125,0,179,0,2075131,0,2075131,0,21106574907,0,21106574907,0,10171.201195008893,10171.201195008893,,,0.0
20,2020-02-25,234,1,237,1,1844155,100000,1943155,1000,18733839229,1038900000,19762549229,10190000,10158.494936163175,10170.341135421519,10389.0,10190.0,-99000.0
21,2020-02-24,328,0,242,1,3782746,0,2682746,1100000,38406396675,0,27213231675,11193165000,10153.046669007119,10143.797316257298,,10175.604545454546,1100000.0
22,2020-02-23,302,0,189,3,2578154,0,1869651,708503,26648262586,0,19394497287,7253765299,10336.17952457456,10373.324907696677,,10238.157494040252,708503.0
