,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2009-06-24,1,0,1,0,1000,0,1000,0,709000,0,709000,0,709.0,709.0,,,0.0
1,2009-06-17,1,0,1,0,467,0,467,0,340910,0,340910,0,730.0,730.0,,,0.0
2,2009-06-15,2,0,1,0,23618,0,23618,0,16910488,0,16910488,0,716.0,716.0,,,0.0
3,2009-06-10,1,0,1,0,500,0,500,0,380000,0,380000,0,760.0,760.0,,,0.0
4,2009-06-09,1,0,1,0,1126,0,1126,0,854634,0,854634,0,759.0,759.0,,,0.0
5,2009-06-08,1,0,1,0,1000,0,1000,0,760000,0,760000,0,760.0,760.0,,,0.0
6,2009-06-06,4,0,2,0,4030,0,4030,0,2999797,0,2999797,0,744.3665012406948,744.3665012406948,,,0.0
7,2009-06-01,3,0,5,0,11178,0,11178,0,8433793,0,8433793,0,754.4992843084631,754.4992843084631,,,0.0
8,2009-05-31,4,0,4,0,31000,0,31000,0,23095000,0,23095000,0,745.0,745.0,,,0.0
9,2009-05-30,1,0,1,0,1475,0,1475,0,1098875,0,1098875,0,745.0,745.0,,,0.0
10,2009-05-27,3,0,3,0,11277,0,11277,0,8356257,0,8356257,0,741.0,741.0,,,0.0
11,2009-05-26,4,0,1,0,10000,0,10000,0,7380000,0,7380000,0,738.0,738.0,,,0.0
12,2009-05-25,1,0,1,0,9982,0,9982,0,7336770,0,7336770,0,735.0,735.0,,,0.0
13,2009-05-24,1,0,2,0,12923,0,12923,0,9446713,0,9446713,0,731.0,731.0,,,0.0
14,2009-05-13,2,0,1,0,1924,0,1924,0,1402596,0,1402596,0,729.0,729.0,,,0.0
15,2009-05-11,1,0,1,0,80,0,80,0,58400,0,58400,0,730.0,730.0,,,0.0
16,2009-05-04,1,0,1,0,1761,0,1761,0,1283769,0,1283769,0,729.0,729.0,,,0.0
17,2009-05-03,2,0,2,0,1731,0,1731,0,1260168,0,1260168,0,728.0,728.0,,,0.0
18,2009-05-02,1,0,1,0,600,0,600,0,424200,0,424200,0,707.0,707.0,,,0.0
19,2009-01-12,1,0,1,0,5572,0,5572,0,5092808,0,5092808,0,914.0,914.0,,,0.0
20,2008-12-16,1,0,1,0,1070,0,1070,0,979050,0,979050,0,915.0,915.0,,,0.0
21,2008-12-15,0,1,2,0,0,2500,2500,0,0,2287500,2287500,0,,915.0,915.0,,-2500.0
22,2008-12-03,1,1,1,0,50,50,100,0,47150,47150,94300,0,943.0,943.0,943.0,,-50.0
