,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,318,2,131,1,68805,2832,65644,5993,32721669080,1332816500,31147330850,2907154730,475571.0933798416,474488.61815245874,470627.29519774014,485091.72868346405,3161.0
1,2022-09-07,253,3,224,2,133195,7593,100115,40673,64521550840,3684266320,48413391740,19792425420,484414.2110439581,483577.8029266344,485218.7962597129,486623.20015735255,33080.0
2,2022-09-06,427,6,337,1,228197,74006,297561,4642,110833771960,35606094710,144144492510,2295374160,485693.37879113224,484419.97610573965,481124.43193795095,494479.56915122794,-69364.0
3,2022-09-05,396,4,344,0,158420,15510,173930,0,79692800170,7779793030,87472593200,0,503047.59607372805,502918.37635830505,501598.5190199871,,-15510.0
4,2022-09-04,778,2,451,8,480666,66374,302972,244068,241895129190,33260897330,152273273750,122882752770,503249.92653942655,502598.5033270401,501113.34754572576,503477.5258124785,177694.0
5,2022-09-03,634,3,228,6,559267,2101,199858,361510,269487363450,1012450890,96292874340,174206940000,481858.15263550327,481806.4542825406,481890.0,481886.9187574341,359409.0
6,2022-08-31,192,6,75,2,37829,17903,39799,15933,17317141470,8261032400,18233064630,7345109240,457774.2332601972,458128.71253046556,461432.85482879967,460999.7640117994,-1970.0
7,2022-08-30,159,3,98,0,35330,12498,47828,0,16329557160,5769416470,22098973630,0,462200.8819699972,462050.9665886092,461627.17794847174,,-12498.0
8,2022-08-29,155,6,105,1,43747,12581,52803,3525,20341113890,5851887300,24546649940,1646351250,464971.6298260452,464872.2599094748,465136.8969080359,467050.0,-9056.0
9,2022-08-28,191,6,132,0,34765,9480,44245,0,16248688230,4426914000,20675602230,0,467386.40097799513,467298.05017516104,466974.0506329114,,-9480.0
10,2022-08-27,258,6,167,0,58361,13856,72217,0,28045312760,6625919090,34671231850,0,480548.87270608795,480097.925003808,478198.5486431871,,-13856.0
11,2022-08-24,197,5,182,2,55519,9400,48536,16383,27276583850,4589792000,23827823440,8038552410,491301.7858751058,490930.9263227295,488275.74468085106,490664.2501373375,6983.0
12,2022-08-23,235,3,133,4,92834,9344,48917,53261,45506537720,4587528800,24002347060,26091719460,490192.57728849346,490674.9608520555,490959.84589041094,489884.14524699125,43917.0
13,2022-08-22,218,3,241,4,67365,10046,65278,12133,32933717140,4925405820,31844234060,6014888900,488884.6899725377,487824.9036428812,490285.2697591081,495746.22105002886,2087.0
14,2022-08-21,362,4,315,6,142019,35137,155304,21852,70589023030,17317478980,76988770000,10917732010,497039.2907287053,495729.4725184155,492855.93476961605,499621.6369211056,-13285.0
15,2022-08-20,527,7,277,5,277579,38950,119015,197514,136917634500,19241251720,58419592480,97739293740,493256.45852171816,490859.0722177877,493998.76046213094,494847.4221574167,158564.0
16,2022-08-17,378,6,229,7,143811,17472,64259,97024,67756110260,8262084430,30165798430,45852396260,471146.9238097225,469440.8321013399,472875.71142399264,472588.18704650394,79552.0
17,2022-08-16,124,7,100,2,30796,13146,27396,16546,13898601510,5927554760,12361207910,7464948360,451311.9077152877,451204.84413783037,450901.7769663776,451163.3240662396,3400.0
