,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2021-10-18,42,2,0,1,2614222,10463157,0,13077379,10918351944,42417638478,0,53335990422,4176.520564818137,,4054.0,4078.4923662455603,2614222.0
1,2021-10-17,258,1,0,1,20400000,12000000,0,32400000,82437249043,48000000000,0,130437249043,4041.041619754902,,4000.0,4025.841019845679,20400000.0
2,2021-10-16,61,6,0,1,10748807,21651193,0,32400000,42726507825,86063492175,0,128790000000,3975.0,,3975.0,3975.0,10748807.0
3,2021-10-13,117,2,0,1,21800000,10600000,0,32400000,81750000000,39750000000,0,121500000000,3750.0,,3750.0,3750.0,21800000.0
4,2021-04-19,175,1,195,1,4010797,1640000,4615954,1034843,21953277817,8966160000,25261701257,5657736560,5473.544987941299,5472.693457733764,5467.170731707317,5467.241465613624,-605157.0
5,2021-04-18,43,0,5,0,308420,0,308420,0,1720366760,0,1720366760,0,5578.0,5578.0,,,0.0
6,2021-04-17,53,0,13,0,627268,0,627268,0,3569647319,0,3569647319,0,5690.784989828909,5690.784989828909,,,0.0
7,2021-04-14,125,0,81,0,2888345,0,2888345,0,16769896374,0,16769896374,0,5806.057231390295,5806.057231390295,,,0.0
8,2021-04-13,172,0,169,1,3561054,0,3539388,21666,21031277700,0,20903664960,127612740,5905.913726666318,5906.011140909106,,5890.0,21666.0
9,2021-04-12,210,0,226,0,6058178,0,6058178,0,35286325868,0,35286325868,0,5824.577268611124,5824.577268611124,,,0.0
10,2021-04-11,50,0,5,0,318125,0,318125,0,1872483750,0,1872483750,0,5886.0,5886.0,,,0.0
11,2021-04-10,33,0,1,0,191462,0,191462,0,1149920772,0,1149920772,0,6006.0,6006.0,,,0.0
12,2021-04-07,22,0,5,0,245888,0,245888,0,1506801664,0,1506801664,0,6128.0,6128.0,,,0.0
13,2021-04-06,31,0,4,0,181243,0,181243,0,1133312479,0,1133312479,0,6253.0,6253.0,,,0.0
14,2021-04-05,23,0,3,0,308581,0,308581,0,1968746780,0,1968746780,0,6380.0,6380.0,,,0.0
15,2021-04-04,72,0,25,0,1849782,0,1849782,0,12041645519,0,12041645519,0,6509.764674431906,6509.764674431906,,,0.0
16,2021-04-03,349,0,393,0,11873011,0,11873011,0,78718574519,0,78718574519,0,6630.043088396027,6630.043088396027,,,0.0
17,2021-03-31,8,0,70,0,500019,0,500019,0,3278624583,0,3278624583,0,6557.0,6557.0,,,0.0
18,2021-03-30,2,0,63,0,206803,0,206803,0,1329536487,0,1329536487,0,6429.0,6429.0,,,0.0
19,2021-03-28,7,0,64,0,557693,0,557693,0,3515138979,0,3515138979,0,6303.0,6303.0,,,0.0
20,2021-03-27,5,0,77,0,516157,0,516157,0,3189850260,0,3189850260,0,6180.0,6180.0,,,0.0
21,2021-03-17,82,0,243,0,2855007,0,2855007,0,17298487413,0,17298487413,0,6059.0,6059.0,,,0.0
22,2021-03-16,320,1,638,1,15650503,17235,12567738,3100000,92970921341,103668525,74633657337,18440932529,5940.4430222466335,5938.511555301359,6015.0,5948.687912580645,3082765.0
23,2021-03-15,183,0,77,0,4268527,0,4268527,0,25175772246,0,25175772246,0,5898.0,5898.0,,,0.0
24,2021-03-14,73,0,17,0,1487881,0,1487881,0,8954067858,0,8954067858,0,6018.0,6018.0,,,0.0
25,2021-03-13,76,0,7,0,694556,0,694556,0,4264573840,0,4264573840,0,6140.0,6140.0,,,0.0
26,2021-03-10,45,0,3,0,233989,0,233989,0,1465941085,0,1465941085,0,6265.0,6265.0,,,0.0
27,2021-03-09,216,0,217,1,5362559,0,5049559,313000,34279282736,0,32278425952,2000856784,6392.336706411995,6392.325736168247,,6392.513686900958,313000.0
28,2021-03-08,505,0,1012,2,19780042,0,16650355,3129687,128934005161,0,108555559258,20378445903,6518.388846747646,6519.714399963244,,6511.336725685348,3129687.0
29,2021-03-07,33,0,4,0,112045,0,112045,0,744202890,0,744202890,0,6642.0,6642.0,,,0.0
30,2021-03-06,23,0,2,1,252335,0,52335,200000,1710074295,0,354674295,1355400000,6777.0,6777.0,,6777.0,200000.0
31,2021-03-03,18,0,2,0,44946,0,44946,0,310801590,0,310801590,0,6915.0,6915.0,,,0.0
32,2021-03-02,22,0,2,0,0,0,0,0,0,0,0,0,,,,,0.0
33,2021-03-01,15,0,3,1,208635,0,161656,46979,1472128560,0,1140644736,331483824,7056.0,7056.0,,7056.0,46979.0
34,2021-02-21,33,0,3,0,256738,0,256738,0,1848513600,0,1848513600,0,7200.0,7200.0,,,0.0
35,2021-02-20,52,0,32,0,635033,0,635033,0,4664919731,0,4664919731,0,7345.948527084419,7345.948527084419,,,0.0
36,2021-02-17,273,0,261,1,8411236,0,7971236,440000,62965025670,0,59674185177,3290840493,7485.82320957348,7486.189742343597,,7479.182938636363,440000.0
37,2021-02-16,320,1,567,2,11309436,100,10112143,1197393,85462578483,767100,76491692068,8971653515,7556.749822272304,7564.3404239833235,7671.0,7492.655723726462,1197293.0
38,2021-02-15,567,1,1176,1,34174792,700,34159005,16487,257295856786,5215000,257179859362,121212424,7528.819978948226,7528.903706709256,7450.0,7352.0,15787.0
39,2021-02-14,14,0,28,0,201788,0,201788,0,1513611788,0,1513611788,0,7501.0,7501.0,,,0.0
