,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2012-12-23,3,1,0,1,300000,675058,0,975058,1440000000,3240278400,0,4680278400,4800.0,,4800.0,4800.0,300000.0
1,2012-12-22,3,0,0,1,450000,0,0,450000,2160000000,0,0,2160000000,4800.0,,,4800.0,450000.0
2,2012-12-19,3,1,0,1,300000,200000,0,500000,1440000000,960000000,0,2400000000,4800.0,,4800.0,4800.0,300000.0
3,2012-10-31,54,0,46,2,391488,0,354488,37000,1948560022,0,1768719968,179840054,4977.317368603891,4989.5059014691615,,4860.542,37000.0
4,2012-10-30,25,1,46,1,322270,10000,331270,1000,1690219737,52540000,1737539737,5220000,5244.731861482608,5245.086295167084,5254.0,5220.0,-9000.0
5,2012-10-29,25,0,31,0,196117,0,196117,0,954115035,0,954115035,0,4865.029727152669,4865.029727152669,,,0.0
6,2012-10-28,24,0,41,2,124203,0,113203,11000,564355401,0,512417107,51938294,4543.814569696384,4526.532927572591,,4721.663090909091,11000.0
7,2012-10-27,15,2,18,1,106642,21500,108642,19500,489508688,106482095,505290783,90700000,4590.205435006846,4650.970922847518,4952.655581395349,4651.282051282052,-2000.0
8,2012-10-20,8,0,29,0,109207,0,109207,0,561019756,0,561019756,0,5137.214244508136,5137.214244508136,,,0.0
9,2012-10-17,48,0,23,0,210558,0,210558,0,1008667994,0,1008667994,0,4790.452008472725,4790.452008472725,,,0.0
10,2012-10-16,18,0,19,0,137182,0,137182,0,701323084,0,701323084,0,5112.355002842939,5112.355002842939,,,0.0
11,2012-10-15,18,1,11,0,43741,6250,49991,0,229067474,33437500,262504974,0,5236.905283372579,5251.044668040247,5350.0,,-6250.0
12,2012-10-14,18,0,22,0,95868,0,95868,0,501966686,0,501966686,0,5236.019172195101,5236.019172195101,,,0.0
13,2012-10-13,21,0,13,0,74465,0,74465,0,408989744,0,408989744,0,5492.375532129188,5492.375532129188,,,0.0
14,2012-10-10,45,0,55,0,289511,0,289511,0,1683664798,0,1683664798,0,5815.546898045324,5815.546898045324,,,0.0
15,2012-10-09,2,0,19,0,48873,0,48873,0,264431130,0,264431130,0,5410.577005708674,5410.577005708674,,,0.0
16,2012-10-08,40,0,32,0,183087,0,183087,0,920535632,0,920535632,0,5027.859061539049,5027.859061539049,,,0.0
17,2012-10-07,19,0,14,0,39728,0,39728,0,216345808,0,216345808,0,5445.67579540878,5445.67579540878,,,0.0
18,2012-10-06,18,0,15,0,110362,0,110362,0,652261974,0,652261974,0,5910.204363820881,5910.204363820881,,,0.0
19,2012-10-03,21,0,24,0,74169,0,74169,0,473716998,0,473716998,0,6386.994539497634,6386.994539497634,,,0.0
20,2012-10-02,26,0,19,0,99154,0,99154,0,609799045,0,609799045,0,6150.019615950945,6150.019615950945,,,0.0
21,2012-10-01,22,0,34,0,191930,0,191930,0,1268185970,0,1268185970,0,6607.544260928464,6607.544260928464,,,0.0
22,2012-09-30,43,1,36,0,268952,5000,273952,0,1735559195,32605000,1768164195,0,6453.044390820667,6454.284673957482,6521.0,,-5000.0
23,2012-09-29,61,2,54,0,402640,37000,439640,0,2719040461,252860220,2971900681,0,6753.031146930261,6759.850516331544,6834.06,,-37000.0
24,2012-09-26,55,0,42,0,297683,0,297683,0,2077399810,0,2077399810,0,6978.563807808978,6978.563807808978,,,0.0
25,2012-09-25,2,0,12,0,32887,0,32887,0,214752110,0,214752110,0,6530.0,6530.0,,,0.0
26,2012-09-24,14,0,17,0,85479,0,85479,0,516913414,0,516913414,0,6047.256214976778,6047.256214976778,,,0.0
27,2012-09-23,41,0,26,0,242353,0,242353,0,1364100844,0,1364100844,0,5628.5700775315345,5628.5700775315345,,,0.0
28,2012-09-22,19,0,13,0,58862,0,58862,0,358145653,0,358145653,0,6084.496840066597,6084.496840066597,,,0.0
29,2012-09-19,42,1,48,0,399675,6250,405925,0,2640255675,43290400,2683546075,0,6606.006567836367,6610.940629426618,6926.464,,-6250.0
30,2012-09-18,30,0,26,1,127511,0,118049,9462,880584271,0,816991631,63592640,6905.947494725945,6920.784004947098,,6720.8454872120055,9462.0
31,2012-09-17,36,0,31,0,211191,0,211191,0,1402526262,0,1402526262,0,6641.032345128344,6641.032345128344,,,0.0
32,2012-09-16,44,1,56,0,384481,5000,389481,0,2582753115,33775000,2616528115,0,6717.505195315243,6717.986538496101,6755.0,,-5000.0
33,2012-09-15,40,1,34,0,143310,10000,153310,0,1036993370,72835560,1109828930,0,7236.015421115066,7239.116365533886,7283.556,,-10000.0
34,2012-09-11,18,0,13,0,92874,0,92874,0,626620878,0,626620878,0,6747.0,6747.0,,,0.0
35,2012-09-10,24,0,32,0,263561,0,263561,0,1646729128,0,1646729128,0,6248.0,6248.0,,,0.0
36,2012-09-09,29,1,53,1,275950,5000,278950,2000,1596543289,28930000,1613901289,11572000,5785.625254575104,5785.629284818067,5786.0,5786.0,-3000.0
37,2012-09-08,70,2,113,1,508979,7000,500953,15026,2728526597,36100000,2683486197,81140400,5360.784230783588,5356.762404856344,5157.142857142857,5400.0,8026.0
