,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,14,2,35,0,185259,35199,220458,0,1246436150,238179930,1484616080,0,6728.073399942783,6734.235455279464,6766.667518963607,,-35199.0
1,2022-09-07,46,2,37,1,648488,348794,897282,100000,4362155900,2335786100,6026979600,670962400,6726.656314380528,6716.929125960401,6696.749657390896,6709.624,-248794.0
2,2022-09-06,79,1,45,1,873204,379962,1165937,87229,5983704660,2579941980,7964215510,599431130,6852.585031676446,6830.74257871566,6790.0,6871.9248185809765,-292733.0
3,2022-09-05,36,2,36,0,291373,290500,581873,0,2035756820,2049005090,4084761910,0,6986.772350217762,7020.023115009632,7053.373803786575,,-290500.0
4,2022-09-04,27,3,30,0,160935,443957,604892,0,1139555260,3182827060,4322382320,0,7080.841706278932,7145.709184449455,7169.223731127114,,-443957.0
5,2022-09-03,12,0,19,0,193179,0,193179,0,1352466940,0,1352466940,0,7001.107470273684,7001.107470273684,,,0.0
6,2022-08-31,51,3,37,1,617920,924748,1314068,228600,4352797010,6738811540,9429686550,1661922000,7044.272737571207,7175.950217188151,7287.186930926046,7270.0,-696148.0
7,2022-08-30,19,4,58,0,152415,1466487,1618902,0,1095192940,10669769390,11764962330,0,7185.598136666338,7267.248005129402,7275.734043329398,,-1466487.0
8,2022-08-29,53,3,58,1,433894,1175019,1546142,62771,3109338390,8639858850,11303179340,446017900,7166.124422093875,7310.570012327457,7352.9524628963445,7105.477051504676,-1112248.0
9,2022-08-28,51,4,61,2,446258,2363966,2336424,473800,3245433240,17496736820,17215195020,3526975040,7272.549153180447,7368.181040769997,7401.433362408766,7444.016547066272,-1890166.0
10,2022-08-27,57,4,117,1,602400,1515223,1867623,250000,4389196260,11155518300,13699714560,1845000000,7286.182370517929,7335.3747303390455,7362.294724934877,7380.0,-1265223.0
11,2022-08-24,36,3,75,2,1876272,596433,1726847,745858,13170402950,4201381110,12147531510,5224252550,7019.4529098126495,7034.515223410065,7044.179497110321,7004.35277224351,149425.0
12,2022-08-23,30,0,58,3,2272706,0,1352024,920682,15327187610,0,9099121850,6228065760,6744.025672480295,6730.000244078507,,6764.6220519136905,920682.0
13,2022-08-22,28,1,33,0,405956,164962,570918,0,2578953860,1049335600,3628289460,0,6352.791583324301,6355.184912719515,6361.074671742583,,-164962.0
14,2022-08-21,18,1,30,0,155514,45000,200514,0,996376810,287814830,1284191640,0,6406.991074758543,6404.498638499057,6395.885111111111,,-45000.0
15,2022-08-20,40,0,57,0,995931,0,995931,0,6394399260,0,6394399260,0,6420.52437367649,6420.52437367649,,,0.0
16,2022-08-17,72,1,91,0,3009707,80000,3089707,0,19698387500,525600000,20223987500,0,6544.951884020604,6545.600440430112,6570.0,,-80000.0
17,2022-08-16,70,2,76,1,1081554,358917,1390471,50000,6896853270,2292626080,8869979350,319500000,6376.799743702118,6379.118550476781,6387.6218735808,6390.0,-308917.0
18,2022-08-15,28,0,20,0,397968,0,397968,0,2448020790,0,2448020790,0,6151.300581956339,6151.300581956339,,,0.0
19,2022-08-14,17,1,57,0,142198,669782,811980,0,869528170,4148031710,5017559880,0,6114.9113911588065,6179.413138254637,6193.1071751704285,,-669782.0
20,2022-08-13,27,0,19,0,282620,0,282620,0,1728661060,0,1728661060,0,6116.5560116056895,6116.5560116056895,,,0.0
21,2022-08-10,11,0,18,0,95448,0,95448,0,572718070,0,572718070,0,6000.315040650406,6000.315040650406,,,0.0
22,2022-08-09,25,1,29,0,198733,90637,289370,0,1237614990,560125770,1797740760,0,6227.526329296091,6212.602412136711,6179.8798503922235,,-90637.0
23,2022-08-06,4,0,38,0,754295,0,754295,0,4674125940,0,4674125940,0,6196.681590094061,6196.681590094061,,,0.0
24,2022-08-03,31,1,63,0,1606217,37056,1643273,0,9598125250,222465140,9820590390,0,5975.609304346797,5976.237904474789,6003.484995682211,,-37056.0
25,2022-08-02,14,0,23,0,175744,0,175744,0,993232750,0,993232750,0,5651.588389930808,5651.588389930808,,,0.0
26,2022-08-01,46,3,26,0,577174,203667,780841,0,3261015740,1146535200,4407550940,0,5649.969922415077,5644.620274806267,5629.459853584528,,-203667.0
27,2022-07-31,20,0,19,1,149851,0,147641,2210,847859130,0,835328430,12530700,5658.014494397768,5657.835086459723,,5670.0,2210.0
28,2022-07-30,23,1,38,0,324944,50000,374944,0,1923783570,295618000,2219401570,0,5920.354184105569,5919.288133694632,5912.36,,-50000.0
29,2022-07-27,27,1,25,0,285322,61709,347031,0,1651643140,357060930,2008704070,0,5788.698873553389,5788.255429630206,5786.205091639793,,-61709.0
30,2022-07-26,33,0,32,1,397209,0,396209,1000,2300013150,0,2294313150,5700000,5790.4356396758385,5790.663892036779,,5700.0,1000.0
31,2022-07-25,46,3,40,1,743124,444544,1183892,3776,4308234260,2562818880,6849072630,21980510,5797.463491960964,5785.2174269274565,5765.051108551685,5821.109639830508,-440768.0
32,2022-07-24,54,3,46,1,956364,2100000,1976364,1080000,5819679680,12673890000,11962240780,6531328900,6085.214081667649,6052.650614967688,6035.185714285714,6047.526759259259,-1020000.0
33,2022-07-23,76,3,53,1,1294481,295000,1389481,200000,8052852290,1895750410,8708537700,1240065000,6220.911925319877,6267.475193975304,6426.272576271186,6200.325,-95000.0
34,2022-07-20,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0
35,2022-07-16,45,0,49,1,530101,0,524391,5710,3612293110,0,3573334670,38958440,6814.3487939090855,6814.256289676978,,6822.844133099825,5710.0
36,2022-07-13,51,4,43,1,781564,91275,869339,3500,5333227100,625912600,5934604700,24535000,6823.788071098464,6826.571337533459,6857.437414407012,7010.0,-87775.0
37,2022-07-12,31,1,37,0,622569,8427,630996,0,4277304850,57303600,4334608450,0,6870.4109102766115,6869.470567166828,6800.0,,-8427.0
38,2022-07-11,57,2,23,1,1217637,20703,1236840,1500,8405440340,143005360,8538095700,10350000,6903.075662122619,6903.152954302901,6907.470414915712,6900.0,-19203.0
39,2022-07-09,35,1,43,0,278314,180594,458908,0,1961784140,1270198740,3231982880,0,7048.8158698448515,7042.768659513454,7033.44928402937,,-180594.0
40,2022-07-06,46,1,58,1,314919,4575,316638,2856,2259777370,32162250,2271576350,20363270,7175.741603396429,7174.048440174584,7030.0,7129.99649859944,-1719.0
41,2022-07-05,85,2,128,3,3153078,195082,3151150,197010,23183516730,1430640240,23162256650,1451900320,7352.661979817816,7350.413864779525,7333.532770834829,7369.67829044211,1928.0
42,2022-07-04,47,0,50,1,1068985,0,1058985,10000,7501728600,0,7432728600,69000000,7017.618207926211,7018.728877179564,,6900.0,10000.0
43,2022-07-03,59,0,47,1,695667,0,693840,1827,4843443230,0,4830864320,12578910,6962.301259079416,6962.504784964834,,6885.008210180624,1827.0
44,2022-07-02,104,1,46,1,1948634,2366000,3724460,590174,13770554800,16703960000,26307886360,4166628440,7066.773339683081,7063.543805007975,7060.0,7060.0,-1775826.0
45,2022-06-29,71,0,34,0,742387,0,742387,0,5358119290,0,5358119290,0,7217.420684898847,7217.420684898847,,,0.0
46,2022-06-28,25,1,29,0,147744,420000,567744,0,1101335030,3171002590,4272337620,0,7454.346910872861,7525.112762089956,7550.006166666667,,-420000.0
47,2022-06-27,29,1,62,2,154347,1901937,852790,1203494,1148151520,14419650040,6455673780,9112127780,7438.76797087083,7570.062711804782,7581.56029353233,7571.394439855952,-698443.0
48,2022-06-26,51,0,40,1,889903,0,888091,1812,6487560480,0,6474387240,13173240,7290.188346370334,7290.229537288408,,7270.0,1812.0
49,2022-06-25,50,0,38,1,615002,0,515002,100000,4595502980,0,3850346410,745156570,7472.338268818638,7476.371761663061,,7451.5657,100000.0
50,2022-06-22,41,1,82,1,780363,1280000,1429532,630831,5961120190,9964190610,11004829000,4920481800,7638.906752370372,7698.204027611834,7784.5239140625,7800.0,-649169.0
51,2022-06-21,121,2,130,4,1971221,5200697,2827320,4344598,15504755290,41325543930,22211401020,34618898200,7865.559107781421,7855.991193073299,7946.154896161034,7968.262702325969,-856099.0
52,2022-06-20,123,2,85,1,2756152,4252859,7006047,2964,21164822520,33738108270,54880436110,22494680,7679.120208174295,7833.2954531992145,7933.041812578315,7589.298245614035,-4249895.0
53,2022-06-19,70,2,143,1,1101407,2296830,3290935,107302,8698497340,18177892340,26019046700,857342980,7897.623076664666,7906.277911900417,7914.339476582943,7990.0,-2189528.0
54,2022-06-18,86,3,129,0,1128657,2947845,4076502,0,8470912640,22564179910,31035092550,0,7505.302886527971,7613.167502432232,7654.466198188847,,-2947845.0
55,2022-06-15,87,4,235,1,1196970,3537762,4684732,50000,9300812740,27591291580,36496604320,395500000,7770.297283975371,7790.542622288745,7799.080769141621,7910.0,-3487762.0
56,2022-06-14,68,3,147,0,925726,1860552,2786278,0,6937019070,14112060980,21049080050,0,7493.598613412608,7554.551286698599,7584.878562921112,,-1860552.0
57,2022-06-13,80,1,131,2,4617661,780000,4777661,620000,34427388330,5815534690,35618523020,4624400000,7455.590250128799,7455.221921354403,7455.813705128205,7458.709677419355,-160000.0
58,2022-06-12,40,0,117,2,3218986,0,1528647,1690339,22895849640,0,10809925790,12085923850,7112.752164812149,7071.564455364777,,7150.0,1690339.0
59,2022-06-11,75,2,64,0,753951,1100446,1854397,0,5119327080,7436594680,12555921760,0,6789.99972146731,6770.891971891671,6757.800637196191,,-1100446.0
60,2022-06-08,47,0,41,0,1233667,0,1233667,0,8655457620,0,8655457620,0,7016.040487424889,7016.040487424889,,,0.0
61,2022-06-07,78,1,112,0,1225670,1000000,2225670,0,8825074510,7160000000,15985074510,0,7200.2043861724605,7182.140438609497,7160.0,,-1000000.0
62,2022-06-06,64,0,35,1,723630,0,710630,13000,5285703800,0,5190803800,94900000,7304.428782665174,7304.509801162349,,7300.0,13000.0
63,2022-06-01,223,4,148,1,3497495,3045000,4804124,1738371,26434500710,23676920000,36586894330,13524526380,7558.123945852674,7615.726473754632,7775.671592775041,7780.0,-1306629.0
64,2022-05-31,123,4,95,3,6156291,3050000,1991689,7214602,45583856460,22631000000,14682509620,53532346840,7404.434985285783,7371.888693465697,7420.0,7420.0,4164602.0
65,2022-05-30,67,0,63,0,1047558,0,1047558,0,7354373860,0,7354373860,0,7020.493242378942,7020.493242378942,,,0.0
66,2022-05-29,77,0,56,0,854309,0,854309,0,5914586240,0,5914586240,0,6923.239998642178,6923.239998642178,,,0.0
67,2022-05-28,53,0,71,0,1015148,0,1015148,0,7370958430,0,7370958430,0,7260.9692675353745,7260.9692675353745,,,0.0
68,2022-05-25,143,2,121,0,2870835,300000,3170835,0,20873325740,2193715900,23067041640,0,7270.820419843008,7274.753066621252,7312.386333333333,,-300000.0
69,2022-05-24,129,2,67,1,2262570,475000,2736570,1000,15838039950,3331137490,19162147440,7030000,7000.022076665031,7002.250057553799,7012.921031578948,7030.0,-474000.0
70,2022-05-23,116,1,80,2,2611287,1255000,2324730,1541557,18914745990,9132200000,16805819080,11241126910,7243.457341150169,7229.148795774133,7276.653386454183,7292.060501168624,286557.0
71,2022-05-22,72,1,78,0,1028214,162739,1190953,0,7750607460,1219282940,8969890400,0,7537.932239786659,7531.6913429833085,7492.260244932069,,-162739.0
72,2022-05-21,90,1,80,1,1033210,400000,1133210,300000,7703124660,3059215460,8528917240,2233422880,7455.526620919271,7526.334254021761,7648.03865,7444.742933333333,-100000.0
73,2022-05-18,146,3,152,3,2188569,11138621,4044089,9283101,16558167130,84600447510,30627047040,70531567600,7565.750556642262,7573.287096302777,7595.235308751416,7597.845547516934,-1855520.0
74,2022-05-17,223,3,262,3,4839005,15861795,9126067,11574733,37767801050,126712243460,72113675170,92366369340,7804.869193150244,7901.944525500416,7988.51854156481,7980.0,-4287062.0
75,2022-05-16,197,3,368,2,6083041,13512834,19061655,534220,48578602990,110596533200,154757402790,4417733400,7985.907540323992,8118.781018227431,8184.555008964071,8269.502077795665,-12978614.0
76,2022-05-14,121,6,93,1,5349210,3100000,7449210,1000000,42412466090,24583000000,59065466090,7930000000,7928.734540240522,7929.091284847655,7930.0,7930.0,-2100000.0
77,2022-05-11,145,3,147,0,3398668,2970000,6368668,0,25656976720,22496802470,48153779190,0,7549.127105089406,7561.044034639583,7574.680966329966,,-2970000.0
78,2022-05-10,154,8,208,5,4880517,6640000,10929249,591268,35214916760,47928477430,78951598170,4191796020,7215.407048064785,7223.881363669178,7218.14419126506,7089.502594424187,-6048732.0
79,2022-05-09,126,5,196,1,9313477,704220,9017697,1000000,64557521670,4889222900,62486744570,6960000000,6931.624104510056,6929.3462144492105,6942.74928289455,6960.0,295780.0
80,2022-05-08,98,1,140,1,2408536,20000,2378536,50000,15964840790,133800000,15767640790,331000000,6628.441837697257,6629.136910267493,6690.0,6620.0,30000.0
81,2022-05-07,111,3,119,2,2561769,410000,2713513,258256,16429517860,2644142110,17416103730,1657556240,6413.3486899091995,6418.286453759389,6449.127097560976,6418.268075088285,-151744.0
82,2022-05-02,180,3,130,3,3638100,1000000,3990828,647272,23699649990,6548695230,26035427460,4212917760,6514.293172260246,6523.815975030746,6548.69523,6508.7285716051365,-352728.0
