,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-07,126,1,61,3,619784,50000,369970,299814,17277544000,1392500000,10320224100,8349819900,27876.71834058317,27894.759304808496,27850.0,27850.0,249814.0
1,2022-09-06,113,2,67,1,3258532,600000,1858532,2000000,93504315650,17220000000,53324315650,57400000000,28695.22706850815,28691.63170179475,28700.0,28700.0,1400000.0
2,2022-09-05,17,1,33,3,1519230,85814,199037,1406007,42386517000,2394210600,5553132300,39227595300,27900.0,27900.0,27900.0,27900.0,1320193.0
3,2022-09-04,44,2,71,1,1360637,40000,1000637,400000,36870253100,1086000000,27141253100,10815000000,27097.78809484087,27123.975127843565,27150.0,27037.5,360000.0
4,2022-09-03,27,0,26,1,65715,0,62320,3395,1727685600,0,1637887850,89797750,26290.582058890664,26281.89746469833,,26450.0,3395.0
5,2022-08-31,43,0,79,2,586323,0,379985,206338,15502318100,0,10060904200,5441413900,26439.894222126713,26477.10883324342,,26371.361067762602,206338.0
6,2022-08-30,85,0,62,0,626715,0,626715,0,16495711400,0,16495711400,0,26320.913652936342,26320.913652936342,,,0.0
7,2022-08-29,146,0,110,1,8517362,0,7717362,800000,229464336900,0,207902543550,21561793350,26940.775430232978,26939.58681088175,,26952.2416875,800000.0
8,2022-08-28,131,1,111,0,962591,62270,1024861,0,25970138350,1650826100,27620964450,0,26979.41114138819,26950.93720026423,26510.77726031797,,-62270.0
9,2022-08-27,145,0,122,0,1451527,0,1451527,0,38301572200,0,38301572200,0,26387.089044847253,26387.089044847253,,,0.0
10,2022-08-24,220,0,143,2,2321320,0,2185156,136164,62744079050,0,59061062800,3683016250,27029.482815811694,27028.304981429243,,27048.384668488,136164.0
11,2022-08-23,44,0,38,2,713432,0,293769,419663,19045661950,0,7840659850,11205002100,26695.833590307135,26689.88167573842,,26700.0,419663.0
12,2022-08-22,79,1,118,2,2252136,50000,1334136,968000,58464952700,1305000000,34505152700,25264800000,25959.778938749703,25863.294821517447,26100.0,26100.0,918000.0
13,2022-08-21,54,0,78,2,1693185,0,1000703,692482,42880097150,0,25325678450,17554418700,25325.11045751055,25307.88700543518,,25350.0,692482.0
14,2022-08-20,5,0,19,1,675794,0,75794,600000,16658322100,0,1868322100,14790000000,24650.0,24650.0,,24650.0,600000.0
15,2022-08-17,7,0,23,0,100923,0,100923,0,2472613500,0,2472613500,0,24500.0,24500.0,,,0.0
16,2022-08-16,2,0,18,0,128968,0,128968,0,3133922400,0,3133922400,0,24300.0,24300.0,,,0.0
17,2022-08-15,1,0,22,0,49555,0,49555,0,1199231000,0,1199231000,0,24200.0,24200.0,,,0.0
