,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,51,1,65,0,525448,1078364,1603812,0,3198347240,6616972200,9815319440,0,6086.895829844248,6119.993764855232,6136.121198407959,,-1078364.0
1,2022-09-07,16,1,36,0,177384,494745,672129,0,1092684960,3060099330,4152784290,0,6159.9972940062235,6178.552465374951,6185.20516629779,,-494745.0
2,2022-09-06,23,2,38,0,121480,355004,476484,0,755678100,2202385310,2958063410,0,6220.59680605861,6208.106484163161,6203.832379353472,,-355004.0
3,2022-09-05,25,1,46,0,170279,431927,602206,0,1057903980,2700761220,3758665200,0,6212.768339020079,6241.494106667818,6252.818693899663,,-431927.0
4,2022-09-04,40,1,45,2,311866,260874,541990,30750,1942642540,1621857160,3374652200,189847500,6229.093713325595,6226.410450377313,6217.013424105124,6173.90243902439,-230124.0
5,2022-09-03,30,2,54,0,378638,727311,1105949,0,2324275280,4494682280,6818957560,0,6138.515627063316,6165.707062441396,6179.86291971385,,-727311.0
6,2022-08-31,48,2,70,0,599061,934931,1533992,0,3702767680,5805806380,9508574060,0,6180.952657575773,6198.581257268616,6209.876857222618,,-934931.0
7,2022-08-30,40,1,39,0,520139,120217,640356,0,3237208130,746197570,3983405700,0,6223.736597332636,6220.611191274854,6207.088598118403,,-120217.0
8,2022-08-29,67,1,53,1,716088,1390771,1906859,200000,4468266630,8609586080,11836894150,1240958560,6239.828945604451,6207.535087806702,6190.513089502154,6204.7928,-1190771.0
9,2022-08-28,52,1,40,1,638049,483229,821278,300000,3956989340,2991519800,5088828240,1859680900,6201.701342686847,6196.2310447862965,6190.687644988194,6198.936333333333,-183229.0
10,2022-08-27,77,1,52,0,816110,233904,1050014,0,5147819350,1468991040,6616810390,0,6307.751834924214,6301.640159083593,6280.316027088036,,-233904.0
11,2022-08-24,60,0,63,1,789354,0,589354,200000,5052228570,0,3774170790,1278057780,6400.459831710487,6403.911384329283,,6390.2889,200000.0
12,2022-08-23,36,1,55,0,407783,10000,417783,0,2594851980,62000000,2656851980,0,6363.315734103678,6359.406629757554,6200.0,,-10000.0
13,2022-08-22,33,1,52,0,264836,401277,666113,0,1673315040,2544573240,4217888280,0,6318.306574634868,6332.0912217596715,6341.188854581747,,-401277.0
14,2022-08-21,59,3,70,0,469414,459603,929017,0,2981734410,2901961350,5883695760,0,6352.03553792601,6333.248756481313,6314.060939550003,,-459603.0
15,2022-08-20,112,1,108,0,1802721,2000,1804721,0,11764767650,13120000,11777887650,0,6526.116714677424,6526.154264287942,6560.0,,-2000.0
16,2022-08-17,18,0,64,0,594289,0,594289,0,3910421620,0,3910421620,0,6580.0,6580.0,,,0.0
17,2022-08-16,20,0,88,1,1419436,0,1279436,140000,9077399750,0,8179999750,897400000,6395.075050935724,6393.441915031311,,6410.0,140000.0
18,2022-08-15,54,1,63,1,1134450,603438,1665183,72705,6997030020,3641006190,10179994710,458041500,6167.772947243157,6113.439009406174,6033.770147057361,6300.0,-530733.0
19,2022-08-14,29,2,67,0,422701,1520630,1943331,0,2577505490,9287327770,11864833260,0,6097.703790622686,6105.410380424128,6107.552639366579,,-1520630.0
20,2022-08-13,49,1,52,0,693222,1393638,2086860,0,4216258190,8536030940,12752289130,0,6082.118268029578,6110.754497187161,6124.998701240925,,-1393638.0
21,2022-08-10,15,1,55,0,290007,647763,937770,0,1768769040,3951269270,5720038310,0,6099.05636760492,6099.617507491176,6099.868732854455,,-647763.0
22,2022-08-09,27,1,41,0,539231,102929,642160,0,3302515490,627616900,3930132390,0,6124.491154996653,6120.176264482372,6097.571141272139,,-102929.0
23,2022-08-06,56,1,61,0,740101,67963,808064,0,4518181670,412919400,4931101070,0,6104.817680289582,6102.364503306669,6075.649986021806,,-67963.0
24,2022-08-03,32,1,53,0,566609,152692,719301,0,3440192870,922286600,4362479470,0,6071.546463257731,6064.887258602449,6040.1763026222725,,-152692.0
25,2022-08-02,34,1,49,0,326633,299211,625844,0,1943389590,1789436710,3732826300,0,5949.764996188383,5964.467662868063,5980.517795134537,,-299211.0
26,2022-08-01,39,1,58,0,589797,95871,685668,0,3526354220,567428910,4093783130,0,5978.928716151489,5970.503406896632,5918.671026692117,,-95871.0
27,2022-07-31,29,1,66,1,249997,520824,766114,4707,1483372190,3083124120,4538537790,27958520,5933.5599627195525,5924.102405125086,5919.704391502696,5939.7748034841725,-516117.0
28,2022-07-30,59,1,99,0,598325,1027570,1625895,0,3564644720,6095803400,9660448120,0,5957.706463878327,5941.618690013808,5932.251233492609,,-1027570.0
29,2022-07-27,68,1,75,1,1128473,357507,1365980,120000,6867714370,2157042000,8290356370,734400000,6085.847308708317,6069.163801812618,6033.56577633445,6120.0,-237507.0
30,2022-07-26,46,1,63,0,869170,181367,1050537,0,5175062810,1074132990,6249195800,0,5954.028337379339,5948.572777541391,5922.427949957821,,-181367.0
31,2022-07-25,53,2,94,1,542095,718421,1250937,9579,3200785310,4258265010,7402198870,56851450,5904.473035169112,5917.3234703266435,5927.255759505916,5935.008873577618,-708842.0
32,2022-07-24,88,1,96,0,949678,662917,1612595,0,5717731480,3984431950,9702163430,0,6020.7054180469595,6016.491078045015,6010.453721959159,,-662917.0
33,2022-07-23,229,1,176,0,3037703,6514889,9552592,0,18820988910,40207273520,59028262430,0,6195.796267772063,6179.292743791423,6171.5976312106,,-6514889.0
34,2022-07-20,66,2,75,0,630381,603527,1233908,0,4071219610,3900081610,7971301220,0,6458.347586618252,6460.207098098075,6462.149348744961,,-603527.0
35,2022-07-19,93,2,76,0,961691,885024,1846715,0,6225879250,5693168930,11919048180,0,6473.887402502467,6454.189292879519,6432.784794536646,,-885024.0
36,2022-07-12,162,1,234,1,5750983,207497,5858480,100000,39346674840,1342849180,39998524020,691000000,6841.730333753378,6827.457637475933,6471.655879362112,6910.0,-107497.0
37,2022-07-11,117,3,120,3,1412959,581617,1961027,33549,9345159630,3778511270,12898938580,224732320,6613.892993356495,6577.644560732718,6496.562634861086,6698.62946734627,-548068.0
38,2022-07-09,100,0,122,0,1842331,0,1842331,0,12313498950,0,12313498950,0,6683.651824780672,6683.651824780672,,,0.0
39,2022-07-06,10,0,7,0,0,0,0,0,0,0,0,0,,,,,0.0
40,2022-07-05,89,1,87,0,934782,677217,1611999,0,6061285400,4386416450,10447701850,0,6484.169998994418,6481.208642188984,6477.120996667242,,-677217.0
41,2022-07-04,138,1,103,0,2961309,815980,3777289,0,19495590420,5341280930,24836871350,0,6583.4367234219735,6575.3166755310485,6545.847851663031,,-815980.0
42,2022-07-03,99,1,89,1,1224133,566900,1787050,3983,8096740210,3748776310,11819188890,26327630,6614.265124786278,6613.7986570045605,6612.7647027694475,6610.0,-562917.0
43,2022-07-02,61,1,80,0,572901,926203,1499104,0,3820055800,6181138250,10001194050,0,6667.916097196548,6671.447778139475,6673.6322922728605,,-926203.0
44,2022-06-29,106,1,89,0,1559231,494651,2053882,0,10591901520,3333653360,13925554880,0,6793.0290765127165,6780.114378528076,6739.404873334937,,-494651.0
45,2022-06-28,97,1,74,0,979813,78616,1058429,0,6697654030,533016480,7230670510,0,6835.645199645239,6831.512090088235,6780.0,,-78616.0
46,2022-06-27,174,1,140,1,2547263,2035546,4573681,9128,17256442700,13793611970,30988280950,61773720,6774.503732044944,6775.3481167575965,6776.369568656272,6767.497808939526,-2026418.0
47,2022-06-26,100,1,97,1,1606346,837027,2439397,3976,11247540370,5783557750,17003632170,27465950,7001.941281641689,6970.424317976943,6909.642998374007,6907.935110663984,-833051.0
48,2022-06-25,147,2,97,0,1686473,1073126,2759599,0,11861043760,7515573230,19376616990,0,7033.046932859287,7021.533559767198,7003.439698600165,,-1073126.0
49,2022-06-22,191,1,120,0,2214947,1276929,3491876,0,15728756340,9087073950,24815830290,0,7101.188579230113,7106.732968181001,7116.350204279173,,-1276929.0
50,2022-06-21,59,1,77,1,955876,492837,1444797,3916,6936080140,3558040910,10465925850,28195200,7256.255141880328,7243.872910865679,7219.508498753137,7200.0,-488921.0
51,2022-06-20,135,1,98,1,2130227,340220,2466919,3528,15577350530,2454347480,18006005370,25692640,7312.530791319423,7298.985240293662,7214.001175709835,7282.49433106576,-336692.0
