,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,35,0,46,0,498102,0,498102,0,11781841650,0,11781841650,0,23653.471879253648,23653.471879253648,,,0.0
1,2022-09-07,51,0,75,0,474507,0,474507,0,11384795850,0,11384795850,0,23992.893360898786,23992.893360898786,,,0.0
2,2022-09-06,21,0,50,0,389450,0,389450,0,9167751450,0,9167751450,0,23540.252792399537,23540.252792399537,,,0.0
3,2022-09-05,41,0,57,0,439243,0,439243,0,10157110400,0,10157110400,0,23124.12582556808,23124.12582556808,,,0.0
4,2022-09-04,52,0,35,0,350604,0,350604,0,7956314000,0,7956314000,0,22693.163797332603,22693.163797332603,,,0.0
5,2022-09-03,50,0,71,0,619744,0,619744,0,13826398500,0,13826398500,0,22309.854552847628,22309.854552847628,,,0.0
6,2022-08-31,45,0,33,0,599799,0,599799,0,13401785450,0,13401785450,0,22343.79425440856,22343.79425440856,,,0.0
7,2022-08-30,69,0,32,0,496157,0,496157,0,11291393200,0,11291393200,0,22757.702098327747,22757.702098327747,,,0.0
8,2022-08-29,53,1,61,0,2195094,10000,2205094,0,50639713250,231000000,50870713250,0,23069.496454365963,23069.634786544248,23100.0,,-10000.0
9,2022-08-28,39,0,50,0,522978,0,522978,0,11847810800,0,11847810800,0,22654.510897207914,22654.510897207914,,,0.0
10,2022-08-27,81,0,71,0,1305283,0,1305283,0,30173400350,0,30173400350,0,23116.366604023802,23116.366604023802,,,0.0
11,2022-08-24,67,0,57,1,1921864,0,1860179,61685,43608140100,0,42217865400,1390274700,22690.544232058044,22695.592951000952,,22538.294561076436,61685.0
12,2022-08-23,86,0,61,1,1265564,0,1170249,95315,28193072800,0,26067548300,2125524500,22277.081838611084,22275.21518924605,,22300.0,95315.0
13,2022-08-22,81,0,27,0,754714,0,754714,0,16527916600,0,16527916600,0,21899.575998325192,21899.575998325192,,,0.0
14,2022-08-21,14,1,41,0,3144657,666,3145323,0,67610575500,14319000,67624894500,0,21500.143099867488,21500.1430695671,21500.0,,-666.0
15,2022-08-20,29,1,15,0,91576,666,92242,0,1982707900,14418900,1997126800,0,21650.955490521534,21650.948591747794,21650.0,,-666.0
16,2022-08-17,45,0,30,0,557482,0,557482,0,12301119050,0,12301119050,0,22065.49996233062,22065.49996233062,,,0.0
17,2022-08-16,62,0,68,1,734705,0,724705,10000,16499500050,0,16275500050,224000000,22457.312867069097,22458.103711165233,,22400.0,10000.0
18,2022-08-15,43,0,58,1,677648,0,547648,130000,15482417700,0,12511917700,2970500000,22847.28605411659,22846.641821023724,,22850.0,130000.0
19,2022-08-14,88,0,73,0,776356,0,776356,0,17423000700,0,17423000700,0,22442.024921556604,22442.024921556604,,,0.0
20,2022-08-13,131,0,90,1,1082758,0,1082560,198,23895198850,0,23890832950,4365900,22068.82687544216,22068.83031887378,,22050.0,198.0
21,2022-08-10,5,0,2,0,12015,0,12015,0,264930750,0,264930750,0,22050.0,22050.0,,,0.0
22,2022-08-09,12,0,6,0,101703,0,101703,0,2257806600,0,2257806600,0,22200.0,22200.0,,,0.0
23,2022-08-06,69,0,64,0,476485,0,476485,0,10792811650,0,10792811650,0,22650.89488651269,22650.89488651269,,,0.0
24,2022-08-03,8,0,1,0,126632,0,126632,0,2906204400,0,2906204400,0,22950.0,22950.0,,,0.0
25,2022-08-02,51,0,47,0,587267,0,587267,0,13746276450,0,13746276450,0,23407.200557838256,23407.200557838256,,,0.0
26,2022-08-01,54,0,34,0,586589,0,586589,0,13997745400,0,13997745400,0,23862.952424951713,23862.952424951713,,,0.0
27,2022-07-31,1,0,1,0,2045,0,2045,0,49795750,0,49795750,0,24350.0,24350.0,,,0.0
28,2022-07-30,4,0,2,0,3131,0,3131,0,76239850,0,76239850,0,24350.0,24350.0,,,0.0
29,2022-07-27,1,0,1,0,220,0,220,0,5357000,0,5357000,0,24350.0,24350.0,,,0.0
30,2022-07-26,2,0,1,0,455,0,455,0,11079250,0,11079250,0,24350.0,24350.0,,,0.0
31,2022-07-25,1,0,1,0,5010,0,5010,0,121993500,0,121993500,0,24350.0,24350.0,,,0.0
32,2022-07-24,28,0,42,0,173092,0,173092,0,4283352400,0,4283352400,0,24746.102650613546,24746.102650613546,,,0.0
33,2022-07-23,61,0,89,0,669600,0,669600,0,16876160050,0,16876160050,0,25203.345355436082,25203.345355436082,,,0.0
34,2022-07-20,93,1,74,1,586877,134900,611777,110000,15066450250,3496469850,15675420100,2887500000,25672.24520640611,25622.767936682812,25918.975908080058,26250.0,-24900.0
35,2022-07-19,38,1,49,0,539092,135270,674362,0,13876697800,3483202500,17359900300,0,25740.871316955177,25742.702435783747,25750.0,,-135270.0
36,2022-07-17,84,1,66,1,887146,39410,785767,140789,22395515900,995102500,19835696150,3554922250,25244.453449601308,25243.737838315938,25250.0,25250.0,101379.0
37,2022-07-16,72,1,135,0,1106728,40950,1147678,0,27466061950,995085000,28461146950,0,24817.355258021846,24798.89563971776,24300.0,,-40950.0
38,2022-07-13,92,0,109,0,872141,0,872141,0,21607117300,0,21607117300,0,24774.79822643357,24774.79822643357,,,0.0
39,2022-07-12,52,0,104,2,800074,0,671773,128301,19485114650,0,16354570250,3130544400,24354.14055449871,24345.381922167162,,24400.0,128301.0
40,2022-07-11,90,0,131,1,1578111,0,1478111,100000,37782972250,0,35377972250,2405000000,23941.89778158824,23934.584242996636,,24050.0,100000.0
41,2022-07-09,73,0,112,0,800250,0,800250,0,18871181750,0,18871181750,0,23581.607935020307,23581.607935020307,,,0.0
42,2022-07-06,68,0,98,1,1484658,0,1095769,388889,34353012100,0,25364670900,8988341200,23138.67038738888,23147.826686098986,,23112.87076775121,388889.0
43,2022-07-05,18,0,30,1,249009,0,99009,150000,5652504300,0,2247504300,3405000000,22700.0,22700.0,,22700.0,150000.0
44,2022-07-04,18,0,38,0,300789,0,300789,0,6707349700,0,6707349700,0,22299.185475532682,22299.185475532682,,,0.0
45,2022-07-03,50,0,97,0,816306,0,816306,0,17859376700,0,17859376700,0,21878.286696410414,21878.286696410414,,,0.0
46,2022-07-02,82,0,96,0,1263145,0,1263145,0,27404135050,0,27404135050,0,21695.161719359217,21695.161719359217,,,0.0
47,2022-06-29,14,0,35,0,439866,0,439866,0,9369145800,0,9369145800,0,21300.0,21300.0,,,0.0
