,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,564,1,335,1,674520,40000,713289,1231,52891301140,3111615930,55906795870,96121200,78413.24369922315,78378.88411289113,77790.39825,78083.8342810723,-38769.0
1,2022-09-07,483,1,497,0,788992,70,789062,0,64586329700,5643400,64591973100,0,81859.29603848961,81859.18609691001,80620.0,,-70.0
2,2022-09-06,495,0,420,0,741253,0,741253,0,60492355770,0,60492355770,0,81608.24410828692,81608.24410828692,,,0.0
3,2022-09-05,615,2,679,1,1689634,24500,1694134,20000,140542408290,2033449200,140930057490,1645800000,83179.20229469815,83187.07817091211,82997.92653061224,82290.0,-4500.0
4,2022-09-04,16,0,10,0,0,0,0,0,0,0,0,0,,,,,0.0
5,2022-08-29,313,1,318,1,500730,1000,499730,2000,40002255830,80200000,39922895830,159560000,79887.87536197153,79888.93168310888,80200.0,79780.0,1000.0
6,2022-08-28,298,1,303,0,592196,2000,594196,0,46510731410,156960000,46667691410,0,78539.42176238948,78539.22175511111,78480.0,,-2000.0
7,2022-08-27,492,2,377,0,718178,10408,728586,0,57438194340,840888040,58279082380,0,79977.65782299096,79989.29759836177,80792.47117601844,,-10408.0
8,2022-08-24,342,0,456,2,772807,0,769807,3000,62634481440,0,62395026440,239455000,81048.02549666347,81052.81770625625,,79818.33333333333,3000.0
9,2022-08-23,581,1,354,0,861536,2000,863536,0,67580607500,155180000,67735787500,0,78442.00068250195,78440.02739897353,77590.0,,-2000.0
10,2022-08-22,314,1,287,0,453646,2000,455646,0,36286804290,160800000,36447604290,0,79989.25217019438,79991.055095403,80400.0,,-2000.0
11,2022-08-21,609,1,515,0,1165866,4000,1169866,0,92323511000,318860000,92642371000,0,79188.78413128095,79190.58336595815,79715.0,,-4000.0
12,2022-08-20,756,2,813,1,1636384,3231,1601615,38000,132162590180,257944890,129320115070,3100420000,80765.0222563897,80743.57137639195,79834.382544104,81590.0,34769.0
13,2022-08-17,498,0,697,1,1375654,0,1335654,40000,106900508190,0,103746088190,3154420000,77708.86297717303,77674.37389473621,,78860.5,40000.0
14,2022-08-16,351,1,351,0,742189,4000,746189,0,55802692830,301320000,56104012830,0,75186.63417269725,75187.40269556372,75330.0,,-4000.0
15,2022-08-15,332,1,283,0,584553,3500,588053,0,43742501850,259800000,44002301850,0,74830.6857547562,74827.10206392962,74228.57142857143,,-3500.0
16,2022-08-14,322,1,272,0,541431,2000,543431,0,40729709880,147860000,40877569880,0,75226.03966156353,75221.26982082363,73930.0,,-2000.0
17,2022-08-13,313,0,463,0,802216,0,802216,0,60866321390,0,60866321390,0,75872.73426358985,75872.73426358985,,,0.0
18,2022-08-10,271,0,238,0,361357,0,361357,0,26559806050,0,26559806050,0,73500.1841669042,73500.1841669042,,,0.0
19,2022-08-09,264,0,305,0,568163,0,568163,0,42504509200,0,42504509200,0,74810.4139129088,74810.4139129088,,,0.0
20,2022-08-06,330,0,316,0,541999,0,541999,0,40409979860,0,40409979860,0,74557.2959728708,74557.2959728708,,,0.0
21,2022-08-03,366,1,298,0,569381,6000,575381,0,41737635940,435620000,42173255940,0,73303.52776084906,73296.22622227707,72603.33333333333,,-6000.0
22,2022-08-02,331,0,350,0,553125,0,553125,0,40788235920,0,40788235920,0,73741.44347118645,73741.44347118645,,,0.0
23,2022-08-01,443,1,566,1,823078,4000,824078,3000,60084858760,280600000,60147678760,217780000,73000.20017543902,72987.84673295489,70150.0,72593.33333333333,-1000.0
24,2022-07-31,447,1,145,0,602422,40000,642422,0,42692010120,2830470320,45522480440,0,70867.282602561,70860.7121798444,70761.758,,-40000.0
25,2022-07-30,697,1,391,0,1147336,40000,1187336,0,85459041600,2979460000,88438501600,0,74484.7556426365,74484.81440805299,74486.5,,-40000.0
26,2022-07-27,956,1,825,1,1794880,2000,1792462,4418,140017427070,155540000,139829017990,343949080,78009.35275338741,78009.47411437453,77770.0,77851.76097781802,2418.0
27,2022-07-26,459,1,513,1,1122863,4000,1090863,36000,85417687680,296300000,82967447680,2746540000,76071.33522077047,76056.70710254175,74075.0,76292.77777777778,32000.0
28,2022-07-25,733,0,743,2,2076579,0,1674812,401767,151084321100,0,121735241750,29349079350,72756.35605483827,72685.91444890531,,73050.0,401767.0
29,2022-07-24,131,1,80,0,184141,22000,206141,0,12784031360,1555380000,14339411360,0,69425.23044840638,69561.18074521808,70699.09090909091,,-22000.0
30,2022-07-17,1030,2,596,0,1500900,41000,1541900,0,107943482760,2940655000,110884137760,0,71919.17033779732,71913.96183928919,71723.29268292683,,-41000.0
31,2022-07-16,791,2,431,0,1115304,7000,1122304,0,84011702930,523640000,84535342930,0,75326.28138157848,75323.03451649463,74805.71428571429,,-7000.0
32,2022-07-13,498,0,311,0,534390,0,534390,0,41690576610,0,41690576610,0,78015.26340313254,78015.26340313254,,,0.0
33,2022-07-12,530,1,418,1,705670,2000,706294,1376,55045458180,156900000,55093805540,108552640,78004.53211841229,78004.0684757339,78450.0,78890.0,-624.0
34,2022-07-11,650,0,491,0,903356,0,903356,0,71078719260,0,71078719260,0,78682.9547376671,78682.9547376671,,,0.0
35,2022-07-09,807,3,438,1,1018443,7000,1023443,2000,79878275840,541900000,80261035840,159140000,78431.75891041521,78422.57540478562,77414.28571428571,79570.0,-5000.0
36,2022-07-06,597,0,368,0,782601,0,782601,0,63422138880,0,63422138880,0,81040.19657526632,81040.19657526632,,,0.0
37,2022-07-05,494,2,375,0,602795,2062,604857,0,49805755170,169157780,49974912950,0,82624.69856252955,82622.69090049384,82035.78079534433,,-2062.0
38,2022-07-04,432,0,374,0,593765,0,593765,0,49825361970,0,49825361970,0,83914.27916768419,83914.27916768419,,,0.0
39,2022-07-03,536,1,468,1,831520,1975,833022,473,68719873770,162127750,68842435070,39566450,82643.68117423514,82641.79705938138,82090.0,83650.0,-1502.0
40,2022-07-02,842,1,461,1,969502,4000,970502,3000,79458570650,330660000,79544282680,244947970,81958.12968926315,81961.99768779456,82665.0,81649.32333333333,-1000.0
41,2022-06-29,503,1,396,0,759531,4000,763531,0,64632415890,343800000,64976215890,0,85095.16516113233,85099.64348533328,85950.0,,-4000.0
42,2022-06-28,907,1,620,1,1564480,2630,1559110,8000,135530667350,225719500,135053186850,703200000,86629.84975838618,86621.97462013585,85824.90494296578,87900.0,5370.0
43,2022-06-27,791,1,530,0,940843,2000,942843,0,81853461710,171540000,82025001710,0,87000.12829983323,86997.51889763195,85770.0,,-2000.0
44,2022-06-26,997,2,876,1,1823591,2767,1797853,28505,156095093020,232464300,153904541470,2423015850,85597.64389054343,85604.63033963289,84013.11890133719,85003.18716014734,25738.0
45,2022-06-25,1537,3,768,1,2297028,44594,2341322,300,195317609920,3737629060,199028904980,26334000,85030.57425508091,85007.06224090492,83814.61766156882,87780.0,-44294.0
46,2022-06-22,1685,2,887,1,2267827,12900,2279837,890,199880397460,1131768550,200931202710,80963300,88137.40971423306,88134.02129625934,87733.99612403101,90970.0,-12010.0
47,2022-06-21,1045,2,508,0,1363973,2225,1366198,0,124924138240,201291750,125125429990,0,91588.42458025196,91586.60017801226,90468.20224719102,,-2225.0
48,2022-06-20,693,0,611,1,1092757,0,1088757,4000,102965780130,0,102589678760,376101370,94225.68798918698,94226.42404136092,,94025.3425,4000.0
49,2022-06-19,926,1,793,2,1471173,5000,1471173,5000,136686458410,459000000,136672118410,473340000,92909.84704722014,92900.0997231461,91800.0,94668.0,0.0
50,2022-06-18,731,0,625,3,911315,0,898315,13000,86759244980,0,85525046060,1234198920,95202.25715586817,95206.07588652088,,94938.37846153846,13000.0
51,2022-06-15,1415,2,861,2,1821569,4000,1821954,3615,174682484030,379683850,174724664390,337503490,95896.71543048877,95899.60250917422,94920.9625,93361.96127247579,-385.0
52,2022-06-14,877,2,567,0,868153,3500,871653,0,81561766750,327825000,81889591750,0,93948.609000948,93947.46734078813,93664.28571428571,,-3500.0
53,2022-06-13,1328,1,628,1,1744799,2755,1745554,2000,166657051700,263345300,166727637000,192760000,95516.47593791605,95515.5996319793,95588.13067150635,96380.0,-755.0
54,2022-06-12,1241,2,787,0,1654887,7000,1661887,0,157019336120,644700000,157664036120,0,94882.21015694727,94870.49126685508,92100.0,,-7000.0
55,2022-06-11,1127,1,709,1,1366234,2000,1366234,2000,131099836950,197300000,131102276950,194860000,95957.0885734069,95958.87450466026,98650.0,97430.0,0.0
56,2022-06-08,1980,2,1162,2,2891475,17000,2906115,2360,281298907630,1644560000,282707597230,235870400,97285.6094657571,97280.25120478714,96738.82352941176,99945.08474576271,-14640.0
57,2022-06-07,1578,2,663,1,2019139,46000,2063139,2000,204798158210,4653203600,209243361810,208000000,101428.4594621767,101419.90520755024,101156.6,104000.0,-44000.0
58,2022-06-06,880,1,490,1,1126123,38000,1162123,2000,119921785390,4021790000,123721755390,221820000,106490.84104489474,106461.84215440191,105836.57894736843,110910.0,-36000.0
59,2022-06-01,821,2,617,2,982184,4541,985645,1080,109337791650,504587020,109722727390,119651280,111321.08815659795,111320.73656336713,111118.04007927769,110788.22222222222,-3461.0
60,2022-05-31,1160,2,788,1,1314973,11962,1294069,32866,145539187390,1332990670,143224463470,3647714590,110678.46061478068,110677.60951695775,111435.43470991473,110987.48220045031,20904.0
61,2022-05-30,1594,1,1307,3,2620865,100,2562426,58539,300195926370,11378000,293478723620,6728580750,114540.7819059738,114531.5898371309,113780.0,114941.84646133347,58439.0
62,2022-05-29,1000,1,1169,2,2100313,536,2048729,52120,230181183480,57673600,224495111580,5743745500,109593.7526835286,109577.74873104252,107600.0,110202.33115886417,51584.0
63,2022-05-28,1398,5,642,0,1536045,55291,1591336,0,162451744690,5818113640,168269858330,0,105759.75618552841,105741.25032676946,105227.13714709446,,-55291.0
64,2022-05-25,1093,3,619,0,1209850,16784,1226634,0,133722462230,1849564210,135572026440,0,110528.13342976401,110523.61702023586,110198.05826978074,,-16784.0
