,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,69,3,36,0,907909,1802000,2709909,0,3654592336,7268509617,10923101953,0,4025.284842423635,4030.8002789023544,4033.5791437291896,,-1802000.0
1,2022-09-07,23,3,20,0,266100,222000,488100,0,1099161973,919764480,2018926453,0,4130.634998121007,4136.2967691046915,4143.0832432432435,,-222000.0
2,2022-09-06,24,2,24,0,499431,42950,542381,0,2077130789,180987244,2258118033,0,4158.994513756655,4163.342803306163,4213.905564610011,,-42950.0
3,2022-09-05,27,3,32,0,437633,327558,765191,0,1850928241,1380765180,3231693421,0,4229.407382441452,4223.381379289615,4215.330353708351,,-327558.0
4,2022-09-04,19,4,42,0,407353,509880,917233,0,1720210646,2166468734,3886679380,0,4222.89917098929,4237.395928842508,4248.9776692555115,,-509880.0
5,2022-09-03,18,0,19,0,164220,0,164220,0,683003412,0,683003412,0,4159.075703324808,4159.075703324808,,,0.0
6,2022-08-31,31,2,38,1,340822,329249,570071,100000,1422756790,1395410336,2392767126,425400000,4174.486359448627,4197.314239805217,4238.161197148663,4254.0,-229249.0
7,2022-08-30,27,2,45,0,313087,236312,549399,0,1342612604,1004906248,2347518852,0,4288.305180349232,4272.8851927287815,4252.455431802025,,-236312.0
8,2022-08-29,19,1,32,0,173422,140000,313422,0,736507730,595030037,1331537767,0,4246.910599577908,4248.386415120827,4250.21455,,-140000.0
9,2022-08-28,26,3,52,0,309077,523636,832713,0,1299377096,2210305999,3509683095,0,4204.0562578257195,4214.7571792442295,4221.073415502372,,-523636.0
10,2022-08-27,73,1,78,1,916396,108639,750451,274584,3927936286,457532826,3209068507,1176400605,4286.2870265693,4276.18659579373,4211.497031452794,4284.301361332052,165945.0
11,2022-08-24,96,1,83,2,1746455,7448,1244035,509868,7486715464,31579520,5340203774,2178091210,4286.8069684017055,4292.647533228566,4240.0,4271.872739611036,502420.0
12,2022-08-23,107,0,85,2,1477521,0,1046957,430564,6366987362,0,4502525744,1864461618,4309.236458906506,4300.583256045855,,4330.277538298604,430564.0
13,2022-08-22,120,1,111,0,3584142,11000,3595142,0,14969262725,44325000,15013587725,0,4176.526132335159,4176.076417843857,4029.5454545454545,,-11000.0
14,2022-08-21,55,3,26,1,749104,91500,366263,474341,3030743228,368062967,1482564299,1916241896,4045.8243821952624,4047.813453720414,4022.546087431694,4039.7981536489574,382841.0
15,2022-08-20,38,2,48,0,882898,79000,961898,0,3575084025,317080891,3892164916,0,4049.2605317941598,4046.3385057459313,4013.682164556962,,-79000.0
16,2022-08-17,47,2,39,0,612866,270000,882866,0,2469854321,1083748258,3553602579,0,4030.0070831144167,4025.075808786384,4013.882437037037,,-270000.0
17,2022-08-16,66,2,29,0,1641244,310000,1951244,0,6584535144,1242370647,7826905791,0,4011.9172676335756,4011.238876839596,4007.6472483870966,,-310000.0
18,2022-08-15,55,2,29,0,1637074,439524,2076598,0,6540140267,1765596563,8305736830,0,3995.018103641008,3999.684498395934,4017.0651955297094,,-439524.0
19,2022-08-14,41,2,49,1,788489,698508,986997,500000,3191470861,2805535795,3981604736,2015401920,4047.578166594588,4034.059613149787,4016.469095557961,4030.80384,-198508.0
20,2022-08-13,69,2,28,1,946287,84000,530287,500000,3821735646,339042233,2145733416,2015044463,4038.66442844507,4046.3624716427144,4036.2170595238094,4030.088926,416000.0
21,2022-08-10,18,2,25,1,318423,356000,316284,358139,1277813830,1429600106,1271048241,1436365695,4012.9445109178673,4018.692823538339,4015.7306348314605,4010.6374759520745,2139.0
22,2022-08-09,43,1,22,1,565576,195000,381239,379337,2264693071,785888000,1531074707,1519506364,4004.224137870065,4016.0495306094076,4030.1948717948717,4005.689832523587,184337.0
23,2022-08-06,54,2,29,1,1114423,120696,529660,705459,4518486640,489314222,2151544272,2856256590,4054.5525711511696,4062.1233848128986,4054.1047093524226,4048.7917653612753,584763.0
24,2022-08-03,47,3,29,1,666677,343094,369771,640000,2679617103,1385583375,1497243089,2567957389,4019.363354368007,4049.109013416412,4038.494916844946,4012.4334203125,296906.0
25,2022-08-02,18,2,19,0,290741,110000,400741,0,1167823923,442660300,1610484223,0,4016.715643820445,4018.7657938668617,4024.1845454545455,,-110000.0
26,2022-08-01,47,3,31,1,786068,397000,663072,519996,3150586898,1603380085,2670633258,2083333725,4008.033526361587,4027.667067829738,4038.7407682619646,4006.44182839868,122996.0
27,2022-07-31,25,2,29,1,178758,322634,497024,4368,716814028,1316228479,2015450610,17591897,4009.9689412501816,4055.0367990278137,4079.6335135168642,4027.4489468864467,-318266.0
28,2022-07-30,11,2,42,0,42784,675784,718568,0,175675084,2798927685,2974602769,0,4106.093025430067,4139.6259908595985,4141.748968605353,,-675784.0
29,2022-07-27,35,2,40,0,569005,163750,732755,0,2323506314,675449230,2998955544,0,4083.4550030316077,4092.712494626444,4124.8807938931295,,-163750.0
30,2022-07-26,37,2,38,0,497881,320072,817953,0,2003672404,1311606593,3315278997,0,4024.400216115899,4053.1411914865525,4097.8485871928815,,-320072.0
31,2022-07-25,43,2,43,1,630769,147307,769853,8223,2554123133,612041752,3133030870,33134015,4049.221082519908,4069.6481925770245,4154.872151357369,4029.4314726985285,-139084.0
32,2022-07-24,19,1,29,0,379973,53000,432973,0,1596141998,223088343,1819230341,0,4200.672147757867,4201.717753762937,4209.214018867924,,-53000.0
33,2022-07-23,36,2,33,1,807218,202182,809400,200000,3406852250,850697895,3410150145,847400000,4220.48597776561,4213.182783543365,4207.584725643233,4237.0,-2182.0
34,2022-07-20,43,2,42,0,483504,179884,663388,0,2040420051,755042632,2795462683,0,4220.068605430359,4213.918073585895,4197.386271152521,,-179884.0
35,2022-07-19,43,1,47,0,539957,127000,666957,0,2226788421,537980197,2764768618,0,4124.010654552122,4145.347628107959,4236.064543307087,,-127000.0
36,2022-07-17,44,1,44,1,821264,120000,934002,7262,3406992903,512778418,3889433585,30337736,4148.474671969062,4164.266869878223,4273.1534833333335,4177.600660974938,-112738.0
37,2022-07-16,36,2,60,1,761207,281000,1031810,10397,3199360440,1201996858,4357235017,44122281,4203.009746363341,4222.904427171669,4277.5688896797155,4243.751178224488,-270603.0
38,2022-07-13,16,1,12,0,145353,142000,287353,0,614796141,615433896,1230230037,0,4229.67631215042,4281.250020010231,4334.041521126761,,-142000.0
39,2022-07-09,28,1,35,0,1237855,60000,1297855,0,5304402048,259834391,5564236439,0,4285.156216196566,4287.255848303547,4330.573183333333,,-60000.0
40,2022-07-06,47,1,30,1,627125,60000,680749,6376,2697089972,258302099,2928010906,27381165,4300.721502092884,4301.160789072037,4305.034983333333,4294.4110727728985,-53624.0
41,2022-07-05,55,1,39,1,660179,15000,671180,3999,2885632358,65490000,2933801587,17320771,4370.984775341233,4371.109966029977,4366.0,4331.275568892223,-11001.0
42,2022-07-04,44,2,35,0,717249,100620,817869,0,3136118888,442332980,3578451868,0,4372.426992578588,4375.336231107915,4396.074140329954,,-100620.0
43,2022-07-03,30,2,53,1,1279486,82138,1357830,3794,5604609179,359660660,5947722308,16547531,4380.359909369857,4380.3144046014595,4378.736516594025,4361.5,-78344.0
44,2022-07-02,44,3,31,0,435841,247000,682841,0,1889661372,1084855000,2974516372,0,4335.666841806989,4356.089297508498,4392.1255060728745,,-247000.0
45,2022-06-29,47,2,45,1,442069,641632,969504,114197,1936542509,2868785608,4291441617,513886500,4380.634039030107,4426.430027106644,4471.076268016558,4500.0,-527435.0
46,2022-06-28,33,3,36,1,352412,262958,296541,318829,1575090609,1173441922,1323007860,1425524671,4469.457932760519,4461.466913512802,4462.468995048639,4471.126124035141,55871.0
47,2022-06-27,48,3,51,3,1323930,1522000,1097374,1748556,5844230086,6760393368,4867869347,7736754107,4414.304446609715,4435.925534047645,4441.78276478318,4424.653317937773,226556.0
48,2022-06-26,39,3,41,2,575765,805000,891860,488905,2521361041,3574737753,3929576522,2166522272,4379.1495505979,4406.046377234095,4440.6680161490685,4431.37679508289,-316095.0
49,2022-06-25,36,3,42,2,760860,900000,601420,1059440,3419232974,4058599660,2709969495,4767863139,4493.90554635544,4505.951739217186,4509.555177777778,4500.361642943441,159440.0
50,2022-06-22,28,3,34,2,276843,222036,424490,74389,1254842088,1006090451,1922159183,338773356,4532.684908052579,4528.161282951306,4531.204178601668,4554.078640659237,-147647.0
51,2022-06-21,34,3,60,3,380522,840664,879210,341976,1722524319,3814197289,3976681084,1560040524,4526.740422367169,4523.01621228148,4537.124569388007,4561.84212927223,-498688.0
52,2022-06-20,37,3,38,3,677399,1232000,989219,920180,3083658518,5662732818,4511201027,4235190309,4552.204118990432,4560.366336473521,4596.3740405844155,4602.567224890782,-311820.0
53,2022-06-19,29,1,41,0,567838,230000,797838,0,2622940536,1059809391,3682749927,0,4619.170495810425,4615.911910688636,4607.866917391304,,-230000.0
54,2022-06-18,35,3,71,1,500195,889835,1250444,139586,2288445763,4131215362,5786755675,632905450,4575.10723417867,4627.760759378269,4642.675734265341,4534.16137721548,-750249.0
55,2022-06-15,36,1,41,0,497875,18691,516566,0,2250196188,83956555,2334152743,0,4519.600678885262,4518.595383745736,4491.81718474132,,-18691.0
