,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,237,1,203,1,853018,104868,940171,17715,34086627600,4130352000,37471736000,745243600,39960.03319976835,39856.29848187191,39386.199794026776,42068.50691504375,-87153.0
1,2022-09-07,225,0,329,1,1871361,0,1721361,150000,76202325250,0,70102575250,6099750000,40720.270033414185,40725.086283469886,,40665.0,150000.0
2,2022-09-06,131,1,84,1,291125,15137,291262,15000,11150761800,575956000,11143967800,582750000,38302.31618720481,38260.97396845452,38049.54746647288,38850.0,-137.0
3,2022-09-05,109,0,131,2,305820,0,275819,30001,11992784700,0,10814495250,1178289450,39215.17461251717,39208.6667343439,,39275.005833138894,30001.0
4,2022-09-04,208,2,144,1,639117,109089,703555,44651,24048941250,4057641900,26410024250,1696558900,37628.38611709593,37537.96682562131,37195.70167477931,37995.98889162617,-64438.0
5,2022-09-03,132,1,59,0,239840,34848,274688,0,9084819850,1317519600,10402339450,0,37878.66848732488,37869.653752621154,37807.61019283746,,-34848.0
6,2022-08-31,146,1,62,0,244648,41025,285673,0,9526736950,1590206250,11116943200,0,38940.587905889275,38914.92440657675,38761.882998171845,,-41025.0
7,2022-08-30,113,1,85,0,250000,9977,259977,0,9875872100,389103000,10264975100,0,39503.4884,39484.16629163349,39000.0,,-9977.0
8,2022-08-29,180,2,135,0,517131,15674,532805,0,21054903700,627431800,21682335500,0,40714.835699271556,40694.69224200223,40030.10080387904,,-15674.0
9,2022-08-28,161,1,154,1,625162,41390,651552,15000,24593747350,1582237000,25593984350,582000000,39339.79888412923,39281.56824014046,38227.51872432955,38800.0,-26390.0
10,2022-08-27,219,1,165,1,657415,14149,656564,15000,26018895350,552621000,25973016350,598500000,39577.58090399519,39559.00163578874,39057.24786203972,39900.0,851.0
11,2022-08-24,275,1,220,1,760830,30000,768751,22079,30460220350,1185000000,30757105050,888115300,40035.51430674395,40009.19029698823,39500.0,40224.434983468454,-7921.0
12,2022-08-23,463,1,236,1,1825013,45000,1839713,30300,70656912950,1727250000,71195037950,1189125000,38715.84090085934,38698.99160901728,38383.333333333336,39245.0495049505,-14700.0
13,2022-08-22,626,2,109,0,1940238,201077,2141315,0,77040395700,8000371950,85040767650,0,39706.672944247046,39714.27260818703,39787.603505124905,,-201077.0
14,2022-08-21,361,1,207,0,1182823,30000,1212823,0,49718232650,1266498400,50984731050,0,42033.5355754834,42038.06412807145,42216.613333333335,,-30000.0
15,2022-08-20,378,1,166,0,1766076,230000,1996076,0,78451165300,9995529250,88446694550,0,44421.17173892856,44310.284052310635,43458.82282608696,,-230000.0
16,2022-08-17,192,0,254,2,1687300,0,1287300,400000,76894639700,0,58485139700,18409500000,45572.59509275173,45432.408684844246,,46023.75,400000.0
17,2022-08-16,140,0,293,1,1413111,0,1253111,160000,61431073350,0,54488292650,6942780700,43472.22075972801,43482.41508533562,,43392.379375,160000.0
18,2022-08-15,258,1,159,2,768905,95832,809737,55000,31776321150,3929989100,33428659150,2277651100,41326.71936064924,41283.35391614808,41009.15247516487,41411.83818181818,-40832.0
19,2022-08-14,407,1,218,2,2076849,141960,2187088,31721,90566142350,6132786000,95266871200,1432057150,43607.475724041564,43558.77367531622,43200.80304311073,45145.3973708269,-110239.0
20,2022-08-13,148,2,198,2,884116,25000,737116,172000,39142116350,1091806700,32594923050,7639000000,44272.602633591065,44219.52996543285,43672.268,44412.79069767442,147000.0
21,2022-08-10,197,2,284,1,1389933,40000,1384933,45000,58390938850,1665322600,58173761450,1882500000,42009.89461362526,42004.74784700776,41633.065,41833.333333333336,5000.0
22,2022-08-09,90,1,138,1,554587,10000,444587,120000,22686214300,413340900,18145055200,4954500000,40906.5021358236,40813.2833393689,41334.09,41287.5,110000.0
23,2022-08-06,57,1,105,1,275407,1581,231988,45000,10765532950,59761800,9060544750,1764750000,39089.54002621575,39056.09234098315,37800.0,39216.666666666664,43419.0
24,2022-08-03,66,1,135,1,471185,10000,381185,100000,17513413750,373000000,14162069050,3724344700,37168.86944618356,37152.74486141899,37300.0,37243.447,90000.0
25,2022-08-02,147,1,163,2,732399,41538,703071,70866,25822346800,1431330000,24754950800,2498726000,35257.21198417802,35209.74524621269,34458.32731474794,35259.87074196371,29328.0
26,2022-08-01,77,2,101,1,194295,94293,258588,30000,7024076450,3377552600,9308129050,1093500000,36151.606834967446,35995.982218819125,35819.759685236444,36450.0,-64293.0
27,2022-07-31,162,1,42,0,373467,300000,673467,0,13614611850,10907250000,24521861850,0,36454.65824289696,36411.378508523805,36357.5,,-300000.0
28,2022-07-30,132,2,74,1,372016,125000,482016,15000,14369911100,4844750000,18603411100,611250000,38627.13189755279,38595.007427139346,38758.0,40750.0,-110000.0
29,2022-07-27,140,1,113,0,300469,37260,337729,0,11747687600,1445664000,13193351600,0,39097.83571682936,39064.90588608026,38799.35587761675,,-37260.0
30,2022-07-26,169,1,107,0,642031,300000,942031,0,26211961150,12125000000,38336961150,0,40826.628542858525,40696.0717322466,40416.666666666664,,-300000.0
31,2022-07-25,129,2,160,2,514720,10151,480378,44493,22033635600,433462800,20552884650,1914213750,42807.03217283183,42784.816644392544,42701.48753817358,43022.80695839795,34342.0
32,2022-07-24,96,1,184,2,818184,35000,653882,199302,34629360050,1470000000,27578197400,8521162650,42324.66052868304,42176.1073098816,42000.0,42755.028298762685,164302.0
33,2022-07-23,128,2,229,2,564499,56240,583475,37264,23922012250,2359964000,24692124250,1589852000,42377.421837771195,42319.07836668238,41962.37553342817,42664.5556032632,-18976.0
34,2022-07-20,252,1,185,1,817812,56757,859569,15000,34681496150,2374287000,36406283150,649500000,42407.66355837283,42354.1136895351,41832.49643215815,43300.0,-41757.0
35,2022-07-19,280,1,246,1,942189,4674,788453,158410,39682511150,196070200,33197625950,6680955400,42117.357716976105,42104.76204669143,41949.12280701754,42175.086168802474,153736.0
36,2022-07-17,142,0,219,1,728492,0,498492,230000,29052445350,0,19838695350,9213750000,39880.253111907885,39797.419717869096,,40059.782608695656,230000.0
37,2022-07-16,125,2,107,1,246899,93612,334967,5544,9388807800,3535263200,12711735800,212335200,38026.91707945354,37949.21828120382,37765.064307994704,38300.0,-88068.0
38,2022-07-13,68,2,55,0,137036,87335,224371,0,5394870100,3445810250,8840680350,0,39368.26892203509,39402.06332369157,39455.08959752676,,-87335.0
39,2022-07-12,53,2,78,0,212146,80793,292939,0,8349516800,3193905500,11543422300,0,39357.408577111986,39405.54961954537,39531.958214201724,,-80793.0
40,2022-07-11,40,2,94,0,132505,117209,249714,0,5330691000,4715621900,10046312900,0,40230.1120712426,40231.27617994986,40232.59220708307,,-117209.0
41,2022-07-09,62,2,87,0,151067,210485,361552,0,6128854200,8519377700,14648231900,0,40570.43695843566,40514.868953843434,40474.98729125591,,-210485.0
42,2022-07-06,43,1,91,1,107204,55613,148036,14781,4427909200,2261763450,6073698050,615974600,41303.58195589717,41028.52042746359,40669.689640911296,41673.40504701982,-40832.0
43,2022-07-05,53,1,81,1,154876,60000,199876,15000,6385566300,2457000000,8217066300,625500000,41230.18608435135,41110.82020852929,40950.0,41700.0,-45000.0
44,2022-07-04,63,1,110,1,125318,100000,224318,1000,5112900900,4099790600,9172441500,40250000,40799.41349207616,40890.34986046595,40997.906,40250.0,-99000.0
45,2022-07-03,111,2,133,0,235551,211216,446767,0,9547814550,8533665500,18081480050,0,40533.95888788415,40471.83442376004,40402.55236345731,,-211216.0
46,2022-07-02,76,0,110,1,279372,0,264372,15000,11546776150,0,10918276150,628500000,41331.18619618287,41298.91270633804,,41900.0,15000.0
47,2022-06-29,113,1,180,2,451037,9283,400320,60000,18753708050,375961500,16629965000,2499704550,41579.090074650194,41541.67915667466,40500.0,41661.7425,50717.0
48,2022-06-28,242,2,245,1,551601,947181,1483782,15000,21933716850,38600200700,59925667550,608250000,39763.73655957839,40387.110471753935,40752.71854059573,40550.0,-932181.0
49,2022-06-27,215,2,243,2,685152,532952,873104,345000,28480692800,21932895550,36168440100,14245148250,41568.42977908552,41425.12243673148,41153.60398309791,41290.284782608695,-187952.0
50,2022-06-26,272,2,320,2,1151853,57920,819773,390000,47452949150,2352548000,33572497150,16233000000,41197.0530527767,40953.40679675959,40617.196132596684,41623.07692307692,332080.0
51,2022-06-25,3,1,19,0,3166,46026,49192,0,124740400,1813424400,1938164800,0,39400.0,39400.0,39400.0,,-46026.0
52,2022-06-21,359,1,160,1,840644,30000,826739,43905,32263456900,1147500000,31730655000,1680301900,38379.45301459357,38380.498561214605,38250.0,38271.310784648675,13905.0
53,2022-06-20,318,3,218,0,573985,277245,851230,0,23288243550,11324289700,34612533250,0,40572.913142329504,40661.78735476898,40845.78513589064,,-277245.0
54,2022-06-19,292,2,240,1,706166,42245,742045,6366,29899832600,1801535000,31425719800,275647800,42341.08212516604,42350.153696878224,42644.92839389277,43300.0,-35879.0
55,2022-06-18,385,3,368,1,1314341,116568,1359040,71869,54927199650,4868262400,56787809900,3007652150,41790.67658240898,41785.23803567224,41763.2832338206,41849.08861957172,-44699.0
56,2022-06-15,621,2,275,1,1717870,560000,2247870,30000,70450440950,23023852700,92212043650,1262250000,41010.344758334446,41021.96463763474,41114.022678571426,42075.0,-530000.0
57,2022-06-14,414,2,101,0,1656124,100000,1756124,0,71882011900,4271445000,76153456900,0,43403.761976760194,43364.51008015379,42714.45,,-100000.0
58,2022-06-13,217,0,222,1,934786,0,895569,39217,42324853400,0,40517871400,1806982000,45277.585885967485,45242.60151925759,,46076.49743733585,39217.0
59,2022-06-12,324,3,277,2,780024,78082,842670,15436,34936066600,3550490100,37781720100,704836600,44788.450868178414,44835.72466089929,45471.300683896414,45661.86835967867,-62646.0
60,2022-06-11,255,1,166,0,469232,150000,619232,0,22152919800,7044750000,29197669800,0,47211.01672520203,47151.42273009147,46965.0,,-150000.0
61,2022-06-08,154,0,181,0,392682,0,392682,0,19558649300,0,19558649300,0,49807.85801233568,49807.85801233568,,,0.0
62,2022-06-07,337,1,204,1,1669414,30000,1669414,30000,85323374100,1477500000,85246874100,1554000000,51109.77510671409,51063.95064375883,49250.0,51800.0,0.0
63,2022-06-06,194,2,171,2,1604673,132490,1619544,117619,80720705950,6590813500,81263522050,6047997400,50303.523490455686,50176.79176978211,49745.74307494905,51420.24162762819,-14871.0
