,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,55,3,62,2,302072,807061,545620,563513,5190701890,13884537380,9426345320,9648893950,17183.657836542283,17276.392580917123,17203.826451779976,17122.75306869584,-243548.0
1,2022-09-07,35,2,68,2,94926,6608134,2682276,4020784,1656493390,116162351290,47014624950,70804219730,17450.365442555252,17527.884882092672,17578.69185007447,17609.555681180587,-2587350.0
2,2022-09-06,46,2,70,1,170249,417684,568775,19158,2936920470,7309902380,9914495000,332327850,17250.735510928112,17431.312909322667,17501.03518449354,17346.68806764798,-398526.0
3,2022-09-05,26,3,67,0,34288,1823780,1858068,0,598690190,32085155390,32683845580,0,17460.633166122258,17590.231132552737,17592.66764083387,,-1823780.0
4,2022-09-04,32,3,54,3,58071,1338335,823135,573271,1014172080,23571375730,14480560080,10104987730,17464.346747946478,17591.962533484788,17612.463045500564,17626.895011259945,-765064.0
5,2022-09-03,20,3,68,3,26492,1126514,952006,201000,464876200,19858354940,16775061140,3548170000,17547.795560924053,17620.751486860376,17628.1474886242,17652.587064676616,-925514.0
6,2022-08-31,36,2,45,2,87727,813921,401148,500500,1534136110,14308454530,7063755640,8778835000,17487.616241294014,17608.851695633533,17579.660102147507,17540.12987012987,-313421.0
7,2022-08-30,28,3,33,2,68752,570824,383343,256233,1210804710,10089006160,6772111430,4527699440,17611.192547125902,17665.93215475436,17674.460359059885,17670.243255162295,-314591.0
8,2022-08-29,25,3,71,6,88088,8893912,3048654,5933346,1542369150,157127861500,53826799590,104843431060,17509.412746344566,17655.922774444065,17666.900853077925,17670.203466981362,-2960566.0
9,2022-08-28,21,2,65,2,39835,4596239,1385750,3250324,701883720,81201514640,24470170430,57433227930,17619.77457010167,17658.430763124663,17666.94783278241,17670.000876835664,-1345915.0
10,2022-08-27,49,1,106,3,186159,3283089,2393963,1075285,3284322750,58010015230,42293454290,19000883690,17642.567643788374,17666.711762044775,17669.339829045148,17670.555889833857,-2207804.0
11,2022-08-24,54,1,72,2,172298,2423797,429429,2166666,3028519230,42826582310,7570064600,38285036940,17577.216392529223,17628.21001841981,17669.211699659667,17670.022486160764,-257131.0
