,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-08-16,81,0,144,0,1108059,0,1108059,0,16166274210,0,16166274210,0,14589.723299932584,14589.723299932584,,,0.0
1,2022-08-15,84,0,107,0,2150442,0,2150442,0,32210543690,0,32210543690,0,14978.568912809553,14978.568912809553,,,0.0
2,2022-08-14,50,0,121,1,1609624,0,1334702,274922,24998378710,0,20726784310,4271594400,15530.570313315407,15529.147562527067,,15537.477539083813,274922.0
3,2022-08-13,51,0,120,1,4678003,0,3327405,1350598,72982078520,0,51900632240,21081446280,15601.11836610622,15597.930591557084,,15608.971936875369,1350598.0
4,2022-08-10,43,0,94,1,2169121,0,1895096,274025,33771755920,0,29512526920,4259229000,15569.327815276327,15573.103906081802,,15543.213210473497,274025.0
5,2022-08-09,17,0,88,2,1067199,0,666387,400812,16703524250,0,10430461770,6273062480,15651.742786490617,15652.258777557185,,15650.8849036456,400812.0
6,2022-08-06,41,1,78,2,960149,16667,546816,430000,14988619600,259671860,8540060800,6708230660,15610.722502444933,15617.79611423221,15580.0,15600.536418604652,413333.0
7,2022-08-03,33,0,93,2,1393183,0,607813,785370,21717472200,0,9472751130,12244721070,15588.384440522172,15584.976185109565,,15591.022155162535,785370.0
8,2022-08-02,19,0,65,2,2046897,0,481924,1564973,31958719790,0,7530288500,24428431290,15613.252542751296,15625.468953610944,,15609.490572680807,1564973.0
9,2022-08-01,27,0,97,2,2304867,0,1531730,773137,36076805680,0,23954497930,12122307750,15652.445750665873,15638.851449015167,,15679.378622417502,773137.0
10,2022-07-31,43,0,72,2,2827171,0,2170339,656832,44036622570,0,33786982650,10249639920,15576.214728433477,15567.606097480624,,15604.659821689564,656832.0
11,2022-07-30,37,0,105,3,2524366,0,1327199,1197167,39327087220,0,20667393010,18659694210,15578.995763688783,15572.188503758667,,15586.542403858442,1197167.0
12,2022-07-27,44,0,70,2,1581345,0,971040,610305,24848838680,0,15185839670,9662999010,15713.736521758377,15638.73750823859,,15833.065450881117,610305.0
13,2022-07-26,32,0,60,2,923540,0,438427,485113,14485386550,0,6877682340,7607704210,15684.633637958292,15687.177888223125,,15682.33423965138,485113.0
14,2022-07-25,37,0,77,1,629233,0,429233,200000,9879246750,0,6735959320,3143287430,15700.458733092511,15693.013631291164,,15716.43715,200000.0
15,2022-07-24,66,0,100,1,3385709,0,3285709,100000,53119427940,0,51545627940,1573800000,15689.307007778873,15687.825044762028,,15738.0,100000.0
16,2022-07-23,54,0,95,2,1911630,0,1658297,253333,30833806900,0,26760540730,4073266170,16129.589355680753,16137.363047753208,,16078.703406188692,253333.0
17,2022-07-20,28,0,109,2,3034636,0,1035235,1999401,50187646130,0,17199948760,32987697370,16538.275473565856,16614.53559819751,,16498.79007262675,1999401.0
18,2022-07-19,84,0,88,2,4670764,0,4544098,126666,74120975050,0,72094485850,2026489200,15869.132983383446,15865.521793324,,15998.683150963952,126666.0
19,2022-07-17,34,1,106,0,1464127,1500000,2964127,0,24173317550,24255000000,48428317550,0,16510.39667323941,16338.138531176295,16170.0,,-1500000.0
20,2022-07-16,20,0,117,2,3455436,0,3408447,46989,58832190850,0,58033835480,798355370,17025.981916609075,17026.474367945284,,16990.26091212837,46989.0
21,2022-07-13,31,1,108,0,3111701,10372,3122073,0,52871703620,175556020,53047259640,0,16991.254500352057,16991.03757022978,16925.956421133822,,-10372.0
22,2022-07-12,23,1,112,0,1326559,3026,1329585,0,23146252020,53197080,23199449100,0,17448.3396667619,17448.63931226661,17580.0,,-3026.0
23,2022-07-11,45,0,159,1,3519073,0,3359073,160000,62342291090,0,59507891090,2834400000,17715.543579232373,17715.569471101106,,17715.0,160000.0
24,2022-07-09,84,1,548,2,14829838,7184,14660648,176374,268198945930,123717000,265205371720,3117291210,18085.089394098573,18089.607752672324,17221.1859688196,17674.32393663465,169190.0
25,2022-07-06,22,2,94,0,1254049,21913,1275962,0,21233115620,369104270,21602219890,0,16931.647503406963,16930.143601455216,16844.077488248986,,-21913.0
26,2022-07-05,34,1,130,1,929515,100000,643604,385911,15679367800,1690000000,10886835430,6482532370,16868.332194746723,16915.42537025873,16900.0,16797.998424507205,285911.0
27,2022-07-04,33,0,165,0,1587267,0,1587267,0,26639919820,0,26639919820,0,16783.515199396195,16783.515199396195,,,0.0
28,2022-07-03,40,0,151,0,871865,0,871865,0,14532661690,0,14532661690,0,16668.476988983388,16668.476988983388,,,0.0
29,2022-07-02,76,0,156,1,910409,0,905183,5226,15478465740,0,15392184480,86281260,17001.661604839144,17004.500172893215,,16510.0,5226.0
