,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,55,0,64,0,370002,0,370002,0,3005340240,0,3005340240,0,8122.497283798466,8122.497283798466,,,0.0
1,2022-09-07,86,0,48,0,663309,0,663309,0,5351116290,0,5351116290,0,8067.305418741492,8067.305418741492,,,0.0
2,2022-09-06,73,0,34,0,439665,0,439665,0,3580488760,0,3580488760,0,8143.674752368281,8143.674752368281,,,0.0
3,2022-09-05,60,0,47,0,477117,0,477117,0,3933359250,0,3933359250,0,8244.014046869008,8244.014046869008,,,0.0
4,2022-09-04,60,0,47,0,343251,0,343251,0,2852829550,0,2852829550,0,8311.205357012797,8311.205357012797,,,0.0
5,2022-09-03,62,0,43,0,282730,0,282730,0,2368814130,0,2368814130,0,8378.361440243341,8378.361440243341,,,0.0
6,2022-08-31,79,0,52,0,618183,0,618183,0,5334160250,0,5334160250,0,8628.772143523844,8628.772143523844,,,0.0
7,2022-08-30,105,0,118,0,860405,0,860405,0,7441013980,0,7441013980,0,8648.269105828069,8648.269105828069,,,0.0
8,2022-08-29,113,1,73,1,1708915,15000,1723215,700,14495411920,126000000,14615522080,5889840,8482.23107644324,8481.542976355244,8400.0,8414.057142857142,-14300.0
9,2022-08-28,98,0,44,0,770616,0,770616,0,6605145600,0,6605145600,0,8571.254165498769,8571.254165498769,,,0.0
10,2022-08-27,77,0,63,0,634344,0,634344,0,5567787280,0,5567787280,0,8777.236452145838,8777.236452145838,,,0.0
11,2022-08-24,196,0,183,0,3453285,0,3453285,0,30591092780,0,30591092780,0,8858.548535669659,8858.548535669659,,,0.0
12,2022-08-23,8,0,2,0,34488,0,34488,0,304873920,0,304873920,0,8840.0,8840.0,,,0.0
13,2022-08-01,1,0,1,0,1019,0,1019,0,9038530,0,9038530,0,8870.0,8870.0,,,0.0
14,2022-07-31,10,0,1,0,21313,0,21313,0,189259440,0,189259440,0,8880.0,8880.0,,,0.0
15,2022-07-30,10,3,7,2,654766,1000000,917102,737664,5991108900,9150000000,8391483300,6749625600,9150.0,9150.0,9150.0,9150.0,-262336.0
16,2022-07-27,19,0,10,0,277937,0,277937,0,2526447330,0,2526447330,0,9090.0,9090.0,,,0.0
17,2022-07-25,3,0,1,0,18000,0,18000,0,167040000,0,167040000,0,9280.0,9280.0,,,0.0
18,2022-07-24,5,0,1,0,5505,0,5505,0,51086400,0,51086400,0,9280.0,9280.0,,,0.0
19,2022-07-23,9,0,1,0,96572,0,96572,0,899085320,0,899085320,0,9310.0,9310.0,,,0.0
20,2022-07-20,9,0,5,0,56852,0,56852,0,530429160,0,530429160,0,9330.0,9330.0,,,0.0
21,2022-07-19,8,0,1,0,6565,0,6565,0,61251450,0,61251450,0,9330.0,9330.0,,,0.0
22,2022-07-13,20,0,2,0,80659,0,80659,0,754161650,0,754161650,0,9350.0,9350.0,,,0.0
23,2022-07-12,6,0,2,0,41479,0,41479,0,388243440,0,388243440,0,9360.0,9360.0,,,0.0
24,2022-07-11,8,0,1,0,27567,0,27567,0,258302790,0,258302790,0,9370.0,9370.0,,,0.0
25,2022-07-09,14,0,1,0,46564,0,46564,0,436770320,0,436770320,0,9380.0,9380.0,,,0.0
26,2022-07-06,10,0,1,0,77205,0,77205,0,724954950,0,724954950,0,9390.0,9390.0,,,0.0
27,2022-07-05,17,0,4,0,67802,0,67802,0,638016820,0,638016820,0,9410.0,9410.0,,,0.0
28,2022-07-04,235,0,110,1,6013506,0,5739518,273988,58303985030,0,55643561550,2660423480,9695.506253756128,9694.814364202708,,9710.0,273988.0
29,2022-07-03,10,0,33,0,460758,0,460758,0,4529251140,0,4529251140,0,9830.0,9830.0,,,0.0
30,2022-07-02,13,0,38,0,809761,0,809761,0,7789900820,0,7789900820,0,9620.0,9620.0,,,0.0
31,2022-06-29,39,1,82,0,655691,273988,929679,0,6129224540,2574103800,8703328340,0,9347.733215798295,9361.648848688634,9394.950873760894,,-273988.0
32,2022-06-28,123,1,88,0,1148959,144630,1293589,0,10498794840,1319996000,11818790840,0,9137.658384676912,9136.43424611681,9126.709534674686,,-144630.0
33,2022-06-27,46,2,21,0,878238,350000,1228238,0,8255527400,3290000000,11545527400,0,9400.102705644711,9400.073438535528,9400.0,,-350000.0
34,2022-06-26,45,3,39,0,499067,463042,962109,0,4741598310,4573900840,9315499150,0,9500.925346696937,9682.3739825737,9877.939452576657,,-463042.0
35,2022-06-25,49,1,84,0,620857,194125,814982,0,6043966890,1899824510,7943791400,0,9734.877580505656,9747.198588435082,9786.60404378622,,-194125.0
36,2022-06-22,87,0,95,0,1048023,0,1048023,0,10255651380,0,10255651380,0,9785.712126546841,9785.712126546841,,,0.0
37,2022-06-21,48,2,76,1,774435,218063,990498,2000,7374960910,2073526730,9429566980,18920660,9523.021183185161,9520.02626961387,9508.842536331244,9460.33,-216063.0
38,2022-06-20,76,3,105,0,2023499,691381,2714880,0,18814470480,6431495190,25245965670,0,9297.988523839153,9299.109231347242,9302.389261492577,,-691381.0
39,2022-06-19,73,0,77,0,957096,0,957096,0,9083041340,0,9083041340,0,9490.209278902012,9490.209278902012,,,0.0
40,2022-06-18,184,0,160,0,2839981,0,2839981,0,27765004860,0,27765004860,0,9776.475567970348,9776.475567970348,,,0.0
41,2022-06-15,63,0,97,0,1324543,0,1324543,0,12615105080,0,12615105080,0,9524.118945175807,9524.118945175807,,,0.0
42,2022-06-14,178,0,186,0,2433505,0,2433505,0,22614158440,0,22614158440,0,9292.834179506513,9292.834179506513,,,0.0
43,2022-06-13,468,0,336,0,5436054,0,5436054,0,51914462480,0,51914462480,0,9550.027001203447,9550.027001203447,,,0.0
44,2022-06-12,6,0,1,0,11216,0,11216,0,108234400,0,108234400,0,9650.0,9650.0,,,0.0
45,2022-06-11,6,0,1,0,7203,0,7203,0,69508950,0,69508950,0,9650.0,9650.0,,,0.0
46,2022-06-08,14,0,2,0,154424,0,154424,0,1496368560,0,1496368560,0,9690.0,9690.0,,,0.0
47,2022-06-07,8,0,1,0,10809,0,10809,0,104739210,0,104739210,0,9690.0,9690.0,,,0.0
48,2022-06-06,7,0,3,0,14527,0,14527,0,140766630,0,140766630,0,9690.0,9690.0,,,0.0
49,2022-06-01,41,0,8,0,89545,0,89545,0,869481950,0,869481950,0,9710.0,9710.0,,,0.0
50,2022-05-31,29,0,7,0,342115,0,342115,0,3359569300,0,3359569300,0,9820.0,9820.0,,,0.0
51,2022-05-30,27,0,3,0,90548,0,90548,0,891897800,0,891897800,0,9850.0,9850.0,,,0.0
52,2022-05-29,32,0,9,0,115826,0,115826,0,1145519140,0,1145519140,0,9890.0,9890.0,,,0.0
53,2022-05-28,90,0,5,0,339235,0,339235,0,3388957650,0,3388957650,0,9990.0,9990.0,,,0.0
54,2022-05-25,146,0,31,0,1099317,0,1099317,0,11312711270,0,11312711270,0,10290.672544861945,10290.672544861945,,,0.0
55,2022-05-24,399,0,162,5,7255715,0,5684874,1570841,76907413910,0,60252449780,16654964130,10599.563779723983,10598.730909427368,,10602.57793755065,1570841.0
56,2022-05-23,272,2,217,1,4146469,86971,4218124,15316,42752705500,890319940,43483739040,159286400,10310.629477755652,10308.786332502315,10236.974853686861,10400.0,-71655.0
57,2022-05-22,384,0,263,0,6072243,0,6072243,0,61526354880,0,61526354880,0,10132.393397299811,10132.393397299811,,,0.0
58,2022-05-21,30,0,43,0,772014,0,772014,0,7913143500,0,7913143500,0,10250.0,10250.0,,,0.0
59,2022-05-18,34,0,73,2,502088,0,325374,176714,5081130560,0,3292784880,1788345680,10120.0,10120.0,,10120.0,176714.0
60,2022-05-17,65,0,108,0,1154704,0,1154704,0,11348985740,0,11348985740,0,9828.480493702282,9828.480493702282,,,0.0
61,2022-05-16,104,0,132,1,1788385,0,1763385,25000,17193889110,0,16953389110,240500000,9614.19890571661,9614.116661988164,,9620.0,25000.0
62,2022-05-15,87,0,91,0,1244769,0,1244769,0,11620731710,0,11620731710,0,9335.65320955133,9335.65320955133,,,0.0
63,2022-05-14,112,1,115,0,1668076,7520,1675596,0,15129458690,67619800,15197078490,0,9070.005617250054,9069.655507652202,8991.994680851063,,-7520.0
64,2022-05-11,63,0,53,2,1149816,0,799816,350000,10152612280,0,7062112280,3090500000,8829.771267750666,8829.671174370105,,8830.0,350000.0
65,2022-05-10,133,1,107,0,1509922,102485,1612407,0,12957077840,883321310,13840399150,0,8581.289523564794,8583.688330551777,8619.030199541396,,-102485.0
66,2022-05-09,100,1,134,0,2032682,74229,2106911,0,17206194680,623980500,17830175180,0,8464.774460540311,8462.70923641293,8406.155276239744,,-74229.0
