,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,41,3,37,1,127763,46668,152633,21798,2246042520,837898080,2701370200,382570400,17579.757206703038,17698.46756599163,17954.44587297506,17550.711074410498,-24870.0
1,2022-09-07,24,2,37,0,84497,33258,117755,0,1513602230,597627700,2111229930,0,17913.08839367078,17929.00454333149,17969.441938781645,,-33258.0
2,2022-09-06,30,2,39,1,130442,52484,181926,1000,2330151860,943464340,3255746200,17870000,17863.509145827265,17895.99177687631,17976.227802758935,17870.0,-51484.0
3,2022-09-05,48,4,39,0,113009,158538,271547,0,2041403220,2865758460,4907161680,0,18064.076489483137,18071.131995566146,18076.16129886841,,-158538.0
4,2022-09-04,19,5,48,1,76322,93548,164779,5091,1395932350,1714685000,3015924750,94692600,18290.03891407458,18302.846539911032,18329.46722538162,18600.0,-88457.0
5,2022-09-03,23,2,35,0,81094,137055,218149,0,1472776250,2494617890,3967394140,0,18161.346708757737,18186.625379900892,18201.582503374557,,-137055.0
6,2022-08-31,26,3,57,0,88928,91020,179948,0,1620640470,1669141520,3289781990,0,18224.186645376034,18281.848033876453,18338.184135354866,,-91020.0
7,2022-08-30,32,2,32,1,65041,106784,110561,61264,1189565040,1956504450,2031532800,1114536690,18289.46418413001,18374.76867973336,18322.07493632005,18192.359134238704,-45520.0
8,2022-08-29,24,1,69,0,54035,137154,191189,0,1001737650,2555370600,3557108250,0,18538.681410197096,18605.193028887647,18631.39682400805,,-137154.0
9,2022-08-28,50,4,86,0,120212,81723,201935,0,2230422870,1506165770,3736588640,0,18554.078378198516,18503.91779533018,18430.133132655432,,-81723.0
10,2022-08-27,181,3,125,3,965689,400000,1295351,70338,18019626340,7453586700,24159345720,1313867320,18659.86496687857,18650.810259149835,18633.96675,18679.33862208195,-329662.0
11,2022-08-24,31,4,105,6,665592,613218,578245,700565,11862699290,11005572670,10299591130,12568680830,17822.779255159316,17811.811827166686,17947.243345759583,17940.77755811381,87347.0
12,2022-08-23,56,3,44,1,259266,43577,295369,7474,4445293300,750216640,5066060260,129449680,17145.685512176682,17151.63155239717,17215.88544415632,17320.0,-36103.0
13,2022-08-22,28,3,40,0,79044,22358,101402,0,1339696890,381887850,1721584740,0,16948.74867162593,16977.818386225124,17080.590839967797,,-22358.0
14,2022-08-21,10,4,50,1,14139,200265,209317,5087,239457360,3413073250,3564728990,87801620,16935.94737958837,17030.288939742113,17042.784560457392,17260.0,-195178.0
15,2022-08-20,22,3,44,0,44448,160374,204822,0,766991340,2759276540,3526267880,0,17255.92467602592,17216.25548036832,17205.26107723197,,-160374.0
16,2022-08-17,17,2,30,0,21351,51263,72614,0,369343690,884555300,1253898990,0,17298.660015924313,17268.006031894674,17255.23867116634,,-51263.0
17,2022-08-16,23,1,41,0,80620,90000,170620,0,1398635460,1557650000,2956285460,0,17348.492433639294,17326.72289297855,17307.222222222223,,-90000.0
18,2022-08-15,23,1,42,1,60975,30822,62475,29322,1051266180,532860600,1076966180,507160600,17240.937761377612,17238.354221688674,17288.320031146584,17296.248550576358,-1500.0
19,2022-08-14,29,3,62,3,144480,424129,526812,41797,2438374910,7209517590,8932223340,715669160,16876.902754706534,16955.23894672103,16998.407536386334,17122.500657941957,-382332.0
20,2022-08-13,97,8,66,3,569189,688735,1066650,191274,9535140540,11707343450,17965664290,3276819700,16752.151816004876,16843.073444897578,16998.328021662903,17131.547936468105,-497461.0
21,2022-08-10,46,3,44,1,264661,145571,214632,195600,4494847780,2470242550,3638025650,3327064680,16983.41569026037,16950.06173357188,16969.33146024964,17009.533128834355,50029.0
22,2022-08-09,39,2,32,2,208326,244349,100401,352274,3548176960,4155253550,1712193490,5991237020,17031.848929082305,17053.55016384299,17005.40436015699,17007.321062581967,107925.0
23,2022-08-06,68,2,65,0,285864,7287,293151,0,4837752020,123616860,4961368880,0,16923.264279517534,16924.277522505465,16964.026348291478,,-7287.0
24,2022-08-03,76,5,41,2,371370,183916,149011,406275,6306298750,3146088870,2543120240,6909267380,16981.1744351994,17066.661118977794,17106.118391004587,17006.380850409205,222359.0
25,2022-08-02,51,5,46,1,189070,263600,152670,300000,3200869500,4485556470,2597424920,5089001050,16929.54725762945,17013.32887928211,17016.52682094082,16963.336833333335,36400.0
26,2022-08-01,43,2,42,1,194066,166290,213481,146875,3373270090,2887957310,3710987460,2550239940,17382.076664639866,17383.22127027698,17366.9932647784,17363.33576170213,-19415.0
27,2022-07-31,43,4,49,2,89631,185774,190087,85318,1540794470,3201310210,3274212030,1467892650,17190.419274581338,17224.807745926864,17232.28336581007,17204.958508169435,-100456.0
28,2022-07-30,36,5,42,2,148984,84827,222693,11118,2627848150,1507955240,3936948910,198854480,17638.458827793587,17678.817520083703,17776.83096183998,17885.8139953229,-73709.0
29,2022-07-27,26,6,89,2,157855,527812,601656,84011,2818544020,9467424050,10794065530,1491902540,17855.27237021317,17940.593179491272,17937.11406712996,17758.419016557356,-443801.0
30,2022-07-26,24,5,44,2,38383,368148,363800,42731,667870280,6404675110,6314482380,758063010,17400.158403459864,17357.015887850466,17397.011826765323,17740.35267136271,-325417.0
31,2022-07-25,46,4,50,1,225972,66128,189000,103100,3950874670,1157380900,3302590570,1805665000,17483.912475881967,17474.02417989418,17502.130716186788,17513.72453928225,36972.0
32,2022-07-24,41,1,46,1,90225,38724,121475,7474,1590911620,688015370,2145067650,133859340,17632.713992795787,17658.51121629965,17767.15654374548,17910.0,-31250.0
33,2022-07-23,43,2,94,2,154733,237867,372655,19945,2785900180,4291347120,6717859240,359388060,18004.563861619692,18027.020273443264,18040.951960549384,18018.955126598146,-217922.0
34,2022-07-20,58,3,90,0,471212,87509,558721,0,8466251830,1572971720,10039223550,0,17966.96992012088,17968.223048713044,17974.970803003118,,-87509.0
35,2022-07-19,53,3,87,1,296318,494731,783575,7474,5394723640,9023084540,14280062360,137745820,18205.858705849798,18224.244469259484,18238.364970054434,18430.0,-487257.0
36,2022-07-17,246,3,238,3,2998476,1650000,4155395,493081,56143641680,31117000000,77965787840,9294853840,18724.05904866339,18762.54551974,18858.78787878788,18850.561753545564,-1156919.0
37,2022-07-16,17,2,63,3,991289,250000,72058,1169231,17823376220,4495000000,1295602840,21022773380,17980.0,17980.0,17980.0,17980.0,919231.0
38,2022-07-13,33,3,67,1,147276,77011,216813,7474,2533464340,1315212780,3721693860,126983260,17202.15337190038,17165.455300189566,17078.245705159003,16990.0,-69537.0
39,2022-07-12,41,3,50,1,149019,94363,219406,23976,2512396580,1599754440,3703120460,409030560,16859.572135096867,16877.936154890933,16953.19606201583,17060.0,-70387.0
40,2022-07-11,50,3,84,2,273374,142399,411773,4000,4729724860,2429582430,7090423290,68884000,17301.29734356596,17219.25257362673,17061.79418394792,17221.0,-138399.0
41,2022-07-09,55,1,64,1,127898,18753,146538,113,2181493020,316738170,2496312450,1918740,17056.50612206602,17035.25672521803,16890.0,16980.0,-18640.0
42,2022-07-06,143,1,93,2,553686,4275,421379,136582,9623079590,74385000,7338820670,2358643920,17380.03054077582,17416.199359721297,17400.0,17269.068544903428,132307.0
43,2022-07-05,67,3,107,3,800798,183410,634784,349424,13586107270,3150426550,10773500810,5963033010,16965.71079098599,16971.91613210163,17176.96172509678,17065.32181533037,166014.0
44,2022-07-04,48,2,41,3,264821,60550,70455,254916,4374008630,994380460,1172550820,4195838270,16516.84960784832,16642.549428713362,16422.46837324525,16459.689740934267,194366.0
45,2022-07-03,63,2,73,2,424665,20463,371769,73359,7035951710,334240950,6155805260,1214387400,16568.24016577773,16558.1456764819,16333.917314176806,16554.034269823744,52896.0
46,2022-07-02,111,3,62,2,397122,627201,913444,110879,6461522430,10171001310,14826346850,1806176890,16270.875020774472,16231.259770713914,16216.494090411208,16289.621028328178,-516322.0
47,2022-06-29,176,0,86,1,456169,0,306169,150000,7740573210,0,5190298220,2550274990,16968.652429253194,16952.39629093736,,17001.83326666667,150000.0
48,2022-06-28,169,4,64,2,350782,202532,254306,299008,5846748670,3368618880,4242978030,4972389520,16667.755671613708,16684.537643626183,16632.526613078426,16629.620344606163,96476.0
49,2022-06-27,186,4,71,2,349667,204642,354309,200000,5767063370,3433641970,5898146820,3302558520,16493.01584078566,16646.900925463367,16778.77449399439,16512.7926,-4642.0
50,2022-06-26,59,3,53,3,129479,31388,91775,69092,2157290030,523907130,1529201160,1151996000,16661.31210466562,16662.502424407518,16691.319293997705,16673.363052162334,37704.0
51,2022-06-25,152,3,37,2,396667,75020,195011,276676,6783998720,1286228180,3332069100,4738157800,17102.503409661,17086.56998835963,17145.1370301253,17125.293845508826,201656.0
52,2022-06-22,105,2,49,3,392827,57735,208502,242060,6763179560,991096220,3587545910,4166729870,17216.687142177092,17206.290155490115,17166.298086082967,17213.62418408659,184325.0
53,2022-06-21,367,3,59,2,865938,346467,947821,264584,15161700120,6045158300,16552545290,4654313130,17508.99038961219,17463.7882996895,17448.006015002873,17591.06041937532,-81883.0
54,2022-06-20,121,1,69,3,294985,156000,195538,255447,5331803050,2833390670,3552230230,4612963490,18074.827703103547,18166.44452740644,18162.760705128207,18058.39759323852,99447.0
55,2022-06-19,64,2,74,5,195939,51385,215584,31740,3542560980,932977980,3904689540,570849420,18079.91762742486,18112.149046311413,18156.621192955143,17985.17391304348,-19645.0
56,2022-06-18,61,2,96,1,215948,117872,323057,10763,3931362950,2158767570,5892043570,198086950,18205.137116342823,18238.40241814912,18314.507007601467,18404.43649540091,-107109.0
57,2022-06-15,89,2,110,2,324609,522422,739557,107474,6019892540,9727439830,13751103630,1996228740,18545.05740752721,18593.70356848762,18619.889342332444,18574.0620056944,-414948.0
58,2022-06-14,196,3,207,4,2307570,806200,2899947,213823,44230064360,15575173360,55674273960,4130963760,19167.37709365263,19198.37637032677,19319.242570081864,19319.54822446603,-592377.0
59,2022-06-13,152,2,181,2,1264200,266550,1379280,151470,23427687620,4920403970,25508240750,2839850840,18531.630770447715,18493.881409141002,18459.590958544362,18748.60262758302,-115080.0
60,2022-06-12,93,3,105,2,286880,383381,654557,15704,5143076060,6828751580,11693358200,278469440,17927.621514221973,17864.5376949601,17811.91968303072,17732.38920020377,-367677.0
61,2022-06-11,60,2,63,0,520061,75401,595462,0,9379666650,1324347970,10704014620,0,18035.70475386541,17975.982715941573,17564.063739207704,,-75401.0
62,2022-05-28,241,2,131,1,1075469,30897,794342,312024,33955702700,964745050,25135902500,9784545250,31572.925579444876,31643.67803792321,31224.554163834677,31358.309777453018,281127.0
63,2022-05-25,148,2,86,3,689558,177660,556765,310453,21826930800,5625779900,17616877850,9835832850,31653.509639508207,31641.496591919393,31665.990656309805,31682.196177843343,132793.0
