,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2017-10-02,21,0,0,1,2592311,0,0,2592311,756807607,0,0,756807607,291.9432147608832,,,291.9432147608832,2592311.0
1,2017-09-27,38,2,0,1,8542350,6199901,0,14742251,2345844630,1722973270,0,4068817900,274.61349979806494,,277.90335200513687,275.997057708487,8542350.0
2,2017-09-26,15,0,0,1,271815,0,0,271815,81544500,0,0,81544500,300.0,,,300.0,271815.0
3,2017-09-25,27,1,0,1,955224,221120,0,1176344,286567200,66336000,0,352903200,300.0,,300.0,300.0,955224.0
4,2017-09-24,3,1,0,1,160000,890000,0,1050000,48200000,267000000,0,315200000,301.25,,300.0,300.1904761904762,160000.0
5,2017-06-28,24,1,89,2,1474947,1350098,2750036,75009,586888839,538881135,1095896392,29873582,397.9050359097649,398.5025621482773,399.14223634136187,398.2666346705062,-1275089.0
6,2017-06-25,13,0,43,0,964687,0,964687,0,374918730,0,374918730,0,388.6428758758022,388.6428758758022,,,0.0
7,2017-06-24,17,0,19,4,354915,0,196233,158682,135545054,0,74815214,60729840,381.9084964005466,381.2570464702675,,382.7141074602034,158682.0
8,2017-06-21,69,0,37,4,5289180,0,1506877,3782303,2110869496,0,608914468,1501955028,399.09201350681957,404.09035906713024,,397.100662744365,3782303.0
9,2017-06-20,32,0,19,1,568702,0,450647,118055,249449490,0,195505817,53943673,438.62952829425603,433.83361478052666,,456.9367921731396,118055.0
10,2017-06-19,25,0,23,1,422911,0,225295,197616,196912068,0,104964154,91947914,465.6111285826096,465.89650902150515,,465.28577645534773,197616.0
11,2017-06-18,14,1,17,1,542795,700000,125515,1117280,266248330,343000000,61753528,547494802,490.5136008990503,492.0011791419352,490.0,490.0247046398396,417280.0
12,2017-06-17,10,1,32,2,534473,268103,519318,283258,271324361,134351152,261690327,143985186,507.6483957094184,503.9115281965963,501.1176749234436,508.31816224078403,15155.0
13,2017-06-14,14,0,26,2,366073,0,122437,243636,186104824,0,63046974,123057850,508.38172714185424,514.9339987095404,,505.08894416260324,243636.0
14,2017-06-13,16,1,20,1,162018,200350,327868,34500,80027683,98067660,160845343,17250000,493.9431606364725,490.5795716568863,489.4817070127277,500.0,-165850.0
15,2017-06-12,32,1,19,1,696715,12899,706363,3251,346936092,6320510,351572584,1684018,497.9598429774011,497.7222532890313,490.0,518.0,-9648.0
16,2017-06-11,30,1,20,0,703380,116771,820151,0,372545286,60470607,433015893,0,529.6500980977565,527.970938278439,517.8563770114155,,-116771.0
17,2017-06-10,20,0,28,0,504047,0,504047,0,286203519,0,286203519,0,567.8111743547724,567.8111743547724,,,0.0
18,2017-06-07,38,0,79,0,2588652,0,2588652,0,1453651908,0,1453651908,0,561.5478279815131,561.5478279815131,,,0.0
19,2017-06-06,14,1,18,1,284230,400000,464699,219531,147150774,206228838,239700011,113679601,517.717250114344,515.8177895799216,515.572095,517.8293771722444,-180469.0
20,2017-06-03,13,1,24,1,238756,354,183697,55413,125593861,182707,96989340,28787228,526.0343656285078,527.9854325329211,516.1214689265537,519.5031490805407,55059.0
21,2017-05-31,25,1,15,1,910613,100000,801731,208882,472575326,51700000,415689388,108585938,518.9639572463824,518.4898525814768,517.0,519.8434427092808,108882.0
22,2017-05-30,27,1,20,1,789579,272394,1028106,33867,418740214,146274870,546720114,18294970,530.3335245744885,531.7740719342169,536.9974008238067,540.200490152656,-238527.0
23,2017-05-29,11,2,16,2,384369,390000,370701,403668,215262069,218371288,207853165,225780192,560.0401411143979,560.7030059266093,559.9263794871795,559.3215018282351,13668.0
24,2017-05-28,11,1,22,1,378566,280850,159416,500000,214786619,159293555,90048203,284031971,567.3690162349498,564.8630187685051,567.1837457717643,568.063942,219150.0
25,2017-05-27,17,1,29,2,1942922,108181,763581,1287522,1096136533,61663170,432211987,725587716,564.1690881054412,566.0329251251668,570.0,563.5536449085919,1179341.0
26,2017-05-24,68,1,26,1,2110215,170000,2259473,20742,1208697217,99620000,1295664597,12652620,572.7839187002272,573.4366363306842,586.0,610.0,-149258.0
27,2017-05-23,51,0,43,2,1615327,0,1476471,138856,983817512,0,898595352,85222160,609.0516112217526,608.6102280369882,,613.7448867891917,138856.0
28,2017-05-22,14,0,39,1,404094,0,377594,26500,262201403,0,245002903,17198500,648.8624008275302,648.8527439524993,,649.0,26500.0
29,2017-05-21,23,0,43,1,522856,0,519356,3500,339824995,0,337598995,2226000,649.9399356610616,650.0338784956754,,636.0,3500.0
30,2017-05-20,32,0,30,1,507666,0,207666,300000,335541365,0,139195714,196345651,660.949059026998,670.2864888811843,,654.4855033333333,300000.0
31,2017-05-17,52,0,14,1,1127811,0,789133,338678,734407926,0,514166604,220241322,651.1799636641246,651.5588677700717,,650.2971022623259,338678.0
32,2017-05-16,22,1,22,0,415790,10000,425790,0,283805061,7189982,290995043,0,682.5682700401645,683.4238544822565,718.9982,,-10000.0
33,2017-05-15,16,0,19,0,74913,0,74913,0,51019287,0,51019287,0,681.0471747226783,681.0471747226783,,,0.0
34,2017-05-14,39,1,35,1,1504355,142000,1146355,500000,1054429877,99542000,803825357,350146520,700.9182520083358,701.2010738383834,701.0,700.29304,358000.0
35,2017-05-13,42,1,31,1,937027,134000,1042114,28913,707645754,99160000,783295354,23510400,755.2031627690558,751.6407552340722,740.0,813.1428769065818,-105087.0
36,2017-05-10,28,0,35,2,438327,0,360408,77919,353585930,0,290260902,63325028,806.6715716805033,805.3675334620763,,812.7032944467973,77919.0
37,2017-05-09,8,0,57,1,515825,0,397596,118229,431825111,0,331097545,100727566,837.1542887607231,832.7486820792966,,851.9700411912474,118229.0
38,2017-05-08,32,0,50,2,1153561,0,553216,600345,998840273,0,484405039,514435234,865.8755566458991,875.6164662627256,,856.8993395464274,600345.0
39,2017-05-07,45,0,143,2,2735530,0,2129400,606130,2397525126,0,1872745276,524779850,876.4389811115213,879.4708725462572,,865.7876198175309,606130.0
40,2017-05-06,49,1,204,2,2132424,500000,2185077,447347,1858106325,428563915,1905291299,381378941,871.358756513714,871.9561365572014,857.12783,852.5349247899281,-52653.0
41,2017-05-03,103,0,427,4,7380978,0,5909408,1471570,6057309141,0,4851887563,1205421578,820.6648415697757,821.0446059909893,,819.1398152993062,1471570.0
42,2017-05-02,25,0,263,1,1862078,0,1801483,60595,1523198213,0,1472759573,50438640,818.0098862668481,817.5262120153229,,832.3894710784718,60595.0
43,2016-05-23,32,4,0,1,15384996,6428500,0,21813496,15457949890,6459171000,0,21917120890,1004.7418855357519,,1004.7710974566384,1004.7504943728414,15384996.0
44,2016-03-05,103,2,170,1,3752226,9107578,12859660,144,4074474635,9907829914,13982143269,161280,1085.8819897841975,1087.2871653682912,1087.8666000993899,1120.0,-9107434.0
45,2016-03-02,51,2,105,1,1448149,4994370,6421662,20857,1657950070,5713966124,7348553554,23362640,1144.875333960801,1144.3382653898632,1144.0814605245507,1120.1342474948458,-4973513.0
46,2016-03-01,38,2,96,0,850627,5612384,6463011,0,1009787454,6645927078,7655714532,0,1187.1095721156275,1184.5430143937556,1184.1540204661692,,-5612384.0
47,2016-02-29,41,1,88,2,2173111,1669542,3611183,231470,2654685654,2034876446,4407375374,282186726,1221.6061001946057,1220.4796527896815,1218.8231538949005,1219.107124033352,-1438072.0
48,2016-02-28,79,2,151,3,3141265,19010514,18529123,3622656,3851479040,23887547792,23304779174,4434247658,1226.0917305607773,1257.7378418827486,1256.544025690205,1224.032217798212,-15387858.0
49,2016-02-27,141,4,217,2,5354144,7743617,11286561,1811200,6421435832,9563452906,13756705189,2228183549,1199.3393961761208,1218.8571159097976,1235.0110944278365,1230.225016011484,-5932417.0
50,2016-02-24,69,2,166,1,3687079,4888672,8275751,300000,4506238705,6054156139,10185394844,375000000,1222.1703698239176,1230.7517280304833,1238.4050594926393,1250.0,-4588672.0
51,2016-02-23,128,3,139,3,7242546,812495,6914091,1140950,8796135220,987519616,8409882219,1373772617,1214.5087128200498,1216.3395331360261,1215.4162376383854,1204.0603155265349,328455.0
52,2016-02-22,252,2,298,5,14557175,3939285,17963993,532467,17086055040,4784932017,21228762149,642224908,1173.7205220106237,1181.7396137373244,1214.6701792330334,1206.130911399204,-3406818.0
53,2016-02-21,155,2,145,0,7199674,206107,7405781,0,8236890554,238622284,8475512838,0,1144.0643776370985,1144.4455133091296,1157.759241558996,,-206107.0
54,2016-02-20,181,1,171,1,10078425,45363,9423788,700000,11195840145,49944663,10473699869,772084939,1110.8720008334635,1111.410811554759,1101.0,1102.9784842857143,654637.0
55,2016-02-17,149,1,255,2,13393676,3000000,15793676,600000,14577519265,3309650715,17227734804,659435176,1088.3882262793277,1090.7995582535693,1103.216905,1099.0586266666667,-2400000.0
56,2016-02-16,173,3,195,3,19212582,422000,19212582,422000,19335771119,412678000,19317870455,430578664,1006.4118981509097,1005.4801824658446,977.9099526066351,1020.3285876777251,0.0
57,2016-02-15,162,0,167,1,12714997,0,12514997,200000,13039191197,0,12836611663,202579534,1025.4969935895383,1025.6983411981641,,1012.89767,200000.0
58,2016-02-14,200,0,143,0,12533191,0,12533191,0,12538098986,0,12538098986,0,1000.3915990748086,1000.3915990748086,,,0.0
