,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2021-04-26,59,4,0,1,3164151,22000000,0,25164151,25313208000,176000000000,0,201313208000,8000.0,,8000.0,8000.0,3164151.0
1,2021-04-25,78,5,0,1,2512234,36402000,0,38914234,20097872000,291216000000,0,311313872000,8000.0,,8000.0,8000.0,2512234.0
2,2020-10-24,312,4,414,4,7170734,1620000,7556327,1234407,47754376182,10773000000,50317146141,8210230041,6659.621760059709,6658.942385764935,6650.0,6651.153178003689,-385593.0
3,2020-10-21,478,5,840,14,6637196,750000,6554016,833180,48971673315,5625697957,48649443174,5947928098,7378.367809990846,7422.8447373335675,7500.930609333333,7138.8272618161745,83180.0
4,2020-10-20,415,2,524,3,9111753,85000,6446753,2750000,64797478598,600535124,45952556392,19445457330,7111.417374680811,7128.015668042502,7065.119105882353,7071.075392727273,2665000.0
5,2020-10-19,298,2,376,1,5668907,85000,5432754,321153,43973341252,668906610,42166158232,2476089630,7756.934670475279,7761.470192097783,7869.489529411765,7710.0,236153.0
6,2020-10-18,387,2,394,1,5068596,467529,4224006,1312119,43432521166,3974085060,36288724128,11117882098,8568.94516075063,8591.068319505228,8500.189421404875,8473.226969505053,844590.0
7,2020-10-14,294,2,419,2,2560885,1054343,3407767,207461,23941878117,9955834867,31971104665,1926608319,9349.064138764528,9381.834105735516,9442.690724934864,9286.604802830412,-846882.0
8,2020-10-13,359,1,465,1,4291250,1000000,4462479,828771,42627099861,9882387117,44299305315,8210181663,9933.492539702884,9927.061912224124,9882.387117,9906.453849133235,-171229.0
9,2020-10-12,480,4,455,7,5501605,1560620,6658246,403979,55597863396,16060630546,67524035105,4134458837,10105.7533930553,10141.414886893635,10291.185904320078,10234.340985546278,-1156641.0
10,2020-10-11,491,3,930,4,10263191,719920,10852998,130113,111449349665,7782643425,117819260406,1412732684,10859.132375593517,10855.918374443632,10810.42813784865,10857.736613558984,-589807.0
11,2020-10-10,425,3,662,2,6009074,577083,6509677,76480,62552227058,6186750938,67931326422,807651574,10409.628348394444,10435.437337674357,10720.729839555142,10560.297777196653,-500603.0
12,2020-10-07,691,6,683,7,7322439,643934,7712482,253891,79032033890,7096690960,83430697830,2698027020,10793.12970582616,10817.619779209857,11020.835924178566,10626.713904785913,-390043.0
13,2020-10-06,323,2,905,2,5659882,1436113,7070326,25669,58376753054,15188491767,73293607389,271637432,10314.128996682262,10366.368875918875,10576.111884649745,10582.314542833768,-1410444.0
14,2020-10-05,307,5,577,2,4890887,941522,5696390,136019,46932882739,9322629849,54968042968,1287469620,9595.985909917772,9649.627741078122,9901.659067977169,9465.366015042016,-805503.0
15,2020-10-04,648,3,546,2,7981282,398316,7868598,511000,81452633667,3990675435,80307729184,5135579918,10205.457427390738,10206.103957020043,10018.868021872082,10050.058547945206,112684.0
16,2020-10-03,781,0,801,6,8723608,0,7911099,812509,95874861495,0,86892908298,8981953197,10990.27621312191,10983.670953681656,,11054.589176242971,812509.0
17,2020-09-30,617,1,668,8,7319536,4500,5696904,1627132,75158007200,46800000,58633695853,16571111347,10268.138198924085,10292.203599182994,10400.0,10184.245252997298,1622632.0
18,2020-09-29,394,2,842,3,8407989,117574,8305347,220216,81918004305,1164663900,80908158104,2174510101,9742.877197508227,9741.695091607851,9905.794648476704,9874.44191611872,102642.0
19,2020-09-28,205,2,265,1,3323589,850000,4128589,45000,29942064973,7643515860,37180146293,405434540,9008.955371136442,9005.533438421699,8992.3716,9009.656444444445,-805000.0
20,2020-09-27,413,1,507,1,6396850,150004,6484364,62490,63803888211,1484796279,64691762238,596922252,9974.266742381016,9976.577847573024,9898.377903255912,9552.284397503601,-87514.0
21,2020-09-26,410,1,1045,2,10914953,867284,11724896,57341,114412133058,9148829010,122956014518,604947550,10482.146195040876,10486.746707007038,10548.827154657529,10550.0,-809943.0
22,2020-09-23,409,1,1017,2,10885993,232716,10813992,304717,104401333135,2268980000,103829099379,2841213756,9590.428097372467,9601.36639448226,9749.99570291686,9324.106485690001,72001.0
23,2020-09-22,338,5,606,2,5240750,432758,4598893,1074615,46535877465,3764163133,40579328067,9720712531,8879.621707770835,8823.716504602304,8698.07867907699,9045.762929979574,641857.0
24,2020-09-21,163,2,410,1,2675306,153817,2711897,117226,23218782669,1313558750,23533250578,999090841,8678.92595052678,8677.781854546836,8539.750157654875,8522.775160800506,-36591.0
25,2020-09-20,343,1,1053,2,7456453,100000,6670678,885775,69987524987,910000000,62799318374,8098206613,9386.168596113997,9414.233211976354,9100.0,9142.509794247975,785775.0
26,2020-09-19,506,1,1194,5,12871153,2000,8546029,4327124,129504303588,19200000,85216410163,44307093425,10061.593051376205,9971.462788506802,9600.0,10239.386119972527,4325124.0
27,2020-09-16,975,2,1076,2,11008582,15248715,11176340,15080957,110849723595,155941294088,112479464033,154311553650,10069.391643265228,10064.069635766271,10226.52033879576,10232.212295943818,-167758.0
28,2020-09-15,769,2,1045,7,11639937,395123,8865630,3169430,113477150799,3871959270,86185606889,31163503180,9748.948881682092,9721.317818248675,9799.37708004849,9832.526094597451,2774307.0
29,2020-09-14,521,1,930,3,12218687,67729,7615493,4670923,110482606673,594578729,68800795773,42276389629,9042.101387243982,9034.3193504347,8778.790901976996,9050.971216823742,4603194.0
30,2020-09-13,555,2,750,3,8589774,2389405,10087527,891652,75726323282,20888747909,89010695018,7604376173,8815.869111573831,8823.837102790407,8742.238301585541,8528.412623983348,-1497753.0
31,2020-09-12,692,1,780,5,8904722,237911,6252239,2890394,80995538440,2167276480,56802421640,26360393280,9095.796414531525,9085.132804424144,9109.61023239783,9120.0,2652483.0
32,2020-09-09,315,2,1233,3,6485654,90354,6491394,84614,53754344554,780079800,53817598774,716825580,8288.191839095949,8290.60734473982,8633.594528189124,8471.713664405417,-5740.0
33,2020-09-08,162,2,880,16,4789195,2310529,6568096,531628,37864415721,18260239680,51922924671,4201730730,7906.217166141701,7905.323654069612,7903.05582834061,7903.516613120452,-1778901.0
34,2020-09-07,217,0,239,2,1824601,0,1687294,137307,16017408232,0,14814899352,1202508880,8778.58130736528,8780.271459508538,,8757.811910536244,137307.0
35,2020-09-06,1008,1,1255,9,13584578,100000,11478328,2206250,131921488840,1002000000,111941570044,20981918796,9711.121599802364,9752.428232056098,10020.0,9510.218151161473,2106250.0
36,2020-09-05,52,1,906,8,2335668,141041,1968146,508563,21277935480,1284883510,17929810060,4633008930,9110.0,9110.0,9110.0,9110.0,367522.0
37,2020-09-02,308,3,2077,4,6620455,1742905,7402359,961001,55025486606,14274535825,61568372877,7731649554,8311.435785908974,8317.398936879446,8190.082548962795,8045.412599986888,-781904.0
38,2020-09-01,326,1,938,2,3803338,26000,3486262,343076,32291672067,219540000,29555308667,2955903400,8490.35033620467,8477.649891775201,8443.846153846154,8615.88511000478,317076.0
39,2017-05-23,2,1,0,1,2500000,24900000,0,27400000,440000000,4382400000,0,4822400000,176.0,,176.0,176.0,2500000.0
40,2017-05-22,73,12,0,1,27826387,101681948,0,129508335,4549349437,16187325858,0,20736675295,163.49048250496912,,159.19567018916672,160.1184610627571,27826387.0
41,2017-05-21,7,0,1,1,2435000,0,40000,2395000,393100000,0,6340000,386760000,161.43737166324436,158.5,,161.4864300626305,2395000.0
42,2017-05-20,14,0,0,1,620000,0,0,620000,108440000,0,0,108440000,174.90322580645162,,,174.90322580645162,620000.0
43,2017-03-14,49,0,102,0,9961950,0,9961950,0,1841034582,0,1841034582,0,184.80664749371357,184.80664749371357,,,0.0
44,2017-03-13,57,1,61,1,5176439,22449,5078888,120000,1008698701,4325800,989414968,23609533,194.86343816666246,194.80936929501104,192.69455209586172,196.74610833333332,97551.0
45,2017-03-12,41,0,99,2,5059363,0,4607437,451926,1054736475,0,960158941,94577534,208.47218809956905,208.39328698363104,,209.2765939556476,451926.0
46,2017-03-11,31,0,58,1,2365961,0,2313461,52500,462284012,0,452174310,10109702,195.38953178010965,195.45361257440692,,192.56575238095238,52500.0
47,2017-03-08,65,1,37,2,5358764,25000,4223764,1160000,1126577526,5200000,888446726,243330800,210.23085286084628,210.34478394152703,208.0,209.76793103448276,1135000.0
48,2017-03-07,30,0,47,0,2375704,0,2375704,0,548029853,0,548029853,0,230.6810330748275,230.6810330748275,,,0.0
49,2017-03-06,33,1,51,1,4527450,100000,4011003,616447,1034573104,22700000,914905294,142367810,228.5112158058068,228.09888050445238,227.0,230.9489866930977,516447.0
50,2017-03-05,45,1,57,0,3603888,1000000,4603888,0,818739996,230680000,1049419996,0,227.18241965344095,227.94212109417083,230.68,,-1000000.0
51,2017-03-04,60,0,61,0,6591137,0,6591137,0,1618007839,0,1618007839,0,245.48235592736125,245.48235592736125,,,0.0
52,2017-03-01,61,0,97,3,8737582,0,8112476,625106,2217693559,0,2058948783,158744776,253.81090088768266,253.8002926603419,,253.948571922202,625106.0
53,2017-02-28,19,0,65,0,2481139,0,2481139,0,571911854,0,571911854,0,230.50375412260257,230.50375412260257,,,0.0
54,2017-02-27,23,0,58,0,1610268,0,1610268,0,342496794,0,342496794,0,212.69552273286186,212.69552273286186,,,0.0
55,2017-02-26,54,0,62,0,5219520,0,5219520,0,1133094560,0,1133094560,0,217.0878854760591,217.0878854760591,,,0.0
56,2017-02-25,56,0,44,0,3534161,0,3534161,0,752365877,0,752365877,0,212.88387173080116,212.88387173080116,,,0.0
57,2017-02-22,54,0,36,0,2214544,0,2214544,0,513086111,0,513086111,0,231.68928275979164,231.68928275979164,,,0.0
58,2017-02-21,24,1,30,2,1362002,360600,1712835,9767,319019484,91157600,407881839,2295245,234.22835208758872,238.1325924563662,252.79423183582918,235.0,-350833.0
59,2017-02-20,32,0,28,0,1133047,0,1133047,0,270767404,0,270767404,0,238.97279106691954,238.97279106691954,,,0.0
