,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-05,2,0,36,0,271675,0,271675,0,2211434500,0,2211434500,0,8140.0,8140.0,,,0.0
1,2022-09-04,5,1,29,0,492392,80406,572798,0,3958831680,646464240,4605295920,0,8040.0,8040.0,8040.0,,-80406.0
2,2022-09-03,4,0,31,0,612147,0,612147,0,4854325710,0,4854325710,0,7930.0,7930.0,,,0.0
3,2022-08-31,19,1,35,0,586686,87808,674494,0,4582017660,685780480,5267798140,0,7810.0,7810.0,7810.0,,-87808.0
4,2022-08-30,27,0,46,0,687300,0,687300,0,5266212830,0,5266212830,0,7662.174930888986,7662.174930888986,,,0.0
5,2022-08-29,51,1,27,0,1021302,260000,1281302,0,7656133710,1948384990,9604518700,0,7496.444450319298,7495.905493006333,7493.788423076923,,-260000.0
6,2022-08-23,68,0,16,0,919565,0,919565,0,7034672250,0,7034672250,0,7650.0,7650.0,,,0.0
7,2022-08-22,80,0,61,0,850621,0,850621,0,6654641170,0,6654641170,0,7823.274019804355,7823.274019804355,,,0.0
8,2022-08-21,116,1,78,0,2522177,125266,2647443,0,20155280330,1013401940,21168682270,0,7991.2235858149525,7995.897275219901,8090.0,,-125266.0
9,2022-08-20,3,1,20,0,83231,50299,133530,0,671674170,405912930,1077587100,0,8070.0,8070.0,8070.0,,-50299.0
10,2022-08-17,1,1,22,0,741,74967,75708,0,5972460,604234020,610206480,0,8060.0,8060.0,8060.0,,-74967.0
11,2022-08-16,2,0,35,0,356283,0,356283,0,2850264000,0,2850264000,0,8000.0,8000.0,,,0.0
12,2022-08-15,3,0,65,0,412900,0,412900,0,3274297000,0,3274297000,0,7930.0,7930.0,,,0.0
13,2022-08-14,4,0,33,0,944947,0,944947,0,7342238190,0,7342238190,0,7770.0,7770.0,,,0.0
14,2022-08-13,9,0,67,0,1046738,0,1046738,0,7955208800,0,7955208800,0,7600.0,7600.0,,,0.0
15,2022-08-10,1,0,24,0,94491,0,94491,0,716241780,0,716241780,0,7580.0,7580.0,,,0.0
16,2022-08-09,1,0,23,0,113037,0,113037,0,854559720,0,854559720,0,7560.0,7560.0,,,0.0
17,2022-08-06,2,0,20,0,186274,0,186274,0,1400780480,0,1400780480,0,7520.0,7520.0,,,0.0
18,2022-08-03,2,0,16,1,370805,0,368689,2116,2766205300,0,2750419940,15785360,7460.0,7460.0,,7460.0,2116.0
19,2022-08-02,8,0,26,0,177755,0,177755,0,1320719650,0,1320719650,0,7430.0,7430.0,,,0.0
20,2022-08-01,40,0,66,0,967941,0,967941,0,7023804500,0,7023804500,0,7256.438667232816,7256.438667232816,,,0.0
21,2022-07-31,24,1,17,0,166285,1000000,1166285,0,1182286350,7110000000,8292286350,0,7110.0,7110.0,7110.0,,-1000000.0
22,2022-07-30,51,1,34,0,854334,1000000,1854334,0,6267292630,7300000000,13567292630,0,7335.881083978866,7316.531234394667,7300.0,,-1000000.0
23,2022-07-27,93,0,91,0,2991342,0,2991342,0,22496985860,0,22496985860,0,7520.700026944428,7520.700026944428,,,0.0
24,2022-07-26,56,0,53,1,2522015,0,2438015,84000,19472824770,0,18824344770,648480000,7721.137570553704,7721.176764704072,,7720.0,84000.0
25,2022-07-25,24,0,38,1,1371988,0,1289166,82822,10907304600,0,10248869700,658434900,7950.0,7950.0,,7950.0,82822.0
26,2022-07-24,5,0,1,0,6785,0,6785,0,53940750,0,53940750,0,7950.0,7950.0,,,0.0
27,2022-07-23,41,0,19,0,511327,0,511327,0,4123123430,0,4123123430,0,8063.574640103105,8063.574640103105,,,0.0
28,2022-07-20,57,2,25,0,1270832,650305,1921137,0,10537842170,5391028450,15928870620,0,8292.081227101615,8291.376731591761,8290.0,,-650305.0
29,2022-07-19,58,2,52,0,869472,60782,930254,0,7410309240,510176620,7920485860,0,8522.769266865407,8514.326044284679,8393.547760850252,,-60782.0
30,2022-07-17,33,2,58,0,431730,278936,710666,0,3726614950,2391400360,6118015310,0,8631.818381859031,8608.84763025106,8573.294088966644,,-278936.0
31,2022-07-16,41,2,67,1,460857,176010,560544,76323,3981598360,1508684960,4832330060,657953260,8639.552746296573,8620.786343266542,8571.586614396909,8620.6420083068,-99687.0
32,2022-07-13,62,2,36,0,792694,750000,1542694,0,6932794500,6576000000,13508794500,0,8745.864734689552,8756.626071016028,8768.0,,-750000.0
33,2022-07-12,71,1,57,1,617552,3000000,693875,2923677,5480743410,26999236770,6166887180,26313093000,8874.95046570977,8887.605375607998,8999.74559,9000.0,-76323.0
34,2022-07-11,90,2,138,1,2889277,2040000,2929277,2000000,26304034090,18547232590,26646617420,18204649260,9104.019479613758,9096.653344835602,9091.78068137255,9102.32463,-40000.0
35,2022-07-09,52,2,72,0,1468811,260000,1728811,0,13062086760,2270842200,15332928960,0,8892.966324462439,8869.060273216679,8734.008461538462,,-260000.0
36,2022-07-06,22,1,52,0,86044,500000,586044,0,761487290,4452993940,5214481230,0,8849.97547766259,8897.764041607797,8905.98788,,-500000.0
37,2022-07-05,38,1,52,0,608609,179911,788520,0,5379059470,1560029260,6939088730,0,8838.284465067063,8800.142964033887,8671.116607656008,,-179911.0
38,2022-07-04,42,2,52,0,670578,327117,997695,0,5919871770,2923092500,8842964270,0,8828.013698630137,8863.39439407835,8935.923538061304,,-327117.0
39,2022-07-03,48,2,56,0,392563,541725,934288,0,3530497900,4799224420,8329722320,0,8993.455572736097,8915.583117839467,8859.15255895519,,-541725.0
40,2022-07-02,44,1,66,0,410194,400000,810194,0,3721345420,3573184970,7294530390,0,9072.1595635236,9003.436695408755,8932.962425,,-400000.0
41,2022-06-29,48,1,76,0,536544,200000,736544,0,4861105730,1839041160,6700146890,0,9060.031852000955,9096.736773363167,9195.2058,,-200000.0
42,2022-06-28,43,1,71,0,632030,200000,832030,0,5740733910,1820000000,7560733910,0,9083.0085755423,9087.092905303894,9100.0,,-200000.0
43,2022-06-27,58,1,65,0,886626,400000,1286626,0,7949472860,3626695300,11576168160,0,8965.982116473011,8997.30625682988,9066.73825,,-400000.0
44,2022-06-26,49,1,95,0,1036691,200000,1236691,0,9297626610,1780000000,11077626610,0,8968.561133452495,8957.47329769522,8900.0,,-200000.0
45,2022-06-25,32,1,72,0,293620,297193,590813,0,2603556260,2659983220,5263539480,0,8867.094407737892,8908.977087504845,8950.356233154886,,-297193.0
46,2022-06-22,56,2,79,0,626343,987807,1614150,0,5620612160,8840872650,14461484810,0,8973.696776366944,8959.195124368864,8950.0,,-987807.0
47,2022-06-21,55,1,47,1,333931,23509,348583,8857,3034726140,212126180,3165520600,81331720,9087.88384426723,9081.11009429605,9023.190267557105,9182.761657446088,-14652.0
48,2022-06-20,60,0,79,0,527942,0,527942,0,4911586290,0,4911586290,0,9303.268711335715,9303.268711335715,,,0.0
49,2022-06-19,59,0,98,1,567948,0,555372,12576,5304572840,0,5186106920,118465920,9339.891750653229,9338.077756890876,,9420.0,12576.0
50,2022-06-18,99,1,137,0,1157241,237787,1395028,0,10643108740,2192576410,12835685150,0,9196.968254667783,9201.02331279372,9220.75811545627,,-237787.0
51,2022-06-15,31,0,74,0,940478,0,940478,0,8483578950,0,8483578950,0,9020.496970689373,9020.496970689373,,,0.0
52,2022-06-14,36,2,113,0,1190117,1123308,2313425,0,10393084730,9892784970,20285869700,0,8732.826041473234,8768.760474188703,8806.832115501715,,-1123308.0
53,2022-06-13,57,2,97,0,887012,710677,1597689,0,7692562980,6174904430,13867467410,0,8672.445220583262,8679.703878539565,8688.763573325154,,-710677.0
54,2022-06-12,58,1,105,0,643353,237259,880612,0,5551459490,2039822320,7591281810,0,8628.947855998185,8620.461463164254,8597.449706860436,,-237259.0
55,2022-06-11,105,2,118,0,2153411,1233967,3387378,0,18892413860,10776906910,29669320770,0,8773.250373477242,8758.78652161052,8733.545475689381,,-1233967.0
56,2022-06-08,131,0,145,0,1786550,0,1786550,0,16064719770,0,16064719770,0,8992.034798914108,8992.034798914108,,,0.0
57,2022-06-07,144,1,200,0,2294564,183707,2478271,0,20357446890,1582486270,21939933160,0,8872.032721684816,8852.919297364977,8614.18601359774,,-183707.0
58,2022-06-06,58,0,38,0,719630,0,719630,0,6320659990,0,6320659990,0,8783.208023567668,8783.208023567668,,,0.0
59,2022-06-01,285,0,251,0,4148330,0,4148330,0,37406917540,0,37406917540,0,9017.343735913006,9017.343735913006,,,0.0
60,2022-05-31,79,0,54,0,884248,0,884248,0,7864315690,0,7864315690,0,8893.789626892003,8893.789626892003,,,0.0
61,2022-05-30,230,0,222,1,2679132,0,2659132,20000,24530898130,0,24346098130,184800000,9156.285741053445,9155.65610507489,,9240.0,20000.0
62,2022-05-29,222,0,360,0,6385131,0,6385131,0,57696020250,0,57696020250,0,9035.996324899208,9035.996324899208,,,0.0
63,2022-05-28,166,0,194,4,8300972,0,5899518,2401454,74161673530,0,52692674770,21468998760,8934.095131268965,8931.691499203833,,8940.0,2401454.0
64,2022-05-25,4,0,54,0,443897,0,443897,0,3924049480,0,3924049480,0,8840.0,8840.0,,,0.0
65,2022-05-24,74,1,115,0,1645011,72000,1717011,0,14128510580,619920000,14748430580,0,8588.702798947848,8589.595861645616,8610.0,,-72000.0
66,2022-05-23,189,2,344,1,9326953,1201454,9528407,1000000,77967731400,10077524510,79655255910,8390000000,8359.400052728903,8359.766318756116,8387.773905617692,8390.0,-201454.0
67,2022-05-22,6,0,72,0,634371,0,634371,0,5246248170,0,5246248170,0,8270.0,8270.0,,,0.0
68,2022-05-21,23,0,95,0,1623113,0,1623113,0,13036033850,0,13036033850,0,8031.501103127139,8031.501103127139,,,0.0
69,2022-05-18,190,0,209,0,4031390,0,4031390,0,31667501150,0,31667501150,0,7855.231359407053,7855.231359407053,,,0.0
70,2022-05-17,338,1,401,0,12986033,1000000,13986033,0,104695789250,7964979780,112660769030,0,8062.184136602764,8055.23403455433,7964.97978,,-1000000.0
71,2022-05-16,13,0,68,1,1209775,0,209775,1000000,9787079750,0,1697079750,8090000000,8090.0,8090.0,,8090.0,1000000.0
72,2022-05-15,18,0,66,1,1831576,0,831576,1000000,14396187360,0,6536187360,7860000000,7860.0,7860.0,,7860.0,1000000.0
73,2022-05-14,61,0,74,2,1564282,0,763715,800567,11951114480,0,5834782600,6116331880,7640.0,7640.0,,7640.0,800567.0
74,2022-05-11,174,0,245,1,3864244,0,3815084,49160,28670959630,0,28304239630,366720000,7419.552085737857,7419.034451141836,,7459.723352318959,49160.0
75,2022-05-10,180,0,156,0,2852356,0,2852356,0,21105747240,0,21105747240,0,7399.408503005936,7399.408503005936,,,0.0
76,2022-05-09,159,0,164,0,2926992,0,2926992,0,22281108970,0,22281108970,0,7612.2889881489255,7612.2889881489255,,,0.0
77,2022-05-08,147,0,164,2,2547678,0,2499781,47897,19414073570,0,19048043680,366029890,7620.301140882011,7619.884973923716,,7642.021212184479,47897.0
78,2022-05-07,243,0,304,1,6582627,0,6581962,665,49536382920,0,49531428670,4954250,7525.3212615571265,7525.328871543166,,7450.0,665.0
79,2022-05-02,86,0,59,1,4653489,0,1453489,3200000,34342748820,0,10726748820,23616000000,7380.0,7380.0,,7380.0,3200000.0
80,2022-05-01,60,0,66,1,3415089,0,415089,3000000,24486188130,0,2976188130,21510000000,7170.0,7170.0,,7170.0,3000000.0
81,2022-04-30,94,0,184,2,6698670,0,3143670,3555000,46670745680,0,21750195680,24920550000,6967.165971752602,6918.727372784039,,7010.0,3555000.0
82,2022-04-27,186,1,264,0,3922796,50000,3972796,0,26732482950,337500000,27069982950,0,6814.650302998168,6813.836640491986,6750.0,,-50000.0
83,2022-04-26,171,0,202,2,4244598,0,4116868,127730,29500036570,0,28613095770,886940800,6950.018958214653,6950.209666668934,,6943.872230486182,127730.0
84,2022-04-25,106,1,130,1,2757669,70000,1827669,1000000,18657567540,474273800,12351841340,6780000000,6765.702315977734,6758.248534061693,6775.34,6780.0,930000.0
85,2022-04-24,144,0,208,1,4369587,0,3369587,1000000,28786145830,0,22186145830,6600000000,6587.841329169095,6584.232972764911,,6600.0,1000000.0
86,2022-04-20,152,0,99,1,5697352,0,2697352,3000000,36513362470,0,17283362470,19230000000,6408.830360139236,6407.529484472178,,6410.0,3000000.0
87,2022-04-19,153,0,142,0,2041586,0,2041586,0,12725408510,0,12725408510,0,6233.099418785199,6233.099418785199,,,0.0
88,2022-04-18,117,0,128,0,1594546,0,1594546,0,9697510740,0,9697510740,0,6081.6751225740745,6081.6751225740745,,,0.0
89,2022-04-17,109,0,126,1,3170851,0,2170851,1000000,18819757990,0,12849757990,5970000000,5935.238833360508,5919.22614219032,,5970.0,1000000.0
90,2022-04-16,155,0,88,2,1812694,0,1489338,323356,10521991220,0,8656183620,1865807600,5804.615241182461,5812.10149744383,,5770.134464800406,323356.0
91,2022-04-13,109,0,120,0,1417505,0,1417505,0,8398202960,0,8398202960,0,5924.637274648061,5924.637274648061,,,0.0
92,2022-04-12,127,0,124,2,3059589,0,2289589,770000,18296979370,0,13734072790,4562906580,5980.208246924669,5998.488283268307,,5925.8527012987015,770000.0
93,2022-04-11,232,0,254,1,4524939,0,3524939,1000000,27533627550,0,21453065250,6080562300,6084.861597029264,6086.081276867486,,6080.5623,1000000.0
94,2022-04-10,271,0,249,1,4808222,0,3808222,1000000,29232875870,0,23122875870,6110000000,6079.768336403768,6071.829811917478,,6110.0,1000000.0
95,2022-04-09,162,0,107,1,2768952,0,1428952,1340000,16106130560,0,8307330560,7798800000,5816.688248839272,5813.582653581086,,5820.0,1340000.0
96,2022-04-06,107,1,94,0,1460228,94864,1555092,0,8275568760,537808880,8813377640,0,5667.3127484201095,5667.431663207064,5669.262101534829,,-94864.0
97,2022-04-05,193,0,129,0,2718814,0,2718814,0,14975715770,0,14975715770,0,5508.179584921955,5508.179584921955,,,0.0
98,2022-04-04,147,0,136,0,1874656,0,1874656,0,10069773370,0,10069773370,0,5371.53129427479,5371.53129427479,,,0.0
99,2022-04-03,223,0,179,0,3121971,0,3121971,0,17108618030,0,17108618030,0,5480.069491356582,5480.069491356582,,,0.0
100,2022-03-30,30,0,72,1,962317,0,932317,30000,5369359480,0,5201959480,167400000,5579.616155591141,5579.6038042854525,,5580.0,30000.0
101,2022-03-29,47,0,67,2,1275172,0,1047972,227200,6949677400,0,5711437400,1238240000,5449.992157920657,5449.990457760322,,5450.0,227200.0
102,2022-03-27,155,0,122,0,1556500,0,1556500,0,8259829660,0,8259829660,0,5306.668589784774,5306.668589784774,,,0.0
103,2022-03-26,103,0,105,0,849682,0,849682,0,4459060080,0,4459060080,0,5247.916373419703,5247.916373419703,,,0.0
104,2022-03-19,72,1,107,1,977098,320001,1225221,71878,5095442540,1671942900,6391463500,375921940,5214.873574605618,5216.580110853471,5224.805234983641,5230.0,-248123.0
105,2022-03-16,132,1,131,0,1450783,40000,1490783,0,7378223550,200000000,7578223550,0,5085.683765249524,5083.3847380873,5000.0,,-40000.0
106,2022-03-15,182,0,151,0,2609744,0,2609744,0,13343098140,0,13343098140,0,5112.799623258066,5112.799623258066,,,0.0
107,2022-03-14,213,0,165,0,1969399,0,1969399,0,10330607880,0,10330607880,0,5245.563687195941,5245.563687195941,,,0.0
108,2022-03-13,356,0,188,3,5317412,0,4452290,865122,28281641880,0,23694957400,4586684480,5318.685458264284,5321.9708060346475,,5301.777645233851,865122.0
109,2022-03-12,55,0,31,0,389770,0,389770,0,2083866010,0,2083866010,0,5346.399184134233,5346.399184134233,,,0.0
110,2022-03-09,107,0,94,1,1143364,0,1123364,20000,6262067810,0,6152653750,109414060,5476.880337320398,5476.990316584829,,5470.703,20000.0
111,2022-03-08,106,1,88,0,1117261,30000,1147261,0,6105958050,164100000,6270058050,0,5465.1133889037565,5465.241170056334,5470.0,,-30000.0
112,2022-03-07,180,1,145,0,2464726,20000,2484726,0,13820057230,112000000,13932057230,0,5607.137357255939,5607.079907402265,5600.0,,-20000.0
113,2022-03-06,187,1,148,0,2051879,50000,2101879,0,11835320380,289000000,12124320380,0,5768.040113476477,5768.3246181155055,5780.0,,-50000.0
114,2022-03-05,326,0,208,0,4909920,0,4909920,0,28955559550,0,28955559550,0,5897.3587247857395,5897.3587247857395,,,0.0
115,2022-03-02,60,0,17,0,575238,0,575238,0,3417226840,0,3417226840,0,5940.544331215949,5940.544331215949,,,0.0
116,2022-02-28,189,1,95,0,1671401,40757,1712158,0,10233809810,248210130,10482019940,0,6122.893195588611,6122.110190765105,6090.0,,-40757.0
117,2022-02-27,272,0,207,0,2913409,0,2913409,0,18257312790,0,18257312790,0,6266.649409677803,6266.649409677803,,,0.0
118,2022-02-26,14,0,1,0,66616,0,66616,0,421013120,0,421013120,0,6320.0,6320.0,,,0.0
119,2022-02-23,73,0,40,0,583075,0,583075,0,3726089120,0,3726089120,0,6390.411387900356,6390.411387900356,,,0.0
120,2022-02-22,147,0,80,0,1296050,0,1296050,0,8515037020,0,8515037020,0,6569.991142317041,6569.991142317041,,,0.0
121,2022-02-21,180,0,193,1,3558286,0,3445099,113187,23700037610,0,22952599920,747437690,6660.520714186549,6662.391971899791,,6603.564808679442,113187.0
122,2022-02-20,4,0,1,0,7435,0,7435,0,48104450,0,48104450,0,6470.0,6470.0,,,0.0
123,2022-02-19,5,0,4,1,163732,0,68159,95573,1062620680,0,442351910,620268770,6490.0,6490.0,,6490.0,95573.0
124,2022-02-16,18,0,2,0,68622,0,68622,0,437808360,0,437808360,0,6380.0,6380.0,,,0.0
125,2022-02-14,1,0,1,0,800,0,800,0,5208000,0,5208000,0,6510.0,6510.0,,,0.0
126,2022-02-13,2,0,1,0,1837,0,1837,0,11958870,0,11958870,0,6510.0,6510.0,,,0.0
127,2022-02-12,2,0,1,1,1883,0,800,1083,12258330,0,5208000,7050330,6510.0,6510.0,,6510.0,1083.0
128,2022-02-09,26,0,2,1,209900,0,30894,179006,1349657000,0,198648420,1151008580,6430.0,6430.0,,6430.0,179006.0
129,2022-02-08,5,0,1,0,35607,0,35607,0,233581920,0,233581920,0,6560.0,6560.0,,,0.0
130,2022-02-07,5,0,1,0,6635,0,6635,0,43525600,0,43525600,0,6560.0,6560.0,,,0.0
131,2022-02-06,4,0,2,0,11400,0,11400,0,74784000,0,74784000,0,6560.0,6560.0,,,0.0
132,2022-02-05,25,0,1,0,181938,0,181938,0,1175319480,0,1175319480,0,6460.0,6460.0,,,0.0
133,2022-02-02,4,0,1,0,26638,0,26638,0,175810800,0,175810800,0,6600.0,6600.0,,,0.0
134,2022-02-01,13,0,0,1,24338,0,0,24338,160630800,0,0,160630800,6600.0,,,6600.0,24338.0
