,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,71,2,83,1,785308,791871,1563797,13382,10024973930,10135512960,19986079610,174407280,12765.658735171422,12780.48212779536,12799.449607322405,13032.97563891795,-778489.0
1,2022-09-07,60,2,107,2,2072309,1844146,3876508,39947,26806691170,24184508950,50477877990,513322130,12935.663151585984,13021.48170208858,13114.205138855601,12850.079605477258,-1804199.0
2,2022-09-06,58,3,90,2,1027956,713954,1699466,42444,13430278550,9536283490,22407877740,558684300,13065.03250139111,13185.246271475864,13356.999876742759,13162.856940910377,-671510.0
3,2022-09-05,52,2,76,1,734440,295958,1020517,9881,9782930840,3914314430,13566399630,130845640,13320.258754969773,13293.653736292486,13225.911886146007,13242.145531828763,-286077.0
4,2022-09-04,58,1,103,3,1600290,470888,1547719,523459,21345230060,6242266850,20615502770,6971994140,13338.351211342944,13319.926142923878,13256.372746810282,13319.083519435142,52571.0
5,2022-09-03,42,2,81,2,1210759,1264300,2233879,241180,15808174610,16395245750,29070790860,3132629500,13056.417181288762,13013.592437191091,12967.84445938464,12988.761505929182,-1023120.0
6,2022-08-31,74,4,123,3,3014479,692002,3353040,353441,40279701600,9208332080,44790235200,4697798480,13362.077360631803,13358.097487652996,13306.799806936975,13291.605897448231,-338561.0
7,2022-08-30,65,1,165,3,4728187,23351,4539733,211805,62239265200,307719650,59796771080,2750213770,13163.452545341375,13171.869596736196,13178.00736585157,12984.64989022922,188454.0
8,2022-08-29,76,0,111,3,3978868,0,3459154,519714,51631853000,0,44910545910,6721307090,12976.518195627501,12983.1010443594,,12932.703544641861,519714.0
9,2022-08-28,90,2,118,4,3839741,59000,3080641,818100,48511976420,745090000,38917082420,10339984000,12634.179341783729,12632.787273817365,12628.64406779661,12639.022124434665,759100.0
10,2022-08-27,40,0,62,2,1953622,0,741148,1212474,23991694340,0,9113530940,14878163400,12280.622525749608,12296.506149918774,,12270.913355667833,1212474.0
11,2022-08-24,190,2,119,2,4882461,1018500,5429367,471594,58350429980,12195275000,64925395540,5620309440,11951.028380974267,11958.188779649636,11973.760432007855,11917.686484560872,-546906.0
12,2022-08-23,112,2,55,2,1844180,487000,2086657,244523,22546597580,5940020000,25497193100,2989424480,12225.811786268152,12219.158730927029,12197.166324435319,12225.534939453548,-242477.0
13,2022-08-22,57,2,86,2,835722,411299,1121602,125419,10503328600,5155030560,14088046590,1570312570,12567.969492247423,12560.646815893695,12533.535359920641,12520.531737615513,-285880.0
14,2022-08-21,51,2,54,1,908901,1106749,1968716,46934,11650365390,14170347840,25220427370,600285860,12818.079625833836,12810.597043961649,12803.578625325164,12790.0,-1059815.0
15,2022-08-20,58,2,85,2,677908,912300,1472137,118071,8972182260,11994319300,19396962370,1569539190,13235.103081834113,13176.057914446821,13147.34111586101,13293.181136773635,-794229.0
