,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,26,1,53,0,2167549,1540337,3707886,0,4047262423,2875777157,6923039580,0,1867.2068880565098,1867.1123060417715,1866.9792110427784,,-1540337.0
1,2022-09-07,95,1,77,1,4894079,2282122,6376201,800000,9176242574,4310277872,12000765347,1485755099,1874.9682164918056,1882.1184192593678,1888.7149205870676,1857.19387375,-1482122.0
2,2022-09-06,37,1,58,0,1988514,89247,2077761,0,3816527205,170980410,3987507615,0,1919.2860623561112,1919.1368088052475,1915.811287774379,,-89247.0
3,2022-09-05,111,2,99,1,8419282,3697906,11904809,212379,16063476896,7074040188,22725415109,412101975,1907.9390494343818,1908.9273174395323,1912.9853998452097,1940.408303080813,-3485527.0
4,2022-09-04,80,1,47,1,3110453,3347892,6348345,110000,6094875570,6563603774,12438809344,219670000,1959.4816478500077,1959.3782858367024,1960.5183721577637,1997.0,-3237892.0
5,2022-09-03,108,2,130,1,12229037,588745,12147925,669857,24644165883,1176726355,24468450955,1352441283,2015.2172148142163,2014.2082664323332,1998.7029274133963,2019.0,81112.0
6,2022-08-31,77,1,101,3,12691540,371359,8854383,4208516,24911512740,710751266,17365376870,8256887136,1962.8439685018525,1961.2181752246318,1913.919592631389,1961.9474265988297,3837157.0
7,2022-08-30,116,1,95,1,5335987,4400000,9635987,100000,10248207819,8443600000,18499907819,191900000,1920.5833558065265,1919.8767930052209,1919.0,1919.0,-4300000.0
8,2022-08-29,156,2,154,2,9046354,3370000,11996354,420000,17903289312,6651999904,23720169216,835120000,1979.0613226057703,1977.2815320388179,1973.8872118694362,1988.3809523809523,-2950000.0
9,2022-08-28,45,1,33,1,2904125,4170000,6844125,230000,5903427420,8433950000,13863302420,474075000,2032.773182972496,2025.5770343177542,2022.5299760191847,2061.195652173913,-3940000.0
10,2022-08-27,69,1,82,0,2949341,3026051,5975392,0,6164384840,6281631129,12446015969,0,2090.08888426262,2082.8785741588167,2075.851044480083,,-3026051.0
11,2022-08-24,68,1,110,1,8961853,64147,6760566,2265434,18923875413,132912584,14267660521,4789127476,2111.6029701669954,2110.423967608629,2072.0,2114.0,2201287.0
12,2022-08-23,70,1,189,3,15419985,1371948,15636919,1155014,31691854557,2773637563,32101609734,2363882386,2055.245485452807,2052.9370097779492,2021.67834568074,2046.6266088549576,-216934.0
13,2022-08-22,90,1,121,0,5782101,403982,6186083,0,11883800055,818020094,12701820149,0,2055.273689442644,2053.2896420885395,2024.8924308508795,,-403982.0
14,2022-08-21,87,2,159,2,9073581,421265,7921902,1572944,18241644295,840840905,15911267152,3171218048,2010.4129003752764,2008.5160296100607,1995.990421706052,2016.1035917362601,1151679.0
15,2022-08-20,50,1,144,1,7717770,188193,7469226,436737,15127078508,360389595,14630120742,857347361,1960.0323031134642,1958.719784620254,1915.0,1963.0747131568885,248544.0
16,2022-08-17,75,1,145,2,9514896,1795170,9123066,2187000,18257108536,3415801707,17479945502,4192964741,1918.79223230606,1916.016556495371,1902.7733902638747,1917.222103795153,391830.0
