,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,26,4,46,0,2129007,3844689,5973696,0,8570111087,15723884772,24293995859,0,4025.4029634472786,4066.8282850349265,4089.767669634657,,-3844689.0
1,2022-09-07,8,3,39,1,885793,1442056,2277849,50000,3613183445,5904598090,9312331535,205450000,4079.0381556413295,4088.2128424667308,4094.569205356796,4109.0,-1392056.0
2,2022-09-06,20,3,36,0,620967,4191539,4812506,0,2560890187,17307189850,19868080037,0,4124.035877912997,4128.427068350668,4129.077613258519,,-4191539.0
3,2022-09-05,35,6,48,1,4654534,2089930,6541485,202979,19197478599,8608560381,26964717836,841321144,4124.468442812965,4122.109557080694,4119.066371122478,4144.867912444144,-1886951.0
4,2022-09-04,30,5,41,0,643625,3287499,3931124,0,2641458251,13571497620,16212955871,0,4104.033017673335,4124.25450609037,4128.2134595326115,,-3287499.0
5,2022-09-03,20,3,52,0,264539,504829,769368,0,1095750044,2089923399,3185673443,0,4142.111537429264,4140.636786297325,4139.863991569422,,-504829.0
6,2022-08-31,61,4,44,3,7852635,1471862,3773275,5551222,32606418468,6104550735,15659358637,23051610566,4152.290087085418,4150.070863374654,4147.5020993816,4152.529040632855,4079360.0
7,2022-08-30,44,1,56,2,4946975,800000,3445475,2301500,20547569038,3318009833,14284587621,9580991250,4153.562336175138,4145.897915672004,4147.51229125,4162.933412991527,1501500.0
8,2022-08-29,20,2,45,3,427389,7483134,709883,7200640,1766333709,30915246427,2939722566,29741857570,4132.8478482132205,4141.136730982429,4131.323376943404,4130.446400597724,-282494.0
9,2022-08-28,22,3,56,1,613332,860269,1470601,3000,2534570540,3548632056,6070794596,12408000,4132.460951002067,4128.104493332998,4125.026074402309,4136.0,-857269.0
10,2022-08-27,73,5,66,1,3252194,2550295,5773610,28879,13356055841,10493989985,23728754026,121291800,4106.783248785282,4109.8643701254505,4114.814162675299,4200.0,-2521416.0
11,2022-08-24,65,3,55,2,1851513,244000,2054691,40822,7690127623,1010600000,8529367683,171359940,4153.428910842106,4151.168074907614,4141.803278688524,4197.735044828769,-203178.0
12,2022-08-23,135,4,52,4,23839591,8961000,5697591,27103000,98958218850,37187078169,23650138685,112495158334,4151.003213519896,4150.9014397488345,4149.880389353867,4150.653371730067,18142000.0
13,2022-08-22,45,5,65,2,2372313,30054239,16676552,15750000,9774913011,124789202270,69157195632,65406919649,4120.414553644481,4146.972085836449,4152.133157322666,4152.820295174603,-14304239.0
14,2022-08-21,50,4,46,3,6845404,3425712,6911256,3359860,28071864332,14113224668,28414808820,13770280180,4100.833834204672,4111.38132055881,4119.793102280635,4098.46844213747,-65852.0
15,2022-08-20,55,4,43,3,4609610,1655859,1395745,4869724,19099412526,6888764048,5802804638,20185371936,4143.390118903769,4157.496274749327,4160.235894481354,4145.07514922817,3213865.0
16,2022-08-17,63,6,48,5,4149040,3422016,3721982,3849074,17513888003,14433293726,15734191995,16212989734,4221.190444777587,4227.369179915432,4217.775055990387,4212.179275846606,427058.0
17,2022-08-16,53,3,72,2,1526027,2220000,3508524,237503,6605782078,9539694801,15118970069,1026506810,4328.745217483046,4309.2109585113285,4297.15982027027,4322.079342155678,-1982497.0
18,2022-08-15,70,2,61,2,6683097,1300000,6581157,1401940,28753379977,5596685527,28316761905,6033303599,4302.403507984397,4302.70268662486,4305.142713076923,4303.53909511106,101940.0
19,2022-08-14,55,2,68,1,5163615,1361097,5906666,618046,22243828099,5880360942,25475172173,2649016868,4307.801433491846,4312.952886281364,4320.309972029914,4286.116030198399,-743051.0
20,2022-08-13,99,5,112,3,10246213,5966768,13197067,3015914,44197188699,25861314098,56951605969,13106896828,4313.514534491915,4315.474489066396,4334.22484299708,4345.911994838049,-2950854.0
21,2022-08-10,27,1,37,3,1407092,200000,507092,1100000,5836769977,829400000,2101169977,4565000000,4148.10828076629,4143.56759128521,4147.0,4150.0,900000.0
22,2022-08-09,36,2,79,2,3843312,898214,4727600,13926,16093740850,3754039667,19789844737,57935780,4187.4666563630535,4186.023508122515,4179.449070043442,4160.2599454258225,-884288.0
23,2022-08-06,119,4,68,4,10034648,3956921,10452270,3539299,41232633131,16394077554,43045427762,14581282923,4109.026358572817,4118.285096156146,4143.139970193997,4119.822293341139,-417622.0
24,2022-08-03,75,6,82,5,17794107,1518526,5075260,14237373,72881142601,6140746282,20659317951,58362570932,4095.802200189085,4070.593024002711,4043.886164609628,4099.251380995637,12718847.0
25,2022-08-02,28,4,43,4,12072275,4445924,11907880,4610319,47220901363,17415843755,46582262676,18054482442,3911.5163764079266,3911.8854637433365,3917.260788758422,3916.1026475608305,164395.0
26,2022-08-01,19,7,63,2,614819,14304999,11391083,3528735,2399184988,55964330008,44514488906,13849026090,3902.262272311038,3907.836410813616,3912.221874884437,3924.6432758481437,-10776264.0
27,2022-07-31,37,6,62,2,1396651,10660599,11810915,246335,5406774474,41802443802,46249014448,960203828,3871.2423318352257,3915.7859021083464,3921.209662046195,3897.9593967564497,-10414264.0
28,2022-07-30,40,7,60,2,6087374,7404702,13476076,16000,24000711760,29208923777,53146200537,63435000,3942.7036617102876,3943.7444948366274,3944.645412739095,3964.6875,-7388702.0
29,2022-07-27,46,7,68,1,798263,6707948,7495780,10431,3194459436,26989976346,30142503162,41932620,4001.763123181207,4021.2630522774148,4023.5816297323713,4020.0,-6697517.0
30,2022-07-26,29,6,104,2,624360,8382077,5961742,3044695,2504888417,34170822612,24192461529,12483249500,4011.929683195592,4057.951774665861,4076.653389368769,4100.0,-5337382.0
31,2022-07-25,3,0,3,0,0,0,0,0,0,0,0,0,,,,,0.0
32,2022-07-19,199,2,222,11,58092571,1104120,29317724,29878967,344889385190,6553431600,173586710130,177856106660,5936.89312166955,5920.879469702355,5935.434191935659,5952.552063128554,28774847.0
33,2022-07-17,40,2,70,4,2474974,496248,1600366,1370856,14008165860,2784201200,9051439820,7740927240,5659.924451731614,5655.856110414743,5610.503619158163,5646.78364467165,874608.0
34,2022-07-16,25,5,67,2,1351738,1227900,2469492,110146,7703026030,7023856360,14097255340,629627050,5698.608776256938,5708.564895128229,5720.218551999348,5716.295190020518,-1117754.0
35,2022-07-13,62,1,68,1,4377350,24566,4351916,50000,25177153680,142482800,25028136480,291500000,5751.688505602705,5751.06148188522,5800.0,5830.0,25434.0
36,2022-07-12,35,3,72,1,4157715,101952,4009667,250000,23545882600,574989860,22686372460,1434500000,5663.178596897575,5657.919338438828,5639.809518204645,5738.0,148048.0
37,2022-07-11,26,4,78,2,215033,4055882,4165934,104981,1216587290,22997184440,23616533630,597238100,5657.6771472285645,5668.964901988365,5670.082226258061,5689.011344910032,-3950901.0
38,2022-07-09,57,2,75,0,1932164,180457,2112621,0,11001571860,1026238290,12027810150,0,5693.91203852261,5693.311838706517,5686.885463018891,,-180457.0
39,2022-07-06,72,2,117,6,6798908,156790,5904946,1050752,39074681130,895996960,33911603340,6059074750,5747.1995694014395,5742.915064760965,5714.630780024237,5766.417527637349,893962.0
40,2022-07-05,52,2,82,1,1210957,700000,1896454,14503,6933883830,4002319870,10853348790,82854910,5725.953795221465,5722.969705566283,5717.599814285714,5712.949734537682,-685497.0
41,2022-07-04,31,3,101,2,2246108,1965985,3577093,635000,12752256770,11157032480,20297089250,3612200000,5677.490472408273,5674.185504821932,5675.034387342732,5688.503937007874,-1330985.0
42,2022-07-03,18,5,84,2,225458,2656907,2690505,191860,1260824340,14833828730,15016466140,1078186930,5592.280336027109,5581.281633001983,5583.119292470531,5619.65459188992,-2465047.0
43,2022-07-02,20,5,63,1,290047,1598000,1745754,142293,1598902060,8823579300,9629809540,792671820,5512.561964095474,5516.132020891832,5521.639111389237,5570.701439986507,-1455707.0
44,2022-06-29,47,4,83,2,1007120,4658892,5325441,340571,5613942400,25958207550,29661075190,1911074760,5574.253713559457,5569.6937004841475,5571.755591243583,5611.384292849361,-4318321.0
45,2022-06-28,53,6,64,3,1372473,7179407,5708488,2843392,7567030170,39565292550,31485781400,15646541320,5513.427346111726,5515.607880755815,5510.941579158279,5502.773208899793,-4336015.0
46,2022-06-27,36,7,61,6,3181484,26705757,2081321,27805920,17429091740,146131437590,11381406700,152179122630,5478.289923821713,5468.357211597827,5471.907708513936,5472.9037064768945,1100163.0
47,2022-06-26,30,3,69,1,522578,2470932,2979789,13721,2866350360,13504744960,16296051450,75043870,5485.019193307028,5468.860865651897,5465.445815586993,5469.271190146491,-2457211.0
48,2022-06-25,76,5,97,4,2172081,7111583,8296340,987324,11844543920,38863811180,45313344220,5395010880,5453.085736673725,5461.847539999566,5464.860802440188,5464.2760431226225,-6124259.0
49,2022-06-22,105,3,92,1,2333882,517130,2501644,349368,12958495130,2855050650,13863540740,1950005040,5552.33517804242,5541.772026715232,5520.953435306403,5581.521604726248,-167762.0
50,2022-06-21,293,8,134,7,33507561,15160285,7046260,41621586,184676100600,83342876510,39086253150,228932723960,5511.475472655261,5547.092095664934,5497.44787185729,5500.336386989194,26461301.0
51,2022-06-20,33,4,51,4,1158097,11336611,8425511,4069197,6345497420,61978953040,46071235480,22253214980,5479.245192760192,5468.064249159487,5467.150018643138,5468.699347807442,-7267414.0
52,2022-06-19,83,5,74,5,5484306,24541112,13254862,16770556,29783810050,134711909320,72282267080,92213452290,5430.734545081912,5453.264400640309,5489.234119464513,5498.5328029672955,-7770556.0
53,2022-06-18,22,5,76,3,275536,5908569,5794105,390000,1488670080,32109700870,31456020950,2142350000,5402.815167528018,5428.969780492414,5434.429363522708,5493.205128205128,-5518569.0
54,2022-06-15,21,4,45,2,921684,9356299,8873984,1403999,5023745670,50909359900,48274061020,7659044550,5450.616122228443,5439.953578911118,5441.1856547124025,5455.163821341753,-7952300.0
55,2022-06-14,40,6,70,2,1734834,7826139,9282750,278223,9479185540,42767745210,50708675330,1538255420,5464.030299152541,5462.6781212463975,5464.731103038165,5528.857858624197,-7547916.0
56,2022-06-13,82,5,61,4,1401647,5526185,5111361,1816471,7660799310,30279593350,28026895220,9913497440,5465.569654841768,5483.254894342231,5479.294187581487,5457.558882030046,-3709714.0
57,2022-06-12,47,6,60,3,876359,6112177,6446733,541803,4768138670,33431093010,35234845480,2964386200,5440.850918402161,5465.5350981652255,5469.588496864538,5471.335891458703,-5570374.0
58,2022-06-11,66,8,115,4,5215875,3580331,7154884,1641322,28767527960,19638076180,39382439550,9023164590,5515.379099384092,5504.273661180251,5484.989007999539,5497.4981082322665,-1939009.0
59,2022-06-08,31,8,60,1,557555,11940884,12498439,0,3044675090,65413481840,68458156930,0,5460.761879993902,5477.336564190136,5478.11048495237,,-11940884.0
60,2022-06-07,32,5,75,2,850175,14098345,14164069,784451,4669408740,77621205260,77957202820,4333411180,5492.291281206811,5503.870591141571,5505.696254418515,5524.132393227876,-13313894.0
61,2022-06-06,38,1,74,0,1396445,950000,2346445,0,7681955540,5238358770,12920314310,0,5501.079913637845,5506.3358868415835,5514.061863157895,,-950000.0
62,2022-06-01,73,4,61,2,2022091,5893882,7012973,903000,11233849260,32768251300,38932928240,5069172320,5555.5606844598,5551.558267798835,5559.706030762069,5613.701351052049,-4990882.0
63,2022-05-31,39,6,61,4,418076,8743380,5803141,3358315,2373471140,49332663260,32736909700,18969224700,5677.128416842871,5641.239752747693,5642.2874517635055,5648.435212301407,-5385065.0
