,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2019-04-15,2,0,0,2,200,0,0,200,102000,0,0,102000,510.0,,,510.0,200.0
1,2018-04-15,6,0,1,1,600,0,100,500,835200,0,139200,696000,1392.0,1392.0,,1392.0,500.0
2,2018-01-23,17,10,2,1,1650,2800,150,4300,2088900,3544800,189900,5443800,1266.0,1266.0,1266.0,1266.0,1500.0
3,2017-06-20,0,1,0,1,0,1000,0,1000,0,1151000,0,1151000,,,1151.0,1151.0,0.0
4,2017-06-10,0,1,0,1,0,1000,0,1000,0,1151000,0,1151000,,,1151.0,1151.0,0.0
5,2017-05-20,1,1,3,0,1000,1850,2850,0,1151000,2129350,3280350,0,1151.0,1151.0,1151.0,,-1850.0
6,2017-01-23,1,0,1,0,1000,0,1000,0,1150000,0,1150000,0,1150.0,1150.0,,,0.0
7,2016-05-10,2,0,3,0,2000,0,2000,0,2200000,0,2200000,0,1100.0,1100.0,,,0.0
8,2015-07-05,0,2,0,1,0,2000,0,2000,0,2200000,0,2200000,,,1100.0,1100.0,0.0
9,2015-06-23,0,1,0,1,0,1000,0,1000,0,1100000,0,1100000,,,1100.0,1100.0,0.0
10,2015-03-08,1,0,1,0,75,0,75,0,82500,0,82500,0,1100.0,1100.0,,,0.0
11,2015-01-14,2,0,2,0,1925,0,1925,0,2117500,0,2117500,0,1100.0,1100.0,,,0.0
12,2014-03-04,0,1,2,0,0,150,150,0,0,165000,165000,0,,1100.0,1100.0,,-150.0
13,2014-02-22,0,1,0,1,0,1000,0,1000,0,1100000,0,1100000,,,1100.0,1100.0,0.0
