,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-02-12,1,0,1,0,4284,0,4284,0,8520876,0,8520876,0,1989.0,1989.0,,,0.0
1,2022-02-07,1,0,1,0,5200,0,5200,0,10914800,0,10914800,0,2099.0,2099.0,,,0.0
2,2022-02-06,1,0,1,0,3250,0,3250,0,6821750,0,6821750,0,2099.0,2099.0,,,0.0
3,2022-02-01,5,0,2,0,23191,0,23191,0,46126899,0,46126899,0,1989.0,1989.0,,,0.0
4,2022-01-24,1,0,1,0,2800,0,2800,0,5569200,0,5569200,0,1989.0,1989.0,,,0.0
5,2022-01-19,1,0,1,0,4746,0,4746,0,9961854,0,9961854,0,2099.0,2099.0,,,0.0
6,2022-01-17,1,0,1,0,3445,0,3445,0,7231055,0,7231055,0,2099.0,2099.0,,,0.0
7,2022-01-16,4,0,1,0,12955,0,12955,0,25767495,0,25767495,0,1989.0,1989.0,,,0.0
8,2022-01-10,1,0,1,0,10000,0,10000,0,20990000,0,20990000,0,2099.0,2099.0,,,0.0
9,2022-01-08,7,0,1,0,43217,0,43217,0,85958613,0,85958613,0,1989.0,1989.0,,,0.0
10,2022-01-05,1,0,1,0,10000,0,10000,0,20990000,0,20990000,0,2099.0,2099.0,,,0.0
11,2022-01-03,2,0,1,0,9420,0,9420,0,19772580,0,19772580,0,2099.0,2099.0,,,0.0
12,2022-01-01,1,0,1,0,3000,0,3000,0,6297000,0,6297000,0,2099.0,2099.0,,,0.0
13,2021-12-28,3,0,1,0,15016,0,15016,0,29866824,0,29866824,0,1989.0,1989.0,,,0.0
14,2021-12-27,1,0,1,0,4000,0,4000,0,8396000,0,8396000,0,2099.0,2099.0,,,0.0
15,2021-12-25,2,0,1,0,5275,0,5275,0,11072225,0,11072225,0,2099.0,2099.0,,,0.0
16,2021-12-21,4,0,1,0,19247,0,19247,0,40399453,0,40399453,0,2099.0,2099.0,,,0.0
17,2021-12-20,1,0,1,0,5000,0,5000,0,9945000,0,9945000,0,1989.0,1989.0,,,0.0
18,2021-12-12,1,0,1,0,24000,0,24000,0,47736000,0,47736000,0,1989.0,1989.0,,,0.0
19,2021-12-05,1,0,1,0,5000,0,5000,0,10495000,0,10495000,0,2099.0,2099.0,,,0.0
20,2021-12-01,3,0,1,0,18264,0,18264,0,36327096,0,36327096,0,1989.0,1989.0,,,0.0
