,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-02-19,4,0,1,0,25265,0,25265,0,31985490,0,31985490,0,1266.0,1266.0,,,0.0
1,2022-02-02,1,0,1,0,3992,0,3992,0,5053872,0,5053872,0,1266.0,1266.0,,,0.0
2,2022-01-10,1,0,1,0,10000,0,10000,0,12660000,0,12660000,0,1266.0,1266.0,,,0.0
3,2022-01-08,1,0,3,3,385000,0,237716,147284,487795000,0,301186172,186608828,1267.0,1267.0,,1267.0,147284.0
4,2022-01-04,1,0,1,0,4000,0,4000,0,5068000,0,5068000,0,1267.0,1267.0,,,0.0
5,2022-01-03,2,0,1,0,9010,0,9010,0,11415670,0,11415670,0,1267.0,1267.0,,,0.0
6,2021-12-25,3,0,1,0,38423,0,38423,0,48681941,0,48681941,0,1267.0,1267.0,,,0.0
7,2021-12-20,3,0,1,0,15200,0,15200,0,18240000,0,18240000,0,1200.0,1200.0,,,0.0
8,2021-11-28,4,0,0,1,37500,0,0,37500,45000000,0,0,45000000,1200.0,,,1200.0,37500.0
9,2021-11-21,1,0,1,0,3971,0,3971,0,5031257,0,5031257,0,1267.0,1267.0,,,0.0
10,2021-11-17,3,0,1,0,48593,0,48593,0,61567331,0,61567331,0,1267.0,1267.0,,,0.0
11,2021-11-15,2,0,1,0,26500,0,26500,0,33575500,0,33575500,0,1267.0,1267.0,,,0.0
12,2021-11-14,17,0,5,1,247926,0,233359,14567,298007052,0,280497518,17509534,1202.0,1202.0,,1202.0,14567.0
13,2021-11-10,4,0,0,1,41264,0,0,41264,52364016,0,0,52364016,1269.0,,,1269.0,41264.0
14,2021-11-09,2,0,1,1,16000,0,12874,3126,20304000,0,16337106,3966894,1269.0,1269.0,,1269.0,3126.0
15,2021-11-08,5,0,1,0,62434,0,62434,0,79228746,0,79228746,0,1269.0,1269.0,,,0.0
16,2021-11-07,1,0,1,0,4900,0,4900,0,6218100,0,6218100,0,1269.0,1269.0,,,0.0
17,2021-11-06,12,0,4,1,304597,0,234064,70533,386838190,0,297261280,89576910,1270.0,1270.0,,1270.0,70533.0
18,2021-11-03,3,0,12,11,1231928,0,577545,654383,1568244344,0,735214785,833029559,1273.0,1273.0,,1273.0,654383.0
19,2021-11-02,19,0,5,0,240632,0,240632,0,290683456,0,290683456,0,1208.0,1208.0,,,0.0
20,2021-11-01,2,0,0,3,182927,0,0,182927,233414852,0,0,233414852,1276.0,,,1276.0,182927.0
21,2021-10-23,2,0,0,2,12685,0,0,12685,16186060,0,0,16186060,1276.0,,,1276.0,12685.0
22,2021-10-20,3,0,0,1,24685,0,0,24685,31498060,0,0,31498060,1276.0,,,1276.0,24685.0
23,2021-10-19,2,0,3,1,132135,0,120388,11747,168604260,0,153615088,14989172,1276.0,1276.0,,1276.0,11747.0
24,2021-10-17,2,0,1,0,33920,0,33920,0,43281920,0,43281920,0,1276.0,1276.0,,,0.0
