,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,63,2,848,0,435085,2314876,2749961,0,2984157930,15857250600,18841408530,0,6858.792948504315,6851.5184506253,6850.151196003587,,-2314876.0
1,2022-09-07,65,2,861,4,581948,2026255,2599054,9149,3989984920,13879971750,17807275020,62681650,6856.256778956195,6851.444802608949,6850.0616901623935,6851.202317193136,-2017106.0
2,2022-09-06,66,3,678,2,1993222,125027,2097339,20910,13661780330,857138150,14375684980,143233500,6854.118773523471,6854.2495895990105,6855.624385132812,6850.0,-104117.0
3,2022-09-05,72,1,856,1,1506123,512200,2018123,200,10322846410,3516882000,13838358410,1370000,6853.919905611959,6857.044099888857,6866.228035923467,6850.0,-512000.0
4,2022-09-04,63,3,647,0,1722633,763076,2485709,0,11803919870,5230770600,17034690470,0,6852.254583535785,6853.050968556658,6854.84879618806,,-763076.0
5,2022-09-03,60,1,838,0,784722,1904177,2688899,0,5378990640,13043612450,18422603090,0,6854.6448806073995,6851.355551101027,6850.0,,-1904177.0
6,2022-08-31,112,2,714,3,680569,2217010,2887923,9656,4667511940,15197954500,19799312340,66154100,6858.249406011734,6855.900361609364,6855.158298789812,6851.087406793704,-2207354.0
7,2022-08-30,65,3,711,1,718890,2722189,3440789,290,4932079520,18650794650,23580887670,1986500,6860.687337422972,6853.337321759631,6851.395935403457,6850.0,-2721899.0
8,2022-08-29,134,3,893,0,956470,1608366,2564836,0,6559887290,11022557100,17582444390,0,6858.434963982143,6855.192452850786,6853.264182406243,,-1608366.0
9,2022-08-28,84,3,804,2,733488,1093446,1823062,3872,5029921060,7496203140,12499601000,26523200,6857.536946753048,6856.377347561411,6855.576900916918,6850.0,-1089574.0
10,2022-08-27,205,2,894,0,2514288,1234068,3748356,0,17246670100,8458605800,25705275900,0,6859.464826622885,6857.746676142821,6854.2461193386425,,-1234068.0
11,2022-08-24,241,3,823,2,2056432,241273,2295823,1882,14124234810,1652959050,15764283340,12910520,6868.3208635150595,6866.506407506154,6850.990579136497,6860.0,-239391.0
12,2022-08-23,183,2,798,1,1276179,682319,1957398,1100,8765193400,4679689880,13437337280,7546000,6868.310323238355,6864.8978286480315,6858.507355064127,6860.0,-681219.0
13,2022-08-22,81,1,735,3,923431,2036093,2957299,2225,6333360740,13947237050,20265356290,15241500,6858.509991542411,6852.657201723599,6850.0,6850.112359550561,-2033868.0
14,2022-08-21,99,2,867,3,943064,2142310,2485274,600100,6470726110,14681015500,17041056610,4110685000,6861.385982287522,6856.8120094605265,6852.890337999636,6850.0,-1542210.0
15,2022-08-20,87,1,930,1,536851,1904424,2436275,5000,3681165540,13045304400,16692169940,34300000,6856.959454299237,6851.51304347826,6850.0,6860.0,-1899424.0
16,2022-08-17,150,1,752,3,1606831,1265746,2869931,2646,11028451430,8670360100,19680677410,18134120,6863.479376487011,6857.543756278461,6850.0,6853.408919123205,-1263100.0
17,2022-08-16,227,2,901,5,3681717,1859709,3538026,2003400,25323142720,12744006650,24326993360,13740156010,6878.079635126763,6875.866192051726,6852.688592677671,6858.418693221523,143691.0
18,2022-08-15,156,1,952,4,1400289,1748681,3145669,3301,9614352460,11978464850,21570161460,22655850,6865.97728040426,6857.098270669928,6850.0,6863.329294153287,-1745380.0
19,2022-08-14,191,1,860,2,1165290,1533225,2696421,2094,7996943480,10502591250,18485180890,14353840,6862.620875490221,6855.450573185715,6850.0,6854.746895893028,-1531131.0
20,2022-08-13,228,1,1075,2,2868116,73709,2940676,1149,19877009230,504906650,20373992880,7923000,6930.336579831499,6928.336504939681,6850.0,6895.56135770235,-72560.0
21,2022-08-10,61,1,763,0,209285,2134118,2343403,0,1435245380,14618708300,16053953680,0,6857.851159901569,6850.701172610942,6850.0,,-2134118.0
22,2022-08-09,165,1,757,5,1192298,324735,1512105,4928,8182927790,2224434750,10373578460,33784080,6863.1565179175,6860.355901210564,6850.0,6855.535714285715,-319807.0
23,2022-08-06,206,1,993,0,2713752,28844,2742596,0,18758108360,197581400,18955689760,0,6912.241192268122,6911.5865989741105,6850.0,,-28844.0
24,2022-08-03,124,1,580,3,594863,1269052,1861535,2380,4082693170,8693006200,12759375520,16323850,6863.249470886574,6854.222735538145,6850.0,6858.76050420168,-1266672.0
25,2022-08-02,40,1,531,1,410645,1955638,1866283,500000,2816827080,13396120300,12787947380,3425000000,6859.5187570772805,6852.094446554997,6850.0,6850.0,-1455638.0
26,2022-08-01,64,1,840,2,351359,2467897,2416706,402550,2410045090,16905094450,16557672040,2757467500,6859.2097825870405,6851.338987861991,6850.0,6850.0,-2065347.0
27,2022-07-31,61,1,957,2,441418,4698136,5137354,2200,3027575430,32182231600,35194737030,15070000,6858.749371344168,6850.7517741623415,6850.0,6850.0,-4695936.0
28,2022-07-30,90,1,1062,4,903013,3018777,3319100,602690,6190251870,20678622450,22740447820,4128426500,6855.108254255476,6851.389780362147,6850.0,6850.0,-2416087.0
29,2022-07-27,115,1,943,2,944187,1721312,2663299,2200,6474745690,11790987200,18250651890,15081000,6857.482352542452,6852.648497220928,6850.0,6855.0,-1719112.0
30,2022-07-26,62,1,914,2,825843,3218390,3773041,271192,5663153180,22045971500,25848756240,1860368440,6857.421059450768,6850.907859204286,6850.0,6859.96799315614,-2947198.0
