,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,693,8,432,7,53766376,4570000,43030894,15305482,186786966276,15897327256,149436535062,53247758470,3474.047911951514,3472.773190861431,3478.6274083150984,3478.9991239740116,10735482.0
1,2022-09-07,7,0,19,1,1606036,0,606036,1000000,5470158616,0,2064158616,3406000000,3406.0,3406.0,,3406.0,1000000.0
2,2022-09-06,6,1,18,1,2200000,247819,70619,2377200,7257800000,817554881,232972081,7842382800,3299.0,3299.0,3299.0,3299.0,2129381.0
3,2022-09-05,6,0,26,1,1663984,0,163984,1500000,5371340352,0,529340352,4842000000,3228.0,3228.0,,3228.0,1500000.0
4,2022-09-04,10,0,21,2,2835609,0,156144,2679465,8818743990,0,485607840,8333136150,3110.0,3110.0,,3110.0,2679465.0
5,2022-09-03,30,0,76,1,1237566,0,397566,840000,3786951960,0,1216551960,2570400000,3060.0,3060.0,,3060.0,840000.0
6,2022-08-24,264,0,248,2,8199375,0,7835188,364187,66346648490,0,63404708960,2941939530,8091.671437152222,8092.302183431973,,8078.10144239086,364187.0
7,2022-08-23,234,2,178,1,4173937,88000,4240124,21813,32020104080,656050000,32504013870,172140210,7671.439238301872,7665.816818093056,7455.113636363636,7891.633888048412,-66187.0
8,2022-08-22,228,1,64,1,3551858,84000,3505858,130000,27899135430,664440000,27548275430,1015300000,7854.80034111724,7857.784151554341,7910.0,7810.0,46000.0
9,2022-08-21,75,2,85,0,744899,129000,873899,0,6120261690,1050756310,7171018000,0,8216.2302406098,8205.774351498285,8145.397751937984,,-129000.0
10,2022-08-20,108,1,111,1,2563604,42000,2563604,42000,21519555170,337260000,21495195170,361620000,8394.258695960843,8384.756448343816,8030.0,8610.0,0.0
11,2022-08-17,134,1,157,0,2628049,42000,2670049,0,21873904940,341880000,22215784940,0,8323.248516294787,8320.366008264267,8140.0,,-42000.0
12,2022-08-16,196,1,156,1,4937755,30000,4925029,42726,41866521570,256800000,41757601530,365720040,8478.85761241698,8478.650893223166,8560.0,8559.660160089876,12726.0
13,2022-08-15,179,1,195,1,2991180,11298,2960478,42000,24185729890,87446520,23920796410,352380000,8085.681868025328,8080.045320384073,7740.0,8390.0,30702.0
14,2022-08-14,244,2,221,1,4730171,142000,4788171,84000,38569475700,1154583070,39030551350,693507420,8153.928409776307,8151.453101821134,8130.866690140845,8256.040714285715,-58000.0
15,2022-08-13,34,0,71,1,1480110,0,1438110,42000,11726661730,0,11393601730,333060000,7922.831228760025,7922.621864808672,,7930.0,42000.0
16,2022-08-10,120,0,122,1,2357625,0,2015625,342000,17664932970,0,15086252970,2578680000,7492.68139335136,7484.65263627907,,7540.0,342000.0
17,2022-08-09,75,0,84,1,1108356,0,1024356,84000,8104637060,0,7488077060,616560000,7312.304945342471,7310.033874941914,,7340.0,84000.0
18,2022-08-06,84,0,123,1,1960968,0,1876968,84000,13629254430,0,13029494430,599760000,6950.268658132106,6941.777606224507,,7140.0,84000.0
19,2022-08-03,79,0,76,0,1038579,0,1038579,0,7120770200,0,7120770200,0,6856.262450906479,6856.262450906479,,,0.0
20,2022-08-02,38,0,75,0,1103602,0,1103602,0,7256988560,0,7256988560,0,6575.729801142078,6575.729801142078,,,0.0
21,2022-08-01,88,1,63,0,1325149,24523,1349672,0,8773723670,158578120,8932301790,0,6620.933698776515,6618.127804385065,6466.505729315337,,-24523.0
22,2022-07-31,86,0,72,0,996911,0,996911,0,6544194470,0,6544194470,0,6564.472124392248,6564.472124392248,,,0.0
23,2022-07-30,94,0,45,1,882761,0,850361,32400,6009725070,0,5792321070,217404000,6807.873331513286,6811.602448842315,,6710.0,32400.0
24,2022-07-27,58,0,87,0,1001840,0,1001840,0,7106192920,0,7106192920,0,7093.141539567197,7093.141539567197,,,0.0
25,2022-07-26,157,1,83,0,2411305,840000,3251305,0,16874128790,5854800000,22728928790,0,6997.923858657449,6990.7095120267095,6970.0,,-840000.0
26,2022-07-25,96,2,46,0,1096717,77000,1173717,0,7947300300,555940000,8503240300,0,7246.445801423703,7244.710863010419,7220.0,,-77000.0
27,2022-07-24,76,0,51,1,770992,0,733817,37175,5759470030,0,5480285780,279184250,7470.207252474734,7468.191361061409,,7510.0,37175.0
28,2022-07-23,83,2,57,0,656434,44000,700434,0,5085369770,335562840,5420932610,0,7746.962786814821,7739.391020424479,7626.428181818182,,-44000.0
29,2022-07-20,81,0,81,1,1107557,0,1104453,3104,8728221760,0,8703451840,24769920,7880.607282514579,7880.3279451456965,,7980.0,3104.0
30,2022-07-19,80,0,64,0,684538,0,684538,0,5224095050,0,5224095050,0,7631.563258723402,7631.563258723402,,,0.0
31,2022-07-17,79,1,62,1,682556,42000,724011,545,5269705470,324660000,5590109020,4256450,7720.546695069708,7721.027746816001,7730.0,7810.0,-41455.0
32,2022-07-16,58,0,54,0,425845,0,425845,0,3390552660,0,3390552660,0,7961.940753090913,7961.940753090913,,,0.0
33,2022-07-13,46,1,62,0,445912,10000,455912,0,3655635200,81200000,3736835200,0,8198.10904393692,8196.395795679868,8120.0,,-10000.0
34,2022-07-12,76,2,95,0,664999,79461,744460,0,5300252670,627224440,5927477110,0,7970.316752356019,7962.116312494963,7893.487874554813,,-79461.0
