,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2017-01-31,16,1,0,1,2009862,4000000,0,6009862,188862890,380000000,0,568862890,93.96808835631501,,95.0,94.65490056177663,2009862.0
1,2017-01-30,13,2,0,1,2000000,18200000,0,20200000,182000000,1656200000,0,1838200000,91.0,,91.0,91.0,2000000.0
2,2017-01-29,0,1,0,1,0,200000,0,200000,0,18200000,0,18200000,,,91.0,91.0,0.0
3,2017-01-28,4,1,0,1,1180000,15000000,0,16180000,106200000,1350000000,0,1456200000,90.0,,90.0,90.0,1180000.0
4,2017-01-25,2,1,0,1,200629,800000,0,1000629,18056610,72000000,0,90056610,90.0,,90.0,90.0,200629.0
5,2017-01-24,0,1,0,1,0,100000,0,100000,0,9500000,0,9500000,,,95.0,95.0,0.0
6,2017-01-23,0,1,0,1,0,100000,0,100000,0,9540000,0,9540000,,,95.4,95.4,0.0
7,2017-01-22,0,1,0,1,0,100000,0,100000,0,10000000,0,10000000,,,100.0,100.0,0.0
8,2017-01-21,0,1,0,1,0,100000,0,100000,0,10350000,0,10350000,,,103.5,103.5,0.0
9,2017-01-18,1,1,0,1,50000,500000,0,550000,5250000,52500000,0,57750000,105.0,,105.0,105.0,50000.0
10,2017-01-17,13,1,0,1,1757500,14550000,0,16307500,184537500,1527750000,0,1712287500,105.0,,105.0,105.0,1757500.0
11,2017-01-16,6,0,0,1,686300,0,0,686300,68630000,0,0,68630000,100.0,,,100.0,686300.0
12,2016-10-19,97,0,296,3,13555916,0,13454560,101356,3113987319,0,3090636781,23350538,229.71426785176303,229.7092421454139,,230.38140810608152,101356.0
13,2016-10-18,47,0,135,0,6056099,0,6056099,0,1350228075,0,1350228075,0,222.95343504126996,222.95343504126996,,,0.0
14,2016-10-17,55,0,81,1,2951814,0,2880291,71523,618127616,0,603159309,14968307,209.4060181298686,209.40915657480443,,209.27963032870545,71523.0
15,2016-10-16,52,0,67,0,3651107,0,3651107,0,827323073,0,827323073,0,226.59513210650906,226.59513210650906,,,0.0
16,2016-10-15,36,0,79,0,2670323,0,2670323,0,650441025,0,650441025,0,243.58140382268363,243.58140382268363,,,0.0
17,2016-10-10,35,1,63,5,1847427,306869,2099281,55015,464574063,76555140,527738552,13390651,251.4708635307376,251.3901435777297,249.47172897881507,243.4,-251854.0
18,2016-10-09,55,0,61,0,2719420,0,2719420,0,696597507,0,696597507,0,256.15664627016054,256.15664627016054,,,0.0
19,2016-10-08,82,0,67,1,4765176,0,4627631,137545,1327570294,0,1289505257,38065037,278.5983757997606,278.6534313129115,,276.7460612890327,137545.0
20,2016-10-05,105,0,45,0,4872512,0,4872512,0,1489939157,0,1489939157,0,305.7846049429945,305.7846049429945,,,0.0
21,2016-10-04,52,0,49,0,1740797,0,1740797,0,563202642,0,563202642,0,323.53148701428137,323.53148701428137,,,0.0
22,2016-10-03,73,0,156,1,3750643,0,3728636,22007,1246483664,0,1238891249,7592415,332.33865873131623,332.26392949056975,,345.0,22007.0
23,2016-10-02,65,0,55,0,1978673,0,1978673,0,651922627,0,651922627,0,329.4746666073677,329.4746666073677,,,0.0
