,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,18,2,444,0,110692,1011673,1122365,0,344717914,3196066925,3540784839,0,3114.208018646334,3154.753434934268,3159.189703589994,,-1011673.0
1,2022-09-07,31,1,599,1,620123,335702,955751,74,1933460514,1060673042,2993898976,234580,3117.8661555852627,3132.5093837202367,3159.5672411841456,3170.0,-335628.0
2,2022-09-06,35,1,526,0,275959,975149,1251108,0,866098842,3089838932,3955937774,0,3138.505509876467,3161.947468963511,3168.581347055681,,-975149.0
3,2022-09-05,24,1,590,1,249353,528428,777707,74,785616165,1672268051,2457649562,234654,3150.6184605759704,3160.1227223105875,3164.6090877092056,3171.0,-528354.0
4,2022-09-04,32,1,644,4,470421,629993,1100117,297,1492248518,1998169749,3489481365,936902,3172.1554054772214,3171.918409587344,3171.733255766334,3154.5521885521885,-629696.0
5,2022-09-03,25,1,674,0,337070,1282468,1619538,0,1053530330,4065739341,5119269671,0,3125.553534874062,3160.9444613216856,3170.2462291456786,,-1282468.0
6,2022-08-31,28,1,568,1,518032,1467228,1985186,74,1635250592,4655565410,6290581348,234654,3156.6594187231676,3168.7616918515446,3173.0347362509438,3171.0,-1467154.0
7,2022-08-30,38,1,541,0,433213,838353,1271566,0,1372850366,2657793615,4030643981,0,3168.9962351083645,3169.8267970360957,3170.2559840544495,,-838353.0
8,2022-08-29,38,1,561,2,381421,483899,865244,76,1207466214,1531963336,2739188478,241072,3165.7045993796883,3165.7988706075976,3165.874151424161,3172.0,-483823.0
9,2022-08-28,31,1,594,1,519672,630945,1150545,72,1641327227,1998148813,3639247800,228240,3158.3907291522346,3163.0642869248923,3166.9144109232975,3170.0,-630873.0
10,2022-08-27,37,1,666,2,491001,926235,1417086,150,1557864870,2928224010,4485618930,469950,3172.834413779198,3165.3822915475844,3161.42664658537,3133.0,-926085.0
11,2022-08-24,50,1,614,1,594015,1117312,1711252,75,1878883600,3535653555,5414300005,237150,3163.0238293645784,3163.9407901349423,3164.4281588311947,3162.0,-1117237.0
12,2022-08-23,68,1,537,0,858842,400000,1258842,0,2732244052,1270602031,4002846083,0,3181.3116405578676,3179.784343865235,3176.5050775,,-400000.0
13,2022-08-22,46,1,546,3,609679,4616,614072,223,1942523059,14590401,1956403432,710028,3186.1406723866166,3185.95121093292,3160.8321057192375,3183.982062780269,-4393.0
14,2022-08-21,69,1,721,2,1235896,217,1235964,149,3994987842,681597,3995195301,474138,3232.462797840595,3232.4528068778704,3141.0,3182.1342281879197,-68.0
15,2022-08-20,40,1,765,0,886832,1222230,2109062,0,2808793003,3832071253,6640864256,0,3167.221077949375,3148.728797920592,3135.3110732022615,,-1222230.0
16,2022-08-17,32,1,565,2,385014,859185,1244050,149,1201891335,2685290985,3886716034,466286,3121.6821596097802,3124.2442297335315,3125.3932331220867,3129.4362416107383,-859036.0
17,2022-08-16,26,1,645,0,452713,990732,1443445,0,1406400868,3076908313,4483309181,0,3106.6058805468365,3105.97853122218,3105.691865206736,,-990732.0
18,2022-08-15,45,1,662,0,413130,687127,1100257,0,1275627078,2119129170,3394756248,0,3087.713499382761,3085.4211770522707,3084.042935294349,,-687127.0
