,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-07-27,35,0,40,0,931515,0,931515,0,1285296895,0,1285296895,0,1379.7919464528215,1379.7919464528215,,,0.0
1,2022-07-26,53,1,50,0,749054,511890,1260944,0,1025561949,697410900,1722972849,0,1369.1428775495492,1366.415042222335,1362.423372208873,,-511890.0
2,2022-07-25,44,2,42,0,573147,119611,692758,0,790600469,165803569,956404038,0,1379.4026122443283,1380.5745123116585,1386.1899741662555,,-119611.0
3,2022-07-24,39,1,45,1,1149969,499500,1629469,20000,1607633123,688810500,2268373623,28070000,1397.979530752568,1392.0937575369644,1379.0,1403.5,-479500.0
4,2022-07-23,71,1,58,1,2224544,36753,2226675,34622,3148448269,51906736,3150532792,49822213,1415.3229915883885,1414.904641225145,1412.3128996272412,1439.0333602911444,-2131.0
5,2022-07-20,36,1,46,1,947366,3841,947366,3841,1357147035,5492630,1357100943,5538722,1432.54775345537,1432.4991006643684,1430.0,1442.0,0.0
6,2022-07-19,28,0,55,1,1701240,0,921763,779477,2445923864,0,1323767332,1122156532,1437.7300463191555,1436.1254812788102,,1439.6275092145117,779477.0
7,2022-07-17,60,1,73,1,1697421,617393,2293864,20950,2410560542,881218000,3261027892,30750650,1420.131211997495,1421.630877855008,1427.321009470467,1467.8114558472553,-596443.0
8,2022-07-16,92,1,84,1,3426149,4041131,7409280,58000,5000969046,5873327309,10787574855,86721500,1459.6472733672704,1455.9545401172584,1453.387011952842,1495.198275862069,-3983131.0
9,2022-07-13,39,2,50,1,1274119,85000,859619,499500,1916073485,128005000,1292830485,751248000,1503.8418585705103,1503.9575497982246,1505.9411764705883,1504.0,414500.0
10,2022-07-12,45,2,43,0,809111,226143,1035254,0,1193076507,331688658,1524765165,0,1474.5523259478614,1472.8416069872708,1466.7208713070934,,-226143.0
11,2022-07-11,77,1,83,0,2066038,1524889,3590927,0,3086646337,2274003443,5360649780,0,1493.9930131972403,1492.8317339784408,1491.2583427383895,,-1524889.0
12,2022-07-09,54,1,64,0,1648825,561974,2210799,0,2520738288,854608220,3375346508,0,1528.8088717723226,1526.7541318772082,1520.7255495805855,,-561974.0
13,2022-07-06,37,2,55,0,1160417,470029,1630446,0,1792843791,724472560,2517316351,0,1544.9995915261497,1543.943406282698,1541.3358750204775,,-470029.0
14,2022-07-05,35,1,58,1,1255384,352364,1587748,20000,1967571433,549281655,2484853088,32000000,1567.3064440840412,1565.017299974555,1558.8472573815714,1600.0,-332364.0
15,2022-07-04,54,1,66,1,2586239,300918,2347657,539500,4106817002,472677142,3725759144,853735000,1587.9495290265131,1587.011707417225,1570.7838746768223,1582.4559777571826,238582.0
16,2022-07-03,52,1,87,1,2135230,113090,2119375,128945,3350158236,174950230,3321005131,204103335,1568.991741404907,1566.9738158655264,1547.0,1582.8712629415643,15855.0
17,2022-07-02,100,1,111,1,3777375,2159526,5437401,499500,5945028655,3379498697,8517335352,807192000,1573.8518561170124,1566.4350214376318,1564.926144440956,1616.0,-1660026.0
18,2022-06-29,84,1,139,0,3073562,2389003,5462565,0,5079298656,3924596699,9003895355,0,1652.577255965554,1648.2907489430331,1642.7759609343311,,-2389003.0
