,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-07-30,282,3,1603,15,21940472,50010720,56148637,15802555,75588963870,175737406353,196308640792,55017729431,3445.184035694401,3496.231632336863,3513.994726590619,3481.571773108842,-34208165.0
1,2022-07-27,211,4,1097,13,9493880,66142230,43193346,32442764,33374275282,232725386549,152090146226,114009515605,3515.3462316776704,3521.147591251671,3518.5597242336703,3514.17393428624,-33699466.0
2,2022-07-26,184,3,886,18,14545234,25471915,23496983,16520166,50975836026,90053946077,82739802650,58289979453,3504.641865919792,3521.2947402651653,3535.4211129002274,3528.4136644268588,-8951749.0
3,2022-07-25,531,8,621,14,16598832,32790508,25161015,24228325,57263726801,113049741278,86614069461,83699398618,3449.8648339232545,3442.3917103900617,3447.6361658684887,3454.60937221207,-8562183.0
4,2022-07-24,403,8,1099,15,28575171,63658157,69484992,22748336,106046356711,239223399304,260071084852,85198671163,3711.136381686045,3742.8382355142244,3757.9378759583,3745.2704744206344,-40909821.0
5,2022-07-23,285,8,1285,16,20175460,55476573,53532891,22119142,72742564041,214744716391,204662754874,82824525558,3605.4971753308228,3823.12165569388,3870.9081109065623,3744.472799080543,-33357431.0
6,2022-07-20,7,0,30,0,0,0,0,0,0,0,0,0,,,,,0.0
7,2022-07-11,341,4,682,9,14592027,13096435,23301543,4386919,53087443578,47295554516,84430040020,15952958074,3638.1130310408553,3623.3669169462296,3611.3304510731355,3636.483389367344,-8709516.0
8,2022-07-09,307,2,633,5,9241211,2319873,10535764,1025320,34063863438,8569101617,38845104365,3787860690,3686.082206974822,3686.975559152616,3693.780485828319,3694.320495064955,-1294553.0
9,2022-07-06,206,1,333,0,4912697,1225453,6138150,0,17626438650,4411047290,22037485940,0,3587.9352319102927,3590.24884370698,3599.5238413876336,,-1225453.0
