,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2011-12-27,0,3,0,1,0,619908,0,619908,0,1301806800,0,1301806800,,,2100.0,2100.0,0.0
1,2011-12-26,1,3,0,1,5000,3200000,0,3205000,10755000,6940000000,0,6950755000,2151.0,,2168.75,2168.7223088923556,5000.0
2,2011-12-25,4,3,0,1,25000,1200000,0,1225000,55000000,2640000000,0,2695000000,2200.0,,2200.0,2200.0,25000.0
3,2011-12-24,0,1,0,1,0,2000000,0,2000000,0,4600000000,0,4600000000,,,2300.0,2300.0,0.0
4,2011-12-21,0,2,0,1,0,1129000,0,1129000,0,2596700000,0,2596700000,,,2300.0,2300.0,0.0
5,2011-12-20,0,2,0,1,0,6000000,0,6000000,0,13930000000,0,13930000000,,,2321.6666666666665,2321.6666666666665,0.0
6,2011-12-19,1,3,0,1,50,1000000,0,1000050,122500,2450000000,0,2450122500,2450.0,,2450.0,2450.0,50.0
7,2011-09-27,8,1,33,2,126091,3197089,605068,2718112,401780123,10454704640,1963546739,8892938024,3186.4298244918355,3245.167053950961,3270.069941750136,3271.733476766226,-478977.0
8,2011-09-26,7,1,14,1,47381,121371,168748,4,139327792,372819824,512135996,11620,2940.5836094637093,3034.9159456704674,3071.737268375477,2905.0,-121367.0
9,2011-09-25,7,1,16,3,19158,512194,157678,373674,58521147,1561334667,473618225,1146237589,3054.658471656749,3003.705177640508,3048.326741430005,3067.480180585216,-138520.0
10,2011-09-21,5,1,15,6,136367,4400231,227374,4309224,394308044,12506016008,658396860,12241927192,2891.5209984820376,2895.655879739988,2842.127153778972,2840.8658245660936,-91007.0
11,2011-09-20,3,1,7,0,32609,29404,62013,0,87552120,80795596,168347716,0,2684.9066208715385,2714.716527179785,2747.7756767786695,,-29404.0
