,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,85,7,82,0,4318903,8426918,12745821,0,17444625065,34095594118,51540219183,0,4039.1333320058357,4043.6955126703883,4046.0336884730573,,-8426918.0
1,2022-09-07,65,2,72,2,7000666,2922880,9276299,647247,29076545399,12216117537,38590115203,2702547733,4153.397033796498,4160.076686079222,4179.479669709328,4175.450381384541,-2275633.0
2,2022-09-06,52,2,61,2,2589407,1222428,3086835,725000,10877253893,5162143964,12963331857,3076066000,4200.673703670377,4199.55451360374,4222.861357887745,4242.849655172414,-497428.0
3,2022-09-05,58,4,71,2,3199160,1169855,3606944,762071,13521766337,5006483448,15287713039,3240536746,4226.661478950725,4238.411530370308,4279.576056861748,4252.276685505682,-407784.0
4,2022-09-04,47,3,101,4,1257076,3233010,3486586,1003500,5322887127,13805126446,14858536946,4269476627,4234.339950010978,4261.629268860714,4270.053741250414,4254.585577478824,-2229510.0
5,2022-09-03,66,2,78,1,1650464,1544811,3190775,4500,6942289842,6542248480,13465507322,19031000,4206.265536237082,4220.136901536461,4234.983101492675,4229.111111111111,-1540311.0
6,2022-08-31,55,1,120,3,5851756,595045,6146101,300700,25120150223,2555918417,26383930540,1292138100,4292.754213094326,4292.791566555772,4295.336347671185,4297.100432324576,-294345.0
7,2022-08-30,77,4,82,3,8746145,3758373,4891822,7612696,37158854596,16014076338,20871653399,32301277535,4248.598050455372,4266.642040327714,4260.9066045333975,4243.079920044095,3854323.0
8,2022-08-29,82,2,84,4,3053566,2375901,3069602,2359865,13059959505,10199457937,13193802345,10065615097,4276.95340627974,4298.212714547359,4292.880021936941,4265.335134425062,-16036.0
9,2022-08-28,42,2,98,1,1423994,4599490,6017484,6000,6048693250,19578771027,25601670277,25794000,4247.695741695541,4254.547295348022,4256.726512504647,4299.0,-4593490.0
10,2022-08-27,140,3,148,2,4018984,7581552,11194536,406000,17330208418,32770607482,48357902905,1742912995,4312.086939883314,4319.777336461288,4322.414128663893,4292.889150246306,-7175552.0
11,2022-08-24,95,4,189,2,3651277,3947081,7567358,31000,15934923548,17325144248,33123167796,136900000,4364.205604778821,4377.1112449021175,4389.356146478879,4416.129032258064,-3916081.0
12,2022-08-23,99,2,160,3,4152312,1938783,5929095,162000,17659994220,8283456749,25244900969,698550000,4253.050883459625,4257.800046887425,4272.503291497811,4312.037037037037,-1776783.0
13,2022-08-22,87,3,105,0,1605636,1182414,2788050,0,6629099956,4940727146,11569827102,0,4128.644322872681,4149.791826545435,4178.508666169379,,-1182414.0
14,2022-08-21,52,4,127,0,1427529,3373619,4801148,0,5967984738,14159928435,20127913173,0,4180.639929556597,4192.312582948912,4197.25180436795,,-3373619.0
15,2022-08-20,69,3,113,0,1668435,1932080,3600515,0,6963824156,8100492294,15064316450,0,4173.866021750922,4183.933812246303,4192.627786634094,,-1932080.0
16,2022-08-17,144,3,120,0,7390291,1598448,8988739,0,31075460811,6736391361,37811852172,0,4204.903543175769,4206.58027471929,4214.3325031530585,,-1598448.0
17,2022-08-16,187,4,181,1,6957494,6495730,13440598,12626,29522849904,27890449514,57358628838,54670580,4243.316617161294,4267.565240623966,4293.658990444492,4330.0,-6483104.0
18,2022-08-15,133,3,186,4,8129731,1986809,7203040,2913500,34568391031,8574805386,30820047275,12323149142,4252.095306843486,4278.755535857083,4315.868000396616,4229.671921057148,926691.0
19,2022-08-14,106,2,145,1,3868328,1884832,3753160,2000000,16299164719,7934371631,15833857662,8399678688,4213.490872283839,4218.806995172068,4209.590897756405,4199.839344,115168.0
20,2022-08-13,136,3,227,9,17031504,3937816,14857152,6112168,72919385413,16914831444,63576370538,26257846319,4281.441346166493,4279.176152872367,4295.485478244794,4295.995515666455,2174352.0
21,2022-08-10,78,3,139,2,6116518,1491448,6003642,1604324,25029488137,6101699918,24560715867,6570472188,4092.1138688711453,4090.9694260583824,4091.1248115924927,4095.4770906624844,112876.0
22,2022-08-09,136,4,148,1,4631567,2898702,7130269,400000,18977130480,11857383791,29160114271,1674400000,4097.345559289113,4089.6233046747607,4090.5839203201986,4186.0,-2498702.0
