,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,71,2,334,1,3200916,233310,3334226,100000,6355929163,466215234,6622644397,199500000,1985.6594684146662,1986.2613982975358,1998.265115082937,1995.0,-133310.0
1,2022-09-07,81,2,350,1,1349637,10944,1311812,48769,2721363375,22111466,2644668847,98805994,2016.3669008777915,2016.0425785097254,2020.4190423976609,2026.0,37825.0
2,2022-09-06,91,2,348,1,2333373,169986,2223881,279478,4761293607,346581682,4532932759,574942530,2040.5197141648591,2038.2982538184372,2038.8836845387268,2057.201389733718,109492.0
3,2022-09-05,101,2,374,0,3079639,792947,3872586,0,6215932292,1609218722,7825151014,0,2018.3964068515822,2020.652611459113,2029.4152345617047,,-792947.0
4,2022-09-04,111,3,393,1,2791279,469227,3260370,136,5627460180,957739292,6584923800,275672,2016.0865968611522,2019.6860479025386,2041.1001327715583,2027.0,-469091.0
5,2022-09-03,81,1,388,0,1625006,11844,1636850,0,3296389609,24043320,3320432929,0,2028.539961698603,2028.5505263157895,2030.0,,-11844.0
6,2022-08-31,77,1,354,2,2425909,28172,2453625,456,4986405665,58066826,5043529483,943008,2055.479271893546,2055.542099139029,2061.1538406928867,2068.0,-27716.0
7,2022-08-30,77,1,321,0,1700663,530712,2231375,0,3488141726,1091332300,4579474026,0,2051.048165333167,2052.3103584112937,2056.3550475587513,,-530712.0
8,2022-08-29,113,1,389,2,3845316,2702,3847561,457,7915900185,5604991,7920566265,938911,2058.582489709558,2058.594071672938,2074.3860103626944,2054.5098468271335,-2245.0
9,2022-08-28,91,2,340,0,2872851,287881,3160732,0,5911207436,594000157,6505207593,0,2057.610170523985,2058.1332403379974,2063.3531111813563,,-287881.0
