,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,73,1,75,0,3401586,7865,3409451,0,10221642211,23854545,10245496756,0,3004.9636290248136,3005.028303970346,3033.0,,-7865.0
1,2022-09-07,122,1,90,2,3298910,56310,3151870,203350,10088700175,171323582,9629832777,630190980,3058.1920012973983,3055.276003451919,3042.5072278458533,3099.045881485124,147040.0
2,2022-09-06,136,1,56,0,3486588,65658,3552246,0,10619064522,201571770,10820636292,0,3045.6895170866187,3046.139341700997,3070.026044046422,,-65658.0
3,2022-09-05,140,2,106,1,3318378,82722,3380860,20240,10366986757,261058122,10564576039,63468840,3124.1126710097524,3124.8191403962305,3155.848770580982,3135.812252964427,-62482.0
4,2022-09-04,62,0,74,1,1413334,0,1410334,3000,4576696635,0,4566880635,9816000,3238.2272237135735,3238.155383760159,,3272.0,3000.0
5,2022-09-03,70,1,102,0,1277293,14727,1292020,0,4148558479,47524029,4196082508,0,3247.9301765530695,3247.6916053931054,3227.0,,-14727.0
6,2022-08-31,85,0,95,2,2271572,0,2231794,39778,7662835952,0,7527366524,135469428,3373.3625665398235,3372.787328938065,,3405.6369852682387,39778.0
7,2022-08-30,199,2,138,1,3821371,137265,3758636,200000,12677925283,453627835,12471540846,660012272,3317.637906133689,3318.102855929651,3304.7596619677265,3300.06136,62735.0
8,2022-08-29,185,1,148,1,6162870,78047,6160917,80000,21332329855,268637774,21323047629,277920000,3461.4278501737017,3461.0184862091146,3442.0,3474.0,1953.0
9,2022-08-28,210,1,212,2,7548513,100000,7521513,127000,25404042344,334320000,25302840344,435522000,3365.436655404846,3364.062568794337,3343.2,3429.3070866141734,27000.0
10,2022-08-27,329,3,276,2,15804238,367000,10655203,5516035,54797997880,1282760507,37057005066,19023753321,3467.297688126438,3477.8319161070885,3495.260237057221,3448.8093931601234,5149035.0
11,2022-08-24,48,0,152,3,8964893,0,4476521,4488372,29790164987,0,14824354367,14965810620,3322.980540537405,3311.5793195206725,,3334.351658017651,4488372.0
12,2022-08-23,237,1,176,3,8085956,28090,6784540,1329506,25447657863,87391742,21340538291,4194511314,3147.14275751686,3145.4657634858077,3111.1335706657173,3154.939740023738,1301416.0
13,2022-08-22,223,0,194,2,14652609,0,9931396,4721213,46130202669,0,31226487015,14903715654,3148.2586254093044,3144.2193036104895,,3156.7556164062075,4721213.0
14,2022-08-21,96,1,119,1,3453764,2175,3422461,33478,10291729218,6457575,10197972743,100214050,2979.858849070174,2979.7191970923845,2969.0,2993.430013740367,31303.0
15,2022-08-20,72,1,80,3,2117090,35921,1647105,505906,6159149029,103314734,4788537604,1473926159,2909.2523364618414,2907.2448957413158,2876.1653072019153,2913.438779140789,469985.0
16,2022-08-17,225,1,121,2,14095069,75000,6228171,7941898,41021586998,219585000,18084878262,23156293736,2910.3502081472607,2903.7221781482876,2927.8,2915.7128102123697,7866898.0
17,2022-08-16,72,1,71,2,2981426,16304,1954596,1043134,9098397465,49611784,5982002494,3166006755,3051.693204862371,3060.48027009162,3042.921000981354,3035.0911340249672,1026830.0
18,2022-08-15,109,1,103,2,5449268,95000,4605712,938556,16505110615,280325000,13961858402,2823577213,3028.867476328931,3031.4223733485724,2950.7894736842104,3008.427001691961,843556.0
19,2022-08-14,125,2,133,3,4567572,4985324,7229416,2323480,13666827374,15299070443,21996934982,6968962835,2992.142734476873,3042.6987438542756,3068.8216940363354,2999.364244581404,-2661844.0
20,2022-08-13,122,2,144,2,7035356,1421898,4331673,4125581,20580077113,4193842896,12677255463,12096664546,2925.236066661019,2926.641845540972,2949.4681728225232,2932.111754926155,2703683.0
21,2022-08-10,125,2,65,1,2357315,140000,2485315,12000,6566526330,389600000,6921818330,34308000,2785.5956161989384,2785.0869326423413,2782.8571428571427,2859.0,-128000.0
22,2022-08-09,99,1,94,2,3249439,90000,2626296,713143,9537044232,260370000,7689914090,2107500142,2934.981771314987,2928.0454640299495,2893.0,2955.227972510422,623143.0
23,2022-08-06,104,0,97,2,4058198,0,3761769,296429,12237341204,0,11344720479,892620725,3015.46183897385,3015.7940264274603,,3011.2462849451304,296429.0
24,2022-08-03,58,0,83,2,2842152,0,2476724,365428,8125747417,0,7080653726,1045093691,2859.012261483552,2858.8787955379767,,2859.916839979421,365428.0
25,2022-08-02,88,2,111,1,2880908,420000,3244113,56795,7983799147,1175347575,9000583412,158563310,2771.2787589884856,2774.435851032316,2798.446607142857,2791.853332159521,-363205.0
26,2022-08-01,136,3,175,2,6627469,2445501,7118396,1954574,18683303897,6916527381,20071008741,5528822537,2819.070733789928,2819.59710319572,2828.266020336937,2828.6585910791814,-490927.0
27,2022-07-31,116,1,67,0,11501060,110000,11611060,0,30779903760,294360000,31074263760,0,2676.2666884617593,2676.264161928368,2676.0,,-110000.0
28,2022-07-30,67,1,110,2,3721633,10000,2272849,1458784,10581793418,28000000,6504372488,4105420930,2843.3199667995204,2861.7706182856846,2800.0,2814.276088852085,1448784.0
29,2022-07-27,62,1,60,1,1131221,10000,1131221,10000,3131591888,27600000,3131321888,27870000,2768.3289896492374,2768.090309497437,2760.0,2787.0,0.0
30,2022-07-26,59,1,87,1,2300619,10000,2300619,10000,6395560891,27600000,6395360891,27800000,2779.930484360948,2779.8435512355586,2760.0,2780.0,0.0
31,2022-07-25,78,1,75,0,3549189,60000,3609189,0,9795294226,167160000,9962454226,0,2759.8683039984626,2760.302723409608,2786.0,,-60000.0
32,2022-07-24,137,1,94,1,6041832,75000,6115132,1700,17279344581,215865000,17490029681,5179900,2859.951183846224,2860.122999961407,2878.2,3047.0,-73300.0
33,2022-07-23,85,1,82,0,1646582,27599,1674181,0,4978493795,82854624,5061348419,0,3023.5322595534262,3023.178747698128,3002.08790173557,,-27599.0
34,2022-07-20,123,0,122,1,3549597,0,3459597,90000,10554147375,0,10284897375,269250000,2973.3367971068265,2972.859953052335,,2991.6666666666665,90000.0
35,2022-07-19,94,1,110,1,2240385,60000,2271381,29004,6719525572,181410000,6811603252,89332320,2999.2727017900943,2998.881848531796,3023.5,3080.0,-30996.0
