,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,53,1,22,1,501006,1000,501006,1000,3006500990,6240000,3006670990,6070000,6000.9281126373735,6001.267429930979,6240.0,6070.0,0.0
1,2022-09-07,38,2,23,1,592798,3900,595848,850,3609198490,24097000,3628084990,5210500,6088.412056046073,6088.943807816759,6178.717948717948,6130.0,-3050.0
2,2022-09-06,24,0,27,0,534075,0,534075,0,3345541580,0,3345541580,0,6264.179338107943,6264.179338107943,,,0.0
3,2022-09-05,28,1,28,0,420327,1000,421327,0,2638673850,6251860,2644925710,0,6277.669171859053,6277.6079149923935,6251.86,,-1000.0
4,2022-09-04,13,0,26,0,227264,0,227264,0,1419504820,0,1419504820,0,6246.061056744579,6246.061056744579,,,0.0
5,2022-09-03,18,0,27,0,241470,0,241470,0,1462019260,0,1462019260,0,6054.6621112353505,6054.6621112353505,,,0.0
6,2022-08-31,28,0,43,1,492070,0,491070,1000,3081816780,0,3075686780,6130000,6262.96417176418,6263.234935956178,,6130.0,1000.0
7,2022-08-30,28,0,21,0,455960,0,455960,0,2800457970,0,2800457970,0,6141.893959996491,6141.893959996491,,,0.0
8,2022-08-29,65,1,68,0,1218165,2000,1220165,0,7423776560,12280000,7436056560,0,6094.229074058112,6094.304098216225,6140.0,,-2000.0
9,2022-08-28,49,3,79,1,1089360,804000,1793360,100000,6813666150,4990945110,11184111260,620500000,6254.742371667769,6236.400533077575,6207.643171641791,6205.0,-704000.0
10,2022-08-27,13,0,49,2,1699415,0,899415,800000,10859261850,0,5747261850,5112000000,6390.0,6390.0,,6390.0,800000.0
11,2022-08-24,26,0,47,2,3364231,0,1354231,2010000,20891874510,0,8409774510,12482100000,6210.0,6210.0,,6210.0,2010000.0
12,2022-08-23,4,1,39,1,1118181,1280000,1678181,720000,6740955880,7718045550,10117401430,4341600000,6028.501539553972,6028.790356940044,6029.7230859375,6030.0,-560000.0
13,2022-08-22,145,1,95,3,4700786,9568762,12869270,1400278,27513972370,56167327310,75435962260,8245337420,5853.057843943545,5861.712611515649,5869.863552881762,5888.357469016867,-8168484.0
14,2022-08-21,47,1,53,2,4149065,1000,1950065,2200000,23729506350,5710000,11151216350,12584000000,5719.241889437741,5718.381874450339,5710.0,5720.0,2199000.0
15,2022-08-20,84,3,63,1,1144430,2200771,3344201,1000,6365689330,12220532490,18580561820,5660000,5562.323016698269,5556.054142678625,5552.841476918771,5660.0,-2199771.0
16,2022-08-17,41,2,50,1,286790,23200,308990,1000,1646537310,132368370,1773245680,5660000,5741.264723316713,5738.844881711382,5705.5331896551725,5660.0,-22200.0
17,2022-08-16,83,2,79,0,1601531,139500,1741031,0,9163142530,796341370,9959483900,0,5721.489331146259,5720.451789772842,5708.540286738351,,-139500.0
18,2022-08-15,33,2,7,0,1607599,1009950,2617549,0,9310378210,5847610500,15157988710,0,5791.480468698973,5790.909247544172,5790.0,,-1009950.0
19,2022-08-14,62,2,21,1,664113,1013759,1676872,1000,3960371110,6032541050,9986902160,6010000,5963.39946665703,5955.673515927274,5950.665838724983,6010.0,-1012759.0
20,2022-08-13,103,2,60,1,2269885,2007350,4276735,500,13933625980,12285282000,26215827980,3080000,6138.472204538996,6129.8696271805475,6120.149450768426,6160.0,-2006850.0
21,2022-08-10,47,4,48,1,603867,1002000,1605017,850,3796231930,6313060000,10103894430,5397500,6286.536488995093,6295.19464902864,6300.459081836328,6350.0,-1001150.0
22,2022-08-09,43,1,64,1,936969,2000,928969,10000,6084759620,12820000,6031479620,66100000,6494.088513067135,6492.6597335325505,6410.0,6610.0,8000.0
23,2022-08-06,55,2,104,3,1516917,2575580,1503658,2588839,9789068230,16500073950,9706001360,16583140820,6453.265557706849,6454.926160070973,6406.352724434884,6405.628476703264,13259.0
24,2022-08-03,245,4,135,0,5330425,542767,5873192,0,33560180910,3414490700,36974671610,0,6295.967190233424,6295.498531292694,6290.8959092944115,,-542767.0
25,2022-08-02,64,2,39,0,903453,1666233,2569686,0,5862075440,10797456240,16659531680,0,6488.522856197279,6483.100145309582,6480.159881601193,,-1666233.0
26,2022-08-01,8,2,1,0,164292,24000,188292,0,1069540920,156240000,1225780920,0,6510.0,6510.0,6510.0,,-24000.0
27,2022-07-31,2,0,1,0,1780,0,1780,0,11587800,0,11587800,0,6510.0,6510.0,,,0.0
28,2022-07-30,5,0,2,0,37449,0,37449,0,244167480,0,244167480,0,6520.0,6520.0,,,0.0
29,2022-07-27,10,0,3,0,265294,0,265294,0,1740328640,0,1740328640,0,6560.0,6560.0,,,0.0
30,2022-07-26,18,2,19,0,869842,310000,1179842,0,5779494160,2172048000,7951542160,0,6644.303402227071,6739.497458134225,7006.606451612904,,-310000.0
31,2022-07-19,51,0,45,0,2034072,0,2034072,0,13974174680,0,13974174680,0,6870.049182133179,6870.049182133179,,,0.0
32,2022-07-17,23,1,34,0,345284,8000,353284,0,2390286420,56240000,2446526420,0,6922.667774933098,6925.098277872759,7030.0,,-8000.0
33,2022-07-16,102,2,111,0,3000265,30050,3030315,0,21392858530,208483000,21601341530,0,7130.322998135165,7128.414547662536,6937.870216306156,,-30050.0
