,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2015-06-02,18,1,0,1,1127185,3345120,0,4472305,1669630150,4917680000,0,6587310150,1481.2387939867901,,1470.1057062227962,1472.9116529395915,1127185.0
1,2015-06-01,30,1,0,1,2362880,2137120,0,4500000,2727817360,2457688000,0,5185505360,1154.4459981040086,,1150.0,1152.3345244444445,2362880.0
2,2015-05-31,15,1,0,1,696822,1240000,0,1936822,850937550,1506600000,0,2357537550,1221.1691795035174,,1215.0,1217.2195224961304,696822.0
3,2015-05-30,4,0,0,1,77850,0,0,77850,105097500,0,0,105097500,1350.0,,,1350.0,77850.0
4,2015-05-27,3,1,0,1,452375,100000,0,552375,610758625,135200000,0,745958625,1350.115777839182,,1352.0,1350.4568906992533,452375.0
5,2015-05-26,1,0,0,1,10000,0,0,10000,13500000,0,0,13500000,1350.0,,,1350.0,10000.0
6,2015-05-20,2,0,0,1,21209,0,0,21209,29713160,0,0,29713160,1400.969399783111,,,1400.969399783111,21209.0
7,2015-05-19,19,0,0,1,1774865,0,0,1774865,2490536140,0,0,2490536140,1403.225676319044,,,1403.225676319044,1774865.0
8,2015-05-18,18,1,0,1,1281200,240000,0,1521200,1848218200,372000000,0,2220218200,1442.5680611926318,,1550.0,1459.5176176702603,1281200.0
9,2015-05-17,12,0,0,1,791425,0,0,791425,1196634600,0,0,1196634600,1512.0,,,1512.0,791425.0
10,2015-05-13,8,0,0,1,720000,0,0,720000,1008000000,0,0,1008000000,1400.0,,,1400.0,720000.0
11,2014-10-26,50,6,151,1,1223254,1945883,3119137,50000,3416971228,5462216835,8740058529,139129534,2793.3456403984783,2802.0758719479136,2807.0633409100137,2782.59068,-1895883.0
12,2014-10-25,51,5,108,0,885618,751200,1636818,0,2516559103,2144998404,4661557507,0,2841.585314435795,2847.9388099348857,2855.4291853035143,,-751200.0
13,2014-10-22,79,2,46,0,1009411,300000,1309411,0,2871700129,847959662,3719659791,0,2844.926525468813,2840.712191206581,2826.5322066666668,,-300000.0
14,2014-10-21,26,0,58,0,836144,0,836144,0,2500192974,0,2500192974,0,2990.1464030119214,2990.1464030119214,,,0.0
15,2014-10-20,48,1,124,0,2519319,50000,2569319,0,7660337188,151454660,7811791848,0,3040.6380406768653,3040.413373349125,3029.0932,,-50000.0
16,2014-10-19,76,1,55,0,1052216,156704,1208920,0,2999163562,441714510,3440878072,0,2850.3306944581723,2846.2413327598188,2818.7826092505616,,-156704.0
17,2014-10-18,71,0,56,1,724316,0,723096,1220,2129859356,0,2126333556,3525800,2940.5112630398885,2940.5964851140097,,2890.0,1220.0
18,2014-10-15,37,2,35,0,323660,101220,424880,0,962951020,298806320,1261757340,0,2975.193165667676,2969.679297684052,2952.0482118158466,,-101220.0
19,2014-10-14,43,0,38,0,344147,0,344147,0,1022737442,0,1022737442,0,2971.8040314168074,2971.8040314168074,,,0.0
20,2014-10-12,42,0,35,0,369221,0,369221,0,1088777128,0,1088777128,0,2948.8494099739723,2948.8494099739723,,,0.0
21,2014-10-11,72,0,31,0,568194,0,568194,0,1717868161,0,1717868161,0,3023.383142025435,3023.383142025435,,,0.0
22,2014-10-08,57,2,44,1,640755,200000,839755,1000,1964648923,607812427,2569361332,3100018,3066.146847078837,3059.655890110806,3039.062135,3100.018,-199000.0
23,2014-10-07,81,2,52,0,1016509,850000,1866509,0,3093749157,2595986097,5689735254,0,3043.503950284749,3048.329932510371,3054.1012905882353,,-850000.0
24,2014-10-06,54,2,34,0,543911,326200,870111,0,1691110286,1011674638,2702784924,0,3109.1672828826777,3106.253022890183,3101.393740036787,,-326200.0
25,2014-10-04,35,3,36,0,714905,548288,1263193,0,2233474428,1712754592,3946229020,0,3124.1555563326597,3124.011152690048,3123.8228668145207,,-548288.0
26,2014-10-01,67,2,84,0,1436863,184100,1620963,0,4581726832,580377426,5162104258,0,3188.70124152407,3184.5910474205766,3152.5118196632266,,-184100.0
27,2014-09-30,106,1,36,0,1294773,150000,1444773,0,4012987918,468170000,4481157918,0,3099.3756573546098,3101.6345945003127,3121.133333333333,,-150000.0
28,2014-09-29,92,1,38,0,1111416,95100,1206516,0,3506143621,296712000,3802855621,0,3154.663619202891,3151.931363529369,3120.0,,-95100.0
29,2014-09-28,80,1,45,1,998212,100000,992523,105689,3172784985,313255356,3141593000,344447341,3178.4680859376567,3165.259646375953,3132.55356,3259.065191268722,5689.0
30,2014-09-27,29,0,40,0,211295,0,211295,0,678139940,0,678139940,0,3209.4462244728934,3209.4462244728934,,,0.0
31,2014-09-24,103,0,53,0,1042235,0,1042235,0,3402920062,0,3402920062,0,3265.0218635912247,3265.0218635912247,,,0.0
32,2014-09-23,183,1,98,1,3229163,50000,3144852,134311,10794782286,177221712,10527084776,444919222,3342.904116639513,3347.402286657687,3544.43424,3312.604492558316,84311.0
