,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,25,1,56,0,63592,71812,135404,0,1544431560,1741827150,3286258710,0,24286.57000880614,24270.02680866149,24255.377235002506,,-71812.0
1,2022-09-07,37,2,34,1,108360,15617,106977,17000,2575289590,373791490,2541251080,407830000,23766.05380214101,23755.116333417463,23934.910033937376,23990.0,1383.0
2,2022-09-06,51,2,46,1,131800,9210,110075,30935,3159797310,221256860,2634765480,746288690,23974.182928679817,23936.09339086986,24023.546145494027,24124.412154517537,21725.0
3,2022-09-05,118,1,84,3,649441,25967,232483,442925,15817379900,641396370,5710314800,10748461470,24355.376238950113,24562.289715807176,24700.441714483768,24267.001117570693,416958.0
4,2022-09-04,136,3,38,3,560524,182667,100256,642935,13347488770,4448398000,2432905340,15362981430,23812.519660175123,24266.930059048835,24352.499356753,23895.07715398913,460268.0
5,2022-09-03,18,2,18,3,42081,2903,23782,21202,996012770,68797390,557599830,507210330,23668.94251562463,23446.296779076612,23698.722011712023,23922.758702009243,18299.0
6,2022-08-31,49,2,53,3,77610,244361,193134,128837,1842675960,5947258880,4698277910,3091656930,23742.76459219173,24326.518945395426,24338.00352756782,23996.65414438399,-115524.0
7,2022-08-30,19,3,27,3,83451,99220,113589,69082,1959530610,2331760850,2666563280,1624728180,23481.211848869396,23475.541469684566,23500.91564200766,23518.835297183057,-30138.0
8,2022-08-29,15,2,17,0,57857,1624,59481,0,1343242920,38153340,1381396260,0,23216.60162123857,23224.15998386039,23493.435960591134,,-1624.0
9,2022-08-28,34,1,43,3,159298,130958,106703,183553,3749648220,3120357520,2544787370,4325218370,23538.576881065677,23849.2579402641,23827.16229630874,23563.86640370901,52595.0
10,2022-08-27,27,1,27,1,124058,2264,126321,1,2876546520,53150690,2929673660,23550,23187.1102226378,23192.293126241875,23476.453180212015,23550.0,-2263.0
