,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2019-01-30,7,2,0,1,74794,734714,0,809508,822734000,8081854000,0,8904588000,11000.0,,11000.0,11000.0,74794.0
1,2019-01-29,6,3,0,1,18053,347439,0,365492,198583000,3821829000,0,4020412000,11000.0,,11000.0,11000.0,18053.0
2,2019-01-28,3,2,0,1,1800,278200,0,280000,19800000,3060200000,0,3080000000,11000.0,,11000.0,11000.0,1800.0
3,2019-01-27,1,2,0,1,500,298055,0,298555,5500000,3278605000,0,3284105000,11000.0,,11000.0,11000.0,500.0
4,2019-01-26,7,2,0,1,8009,296991,0,305000,88099000,3266901000,0,3355000000,11000.0,,11000.0,11000.0,8009.0
5,2019-01-23,3,1,0,1,4100,50000,0,54100,45100000,550000000,0,595100000,11000.0,,11000.0,11000.0,4100.0
6,2019-01-22,2,0,0,1,930,0,0,930,10230000,0,0,10230000,11000.0,,,11000.0,930.0
7,2019-01-21,3,1,0,1,819,90000,0,90819,9009000,990000000,0,999009000,11000.0,,11000.0,11000.0,819.0
8,2019-01-20,0,1,0,1,0,100000,0,100000,0,1100000000,0,1100000000,,,11000.0,11000.0,0.0
9,2019-01-19,7,2,0,1,35562,700000,0,735562,391182000,7700000000,0,8091182000,11000.0,,11000.0,11000.0,35562.0
10,2019-01-16,8,1,0,1,5403,150000,0,155403,59433000,1650000000,0,1709433000,11000.0,,11000.0,11000.0,5403.0
11,2019-01-15,3,1,0,1,10190,150000,0,160190,112090000,1650000000,0,1762090000,11000.0,,11000.0,11000.0,10190.0
12,2019-01-14,1,0,0,1,100,0,0,100,1100000,0,0,1100000,11000.0,,,11000.0,100.0
13,2019-01-13,2,0,0,1,850,0,0,850,9350000,0,0,9350000,11000.0,,,11000.0,850.0
14,2019-01-12,3,2,0,1,10148,550000,0,560148,111628000,6050000000,0,6161628000,11000.0,,11000.0,11000.0,10148.0
15,2018-09-09,29,3,195,0,155725,398536,554261,0,1167208612,3029600005,4196808617,0,7495.319389950233,7571.8995509335855,7601.822683521689,,-398536.0
16,2018-09-08,45,1,74,1,202203,50,149238,53015,1447197657,355650,1070233108,377320199,7157.152252933933,7171.317680483523,7113.0,7117.234726020937,52965.0
17,2018-09-05,7,1,16,1,12042,18415,6824,23633,89424523,135714868,50688687,174450704,7426.0523999335655,7428.002198124267,7369.800054303557,7381.657174290188,5218.0
18,2018-09-04,8,2,68,0,5406,271317,276723,0,40545256,2058909281,2099454537,0,7500.047354790973,7586.845101419109,7588.574549327908,,-271317.0
19,2018-09-03,12,3,28,2,21786,48879,70096,569,165046048,371242480,531991487,4297041,7575.7848159368405,7589.4699697557635,7595.132469976882,7551.9173989455185,-48310.0
20,2018-09-02,11,1,32,0,8957,91301,100258,0,69189481,700716562,769906043,0,7724.6266607122925,7679.247970236789,7674.796135858315,,-91301.0
21,2018-09-01,14,2,64,0,47010,88450,135460,0,353890020,682835657,1036725677,0,7527.973197192086,7653.3713051823415,7720.01873374788,,-88450.0
22,2018-08-29,4,1,49,1,4573,144363,148553,383,33243602,1048565163,1079018993,2789772,7269.539033457249,7263.528794437002,7263.392718355812,7284.0,-143980.0
23,2018-08-28,13,1,25,0,39786,8975,48761,0,283936924,63722500,347659424,0,7136.603931031016,7129.866573696192,7100.0,,-8975.0
24,2018-08-27,17,2,40,1,27696,82107,99983,9820,197074225,585306870,711510155,70870940,7115.620486712883,7116.3113229248975,7128.586722203953,7217.0,-72287.0
25,2018-08-26,14,1,27,0,88722,74362,163084,0,634122746,535976697,1170099443,0,7147.299948152657,7174.82673346251,7207.669199322235,,-74362.0
26,2018-08-25,23,2,44,2,96502,210513,243858,63157,692158938,1534043233,1776391368,449810803,7172.482829371412,7284.531850503162,7287.166270016579,7122.105277324762,-147356.0
27,2018-08-21,20,1,33,0,100565,30000,130565,0,737786971,220643108,958430079,0,7336.418942972207,7340.635537854709,7354.770266666666,,-30000.0
28,2018-08-20,28,1,47,1,200175,495,200287,383,1426559136,3564000,1427467031,2656105,7126.559940052454,7127.107755371043,7200.0,6935.0,-112.0
29,2018-08-19,30,1,56,2,683935,32000,536506,179429,4729858360,227627385,3733673165,1223812580,6915.654791756527,6959.238414854633,7113.35578125,6820.595221508229,147429.0
30,2018-08-18,20,1,42,3,162764,24000,97016,89748,1076980488,163223082,648912257,591291313,6616.822442309111,6688.713789478024,6800.96175,6588.3508601862995,65748.0
31,2018-08-15,13,2,33,2,55397,58069,110067,3399,352606725,374922671,705802292,21727104,6365.087008321751,6412.478690252301,6456.502970603937,6392.204766107679,-54670.0
32,2018-08-14,13,1,25,0,40379,78604,118983,0,263944196,511442711,775386907,0,6536.6699522028775,6516.787330963247,6506.573596763524,,-78604.0
33,2018-08-13,6,1,40,0,10135,43009,53144,0,65138751,276586187,341724938,0,6427.109126788358,6430.169689899142,6430.890906554442,,-43009.0
34,2018-08-12,19,2,65,2,125644,166791,147215,145220,797664955,1076359238,955768021,918256172,6348.611593072491,6492.327690792378,6453.341235438363,6323.207354358904,-21571.0
35,2018-08-11,28,2,89,1,152581,260135,307936,104780,940128213,1673818482,1958333165,655613530,6161.50250031131,6359.546025797568,6434.422442193477,6257.048387096775,-155355.0
36,2018-08-08,28,1,87,3,408241,20000,222768,205473,2464760694,121460000,1338461495,1247759199,6037.513855786166,6008.320292860734,6073.0,6072.6187820297555,185473.0
37,2018-08-07,14,1,65,0,50584,32025,82609,0,279608506,176453486,456061992,0,5527.607662501977,5520.730089941774,5509.866854020297,,-32025.0
38,2018-08-06,38,0,45,2,593793,0,222102,371691,3205198370,0,1204064714,2001133656,5397.837916580357,5421.224095235522,,5383.863628659289,371691.0
39,2018-08-05,28,0,30,2,143428,0,74623,68805,795099114,0,411989631,383109483,5543.54180494743,5520.9470404566955,,5568.047133202529,68805.0
40,2018-08-04,17,0,26,0,65923,0,65923,0,372593489,0,372593489,0,5651.949835414043,5651.949835414043,,,0.0
41,2018-08-01,20,2,35,1,48382,34875,37972,45285,276132770,203291402,221571835,257852337,5707.345087015832,5835.137338038555,5829.144143369175,5693.989996687645,10410.0
