,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2012-04-11,0,1,0,1,0,2026223,0,2026223,0,222884530,0,222884530,,,110.0,110.0,0.0
1,2011-09-04,5,0,5,0,55000,0,55000,0,15571868,0,15571868,0,283.1248727272727,283.1248727272727,,,0.0
2,2011-09-03,5,0,3,0,90618,0,90618,0,27009164,0,27009164,0,298.05517667571564,298.05517667571564,,,0.0
3,2011-08-30,1,0,1,0,3080,0,3080,0,994840,0,994840,0,323.0,323.0,,,0.0
4,2011-08-29,2,0,2,0,61293,0,61293,0,21513843,0,21513843,0,351.0,351.0,,,0.0
5,2011-08-27,1,0,1,0,1000,0,1000,0,381000,0,381000,0,381.0,381.0,,,0.0
6,2011-08-24,3,0,3,0,28023,0,28023,0,11593499,0,11593499,0,413.7136994611569,413.7136994611569,,,0.0
7,2011-08-23,1,0,4,0,22000,0,22000,0,9856000,0,9856000,0,448.0,448.0,,,0.0
8,2011-08-15,1,0,1,0,15000,0,15000,0,7290000,0,7290000,0,486.0,486.0,,,0.0
9,2011-08-14,2,0,2,0,5100,0,5100,0,2315808,0,2315808,0,454.08,454.08,,,0.0
10,2011-08-13,6,0,3,0,144832,0,144832,0,65174400,0,65174400,0,450.0,450.0,,,0.0
11,2011-08-10,6,0,4,0,37588,0,37588,0,15683605,0,15683605,0,417.25031925082476,417.25031925082476,,,0.0
12,2011-08-09,1,0,1,0,1000,0,1000,0,450000,0,450000,0,450.0,450.0,,,0.0
13,2011-08-08,1,0,1,0,1000,0,1000,0,473000,0,473000,0,473.0,473.0,,,0.0
14,2011-08-07,1,0,1,0,1000,0,1000,0,514000,0,514000,0,514.0,514.0,,,0.0
15,2011-08-06,1,0,1,0,1000,0,1000,0,558000,0,558000,0,558.0,558.0,,,0.0
16,2011-08-02,1,0,2,0,1001,0,1001,0,606606,0,606606,0,606.0,606.0,,,0.0
17,2011-08-01,1,0,1,0,1000,0,1000,0,617000,0,617000,0,617.0,617.0,,,0.0
18,2011-07-31,2,0,4,0,16005,0,16005,0,9903168,0,9903168,0,618.7546391752577,618.7546391752577,,,0.0
19,2011-07-27,4,0,5,0,131521,0,131521,0,77588315,0,77588315,0,589.9309996122292,589.9309996122292,,,0.0
20,2011-07-26,2,0,1,0,10183,0,10183,0,5946872,0,5946872,0,584.0,584.0,,,0.0
21,2011-07-25,2,0,2,0,2,0,2,0,1083,0,1083,0,541.5,541.5,,,0.0
22,2011-07-24,1,0,2,0,7860,0,7860,0,4244400,0,4244400,0,540.0,540.0,,,0.0
23,2011-07-23,3,0,3,0,22300,0,22300,0,11144500,0,11144500,0,499.7533632286995,499.7533632286995,,,0.0
24,2011-07-20,3,0,1,0,3990,0,3990,0,1847500,0,1847500,0,463.03258145363407,463.03258145363407,,,0.0
25,2011-07-19,3,0,10,0,258567,0,258567,0,114123955,0,114123955,0,441.3709212699223,441.3709212699223,,,0.0
26,2011-07-18,2,0,1,0,1600,0,1600,0,688000,0,688000,0,430.0,430.0,,,0.0
27,2011-07-16,10,0,2,0,216650,0,216650,0,88968890,0,88968890,0,410.6572351719363,410.6572351719363,,,0.0
28,2011-07-13,5,0,5,0,76643,0,76643,0,29167503,0,29167503,0,380.56316950015,380.56316950015,,,0.0
29,2011-07-12,4,0,3,0,91000,0,91000,0,33761000,0,33761000,0,371.0,371.0,,,0.0
30,2011-07-11,2,0,3,0,37068,0,37068,0,12751392,0,12751392,0,344.0,344.0,,,0.0
31,2011-07-10,6,0,2,0,100275,0,100275,0,32011500,0,32011500,0,319.2370979805535,319.2370979805535,,,0.0
