,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2017-05-02,7,2,0,1,391969,2000000,0,2391969,909368080,4640000000,0,5549368080,2320.0,,2320.0,2320.0,391969.0
1,2017-05-01,7,1,0,1,463120,50000,0,513120,1071116000,115000000,0,1186116000,2312.8260494040424,,2300.0,2311.576239476146,463120.0
2,2017-04-30,5,1,0,1,136463,190000,0,326463,327511200,456000000,0,783511200,2400.0,,2400.0,2400.0,136463.0
3,2017-04-29,1,0,0,1,400000,0,0,400000,960000000,0,0,960000000,2400.0,,,2400.0,400000.0
4,2017-04-26,19,4,0,1,3849500,2100000,0,5949500,9010300000,4905000000,0,13915300000,2340.6416417716587,,2335.714285714286,2338.9024287755274,3849500.0
5,2017-04-24,2,0,0,1,40000,0,0,40000,91200000,0,0,91200000,2280.0,,,2280.0,40000.0
6,2017-04-19,1,0,0,1,10000,0,0,10000,23500000,0,0,23500000,2350.0,,,2350.0,10000.0
7,2017-04-12,0,1,0,1,0,200000,0,200000,0,480000000,0,480000000,,,2400.0,2400.0,0.0
8,2017-01-07,4,1,10,0,23516,179514,203030,0,55219918,448783885,504003803,0,2348.1849804388503,2482.410495985815,2499.9937887852757,,-179514.0
9,2017-01-04,1,1,3,0,75424,26027,101451,0,176492160,64638500,241130660,0,2340.0,2376.818956934875,2483.5171168402044,,-26027.0
10,2017-01-03,1,0,1,0,100,0,100,0,252000,0,252000,0,2520.0,2520.0,,,0.0
11,2017-01-02,0,1,3,0,0,65423,65423,0,0,163557500,163557500,0,,2500.0,2500.0,,-65423.0
12,2017-01-01,1,1,10,0,2581,192669,195250,0,6000825,481672500,487673325,0,2325.0,2497.6866837387965,2500.0,,-192669.0
13,2016-12-31,4,1,1,2,99565,2252345,5420,2346490,229389145,5202916950,12601500,5419704595,2303.913473610204,2325.0,2310.0,2309.7070922953008,94145.0
14,2016-12-28,0,1,5,0,0,112408,112408,0,0,281020000,281020000,0,,2500.0,2500.0,,-112408.0
15,2016-12-27,1,1,6,1,1213,284566,79036,206743,3032500,711414000,197589000,516857500,2500.0,2499.987347537831,2499.9964858767385,2500.0,-77823.0
16,2016-12-26,1,0,3,0,9787,0,9787,0,23978150,0,23978150,0,2450.0,2450.0,,,0.0
17,2016-12-24,0,1,7,0,0,23736,23736,0,0,59340000,59340000,0,,2500.0,2500.0,,-23736.0
18,2016-12-21,2,1,19,0,2559,399543,402102,0,6045830,998715778,1004761608,0,2362.5752246971474,2498.772968052882,2499.645289743532,,-399543.0
19,2016-12-20,0,1,12,6,0,709833,472832,237001,0,1773922917,1181934162,591988755,,2499.691564868706,2499.0707912987987,2497.8323087244357,-472832.0
20,2016-12-19,0,1,8,3,0,1899527,363713,1535814,0,4748782569,909247569,3839535000,,2499.903959990432,2499.9816106851863,2500.0,-363713.0
