,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,463,1,285,1,6895025,116671,6881998,129698,38351940860,642865890,38275499610,719307140,5562.262770620846,5561.684210021566,5510.0743972366745,5546.015667165261,13027.0
1,2022-09-07,128,1,115,1,1709181,28781,1736462,1500,9469670400,160239110,9621374510,8535000,5540.472542112275,5540.7918572361505,5567.531010041347,5690.0,-27281.0
2,2022-09-06,274,1,237,2,5789207,18085,5761302,45990,32388453310,101818550,32231056910,259214950,5594.626916950801,5594.405033792708,5630.0,5636.332898456186,27905.0
3,2022-09-05,7,0,4,0,0,0,0,0,0,0,0,0,,,,,0.0
4,2022-08-30,170,1,117,1,2739906,40646,2765561,14991,14625516800,219145740,14762772100,81890440,5337.962981211765,5338.075023476249,5391.569650150076,5462.640250817157,-25655.0
5,2022-08-29,93,2,117,1,2079049,81757,2046088,114718,11362305650,443993550,11179870170,626429030,5465.145674777266,5464.0221583822395,5430.648751788837,5460.59929566415,32961.0
6,2022-08-28,64,1,83,1,1372352,119525,1326096,165781,7360866340,639636250,7108571360,891931230,5363.686823788649,5360.525452154294,5351.485044969671,5380.177644000217,46256.0
7,2022-08-27,114,1,107,1,1775131,82951,1825598,32484,9671560070,451142210,9944164170,178538110,5448.364131999272,5447.072230578692,5438.659087895264,5496.18612239872,-50467.0
8,2022-08-24,158,1,168,1,3055390,89540,3042764,102166,16572186970,483409080,16500206220,555389830,5423.918704322525,5422.7689758390725,5398.805896805897,5436.151263629779,12626.0
9,2022-08-23,205,1,136,1,2368590,53102,2343140,78552,12704040170,282584640,12564869940,421754870,5363.545472200761,5362.406830150994,5321.544197958646,5369.11689072207,25450.0
10,2022-08-22,94,1,86,1,1330012,81844,1366975,44881,7085454320,436889920,7280224680,242119560,5327.361196741082,5325.792117631998,5338.081227701481,5394.700652837503,-36963.0
11,2022-08-21,142,2,94,2,2025237,38035,2016675,46597,10799661280,200977860,10752914270,247724870,5332.54195928674,5332.001571894331,5284.024188247667,5316.326587548555,8562.0
12,2022-08-20,178,1,77,0,3142102,32016,3174118,0,16496838000,169918580,16666756580,0,5250.255402275292,5250.83080717226,5307.301974012994,,-32016.0
13,2022-08-17,156,1,106,1,1905058,29583,1907961,26680,10366644100,161444970,10380338750,147750320,5441.64224921236,5440.540320268601,5457.3562519014295,5537.868065967016,-2903.0
14,2022-08-16,99,1,84,1,1291394,63223,1326892,27725,7092092240,348383320,7287223810,153251750,5491.811360436861,5491.949465367189,5510.388940733594,5527.565374211001,-35498.0
15,2022-08-15,145,2,109,1,2223094,63522,2201695,84921,12309015130,350456570,12187642790,471828910,5536.884688636648,5535.57272465078,5517.089669720726,5556.092250444531,21399.0
16,2022-08-14,130,1,98,1,1572625,79970,1606355,46240,8818502920,448619490,9005310650,261811760,5607.505234877991,5606.052616015762,5609.847317744154,5662.019031141868,-33730.0
17,2022-08-13,215,1,132,1,3474100,71611,3498788,46923,20038558810,412803120,20178811510,272550420,5767.985610661754,5767.3718756323615,5764.521093128151,5808.461095837862,-24688.0
18,2022-08-10,151,1,118,1,2353447,67763,2352963,68247,13484655920,387885460,13478905910,393635470,5729.747013635743,5728.481880080562,5724.148281510559,5767.806203935704,484.0
19,2022-08-09,169,1,185,1,4433892,8381,4357679,84594,25284096070,46120010,24851707330,478508750,5702.460968828289,5702.968789119162,5502.924472020045,5656.532969241317,76213.0
20,2022-08-06,99,1,105,1,2406433,39431,2386445,59419,13339445590,217568360,13226844010,330169940,5543.244125226009,5542.488517439119,5517.698257716011,5556.639122166311,19988.0
21,2022-08-03,81,1,106,1,2035891,91393,2035891,91393,10970499350,490784750,10967415950,493868150,5388.549460653837,5387.034939493323,5370.047487225499,5403.78530084361,0.0
22,2022-08-02,46,0,45,0,643266,0,643266,0,3366432450,0,3366432450,0,5233.344293029633,5233.344293029633,,,0.0
23,2022-08-01,65,1,95,1,1044440,38658,1056636,26462,5546322610,205533480,5610101900,141754190,5310.331479070123,5309.3987901226155,5316.712711469812,5356.89630413423,-12196.0
24,2022-07-31,129,1,44,1,1192573,20002,1210329,2246,6192657590,104761080,6285425030,11993640,5192.686393201926,5193.15411759943,5237.530246975302,5340.0,-17756.0
25,2022-07-30,156,1,105,1,5387350,99863,5426723,60490,29188186740,541458240,29398744980,330900000,5417.91172654459,5417.402911480833,5422.01055445961,5470.325673665068,-39373.0
26,2022-07-27,82,1,88,1,1269127,99137,1269127,99137,6968767060,542759290,6965542430,545983920,5490.992674491993,5488.451849184518,5474.840775895982,5507.36778397571,0.0
27,2022-07-26,135,1,125,1,2233269,52226,2232823,52672,12171489670,285105780,12166423340,290172110,5450.0777425379565,5448.897355500189,5459.07747099146,5509.039147934386,446.0
28,2022-07-25,150,1,101,1,2449956,35719,2474482,11193,13430342540,196535730,13564225100,62653170,5481.870915232764,5481.642258864684,5502.274139813545,5597.531492897347,-24526.0
29,2022-07-24,167,1,73,0,3317387,26591,3343978,0,19036221680,152794870,19189016550,0,5738.318043689204,5738.380022236988,5746.112218419766,,-26591.0
30,2022-07-23,201,1,155,1,2991530,36949,2980207,48272,17995183720,222811670,17925565660,292429730,6015.3779905265865,6014.872678307245,6030.248991853636,6057.957615180643,11323.0
31,2022-07-20,114,2,178,2,4531392,14178,4412307,133263,27029962160,82798760,26318995230,793765690,5965.046096210613,5964.905712589809,5839.946395824517,5956.3846679123235,119085.0
32,2022-07-19,119,1,98,1,1993096,50941,2013397,30640,11307299040,288173790,11420351710,175121120,5673.233522118353,5672.180752231179,5657.010855695805,5715.441253263708,-20301.0
33,2022-07-17,57,1,81,0,1232612,14452,1247064,0,7152560640,83795220,7236355860,0,5802.767326620218,5802.714102884856,5798.174647107667,,-14452.0
34,2022-07-16,165,1,149,1,2338663,6002,2317415,27250,13830015210,35520540,13702792790,162742960,5913.641773098561,5912.964570437319,5918.117294235255,5972.21871559633,21248.0
35,2022-07-13,147,1,230,1,3888684,4077,3779854,112907,22768552690,23558900,22135069210,657042380,5855.079170742596,5856.064601966108,5778.4890851116015,5819.323691179467,108830.0
36,2022-07-12,95,1,80,1,1386057,18797,1386725,18129,7732665360,104250120,7735712050,101203430,5578.894201320725,5578.403829165841,5546.104165558334,5582.405538088146,-668.0
37,2022-07-11,75,1,100,2,1305026,17710,1299095,23641,7445333260,100285080,7409555570,136062770,5705.122549282543,5703.628733849334,5662.624505928854,5755.372869167971,5931.0
38,2022-07-09,128,0,135,1,1562863,0,1514127,48736,8996288910,0,8714709950,281578960,5756.287601664381,5755.6003888709465,,5777.637885751806,48736.0
39,2022-07-06,120,1,54,1,1594579,27239,1620818,1000,9036891830,155621450,9186683280,5830000,5667.258774886663,5667.930193272779,5713.185138955175,5830.0,-26239.0
40,2022-07-05,76,2,90,1,901715,210669,1062539,49845,5232048680,1234419500,6175384550,291083630,5802.330758609982,5811.91330388814,5859.5213344156,5839.77590530645,-160824.0
41,2022-07-04,84,2,91,1,829807,87995,899759,18043,4829044120,516088470,5239885620,105246970,5819.4786498547255,5823.65457861494,5864.974941758054,5833.119215208114,-69952.0
42,2022-07-03,164,1,96,1,2073403,26147,2029426,70124,11936794310,150755010,11682471170,405078150,5757.10284493656,5756.53961760616,5765.6713963361,5776.597883748788,43977.0
43,2022-07-02,114,1,104,1,2214334,27804,2212342,29796,12619269450,157763670,12606777210,170255910,5698.900640102171,5698.385335540346,5674.135735865343,5714.052557390254,1992.0
44,2022-06-29,127,2,77,1,1632371,30691,1637680,25382,9457316330,177716160,9488019890,147012600,5793.607170183739,5793.573768990279,5790.497539995438,5792.002206287921,-5309.0
45,2022-06-28,52,2,76,1,942524,89281,1020858,10947,5611524460,530779540,6076448700,65855300,5953.720499424949,5952.295715956578,5945.044746362608,6015.830821229561,-78334.0
46,2022-06-27,115,1,135,1,2294278,15952,2301642,8588,13658624500,93899000,13701622900,50900600,5953.343274006027,5952.977439584436,5886.346539618857,5926.94457382394,-7364.0
47,2022-06-26,91,1,123,1,1918213,11476,1912911,16778,11481845040,68578200,11449120940,101302300,5985.698689353059,5985.1822379608875,5975.79295921924,6037.805459530337,5302.0
48,2022-06-25,116,0,158,0,2854703,0,2854703,0,16999017510,0,16999017510,0,5954.741179730431,5954.741179730431,,,0.0
49,2022-06-22,89,1,67,0,1262991,4000,1266991,0,7285431990,22920000,7308351990,0,5768.395808046138,5768.274589164406,5730.0,,-4000.0
50,2022-06-21,84,1,138,1,1993515,460000,2338776,114739,11656483000,2709667240,13690671620,675478620,5847.201049402688,5853.77634283916,5890.580956521739,5887.088261184079,-345261.0
51,2022-06-20,112,0,91,1,1618834,0,1418834,200000,9348981840,0,8185350270,1163631570,5775.133114327967,5769.068312431194,,5818.15785,200000.0
52,2022-06-19,74,1,90,1,1527934,6357,1321147,213144,8700662270,35662770,7523881200,1212443840,5694.396662421283,5694.961423672006,5610.0,5688.378936305971,206787.0
53,2022-06-18,67,1,66,1,913916,22351,879990,56277,5127008800,124858710,4933754420,318113090,5609.934392219854,5606.602825032102,5586.269518142365,5652.630559553637,33926.0
54,2022-06-15,91,2,86,1,1026510,45380,925213,146677,5791480150,254802020,5217701720,828580450,5641.913035430732,5639.460016234099,5614.852798589687,5649.014160365974,101297.0
55,2022-06-14,156,1,106,2,2170705,10440,2140854,40291,12217878300,59548850,12050197470,227229680,5628.530039779703,5628.687182778462,5703.9128352490425,5639.713087289965,29851.0
56,2022-06-13,140,1,128,2,2353475,22985,2105791,270669,13456614150,129932120,12036016810,1550529460,5717.763796088762,5715.674922155143,5652.909288666521,5728.507734539235,247684.0
57,2022-06-12,92,2,105,1,1062847,176878,1064848,174877,6047176710,1009947650,6057562950,999561410,5689.602275774406,5688.66443849263,5709.854532502629,5715.7968743745605,-2001.0
58,2022-06-11,143,0,128,1,2035209,0,2028112,7097,11367867170,0,11326837480,41029690,5585.601857106568,5584.917144615288,,5781.272368606454,7097.0
59,2022-06-08,164,1,115,1,2536747,2540,2308326,230961,14609581170,14351000,13284309490,1339622680,5759.179441229259,5754.953802019299,5650.0,5800.211637462602,228421.0
60,2022-06-07,181,1,114,1,2088202,44094,2094032,38264,11921585430,252743350,11951672870,222655910,5709.019256757728,5707.492946621637,5731.921576631741,5818.93973447627,-5830.0
61,2022-06-06,178,1,129,1,3082701,39957,3102602,20056,17780417490,230721810,17893559520,117579780,5767.804756283532,5767.275183861804,5774.252571514378,5862.57379337854,-19901.0
62,2022-06-01,251,0,193,1,6730026,0,6392667,337359,40180187550,0,38162854240,2017333310,5970.287120733263,5969.78604391563,,5979.782101559466,337359.0
63,2022-05-31,438,1,136,1,7986496,149036,7984496,151036,45524564570,849634540,45505553450,868645660,5700.1924961835575,5699.239307027018,5700.867844010843,5751.249106173363,2000.0
64,2022-05-30,102,1,94,1,992540,83233,1022259,53514,5879295860,494585780,6052792060,321089580,5923.485058536684,5920.996596752878,5942.183749234078,6000.104271779347,-29719.0
65,2022-05-29,164,0,135,0,1971577,0,1971577,0,11685896190,0,11685896190,0,5927.182245481663,5927.182245481663,,,0.0
66,2022-05-28,198,1,144,1,3342446,27212,3350934,18724,20575106720,175444540,20629392480,121158780,6155.7035536251,6156.311189656376,6447.322504777304,6470.774407177953,-8488.0
67,2022-05-25,159,1,158,1,2936344,43472,2889753,90063,18755552260,274585220,18454622080,575515400,6387.382493331844,6386.22819320544,6316.36961722488,6390.14245583647,46591.0
68,2022-05-24,223,1,168,1,3114052,160000,3156782,117270,19165488820,979057720,19424179050,720367490,6154.517914280173,6153.158200344528,6119.11075,6142.811375458344,-42730.0
69,2022-05-23,146,1,85,0,2577666,242135,2819801,0,15780644630,1461158230,17241802860,0,6122.0672616235,6114.545976826024,6034.477584818386,,-242135.0
70,2022-05-22,238,1,118,1,3418599,42223,3432799,28023,21688728370,267463730,21777462300,178729800,6344.332391719532,6343.937498233949,6334.550600383677,6377.968097634086,-14200.0
71,2022-05-21,184,2,102,2,3356137,122004,3470320,7821,22099887090,806973220,22854814840,52045470,6584.918044168042,6585.794635653197,6614.31772728763,6654.57997698504,-114183.0
72,2022-05-18,170,1,230,0,2769351,100000,2869351,0,19166591320,693357120,19859948440,0,6920.968602390957,6921.407816610795,6933.5712,,-100000.0
73,2022-05-17,33,0,24,0,193663,0,193663,0,1348505430,0,1348505430,0,6963.154706887738,6963.154706887738,,,0.0
74,2022-05-16,312,4,408,2,8205000,413043,8280258,337785,59528226030,3003266120,60069422210,2462069940,7255.115908592322,7254.535089365573,7271.073762295935,7288.867001198988,-75258.0
75,2022-05-15,233,3,353,1,13683291,788564,14371855,100000,96252535870,5550104920,101098640790,704000000,7034.311838431267,7034.487948145873,7038.242831273048,7040.0,-688564.0
76,2022-05-14,227,2,172,1,4076616,134040,4160287,50369,27362045930,897754510,27920166440,339634000,6711.950777311378,6711.115468716461,6697.661220531185,6742.917270543389,-83671.0
77,2022-05-11,294,1,235,1,6344301,520537,6684755,180083,42479047520,3404661680,44678647170,1205062030,6695.622972491375,6683.662627874918,6540.671806230873,6691.70343674861,-340454.0
78,2022-05-10,168,1,164,1,2360359,53201,2362974,50586,15710901870,354832410,15726344190,339390090,6656.1492849180995,6655.318336130656,6669.656773368922,6709.170323805005,-2615.0
79,2022-05-09,278,1,279,2,5738254,74286,5755459,57081,39088466990,507569800,39198144460,397892330,6811.909509408262,6810.602674782324,6832.64410521498,6970.661516091169,-17205.0
80,2022-05-08,196,0,229,0,4485965,0,4485965,0,30088651780,0,30088651780,0,6707.286343072226,6707.286343072226,,,0.0
81,2022-05-07,190,1,183,1,2613782,33195,2629695,17282,17328224120,221666100,17433693830,116196390,6629.559817919016,6629.549750066072,6677.695436059647,6723.549936349959,-15913.0
82,2022-05-02,200,0,190,0,4579174,0,4579174,0,29827764200,0,29827764200,0,6513.787027966179,6513.787027966179,,,0.0
83,2022-05-01,298,1,287,1,3300364,36525,3330083,6806,21843217640,239609100,22037907140,44919600,6618.426828071086,6617.825183336271,6560.139630390144,6600.0,-29719.0
84,2022-04-30,298,2,335,1,4573945,43123,4506928,110140,31161132780,293737350,30707798620,747071510,6812.747590974531,6813.465540163943,6811.616770632841,6782.926366442709,67017.0
85,2022-04-27,378,2,376,2,6349000,91499,6340070,100429,41431198310,587487600,41364791150,653894760,6525.625816664042,6524.342972553931,6420.699679777921,6511.015344173496,8930.0
