,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2016-01-12,1,1,0,1,700000,1955034,0,2655034,700700000,2150537400,0,2851237400,1001.0,,1100.0,1073.8986393394584,700000.0
1,2015-07-01,20,0,29,1,311729,0,309972,1757,294196796,0,292441553,1755243,943.7581873999532,943.445062779864,,999.0,1757.0
2,2015-06-30,6,0,9,0,111011,0,111011,0,113628918,0,113628918,0,1023.582509841367,1023.582509841367,,,0.0
3,2015-06-29,12,0,6,0,48467,0,48467,0,45767282,0,45767282,0,944.2978108816308,944.2978108816308,,,0.0
4,2015-06-27,8,0,7,0,46256,0,46256,0,47319109,0,47319109,0,1022.9831589415427,1022.9831589415427,,,0.0
5,2015-06-24,20,0,15,0,264154,0,264154,0,266084010,0,266084010,0,1007.3063818832953,1007.3063818832953,,,0.0
6,2015-06-23,18,0,24,0,372730,0,372730,0,397334747,0,397334747,0,1066.0122528371744,1066.0122528371744,,,0.0
7,2015-06-22,8,0,14,0,90803,0,90803,0,88381206,0,88381206,0,973.3291411076726,973.3291411076726,,,0.0
8,2015-06-21,1,0,2,0,20000,0,20000,0,18000000,0,18000000,0,900.0,900.0,,,0.0
9,2015-06-17,21,0,31,0,514308,0,514308,0,475971483,0,475971483,0,925.4600025665554,925.4600025665554,,,0.0
10,2015-06-16,4,0,4,0,34508,0,34508,0,33038844,0,33038844,0,957.4256404312043,957.4256404312043,,,0.0
11,2015-06-15,8,0,12,0,114849,0,114849,0,106409716,0,106409716,0,926.5184372523922,926.5184372523922,,,0.0
12,2015-06-14,8,0,16,0,144533,0,144533,0,145489992,0,145489992,0,1006.6212698830025,1006.6212698830025,,,0.0
13,2015-06-13,6,0,10,0,143313,0,143313,0,148877144,0,148877144,0,1038.8251170514886,1038.8251170514886,,,0.0
14,2015-05-26,18,1,16,0,266771,90000,356771,0,272904194,100718145,373622339,0,1022.9904824737322,1047.2329281247635,1119.0905,,-90000.0
15,2015-05-25,23,0,15,0,346974,0,346974,0,383273293,0,383273293,0,1104.6167522638584,1104.6167522638584,,,0.0
16,2015-05-24,18,0,16,0,188525,0,188525,0,224960336,0,224960336,0,1193.2652751624453,1193.2652751624453,,,0.0
17,2015-05-23,23,0,21,0,868452,0,868452,0,1059619488,0,1059619488,0,1220.1244144754114,1220.1244144754114,,,0.0
18,2015-05-20,12,0,10,0,49571,0,49571,0,55023156,0,55023156,0,1109.9868068023643,1109.9868068023643,,,0.0
19,2015-05-19,13,0,10,0,47903,0,47903,0,53043205,0,53043205,0,1107.3044485731582,1107.3044485731582,,,0.0
20,2015-05-18,6,0,4,0,11671,0,11671,0,13869869,0,13869869,0,1188.404506897438,1188.404506897438,,,0.0
21,2015-05-17,4,0,7,0,39075,0,39075,0,49640859,0,49640859,0,1270.399462571977,1270.399462571977,,,0.0
22,2015-05-13,17,0,8,0,168412,0,168412,0,210008030,0,210008030,0,1246.9897038215804,1246.9897038215804,,,0.0
23,2015-05-12,2,0,6,0,30063,0,30063,0,40569090,0,40569090,0,1349.4691148587965,1349.4691148587965,,,0.0
24,2015-05-11,8,0,9,0,153432,0,153432,0,197271213,0,197271213,0,1285.7240536524323,1285.7240536524323,,,0.0
25,2015-05-10,4,0,12,0,38295,0,38295,0,49159838,0,49159838,0,1283.7142707925316,1283.7142707925316,,,0.0
26,2015-05-09,10,0,14,0,196150,0,196150,0,254899058,0,254899058,0,1299.5108743308692,1299.5108743308692,,,0.0
27,2015-05-06,9,0,6,0,46777,0,46777,0,62939095,0,62939095,0,1345.513714004746,1345.513714004746,,,0.0
28,2015-05-05,8,0,13,0,24978,0,24978,0,34000486,0,34000486,0,1361.2173112338858,1361.2173112338858,,,0.0
29,2015-05-04,15,0,11,0,58007,0,58007,0,81325589,0,81325589,0,1401.9961211577913,1401.9961211577913,,,0.0
30,2015-05-03,6,0,11,0,26691,0,26691,0,39666892,0,39666892,0,1486.152335993406,1486.152335993406,,,0.0
31,2015-04-29,8,0,27,0,131781,0,131781,0,201184884,0,201184884,0,1526.6607781091357,1526.6607781091357,,,0.0
32,2015-04-28,12,0,46,0,261375,0,261375,0,399126433,0,399126433,0,1527.0260468675276,1527.0260468675276,,,0.0
33,2015-04-27,18,0,64,0,745241,0,745241,0,1092192160,0,1092192160,0,1465.555652466786,1465.555652466786,,,0.0
34,2015-04-26,25,0,83,0,395323,0,395323,0,579401867,0,579401867,0,1465.6416828770398,1465.6416828770398,,,0.0
35,2015-04-25,38,0,67,0,791153,0,791153,0,1166159522,0,1166159522,0,1474.0,1474.0,,,0.0
36,2015-04-22,3,0,12,0,74963,0,74963,0,102324495,0,102324495,0,1365.0,1365.0,,,0.0
37,2015-04-21,15,0,28,1,307976,0,187976,120000,389391504,0,244671504,144720000,1264.3566511676233,1301.61033323403,,1206.0,120000.0
38,2011-06-18,2,0,0,1,213610,0,0,213610,99940600,0,0,99940600,467.8648003370629,,,467.8648003370629,213610.0
