,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,236,4,175,12,27961371,28725182,37763534,18923019,339306283658,348557581836,458247953355,229615912139,12134.822847491992,12134.668152482764,12134.216654780465,12134.211361252663,-9802163.0
1,2022-09-07,267,14,109,12,40238090,42221042,11412455,71046677,487522429785,511540214470,138265029393,860797614862,12115.943619217513,12115.27488108387,12115.764799693954,12115.944773349498,28825635.0
2,2022-09-06,210,8,131,9,20896743,48100127,19690190,49306680,253039293816,582405859468,238419759283,597025394001,12109.03028361884,12108.555543801252,12108.197956899365,12108.407907427554,1206553.0
3,2022-09-05,207,5,136,12,21267229,29223179,15729281,34761127,257358556272,353605677900,190327565011,420636669161,12101.179531757522,12100.20756899187,12100.178351574961,12100.77766353778,5537948.0
4,2022-09-04,187,12,111,15,19665885,46443391,15066018,51043258,237820529067,561612379499,182183957916,617248950650,12093.049922085886,12092.376228144689,12092.406850718544,12092.663651093744,4599867.0
5,2022-09-03,268,9,164,17,21519184,87275348,26671492,82123040,260085911219,1054728489158,322337307419,992477092958,12086.234832092146,12085.462163833954,12085.067700423262,12085.2454190444,-5152308.0
6,2022-08-31,297,7,88,7,29997722,37056527,18880023,48174226,361949001872,447088224319,227792408270,581244817921,12065.882931777287,12065.261163611929,12065.03308631702,12065.472892517257,11117699.0
7,2022-08-30,187,6,129,6,19916001,27734969,18831492,28819478,240154546056,334405230347,227058270651,347501505752,12058.371861700549,12057.37021001841,12057.16978976973,12057.869533653593,1084509.0
8,2022-08-29,212,4,129,10,28244294,33655520,15458561,46441253,340370798004,405551453325,186277193406,559645057923,12050.95790335563,12050.099191380103,12050.072419769476,12050.60203528531,12785733.0
9,2022-08-28,237,10,108,9,24641520,104537525,19303770,109875275,296792075532,1258951857035,232479614639,1323264317928,12044.38993747139,12043.223403459531,12043.061637770743,12043.331112736692,5337750.0
10,2022-08-27,259,6,176,12,18263297,49864736,28589326,39538707,219840062969,600177547416,344111880006,475905730379,12037.260466661633,12036.376093861045,12036.112001395135,12036.451530369974,-10326029.0
11,2022-08-24,269,8,151,13,43914027,41259732,17340874,67832885,527867194990,495875986187,208421564715,815321616462,12020.468880934104,12019.092273838101,12018.400560309019,12019.562730702077,26573153.0
12,2022-08-23,280,7,136,9,26426858,59119476,27583502,57962832,317418605225,710045773004,331282274755,696182103474,12011.212427334343,12010.160086090591,12010.352950421955,12010.836590489575,-1156644.0
13,2022-08-22,243,11,125,11,40076115,176358029,16573925,199860219,481028803711,2116762112476,198923841795,2398867074392,12002.880112281342,12002.21684332468,12002.641016565229,12002.724135872182,23502190.0
14,2022-08-21,218,5,119,10,30482149,169227559,18138258,181571450,365642123050,2029862857501,217553003421,2177951977130,11995.28691530246,11994.150894810295,11994.8716952243,11995.01340728402,12343891.0
15,2022-08-20,209,8,146,11,29289769,240270084,67887529,201672324,351121024930,2880135861656,813803599749,2417453286837,11987.83865212457,11987.527189993909,11987.076433768592,11987.035399249924,-38597760.0
16,2022-08-17,236,11,105,12,93667446,27959228,13247478,108379196,1120915754121,334578722730,158522714242,1296971762609,11966.972539434886,11966.256086026337,11966.665271659145,11966.980845742757,80419968.0
17,2022-08-16,160,12,135,11,31438433,51570043,21522833,61485643,375998856763,616744729549,257393430411,735350155901,11959.847259658267,11959.086910677604,11959.360389693684,11959.705063196623,9915600.0
18,2022-08-15,151,6,124,12,34148166,85817863,17795735,102170294,408174884909,1025718026944,212697673065,1221195238788,11953.054372202596,11952.171296380846,11952.267174772227,11952.546977969938,16352431.0
19,2022-08-14,158,11,128,16,33877410,151160272,25526280,159511402,404691565744,1805651043011,304914081038,1905428527717,11945.76461848766,11945.104458542333,11945.275164700683,11945.40643381092,8351130.0
20,2022-08-13,159,7,204,11,21696118,105037489,45184234,81549373,259037422338,1253943405273,539424848961,973555978650,11939.344279838448,11938.342231518189,11938.055804751768,11938.23990099838,-23488116.0
21,2022-08-10,154,5,94,10,29998669,42010421,15153187,56855903,357494865856,500643642254,180567897487,677570610623,11917.024247175767,11916.166380511242,11917.129853423749,11917.330916773937,14845482.0
22,2022-08-09,130,12,197,11,15074634,88481311,27327083,76228862,179523251329,1053662363013,325416574397,907769039945,11908.96252134546,11908.207487678066,11908.304150387194,11908.468998855053,-12252449.0
23,2022-08-06,188,15,165,5,15224642,136223696,26808240,124640098,181031901548,1619783154520,318754909537,1482060146531,11890.716481083758,11890.184120143658,11890.612294941697,11890.717115217609,-11583598.0
24,2022-08-03,187,6,79,12,26721745,48082775,4377414,70427106,317242713991,570810104125,51967169433,836085648683,11872.08073391165,11871.659713474668,11871.40517836169,11871.645679761426,22344331.0
25,2022-08-02,158,12,121,8,18990348,17903272,14538752,22354868,225297751788,212392695962,172479530576,265210917174,11863.803221931477,11863.434397670446,11863.345200921933,11863.676277310158,4451596.0
26,2022-08-01,185,6,97,8,30862423,64587020,17896297,77553146,365937397981,765751653787,212186346672,919502705096,11857.053413498998,11856.438606936395,11856.123007176984,11856.42043581314,12966126.0
27,2022-07-31,153,14,116,5,15022957,45362384,12134755,48250586,178000732901,537486744114,143773624397,571713852618,11848.581667444032,11848.086294037252,11848.732291362818,11848.847858925485,2888202.0
28,2022-07-30,163,10,111,9,23795066,118495937,14666715,127624288,281755180791,1403102759454,173664937704,1511193002541,11840.907723937391,11840.752186430294,11840.93560485538,11840.951485198491,9128351.0
29,2022-07-27,211,10,61,8,28544679,46906393,12112482,63338590,337503668970,554599337952,143207420612,748895586310,11823.698174009944,11823.127630819183,11823.534117236428,11823.685786342892,16432197.0
30,2022-07-26,153,8,100,11,16172346,41592345,17892500,39872191,191075567564,491394319053,211385830187,471084056430,11814.956689895207,11814.214346066788,11814.537484073091,11814.85252290249,-1720154.0
31,2022-07-25,187,8,113,11,36286776,141587679,36843055,141031400,428433585667,1671632229807,434975784217,1665090031257,11806.879334416482,11806.181225118275,11806.339659024992,11806.519904482264,-556279.0
