,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,44,2,30,1,10414,18727,18278,10863,2101346000,3771707550,3683575830,2189477720,201780.8719032072,201530.57391399497,201404.7925455225,201553.68866795546,-7864.0
1,2022-09-07,18,2,26,0,5986,6710,12696,0,1223047660,1391564240,2614611900,0,204318.01871032408,205939.8156899811,207386.62295081967,,-6710.0
2,2022-09-06,21,1,16,0,2931,4800,7731,0,603952570,991920000,1595872570,0,206056.8304332992,206425.11576768852,206650.0,,-4800.0
3,2022-09-05,23,2,21,0,4247,14155,18402,0,881216940,2939697870,3820914810,0,207491.6270308453,207635.8444734268,207679.11480042388,,-14155.0
4,2022-09-04,34,1,31,0,9842,4800,14642,0,2042769200,1003138540,3045907740,0,207556.3096931518,208025.38860811366,208987.19583333333,,-4800.0
5,2022-09-03,24,5,33,0,8905,7515,16420,0,1870652350,1578444450,3449096800,0,210067.6417742841,210054.61632155906,210039.18163672654,,-7515.0
6,2022-08-31,17,4,28,0,3493,17200,20693,0,730595820,3645244910,4375840730,0,209159.98282278844,211464.781810274,211932.84360465116,,-17200.0
7,2022-08-30,18,1,27,0,6643,2342,8985,0,1391296560,497189100,1888485660,0,209437.9888604546,210182.04340567612,212292.52775405635,,-2342.0
8,2022-08-29,19,1,23,0,5764,2363,8127,0,1202735080,495442460,1698177540,0,208663.26856349758,208955.03137689183,209666.72027084214,,-2363.0
9,2022-08-28,20,1,18,0,10445,2500,12945,0,2170464640,522840660,2693305300,0,207799.39109621829,208057.57435303205,209136.264,,-2500.0
10,2022-08-27,44,1,47,0,34684,23101,57785,0,7285467830,4837166020,12122633850,0,210052.6995156268,209788.59306048282,209392.06181550582,,-23101.0
