,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,61,5,58,2,9309342,20791068,4922747,25177663,94141919585,210212237694,49780233213,254573924066,10112.62875346077,10112.287552661146,10110.699349066628,10111.102212544509,4386595.0
1,2022-09-07,82,7,54,2,5247653,6961323,4540789,7668187,52978045386,70270680405,45833802793,77414922998,10095.56946429194,10093.797089668778,10094.443312715126,10095.596651203212,706864.0
2,2022-09-06,61,4,58,2,4373490,4174375,7002202,1545663,44120405570,42111014239,70638605267,15592814542,10088.145981813152,10088.055909698121,10087.98065315167,10088.107525379077,-2628712.0
3,2022-09-05,64,3,48,1,2519759,845601,2493652,871708,25405899137,8524987181,25142119854,8788766464,10082.670262116337,10082.449296854573,10081.571782672916,10082.236785712646,26107.0
4,2022-09-04,92,2,43,1,5159264,322438,4918233,563469,51986685757,3248962850,49557857777,5677790830,10076.376350774064,10076.354206276928,10076.240548570579,10076.491927683688,241031.0
5,2022-09-03,91,2,65,0,7158068,1579956,8738024,0,72086495110,15908776964,87995272074,0,10070.663635774346,10070.385715809432,10069.126585803655,,-1579956.0
6,2022-08-31,117,4,33,4,18758410,28598218,4872386,42484242,188588697626,287509843262,48981281215,427117259673,10053.554519066382,10052.832680949334,10053.418127730896,10053.545492773532,13886024.0
7,2022-08-30,88,4,35,1,6022326,36725146,4659694,38087778,60510838536,369008493352,46813338544,382705993344,10047.7520705455,10046.440505320736,10047.842787391506,10048.0,1362632.0
8,2022-08-29,118,4,52,1,8661143,6191012,6833389,8018766,86978525547,62168159395,68614721193,80531963749,10042.384191901692,10041.096912966612,10041.67967934806,10042.937248574157,1827754.0
9,2022-08-28,113,3,45,1,7059850,2791527,5918335,3933042,70854279662,28011051118,59389654920,39475675860,10036.23018364413,10034.858608037564,10034.311370801715,10036.932191418246,1141515.0
10,2022-08-27,161,3,74,1,10133236,15515075,12104007,13544304,101638316156,155612072784,121399331212,135851057728,10030.193331725422,10029.681180124895,10029.733841699122,10030.124672925238,-1970771.0
11,2022-08-24,247,6,51,1,18435326,24531135,23223085,19743376,184583034282,245597305450,232483985687,197696354045,10012.463803569299,10010.900174847571,10011.656837321225,10013.300361853007,-4787759.0
12,2022-08-23,367,3,57,2,20358229,11740315,6844775,25253769,203730543163,117476521762,68490526946,252716537979,10007.282222977254,10006.24957664788,10006.24955650679,10007.082031161368,13513454.0
13,2022-08-22,49,3,80,2,7837793,1890981,7656443,2072331,79789109283,19247148548,77936259781,21099998050,10180.048041967937,10179.17325068573,10178.393409558319,10181.77021431422,181350.0
14,2022-08-21,39,3,49,4,3531481,11552700,5786406,9297775,35930140536,117525598344,58862756705,94592982175,10174.241496981012,10172.593610783619,10172.99837648342,10173.722441659429,-2254925.0
15,2022-08-20,52,3,51,2,4412176,8035547,6133547,6314176,44861482048,81697463953,62355981622,64202964379,10167.654700991076,10166.38196821513,10167.007168647013,10168.066962181605,-1721371.0
16,2022-08-17,60,4,36,3,11498040,4689653,5474938,10712755,116722254885,47606012277,55573413581,108754853581,10151.491461588235,10150.510121027855,10151.286732088707,10151.903369488055,6023102.0
17,2022-08-16,40,4,50,1,8733262,4222617,4898461,8057418,88596943752,42827588726,49682434886,81742097592,10144.771077748497,10142.45798547748,10142.427960196248,10144.949361197347,3834801.0
