,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2016-02-14,0,2,0,1,0,6995333,0,6995333,0,24119908184,0,24119908184,,,3448.0,3448.0,0.0
1,2016-02-13,1,2,0,1,1000000,4000000,0,5000000,3100000000,12574000000,0,15674000000,3100.0,,3143.5,3134.8,1000000.0
2,2016-02-07,6,5,0,1,195000,34805000,0,35000000,563510000,100453830000,0,101017340000,2889.7948717948716,,2886.189627927022,2886.209714285714,195000.0
3,2016-02-06,0,1,0,1,0,2000000,0,2000000,0,5760000000,0,5760000000,,,2880.0,2880.0,0.0
4,2016-02-03,3,2,0,1,41835,35058165,0,35100000,129326610,100862734900,0,100992061510,3091.34958766583,,2877.011244028317,2877.26670968661,41835.0
5,2016-02-02,0,1,0,1,0,2000000,0,2000000,0,6120000000,0,6120000000,,,3060.0,3060.0,0.0
6,2016-01-31,3,0,0,1,6000,0,0,6000,20400000,0,0,20400000,3400.0,,,3400.0,6000.0
7,2016-01-26,2,0,0,1,90560,0,0,90560,307904000,0,0,307904000,3400.0,,,3400.0,90560.0
8,2016-01-25,3,1,0,1,5500,994500,0,1000000,18150000,3281850000,0,3300000000,3300.0,,3300.0,3300.0,5500.0
9,2016-01-24,0,1,0,1,0,1000000,0,1000000,0,3150000000,0,3150000000,,,3150.0,3150.0,0.0
10,2016-01-23,1,2,0,1,22630,2477370,0,2500000,72416000,7927584000,0,8000000000,3200.0,,3200.0,3200.0,22630.0
11,2015-09-20,14,1,65,0,269511,444093,713604,0,595443940,983046732,1578490672,0,2209.349302996909,2211.9980717596873,2213.6055555930852,,-444093.0
12,2015-09-19,14,1,38,0,330780,615638,946418,0,744966466,1383845004,2128811470,0,2252.1508736924843,2249.3353571043663,2247.822590548342,,-615638.0
13,2015-09-16,7,1,18,0,22348,142259,164607,0,50458455,321285345,371743800,0,2257.8510381242168,2258.3717581876836,2258.4535600559543,,-142259.0
14,2015-09-15,9,1,24,1,112649,234435,337084,10000,256328060,533690488,767108548,22910000,2275.457926834681,2275.719250987884,2276.4966323287904,2291.0,-224435.0
15,2015-09-14,8,1,23,1,38199,117737,149750,6186,86877459,269011574,341787860,14101173,2274.338569072489,2282.389716193656,2284.8516099441977,2279.530067895247,-111551.0
16,2015-09-13,10,1,24,1,58694,414795,373489,100000,132953590,942726661,848280251,227400000,2265.1989981940233,2271.2322210292673,2272.7531937463086,2274.0,-314795.0
17,2015-09-12,17,1,32,0,286580,677372,963952,0,656761693,1549797046,2206558739,0,2291.7220078163164,2289.0753263647985,2287.9555783232845,,-677372.0
18,2015-09-09,6,2,24,1,315387,458130,673517,100000,724685215,1053456281,1548541496,229600000,2297.7650156791497,2299.1869485105794,2299.4701962325103,2296.0,-358130.0
19,2015-09-08,9,1,18,0,83750,156846,240596,0,192247482,361929380,554176862,0,2295.4923223880596,2303.350271824968,2307.546128049169,,-156846.0
20,2015-09-07,6,1,26,1,26106,249865,185971,90000,59940856,578248077,429538933,208650000,2296.056691948211,2309.709218103898,2314.241998679287,2318.3333333333335,-159865.0
21,2015-09-06,5,1,18,0,14102,129407,143509,0,32504498,297827898,330332396,0,2304.9566019004396,2301.823551136166,2301.482130023878,,-129407.0
22,2015-09-05,6,1,18,0,50904,33628,84532,0,116273704,78119454,194393158,0,2284.176174760333,2299.639876023281,2323.047876769359,,-33628.0
