,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2012-07-02,31,3,0,1,2936978,70063022,0,73000000,2749074320,67500935680,0,70250010000,936.0214206575603,,963.431689829194,962.3289041095891,2936978.0
1,2012-07-01,12,3,0,1,847000,85015973,0,85862973,766620000,76911625700,0,77678245700,905.1003541912632,,904.6726513381197,904.6768704363404,847000.0
2,2012-05-13,112,11,156,4,2221016,6658177,4580414,4298779,3064943989,9167102335,6325498285,5906548039,1379.9738448529863,1380.9883309674628,1376.818659972542,1374.005976813416,-2359398.0
3,2012-05-12,55,5,122,3,1275469,6158586,5507479,1926576,1906399556,9184760312,8217428522,2873731346,1494.6655355794614,1492.0489977356247,1491.3748565011515,1491.6262561144747,-4232010.0
4,2012-05-09,67,2,79,5,1043157,5000000,4278663,1764494,1670660632,8119149570,6923411928,2866398274,1601.5428473374573,1618.1250844013655,1623.829914,1624.4874020540733,-3235506.0
5,2012-05-08,63,1,68,2,780319,1263514,1143833,900000,1350420184,2147907220,1957596831,1540730573,1730.600157115231,1711.4358748173904,1699.947305688738,1711.9228588888889,-363514.0
6,2012-05-07,43,2,87,3,566461,7000000,2707369,4859092,990473655,12364614364,4841742006,8513346013,1748.5292985748356,1788.356890398021,1766.3734805714287,1752.044623357615,-2140908.0
7,2012-05-06,23,1,128,1,281734,5000000,5131734,150000,489416036,9088177103,9310593139,267000000,1737.1564525403394,1814.3171760266607,1817.6354206,1780.0,-4850000.0
8,2012-05-05,69,4,85,2,1091362,1600000,2375362,316000,1979302199,2927206670,4329520605,576988264,1813.6073997445394,1822.6782296761505,1829.50416875,1825.9122278481013,-1284000.0
9,2012-05-02,30,2,74,3,501132,1432903,1336135,597900,967020008,2779914136,2587485088,1159449056,1929.6712403119338,1936.5446515509286,1940.057447014906,1939.202301388192,-835003.0
10,2012-05-01,32,2,72,1,439840,2193347,1760921,872266,860021303,4298840360,3449211903,1709649760,1955.3048904146963,1958.7544830233724,1959.9453985165137,1960.0096300899038,-1321081.0
11,2012-04-30,42,2,83,3,1115376,1109248,1924792,299832,2138226374,2108531335,3675613291,571144418,1917.045349729598,1909.6158395296738,1900.8655728926265,1904.8814602844259,-809416.0
12,2012-04-29,50,5,107,2,716731,3029688,3576419,170000,1335663682,5720878692,6735942374,320600000,1863.549479511839,1883.432107367733,1888.2732122911666,1885.8823529411766,-2859688.0
13,2012-04-28,95,2,62,2,1462813,1299213,1662026,1100000,2789211332,2474074684,3179258506,2084027510,1906.7449715035345,1912.8813303762997,1904.2871984809265,1894.5704636363637,-199213.0
14,2012-04-21,2,0,4,0,30245,0,30245,0,64452095,0,64452095,0,2131.0,2131.0,,,0.0
15,2012-04-18,154,4,173,2,4263984,3714400,6137360,1841024,8987872739,7883915259,12984770929,3887017069,2107.8579889136545,2115.6932180937733,2122.527261199655,2111.334273208823,-1873376.0
16,2012-04-17,96,3,86,2,2738587,250000,2741087,247500,5530187464,505904438,5535092166,500999736,2019.3579623360515,2019.3055404662457,2023.617752,2024.2413575757575,-2500.0
17,2012-04-16,186,3,180,7,7183069,1600000,7327492,1455577,14124885253,3129600000,14399946789,2854538464,1966.4136948983785,1965.194474316724,1956.0,1961.1044032710051,-144423.0
18,2012-04-15,196,8,160,7,4904691,2590000,6704597,790094,10369383629,5564374139,14241161149,1692596619,2114.1767399821924,2124.089061430538,2148.4070034749034,2142.272462517118,-1799906.0
19,2012-04-14,186,3,155,7,5073827,400968,3499710,1975085,10567056720,853099482,7250899181,4169257021,2082.660035511656,2071.857148449443,2127.599913210032,2110.9253632122163,1574117.0
20,2012-04-11,182,12,231,5,7864458,2227863,9174702,917619,16034188529,4613331875,18760160830,1887359574,2038.8167282475156,2044.7705909140154,2070.7430730704714,2056.8008879502277,-1310244.0
21,2012-04-10,430,16,304,13,17622431,3684598,14655537,6651492,37107123915,7748845045,30897130843,13958838117,2105.675653659816,2108.222362851665,2103.0367614051793,2098.602556689537,2966894.0
22,2012-04-09,65,2,186,5,5206964,625000,3877803,1954161,10288209344,1253200769,7666291289,3875118824,1975.8556702139672,1976.9677028461736,2005.1212304,1983.0089864652912,1329161.0
23,2012-04-08,161,16,333,17,10629899,13019195,11524004,12125090,19665275813,24332716326,21404202970,22593789169,1849.9964875489409,1857.3581690877581,1868.9877773548978,1863.3914609293622,-894105.0
24,2012-04-07,49,5,194,7,1017730,5496601,5698294,816037,1763325922,9538650177,9883535455,1418440644,1732.606803376141,1734.4727132366284,1735.3724923821103,1738.206287214918,-4680564.0
25,2012-04-04,65,7,172,13,7781111,4037571,7558176,4260506,13206977314,6856688974,12841685458,7221980830,1697.3125449566264,1699.0455710478295,1698.2212756134816,1695.0993215359865,222935.0
26,2012-04-03,37,4,112,0,711967,2021976,2733943,0,1162589534,3313088619,4475678153,0,1632.9261524761682,1637.078078438358,1638.5400316324228,,-2021976.0
27,2012-04-02,67,3,56,1,1028904,1119012,2047916,100000,1722356825,1871817214,3427597821,166576218,1673.9723288081298,1673.7003964029775,1672.740966137986,1665.76218,-1019012.0
28,2012-03-28,39,9,152,6,2019199,2514401,3353600,1180000,3499242755,4374535001,5823453029,2050324727,1732.9855824017345,1736.4781217199427,1739.7921019757787,1737.5633279661017,-1334401.0
29,2012-03-27,46,4,128,4,3099335,2126250,4600775,624810,5270653693,3638489146,7842429822,1066713017,1700.5756696194505,1704.5888620938863,1711.223584244562,1707.2598341895937,-1501440.0
30,2012-03-26,60,2,64,1,1745674,16597,1662271,100000,2886129779,27415050,2747544829,166000000,1653.3039840199258,1652.8862195153497,1651.807555582334,1660.0,83403.0
31,2012-03-25,107,7,106,2,2555053,2103554,4588964,69643,4391225280,3640191116,7912681444,118734952,1718.6435193320842,1724.284924440462,1730.49568302026,1704.9086340335712,-2033911.0
32,2012-03-24,255,8,83,6,11121511,606450,3292409,8435552,19613719495,1069728572,5882132073,14801315994,1763.584057508013,1786.5739259612035,1763.9188259543243,1754.635143497426,7829102.0
33,2012-03-18,94,4,122,4,3443817,350000,3151746,642071,5868800452,594613950,5363716336,1099698066,1704.1557237216728,1701.8237941763073,1698.897,1712.7359217282824,292071.0
34,2012-03-17,118,9,106,10,3466987,1185847,3059066,1593768,5962401364,2033783722,5259634012,2736551074,1719.764557525021,1719.3594423918935,1715.0473222936855,1717.03226191014,407921.0
35,2012-03-14,132,7,139,5,4485052,3307634,6955995,836691,7645226264,5622253007,11838474212,1429005059,1704.6014770843237,1701.9095344375608,1699.7808726721275,1707.9245013989632,-2470943.0
36,2012-03-13,97,6,164,3,4143635,954927,4455562,643000,6575127103,1531238409,7078317931,1028047581,1586.8017098513744,1588.6476119061972,1603.5135764304496,1598.829830482115,-311927.0
37,2012-03-12,140,15,144,4,5181763,8152842,7872678,5461927,7827153396,12258150054,11887419387,8197884063,1510.5193726536702,1509.9587950885327,1503.5431882526364,1500.914249311644,-2690915.0
38,2012-03-11,165,7,149,3,5419961,621041,5921002,120000,8827873393,1006118107,9639209500,194782000,1628.7706485341869,1627.969303168619,1620.051022396267,1623.1833333333334,-501041.0
39,2012-03-10,298,10,212,14,15254569,4504314,9367619,10391264,25861453410,7726289787,15937229826,17650513371,1695.3250799809553,1701.3106346447266,1715.3088765570074,1698.5915641254037,5886950.0
40,2012-03-07,187,12,148,4,10795146,4398732,5777218,9416660,17313701707,7105531633,9298169616,15121063724,1603.8413660176527,1609.4545187666452,1615.3590700683742,1605.777815488719,5017928.0
41,2012-03-06,239,13,198,9,11136941,4214139,7951095,7399985,17750785085,6805377534,12758083559,11798079060,1593.865414659196,1604.5693780542176,1614.89156717422,1594.3382398748106,3185846.0
42,2012-03-05,362,15,308,16,17229528,3755365,17067539,3917354,26664414932,5919448211,26465905563,6117957580,1547.5998490498405,1550.6573948944836,1576.2644139784015,1561.7576506999367,161989.0
43,2012-03-04,3,0,9,0,32781,0,32781,0,50286054,0,50286054,0,1534.0,1534.0,,,0.0
44,2012-03-03,48,2,61,0,5802718,330000,6132718,0,8245662278,468930000,8714592278,0,1421.0,1421.0,1421.0,,-330000.0
45,2012-02-29,232,7,109,4,15906705,3687629,4185333,15409001,20937192357,4856964803,5485093842,20309063318,1316.2494908279245,1310.551356845441,1317.096921355158,1318.0,11721372.0
46,2012-02-28,56,1,74,4,3250700,700300,3184324,766676,3970578257,853213438,3886270243,937521452,1221.4533045190267,1220.438071942428,1218.354188205055,1222.8391810882301,66376.0
47,2012-02-27,51,2,69,3,2168566,250000,1734623,683943,2461179893,288387394,1980560303,769006984,1134.9342805337722,1141.7814147512167,1153.549576,1124.372914117112,433943.0
48,2012-02-26,80,1,61,2,3128793,165873,1257666,2037000,3383665855,182116932,1373991316,2191791471,1081.460440176132,1092.4930116581031,1097.9299343473622,1075.9899219440354,1871127.0
49,2012-02-25,56,1,46,1,1049851,50000,1038945,60906,1165027006,55050000,1153011619,67065387,1109.7070022317453,1109.790815683217,1101.0,1101.129396118609,10906.0
50,2012-02-22,116,1,65,5,4079003,500000,1143725,3435278,4728470736,599905101,1335956136,3992419701,1159.2221765956044,1168.0746123412534,1199.810202,1162.1824204620411,2935278.0
51,2012-02-21,99,0,28,3,2624409,0,980094,1644315,3156333765,0,1194635103,1961698662,1202.683638487751,1218.8984964707467,,1193.0187719506298,1644315.0
