,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,48,1,53,0,433432,23000,456432,0,3556176830,188140000,3744316830,0,8204.693769726278,8203.449429487853,8180.0,,-23000.0
1,2022-09-07,68,0,69,0,1264737,0,1264737,0,10542813030,0,10542813030,0,8335.97264095223,8335.97264095223,,,0.0
2,2022-09-06,76,1,79,1,966820,63230,1007050,23000,8149687620,527683600,8480951220,196420000,8429.374257876338,8421.579087433593,8345.462596868576,8540.0,-40230.0
3,2022-09-05,51,1,60,0,310688,1202,311890,0,2635989400,10096800,2646086200,0,8484.361803481306,8484.036679598576,8400.0,,-1202.0
4,2022-09-04,68,0,67,1,1205025,0,1181929,23096,10159760940,0,9964731500,195029440,8431.16195929545,8430.90532510836,,8444.295116037409,23096.0
5,2022-09-03,75,1,72,0,894641,178556,1073197,0,7497307820,1502253660,8999561480,0,8380.241705890967,8385.749755170766,8413.347409216156,,-178556.0
6,2022-08-31,59,0,96,1,615549,0,591395,24154,5338243150,0,5128414130,209829020,8672.328522993295,8671.723856305853,,8687.133394054816,24154.0
7,2022-08-30,68,1,86,1,690622,71058,715680,46000,5939709070,602289400,6146858470,395140000,8600.52108099655,8588.836449251063,8476.025218835317,8590.0,-25058.0
8,2022-08-29,103,2,116,1,2870796,117800,2965596,23000,24428134970,983771440,25212956410,198950000,8509.185246879262,8501.817648121996,8351.200679117148,8650.0,-94800.0
9,2022-08-28,69,0,70,0,726660,0,726660,0,6076394650,0,6076394650,0,8362.087702639474,8362.087702639474,,,0.0
10,2022-08-27,167,1,193,1,4494302,46000,4293302,247000,38416387660,382720000,36678467660,2120640000,8547.798447901365,8543.183698700906,8320.0,8585.587044534414,201000.0
11,2022-08-24,81,2,133,1,1490509,167108,1611617,46000,12272475850,1403858160,13291314010,385020000,8233.74823634074,8247.191491526833,8400.903367881849,8370.0,-121108.0
