,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
0,2022-09-10,68,2,58,1,949866,523570,1433424,40012,3120784698,1725422172,4712761460,133445410,3285.4999526248967,3287.765141367802,3295.4947227686844,3335.134709587124,-483558.0
1,2022-09-07,111,2,60,1,1772886,362175,2076236,58825,5903479647,1218013342,6923417772,198075217,3329.869854576098,3334.60058105148,3363.051955546352,3367.194509137272,-303350.0
2,2022-09-06,75,2,69,1,1143417,659815,1597919,205313,3861185837,2237291145,5403709333,694767649,3376.8833566406656,3381.716678379818,3390.7855156369587,3383.9437785235227,-454502.0
3,2022-09-05,67,2,77,1,1127063,789011,1814883,101191,3833492659,2698673746,6187875718,344290687,3401.3117802642796,3409.517703345064,3420.3246165135847,3402.384470950974,-687820.0
4,2022-09-04,76,3,74,1,1377408,1054083,2229851,201640,4718680268,3620504426,7646900127,692284567,3425.76801354428,3429.3323307252367,3434.743209026234,3433.2700208292003,-852443.0
5,2022-09-03,251,2,128,2,5815761,1395518,7069863,141416,20055718328,4883718876,24441182922,498254282,3448.51143779808,3457.0942777816203,3499.57426274688,3523.3232590371667,-1254102.0
6,2022-08-31,123,2,74,2,9201330,1701641,2971631,7931340,31367860280,5789839658,10145580540,27012119398,3409.0571993396607,3414.1454776854866,3402.5036173905073,3405.744728885661,6229699.0
7,2022-08-30,51,3,42,2,1108988,2221099,2119445,1210642,3820733549,7632112429,7307985504,4144860474,3445.2433651220754,3448.0656511492393,3436.1874139783954,3423.6879886869942,-1010457.0
8,2022-08-29,65,2,68,1,1463893,1574042,2793596,244339,5061805085,5447664560,9663354998,846114647,3457.769854080865,3459.1096915946327,3460.939771619817,3462.87185836072,-1329703.0
9,2022-08-28,62,1,65,1,2247745,1189333,3054963,382115,7778869311,4126865017,10568842774,1336891554,3460.743683558411,3459.56490275005,3469.898688592682,3498.662847572066,-807218.0
10,2022-08-27,90,1,71,1,2342908,1048953,3089726,302135,8199418686,3692519028,10829950281,1061987433,3499.675909596109,3505.1490912139134,3520.194925797438,3514.943429261754,-746818.0
11,2022-08-24,52,1,57,1,1433281,789868,1899214,323935,5118019669,2841499304,6798747969,1160771004,3570.8417742229194,3579.7692987730716,3597.4356525394114,3583.3454365845,-465933.0
12,2022-08-23,73,2,118,2,2242798,985252,2458299,769751,8081601909,3559684512,8869955618,2771330803,3603.357016102208,3608.1679315656884,3612.968572507338,3600.2951642803973,-215501.0
13,2022-08-22,96,2,133,1,4358045,2345052,5773917,929180,15124951766,8061537306,19969229873,3217259199,3470.5818241895163,3458.5238882027575,3437.6795508159307,3462.4714253427755,-1415872.0
14,2022-08-21,25,2,51,1,443619,955905,1209696,189828,1471868730,3167388125,4008642417,630614438,3317.8667505224075,3313.76016536386,3313.496764845879,3322.0306698695663,-766077.0
15,2022-08-20,30,1,43,1,1045440,1611420,2387823,269037,3449953281,5321651013,7881183747,890420547,3300.001225321396,3300.5728427107033,3302.4605708009085,3309.6583258064875,-1342383.0
16,2022-08-17,51,1,53,1,1125367,1111537,1758433,478471,3719662537,3679413469,5808265588,1590810418,3305.288441015242,3303.091780010953,3310.203321166997,3324.7791778394094,-633066.0
